date,ticker,open,high,low,close,volume
2024-01-26,AVBP,24.0,25.95,20.0,20.0,1992500
2024-01-29,AVBP,20.0,21.475,19.4,19.91,370204
2024-01-30,AVBP,20.89,22.95,19.4,22.0,418717
2024-01-31,AVBP,21.0,22.0,20.1935,21.55,109180
2024-02-01,AVBP,21.41,22.68,21.0,21.98,251150
2024-02-02,AVBP,21.97,22.15,21.33,21.85,55003
2024-02-05,AVBP,21.9,21.98,20.76,21.52,92952
2024-02-06,AVBP,22.0,22.8,21.09,22.0,182559
2024-02-07,AVBP,22.0,22.74,21.05,22.16,155030
2024-02-08,AVBP,22.11,23.1266,21.78,22.0,130184
2024-02-09,AVBP,21.84,22.39,21.0,21.01,91997
2024-02-12,AVBP,21.25,21.94,20.68,21.03,83723
2024-02-13,AVBP,21.0,22.05,20.0,21.9,250128
2024-02-14,AVBP,21.65,22.2,21.16,21.48,113989
2024-02-15,AVBP,21.46,22.15,21.2,22.07,92544
2024-02-16,AVBP,21.73,22.51,21.25,22.47,73303
2024-02-20,AVBP,22.47,22.75,20.31,20.63,181203
2024-02-21,AVBP,20.52,21.44,19.66,19.88,219872
2024-02-22,AVBP,19.82,20.135,18.37,19.67,319679
2024-02-23,AVBP,19.5,20.5,19.18,19.32,183099
2024-02-26,AVBP,19.35,19.67,18.63,18.94,186345
2024-02-27,AVBP,18.61,20.103,18.61,19.54,229759
2024-02-28,AVBP,19.46,21.015,19.12,20.45,306712
2024-02-29,AVBP,20.34,22.2937,20.34,21.54,169140
2024-03-01,AVBP,21.11,22.2,20.6,20.94,136934
2024-03-04,AVBP,21.36,22.985,20.57,22.75,183092
2024-03-05,AVBP,21.94,22.5,20.43,20.43,139563
2024-03-06,AVBP,20.48,21.43,20.11,20.25,107710
2024-03-07,AVBP,20.07,20.72,19.65,20.1,121599
2024-03-08,AVBP,20.6,20.7,19.61,19.61,91477
2024-03-11,AVBP,19.53,20.3225,19.1,19.33,111746
2024-03-12,AVBP,20.1,20.14,18.75,19.15,159785
2024-03-13,AVBP,19.485,19.825,19.025,19.75,149831
2024-03-14,AVBP,19.75,19.75,17.695,18.57,261998
2024-03-15,AVBP,18.4,20.15,18.275,19.49,1966373
2024-03-18,AVBP,19.36,19.775,18.14,18.55,301289
2024-03-19,AVBP,18.44,18.57,17.65,18.13,298954
2024-03-20,AVBP,17.67,18.675,17.67,18.42,178129
2024-03-21,AVBP,18.01,18.505,17.58,18.21,172738
2024-03-22,AVBP,17.89,18.54,17.84,18.28,84716
2024-03-25,AVBP,17.93,18.22,16.9,16.96,121475
2024-03-26,AVBP,17.12,18.04,16.905,17.8,132792
2024-03-27,AVBP,18.0,18.31,17.5,18.0,121847
2024-03-28,AVBP,17.85,18.3,17.73,17.86,233160
2024-04-01,AVBP,17.92,19.11,17.7401,18.31,357779
2024-04-02,AVBP,18.0,18.2,17.92,18.0,138099
2024-04-03,AVBP,17.9,18.2,17.87,18.12,122190
2024-04-04,AVBP,18.0,18.5375,17.85,18.3,77510
