date,ticker,open,high,low,close,volume
2020-04-17,BHF,22.26,23.5,22.26,22.6,1735241
2020-04-20,BHF,21.51,22.73,21.35,21.49,1903311
2020-04-21,BHF,20.28,21.0,19.84,19.93,1530963
2020-04-22,BHF,20.74,21.09,20.23,20.55,1432391
2020-04-23,BHF,20.85,21.52,20.33,20.54,1474251
2020-04-24,BHF,20.83,22.51,20.61,22.38,1096901
2020-04-27,BHF,22.57,23.94,22.55,23.65,1368674
2020-04-28,BHF,24.8,25.92,24.43,25.33,1169277
2020-04-29,BHF,26.82,27.6027,26.3019,27.23,1062035
2020-04-30,BHF,26.1,26.91,25.1692,25.71,1074427
2020-05-01,BHF,24.57,25.03,23.97,24.71,1017948
2020-05-04,BHF,24.0,25.46,23.56,25.22,1197594
2020-05-05,BHF,25.74,26.67,25.295,25.37,1034443
2020-05-06,BHF,25.78,26.18,24.02,24.1,959196
2020-05-07,BHF,24.61,27.33,24.61,26.97,1700620
2020-05-08,BHF,27.81,28.79,27.02,28.73,1370172
2020-05-11,BHF,28.11,28.765,27.54,28.09,2432315
2020-05-12,BHF,32.5,32.65,26.94,26.96,2314282
2020-05-13,BHF,26.48,26.97,24.64,24.93,1625077
2020-05-14,BHF,24.1,26.38,23.395,26.32,1019096
2020-05-15,BHF,25.84,27.065,25.3764,26.68,906641
2020-05-18,BHF,28.75,29.91,28.42,29.65,1162684
2020-05-19,BHF,29.54,30.1,28.45,28.49,1091790
2020-05-20,BHF,29.37,30.0,29.04,29.28,895469
2020-05-21,BHF,29.04,30.0,28.02,29.78,902741
2020-05-22,BHF,30.05,30.05,28.6,28.85,1138740
2020-05-26,BHF,30.54,32.17,30.225,31.58,1558688
2020-05-27,BHF,33.38,34.08,31.2,31.72,1709995
2020-05-28,BHF,32.26,32.26,30.65,30.82,1064096
2020-05-29,BHF,30.29,30.62,29.39,29.71,1220062
2020-06-01,BHF,29.85,31.19,29.29,30.69,932792
2020-06-02,BHF,31.28,31.37,30.31,30.59,904049
2020-06-03,BHF,31.42,32.91,31.42,32.35,631331
2020-06-04,BHF,32.07,33.87,31.56,33.74,1135224
2020-06-05,BHF,37.03,38.84,35.33,35.58,867573
2020-06-08,BHF,36.84,38.58,36.75,38.56,997962
2020-06-09,BHF,36.31,37.59,36.04,37.05,1180117
2020-06-10,BHF,36.83,36.84,34.59,34.74,1450196
2020-06-11,BHF,31.46,32.91,29.51,29.7,1828061
2020-06-12,BHF,32.21,32.21,30.18,32.07,1263227
2020-06-15,BHF,29.8,33.27,29.66,33.06,1590837
2020-06-16,BHF,35.3,35.3,32.24,32.99,1480549
2020-06-17,BHF,33.5,33.5,31.75,31.9,1039156
2020-06-18,BHF,30.39,32.155,30.25,31.64,1389964
2020-06-19,BHF,32.37,32.43,30.56,31.31,4692611
2020-06-22,BHF,30.98,31.49,30.17,31.22,958173
2020-06-23,BHF,32.34,32.6956,30.6,30.65,1002822
2020-06-24,BHF,30.11,30.295,28.22,28.27,1232605
2020-06-25,BHF,28.08,29.1,27.57,28.46,1230144
2020-06-26,BHF,27.74,27.99,26.01,26.23,1863669
2020-06-29,BHF,26.91,27.625,26.33,26.97,1189279
2020-06-30,BHF,26.66,27.96,26.66,27.82,1081527
2020-07-01,BHF,27.73,28.05,26.14,26.21,792837
2020-07-02,BHF,27.16,27.94,26.6,26.75,1022294
2020-07-06,BHF,27.69,28.465,27.0,27.54,1537260
2020-07-07,BHF,26.91,27.265,25.78,25.88,1029100
2020-07-08,BHF,25.66,27.18,25.66,26.79,1004165
2020-07-09,BHF,26.62,26.91,25.13,25.33,954531
2020-07-10,BHF,25.27,26.93,25.22,26.88,1027396
2020-07-13,BHF,27.37,27.98,26.725,27.15,1301118
2020-07-14,BHF,26.95,27.84,26.78,27.77,657164
2020-07-15,BHF,28.96,29.38,28.17,29.22,685959
2020-07-16,BHF,28.87,30.0,28.3501,29.37,655203
2020-07-17,BHF,29.31,29.48,28.8201,29.19,949678
2020-07-20,BHF,28.77,29.16,28.33,28.47,927827
2020-07-21,BHF,28.6,29.425,28.5,29.25,687158
2020-07-22,BHF,29.0,29.71,28.86,29.395,601886
2020-07-23,BHF,29.16,29.96,28.84,29.515,588032
2020-07-24,BHF,29.31,29.605,28.95,29.15,457021
2020-07-27,BHF,29.09,29.09,28.36,28.85,395016
2020-07-28,BHF,28.65,29.13,27.95,28.06,582413
2020-07-29,BHF,28.14,29.16,27.92,29.12,698142
2020-07-30,BHF,28.18,28.44,27.335,28.31,471112
2020-07-31,BHF,28.18,28.41,27.8,28.34,445089
2020-08-03,BHF,28.66,29.23,28.19,28.71,483493
2020-08-04,BHF,28.43,28.93,28.06,28.17,604625
2020-08-05,BHF,28.82,30.12,28.82,29.68,931764
2020-08-06,BHF,29.34,29.48,28.37,28.68,1043093
2020-08-07,BHF,26.52,30.73,26.51,30.73,1845977
2020-08-10,BHF,30.96,32.02,30.96,31.73,746355
2020-08-11,BHF,32.63,33.39,32.0157,32.17,931132
2020-08-12,BHF,33.0,33.115,31.44,31.78,577690
2020-08-13,BHF,31.54,31.89,30.9901,31.64,560141
2020-08-14,BHF,31.34,32.51,31.23,32.18,465008
2020-08-17,BHF,32.06,32.37,30.94,31.0,487860
2020-08-18,BHF,31.3,31.33,29.97,30.05,538434
2020-08-19,BHF,30.0,30.6,29.75,29.85,609487
2020-08-20,BHF,29.99,29.99,29.31,29.37,343869
2020-08-21,BHF,29.13,29.5,28.27,28.46,604812
2020-08-24,BHF,29.06,31.05,28.75,31.03,774213
2020-08-25,BHF,31.3,31.805,30.78,31.41,551983
2020-08-26,BHF,31.26,31.44,30.89,31.12,366223
2020-08-27,BHF,31.12,32.42,31.11,31.89,728152
2020-08-28,BHF,32.24,32.48,31.62,31.8,462109
2020-08-31,BHF,31.8,31.89,30.36,30.36,932568
2020-09-01,BHF,30.31,31.08,30.05,30.48,644788
2020-09-02,BHF,30.36,30.92,29.72,30.8,469184
2020-09-03,BHF,30.99,32.29,30.41,30.55,659276
2020-09-04,BHF,31.43,32.525,30.675,32.43,775129
2020-09-08,BHF,31.71,32.19,30.55,30.59,854655
2020-09-09,BHF,31.03,31.105,30.065,30.415,566444
2020-09-10,BHF,30.96,31.38,29.48,29.56,612372
2020-09-11,BHF,29.52,29.89,29.04,29.51,477267
2020-09-14,BHF,29.9,30.13,29.57,29.7,711136
2020-09-15,BHF,29.8,29.8,28.55,28.6,687132
2020-09-16,BHF,28.76,30.01,28.35,29.33,833356
2020-09-17,BHF,28.7,29.26,28.2396,28.79,665415
2020-09-18,BHF,28.61,29.1,28.16,28.29,2148115
2020-09-21,BHF,27.19,27.45,26.08,26.51,1152929
2020-09-22,BHF,26.71,27.21,26.27,26.58,1007582
2020-09-23,BHF,26.63,27.37,26.02,26.05,653617
2020-09-24,BHF,25.97,26.2,25.2014,25.65,1355598
2020-09-25,BHF,25.23,26.08,25.23,25.81,722471
2020-09-28,BHF,26.6,27.625,26.6,27.28,583162
2020-09-29,BHF,27.09,27.33,26.26,26.51,520699
2020-09-30,BHF,26.8,27.46,26.7,26.91,800996
2020-10-01,BHF,27.55,28.35,27.32,27.76,870164
2020-10-02,BHF,27.02,28.8,27.02,28.69,585956
2020-10-05,BHF,29.31,30.6,29.22,29.72,778047
2020-10-06,BHF,30.33,30.94,29.485,29.79,850880
2020-10-07,BHF,30.4,31.425,30.25,30.81,751221
2020-10-08,BHF,31.15,31.56,30.78,31.0,739510
2020-10-09,BHF,31.47,31.71,30.56,30.61,502495
2020-10-12,BHF,30.61,31.5,30.47,31.37,484410
2020-10-13,BHF,31.31,31.31,30.25,30.42,556405
2020-10-14,BHF,30.44,31.305,30.44,30.76,658708
2020-10-15,BHF,29.82,32.4,29.82,32.29,887424
2020-10-16,BHF,32.56,32.705,31.53,31.74,889838
2020-10-19,BHF,31.88,32.75,31.61,32.0,1050989
2020-10-20,BHF,32.57,33.0,32.075,32.28,677317
2020-10-21,BHF,32.11,32.4,31.23,31.34,990759
2020-10-22,BHF,31.3,32.47,30.78,32.41,834610
2020-10-23,BHF,32.73,33.14,32.395,32.97,543586
2020-10-26,BHF,32.27,32.49,30.97,31.51,715644
2020-10-27,BHF,31.39,31.4169,29.44,29.63,913154
2020-10-28,BHF,28.75,30.535,28.74,30.1,1105394
2020-10-29,BHF,29.93,32.025,29.44,31.81,812740
2020-10-30,BHF,31.54,33.31,31.54,33.1,1329917
2020-11-02,BHF,33.91,33.99,32.4,32.58,974048
2020-11-03,BHF,33.42,33.905,32.67,32.91,724189
2020-11-04,BHF,31.98,32.3,31.03,31.32,1010142
2020-11-05,BHF,31.58,33.67,31.58,33.21,790375
2020-11-06,BHF,31.86,33.65,30.9,31.52,1137316
2020-11-09,BHF,34.42,37.31,34.345,36.71,1527500
2020-11-10,BHF,36.82,37.51,36.01,37.28,1727648
2020-11-11,BHF,37.2,37.24,34.83,35.05,846012
2020-11-12,BHF,34.34,34.83,33.365,33.66,659296
2020-11-13,BHF,34.36,34.495,33.6327,33.9,882861
2020-11-16,BHF,35.56,36.51,34.5,34.7,948651
2020-11-17,BHF,33.73,35.12,33.73,34.49,1207498
2020-11-18,BHF,35.05,36.165,33.84,33.96,969655
2020-11-19,BHF,33.64,34.23,33.06,34.11,818958
2020-11-20,BHF,33.7,34.22,33.38,34.01,528865
2020-11-23,BHF,34.69,37.21,34.6781,36.93,1255998
2020-11-24,BHF,37.76,39.31,37.495,38.31,1179180
2020-11-25,BHF,37.88,37.99,36.31,37.61,409648
2020-11-27,BHF,37.42,37.86,36.94,37.16,217074
2020-11-30,BHF,36.56,37.3,35.01,35.1,1111218
2020-12-01,BHF,36.29,36.73,35.83,36.39,846074
2020-12-02,BHF,36.38,37.05,36.0,36.59,569862
2020-12-03,BHF,36.59,36.85,35.89,36.04,460533
2020-12-04,BHF,36.7,37.63,36.49,37.48,881293
2020-12-07,BHF,36.93,37.03,35.73,35.78,744300
2020-12-08,BHF,35.15,35.97,34.94,35.09,914087
2020-12-09,BHF,35.64,35.79,34.61,34.7,623444
2020-12-10,BHF,34.18,34.65,33.96,34.54,646702
2020-12-11,BHF,34.01,34.38,33.16,33.68,583622
2020-12-14,BHF,34.33,34.94,33.16,33.34,1004540
2020-12-15,BHF,33.72,34.94,33.155,34.79,1000747
2020-12-16,BHF,34.7,34.989,34.26,34.6,799411
2020-12-17,BHF,34.77,34.795,34.03,34.74,636769
2020-12-18,BHF,34.88,35.24,33.69,34.05,2663642
2020-12-21,BHF,33.885,34.37,32.8842,33.61,892030
2020-12-22,BHF,33.61,34.23,33.505,33.63,724825
2020-12-23,BHF,34.09,35.59,34.09,35.43,508769
2020-12-24,BHF,35.58,35.59,35.08,35.44,151415
2020-12-28,BHF,36.07,36.59,35.34,35.39,538198
2020-12-29,BHF,35.78,35.825,35.0689,35.16,442069
2020-12-30,BHF,35.12,36.13,35.12,35.77,324084
2020-12-31,BHF,35.8,36.52,35.5,36.205,440165
2021-01-04,BHF,36.57,37.0,35.11,35.22,518053
2021-01-05,BHF,35.18,36.25,34.86,35.94,731010
2021-01-06,BHF,37.28,39.4,37.21,38.87,1252212
2021-01-07,BHF,39.58,40.1,38.89,38.925,927267
2021-01-08,BHF,38.89,39.33,37.6,38.6,577938
2021-01-11,BHF,37.95,38.8998,37.73,38.405,536193
2021-01-12,BHF,39.0,40.93,38.705,40.2,913380
2021-01-13,BHF,39.79,40.9,39.63,40.74,818374
2021-01-14,BHF,41.03,42.45,40.96,42.29,779230
2021-01-15,BHF,41.59,42.68,41.35,42.17,614740
2021-01-19,BHF,42.55,43.28,41.58,42.65,829414
2021-01-20,BHF,42.6,43.49,42.13,42.52,837955
2021-01-21,BHF,42.03,42.81,41.32,41.39,610302
2021-01-22,BHF,40.63,41.42,40.25,40.56,659856
2021-01-25,BHF,40.05,40.49,38.92,39.55,484436
2021-01-26,BHF,39.96,40.27,38.05,38.25,770387
2021-01-27,BHF,37.845,37.88,35.9096,36.03,1041718
2021-01-28,BHF,36.6,37.86,36.44,37.06,899541
2021-01-29,BHF,36.82,37.15,35.32,35.36,960714
2021-02-01,BHF,35.88,36.29,35.44,36.08,787669
2021-02-02,BHF,36.64,37.51,36.63,37.17,619315
2021-02-03,BHF,37.07,37.62,36.89,37.16,612065
2021-02-04,BHF,37.45,39.43,37.15,39.27,687443
2021-02-05,BHF,39.68,40.07,38.81,40.04,694480
2021-02-08,BHF,40.38,41.72,40.2,41.67,766634
2021-02-09,BHF,41.6,42.54,41.36,41.97,725569
2021-02-10,BHF,42.29,42.555,41.21,41.92,920918
2021-02-11,BHF,40.76,41.535,39.17,40.53,1873831
2021-02-12,BHF,39.94,41.59,39.65,40.0,981083
2021-02-16,BHF,40.55,42.12,40.2101,41.45,1002168
2021-02-17,BHF,41.13,42.7,40.98,41.46,1084590
2021-02-18,BHF,40.71,41.205,38.93,39.76,1010524
2021-02-19,BHF,40.17,40.86,40.06,40.46,1249955
2021-02-22,BHF,40.1,42.545,40.1,41.41,1311030
2021-02-23,BHF,40.48,40.48,39.43,40.48,904110
2021-02-24,BHF,40.84,42.59,40.62,42.28,954011
2021-02-25,BHF,43.09,43.41,40.08,40.27,727101
2021-02-26,BHF,40.17,40.795,39.08,39.89,1016227
2021-03-01,BHF,41.1,41.855,40.855,41.26,543696
2021-03-02,BHF,41.16,41.71,40.73,40.99,590290
2021-03-03,BHF,41.18,43.01,40.91,41.53,1071768
2021-03-04,BHF,41.63,42.47,39.53,40.73,888436
2021-03-05,BHF,41.78,42.63,39.41,42.065,935461
2021-03-08,BHF,42.64,44.46,42.24,43.55,991964
2021-03-09,BHF,43.35,43.74,42.47,42.87,893665
2021-03-10,BHF,43.04,44.39,42.74,43.96,1160597
2021-03-11,BHF,43.99,44.83,43.6,44.33,826295
2021-03-12,BHF,44.94,45.34,44.19,44.625,732335
2021-03-15,BHF,44.71,45.73,43.88,45.64,997603
2021-03-16,BHF,43.6457,45.92,43.42,43.67,756641
2021-03-17,BHF,44.01,45.48,43.99,45.42,1001034
2021-03-18,BHF,46.01,48.29,45.85,46.32,1330586
2021-03-19,BHF,45.73,46.52,44.88,45.59,1678018
2021-03-22,BHF,45.25,45.67,44.17,44.42,986068
2021-03-23,BHF,43.94,44.59,42.19,42.5,1088417
2021-03-24,BHF,43.17,43.95,41.36,41.47,882751
2021-03-25,BHF,41.26,42.83,40.42,42.68,1176956
2021-03-26,BHF,43.44,43.91,42.02,43.24,725694
2021-03-29,BHF,42.64,43.55,41.765,42.78,913657
2021-03-30,BHF,43.0,44.74,43.0,44.04,762313
2021-03-31,BHF,44.16,45.32,43.85,44.25,821497
2021-04-01,BHF,44.2,45.47,44.0,45.44,469154
2021-04-05,BHF,45.96,46.57,45.72,46.06,522829
2021-04-06,BHF,46.22,46.8,45.82,46.13,513334
2021-04-07,BHF,46.23,46.91,46.15,46.77,438119
2021-04-08,BHF,46.62,46.68,45.49,46.04,600733
2021-04-09,BHF,46.52,46.97,45.79,46.09,585235
2021-04-12,BHF,46.51,47.08,45.77,46.65,949415
2021-04-13,BHF,46.12,46.6,45.52,46.38,699941
2021-04-14,BHF,46.34,47.85,45.8,46.96,456363
2021-04-15,BHF,47.04,47.43,46.5219,46.63,408833
2021-04-16,BHF,47.01,47.76,46.96,47.4,394744
2021-04-19,BHF,47.49,48.19,46.74,47.09,555326
2021-04-20,BHF,46.56,46.67,44.66,44.89,492967
2021-04-21,BHF,44.56,45.88,44.3,45.65,493375
2021-04-22,BHF,45.59,45.73,44.58,44.63,476612
2021-04-23,BHF,44.67,45.82,44.39,45.44,398307
2021-04-26,BHF,46.18,46.73,45.48,45.68,572530
2021-04-27,BHF,45.12,46.47,45.12,46.35,472639
2021-04-28,BHF,46.38,46.95,46.26,46.52,538979
2021-04-29,BHF,47.2,47.53,46.38,47.1,391570
2021-04-30,BHF,46.69,47.36,46.3,46.79,649700
2021-05-03,BHF,47.59,48.05,47.08,47.27,493962
2021-05-04,BHF,47.04,47.93,46.54,47.38,620521
2021-05-05,BHF,47.39,48.55,47.1,47.93,593123
2021-05-06,BHF,48.19,48.99,47.52,48.98,803132
2021-05-07,BHF,47.93,49.04,47.78,48.93,444502
2021-05-10,BHF,49.28,49.63,48.6,48.92,1010309
2021-05-11,BHF,47.25,49.64,47.25,48.47,956071
2021-05-12,BHF,49.27,49.91,47.93,48.27,1063785
2021-05-13,BHF,46.21,49.42,46.21,48.89,1016233
2021-05-14,BHF,49.25,49.81,48.69,49.42,784469
2021-05-17,BHF,49.11,49.62,48.41,49.31,382540
2021-05-18,BHF,49.25,49.985,48.0483,48.93,373059
2021-05-19,BHF,48.25,49.38,47.39,49.32,457111
2021-05-20,BHF,49.25,49.25,48.05,48.54,396135
2021-05-21,BHF,48.48,49.4,43.83,48.68,580454
2021-05-24,BHF,48.27,48.95,48.02,48.44,410067
2021-05-25,BHF,48.6,49.14,46.63,46.75,879986
2021-05-26,BHF,46.65,47.57,46.35,47.48,629841
2021-05-27,BHF,47.73,48.79,47.73,48.53,689483
2021-05-28,BHF,48.78,48.96,47.44,48.66,421269
2021-06-01,BHF,48.88,49.63,48.66,49.36,490791
2021-06-02,BHF,49.48,49.68,48.55,48.63,566105
2021-06-03,BHF,48.52,49.36,48.175,48.58,462350
2021-06-04,BHF,48.59,48.79,47.72,48.67,441046
2021-06-07,BHF,48.87,49.02,48.25,48.36,440644
2021-06-08,BHF,48.0,48.66,47.26,48.45,567213
2021-06-09,BHF,45.825,47.96,45.825,46.27,914490
2021-06-10,BHF,46.81,47.175,45.56,45.64,1136660
2021-06-11,BHF,45.89,46.72,45.49,46.65,561181
2021-06-14,BHF,46.7,46.96,45.99,46.23,675627
2021-06-15,BHF,46.23,47.87,46.02,47.41,887388
2021-06-16,BHF,46.79,47.8,46.58,47.33,950834
2021-06-17,BHF,47.83,47.83,44.69,45.36,1432340
2021-06-18,BHF,44.54,44.8013,43.37,43.52,1790077
2021-06-21,BHF,44.2,44.93,44.19,44.7,666557
2021-06-22,BHF,44.58,44.795,43.69,44.05,761352
2021-06-23,BHF,44.19,44.9,44.155,44.27,385061
2021-06-24,BHF,44.4,44.89,43.91,44.73,517481
2021-06-25,BHF,44.99,46.72,44.83,46.55,1008716
2021-06-28,BHF,46.48,46.48,44.91,45.11,632866
2021-06-29,BHF,45.57,46.04,44.73,44.81,447776
2021-06-30,BHF,44.77,45.64,44.64,45.54,512064
2021-07-01,BHF,45.89,46.49,45.65,45.95,604878
2021-07-02,BHF,45.96,45.96,45.32,45.39,366324
2021-07-06,BHF,45.1,45.32,43.29,43.67,733804
2021-07-07,BHF,43.1,43.78,42.63,43.18,492179
2021-07-08,BHF,42.18,42.4,41.0,41.64,738680
2021-07-09,BHF,42.7,43.82,42.5501,43.68,527512
