date,ticker,open,high,low,close,volume
2020-01-02,BLKB,80.108,80.807,79.579,80.757,213278
2020-01-03,BLKB,79.449,79.709,77.602,78.62,255169
2020-01-06,BLKB,77.892,79.349,77.812,79.269,251803
2020-01-07,BLKB,78.93,79.569,77.422,77.712,205879
2020-01-08,BLKB,77.902,78.86,77.592,77.981,271075
2020-01-09,BLKB,78.83,79.868,78.391,79.209,277853
2020-01-10,BLKB,79.429,79.729,78.401,78.58,192121
2020-01-13,BLKB,78.471,80.437,78.211,80.422,218065
2020-01-14,BLKB,80.038,80.847,79.419,79.878,191316
2020-01-15,BLKB,79.748,80.847,79.489,79.828,224105
2020-01-16,BLKB,80.577,82.614,80.577,81.955,316236
2020-01-17,BLKB,82.624,82.624,81.466,81.645,182160
2020-01-21,BLKB,81.106,82.105,80.827,81.775,245709
2020-01-22,BLKB,82.284,83.512,81.935,82.035,195106
2020-01-23,BLKB,81.715,81.952,80.837,80.887,320458
2020-01-24,BLKB,81.356,81.635,79.299,79.828,220423
2020-01-27,BLKB,78.141,81.79,77.562,80.927,390686
2020-01-28,BLKB,81.466,81.755,80.198,80.797,254905
2020-01-29,BLKB,80.966,80.966,79.748,79.798,220739
2020-01-30,BLKB,79.579,80.148,78.421,79.938,322629
2020-01-31,BLKB,79.788,80.377,78.001,78.201,464351
2020-02-03,BLKB,78.78,79.958,78.401,79.359,331266
2020-02-04,BLKB,80.437,80.437,79.1,79.179,420820
2020-02-05,BLKB,80.158,80.447,75.705,75.905,353673
2020-02-06,BLKB,76.194,78.441,75.565,78.411,280578
2020-02-07,BLKB,78.041,79.579,77.752,78.131,312418
2020-02-10,BLKB,78.051,78.71,77.472,77.612,369462
2020-02-11,BLKB,78.381,83.562,78.381,81.416,841180
2020-02-12,BLKB,81.665,82.843,78.75,80.048,419962
2020-02-13,BLKB,79.239,82.344,79.164,81.985,417182
2020-02-14,BLKB,81.426,81.501,79.978,81.206,355241
2020-02-18,BLKB,80.417,81.156,78.79,79.09,378790
2020-02-19,BLKB,79.319,80.028,77.921,77.941,338072
2020-02-20,BLKB,77.622,78.81,76.119,76.723,327465
2020-02-21,BLKB,76.703,77.043,74.507,75.456,423352
2020-02-24,BLKB,72.53,75.141,70.883,74.467,415388
2020-02-25,BLKB,74.507,75.286,72.131,73.279,443399
2020-02-26,BLKB,73.728,74.906,72.161,72.76,198507
2020-02-27,BLKB,71.97,72.99,69.05,69.16,387763
2020-02-28,BLKB,66.795,68.34,65.85,67.8,577516
2020-03-02,BLKB,68.26,70.01,66.83,69.93,408208
2020-03-03,BLKB,69.74,69.97,65.57,67.57,512407
2020-03-04,BLKB,68.84,69.33,67.09,69.14,280570
2020-03-05,BLKB,67.5,68.87,66.84,67.76,447287
2020-03-06,BLKB,65.75,66.84,64.52,66.42,431406
2020-03-09,BLKB,62.78,63.96,60.12,61.67,483857
2020-03-10,BLKB,63.1,64.66,61.42,64.39,540883
2020-03-11,BLKB,62.61,62.715,59.07,61.18,647867
2020-03-12,BLKB,57.3,59.5,53.48,54.63,721044
2020-03-13,BLKB,56.87,59.49,51.63,55.92,564431
2020-03-16,BLKB,53.78,54.44,43.77,44.52,697516
2020-03-17,BLKB,45.18,45.5,41.29,45.05,933724
2020-03-18,BLKB,42.04,43.7,38.22,40.29,602598
2020-03-19,BLKB,40.23,52.17,39.24,49.07,989625
2020-03-20,BLKB,49.94,56.68,48.0,51.58,1905065
2020-03-23,BLKB,51.84,52.61,45.76,49.01,951215
2020-03-24,BLKB,51.3,53.02,48.61,52.32,457598
2020-03-25,BLKB,52.52,53.99,49.6,49.85,535159
2020-03-26,BLKB,50.8,56.99,50.8,56.75,669041
2020-03-27,BLKB,53.98,55.59,53.0218,53.18,288111
2020-03-30,BLKB,53.52,54.54,52.79,54.3,640383
2020-03-31,BLKB,54.16,56.05,53.0,55.55,560487
2020-04-01,BLKB,53.25,54.3,51.77,52.34,442323
2020-04-02,BLKB,51.78,53.97,51.03,53.09,465430
2020-04-03,BLKB,52.93,53.57,48.5,48.91,374406
2020-04-06,BLKB,50.74,51.435,48.005,49.7,1290174
2020-04-07,BLKB,50.03,50.89,46.6,47.59,698560
2020-04-08,BLKB,48.44,51.2,48.2,49.97,911506
2020-04-09,BLKB,51.04,56.25,51.04,54.27,843313
2020-04-13,BLKB,53.62,55.0487,51.735,52.73,234465
2020-04-14,BLKB,54.58,55.06,51.99,52.77,463198
2020-04-15,BLKB,50.71,52.22,49.8,50.01,462902
2020-04-16,BLKB,49.93,52.2,47.93,48.89,336680
2020-04-17,BLKB,50.19,52.55,49.71,50.5,369208
2020-04-20,BLKB,50.65,52.16,49.42,49.5,375636
2020-04-21,BLKB,48.02,49.48,47.52,49.19,423202
2020-04-22,BLKB,50.55,50.55,48.95,49.0,337310
2020-04-23,BLKB,49.39,49.81,48.15,48.24,403823
2020-04-24,BLKB,48.39,48.913,47.96,48.62,451173
2020-04-27,BLKB,49.16,53.125,49.16,52.48,282254
2020-04-28,BLKB,54.27,54.73,52.929,54.12,454444
2020-04-29,BLKB,56.14,57.18,55.01,56.41,479935
2020-04-30,BLKB,55.56,57.23,54.21,55.26,393774
2020-05-01,BLKB,53.73,54.9,52.345,53.28,289066
2020-05-04,BLKB,52.54,54.61,52.34,53.23,383565
2020-05-05,BLKB,54.1,55.99,54.04,55.42,432884
2020-05-06,BLKB,56.19,57.68,54.545,55.44,617735
2020-05-07,BLKB,55.91,57.135,53.51,53.9,439433
2020-05-08,BLKB,55.0,55.4906,52.95,53.83,542525
2020-05-11,BLKB,53.0,53.51,51.94,52.16,515688
2020-05-12,BLKB,52.03,53.07,50.25,50.565,471016
2020-05-13,BLKB,49.99,50.865,48.09,48.77,445420
2020-05-14,BLKB,47.71,49.19,45.77,49.07,680566
2020-05-15,BLKB,48.84,51.52,48.05,51.23,381190
2020-05-18,BLKB,53.66,53.87,51.65,53.22,431405
2020-05-19,BLKB,53.16,54.63,52.585,54.16,425497
2020-05-20,BLKB,55.0,55.865,54.83,55.38,387628
2020-05-21,BLKB,55.23,56.54,54.7,56.45,422093
2020-05-22,BLKB,56.98,57.21,55.73,56.65,326012
2020-05-26,BLKB,58.35,59.8,57.29,57.6,573975
2020-05-27,BLKB,58.54,61.39,57.59,61.23,409856
2020-05-28,BLKB,61.97,62.035,57.87,58.43,339237
2020-05-29,BLKB,57.64,58.91,56.99,58.61,351140
2020-06-01,BLKB,58.9,60.25,58.1,59.65,369580
2020-06-02,BLKB,60.23,60.3,59.02,60.0,225002
2020-06-03,BLKB,61.31,61.68,60.34,61.22,344080
2020-06-04,BLKB,60.59,61.14,59.42,60.09,240559
2020-06-05,BLKB,62.05,64.04,61.71,63.17,376466
