date,ticker,open,high,low,close,volume
2020-01-02,BPYPP,25.003,25.081,24.945,25.081,76202
2020-01-03,BPYPP,25.081,25.215,25.081,25.119,40759
2020-01-06,BPYPP,25.167,25.191,25.099,25.187,40568
2020-01-07,BPYPP,25.196,25.196,25.148,25.187,17828
2020-01-08,BPYPP,25.187,25.206,25.09,25.138,533654
2020-01-09,BPYPP,25.206,25.244,25.187,25.244,20771
2020-01-10,BPYPP,25.263,25.263,25.206,25.215,9182
2020-01-13,BPYPP,25.283,25.283,25.225,25.263,4137
2020-01-14,BPYPP,25.273,25.312,25.263,25.312,9184
2020-01-15,BPYPP,25.312,25.312,25.273,25.312,5968
2020-01-16,BPYPP,25.312,25.312,25.148,25.215,10207
2020-01-17,BPYPP,25.187,25.36,25.177,25.235,34096
2020-01-21,BPYPP,25.235,25.312,25.235,25.292,7796
2020-01-22,BPYPP,25.312,25.36,25.287,25.321,15160
2020-01-23,BPYPP,25.321,25.37,25.321,25.37,4719
2020-01-24,BPYPP,25.321,25.408,25.321,25.408,7635
2020-01-27,BPYPP,25.408,25.408,25.225,25.321,1544
2020-01-28,BPYPP,25.36,25.36,25.34,25.34,1488
2020-01-29,BPYPP,25.398,25.408,25.374,25.398,4756
2020-01-30,BPYPP,25.398,25.456,25.388,25.438,4854
2020-01-31,BPYPP,25.466,25.648,25.466,25.61,50179
2020-02-03,BPYPP,25.59,25.745,25.59,25.62,17827
2020-02-04,BPYPP,25.658,25.793,25.63,25.793,13186
2020-02-05,BPYPP,25.803,25.879,25.803,25.841,6959
2020-02-06,BPYPP,25.899,25.927,25.87,25.927,3546
2020-02-07,BPYPP,25.937,25.957,25.836,25.937,16795
2020-02-10,BPYPP,25.975,25.975,25.735,25.735,61901
2020-02-11,BPYPP,25.889,25.889,25.61,25.639,20589
2020-02-12,BPYPP,25.754,25.851,25.668,25.668,44917
2020-02-13,BPYPP,25.754,25.793,25.62,25.793,23214
2020-02-14,BPYPP,25.803,25.803,25.62,25.62,4869
2020-02-18,BPYPP,25.783,25.783,25.678,25.693,23581
2020-02-19,BPYPP,25.764,25.793,25.524,25.524,17907
2020-02-20,BPYPP,25.524,25.764,25.524,25.764,3206
2020-02-21,BPYPP,25.61,25.697,25.61,25.62,4248
2020-02-24,BPYPP,25.59,25.61,25.331,25.37,16249
2020-02-25,BPYPP,25.388,25.487,24.897,24.897,20174
2020-02-26,BPYPP,24.907,25.2,24.907,25.066,17626
2020-02-27,BPYPP,24.759,24.759,24.137,24.474,41356
2020-02-28,BPYPP,24.272,24.272,23.723,24.069,37434
2020-03-02,BPYPP,24.069,24.532,24.069,24.31,17223
2020-03-03,BPYPP,24.505,24.792,24.31,24.397,23638
2020-03-04,BPYPP,24.555,24.879,24.454,24.792,18067
2020-03-05,BPYPP,24.659,24.695,24.647,24.695,5213
2020-03-06,BPYPP,24.647,24.686,24.233,24.233,27988
2020-03-09,BPYPP,23.107,23.684,20.931,21.903,38953
2020-03-10,BPYPP,22.384,23.53,22.334,23.357,22988
2020-03-11,BPYPP,23.126,23.126,21.181,21.422,43606
2020-03-12,BPYPP,20.941,21.162,15.549,20.787,172594
2020-03-13,BPYPP,21.2,22.847,21.182,22.038,146756
2020-03-16,BPYPP,20.276,20.276,17.956,18.398,92193
2020-03-17,BPYPP,17.446,18.131,15.0,16.57,73797
2020-03-18,BPYPP,16.328,16.328,11.843,11.852,90773
2020-03-19,BPYPP,12.035,15.019,11.149,13.238,78513
2020-03-20,BPYPP,13.489,14.923,12.526,12.535,56218
2020-03-23,BPYPP,12.613,13.807,10.591,11.553,72941
2020-03-24,BPYPP,13.084,15.01,12.863,14.235,47147
2020-03-25,BPYPP,14.843,17.166,14.731,17.051,42359
2020-03-26,BPYPP,17.985,19.102,16.386,18.765,61903
2020-03-27,BPYPP,17.725,18.1,16.849,16.849,47064
2020-03-30,BPYPP,16.078,17.715,16.078,17.003,76560
2020-03-31,BPYPP,17.32,18.678,16.078,16.492,67796
2020-04-01,BPYPP,16.56,16.617,15.501,16.107,60619
2020-04-02,BPYPP,15.895,16.839,15.462,16.059,47042
2020-04-03,BPYPP,15.963,16.071,14.605,15.982,67304
2020-04-06,BPYPP,17.186,17.195,16.126,16.368,50222
2020-04-07,BPYPP,16.512,17.571,16.406,17.407,80562
2020-04-08,BPYPP,17.089,19.256,17.089,19.015,100452
2020-04-09,BPYPP,20.218,21.181,19.871,20.498,55649
2020-04-13,BPYPP,20.296,20.296,18.889,18.889,66583
2020-04-14,BPYPP,19.256,20.517,18.967,20.151,51701
2020-04-15,BPYPP,20.026,20.208,19.314,20.055,32080
2020-04-16,BPYPP,19.573,20.209,19.372,20.141,16239
2020-04-17,BPYPP,21.875,21.875,19.814,19.939,71064
2020-04-20,BPYPP,19.843,20.218,19.602,19.737,18418
2020-04-21,BPYPP,19.641,19.678,18.438,18.438,29662
2020-04-22,BPYPP,19.063,19.352,18.765,19.073,23511
2020-04-23,BPYPP,19.256,19.388,18.841,19.015,43421
2020-04-24,BPYPP,19.208,19.208,18.958,19.063,72889
2020-04-27,BPYPP,19.246,19.593,19.121,19.443,40558
2020-04-28,BPYPP,19.525,20.065,19.464,19.823,16788
2020-04-29,BPYPP,20.026,20.853,20.026,20.681,45885
2020-04-30,BPYPP,20.941,21.22,20.314,20.652,56678
2020-05-01,BPYPP,20.604,20.721,20.065,20.556,39543
2020-05-04,BPYPP,20.257,20.69,20.257,20.671,17980
2020-05-05,BPYPP,20.709,21.172,20.508,20.744,14692
2020-05-06,BPYPP,21.095,21.253,19.775,19.843,26442
2020-05-07,BPYPP,19.843,20.218,19.843,19.871,18878
2020-05-08,BPYPP,20.151,20.93,20.151,20.46,29372
2020-05-11,BPYPP,20.46,20.748,20.374,20.652,29468
2020-05-12,BPYPP,20.468,20.687,20.218,20.218,26659
2020-05-13,BPYPP,19.929,20.411,18.784,18.957,53487
2020-05-14,BPYPP,18.919,19.053,18.004,18.678,77172
2020-05-15,BPYPP,18.813,19.458,18.534,19.458,19909
2020-05-18,BPYPP,20.103,20.103,19.159,19.159,31060
2020-05-19,BPYPP,19.256,19.573,18.736,18.774,24985
2020-05-20,BPYPP,18.871,19.289,18.841,18.957,12434
2020-05-21,BPYPP,18.947,19.181,18.447,18.447,25749
2020-05-22,BPYPP,18.765,18.793,18.456,18.678,26962
2020-05-26,BPYPP,18.871,19.304,18.726,19.063,29191
2020-05-27,BPYPP,19.236,19.911,19.053,19.718,28564
2020-05-28,BPYPP,19.718,20.44,19.718,20.007,21439
2020-05-29,BPYPP,20.307,20.307,19.495,19.826,20144
2020-06-01,BPYPP,19.836,20.376,19.748,20.209,24643
2020-06-02,BPYPP,20.057,20.298,19.809,19.866,27140
2020-06-03,BPYPP,20.101,20.131,19.787,20.101,30558
2020-06-04,BPYPP,20.131,20.563,20.072,20.563,22611
2020-06-05,BPYPP,20.769,21.456,20.769,21.25,50577
2020-06-08,BPYPP,21.437,22.053,21.437,21.849,47466
2020-06-09,BPYPP,21.712,21.712,21.309,21.338,18478
2020-06-10,BPYPP,21.545,21.545,20.72,21.103,20251
2020-06-11,BPYPP,20.622,20.622,19.011,19.158,30841
2020-06-12,BPYPP,20.347,20.347,19.247,19.433,18405
2020-06-15,BPYPP,19.247,19.463,19.116,19.296,21068
2020-06-16,BPYPP,20.032,20.14,19.473,19.738,31324
2020-06-17,BPYPP,19.807,19.807,19.404,19.463,25305
2020-06-18,BPYPP,19.453,19.64,19.316,19.424,13457
2020-06-19,BPYPP,19.541,19.738,19.217,19.414,21988
2020-06-22,BPYPP,19.276,19.306,19.036,19.266,18150
2020-06-23,BPYPP,19.296,19.355,19.07,19.257,20481
2020-06-24,BPYPP,19.276,19.276,17.9,18.628,31079
2020-06-25,BPYPP,18.832,18.832,18.334,18.501,20926
2020-06-26,BPYPP,18.501,18.501,17.499,17.656,27254
2020-06-29,BPYPP,17.902,18.031,17.273,17.784,39836
2020-06-30,BPYPP,17.764,18.935,17.764,17.951,71841
2020-07-01,BPYPP,18.294,18.559,18.176,18.559,25217
2020-07-02,BPYPP,18.805,19.075,18.746,18.795,12412
2020-07-06,BPYPP,18.828,19.05,18.795,18.8,16034
2020-07-07,BPYPP,19.145,19.145,18.52,18.569,7737
2020-07-08,BPYPP,18.559,19.042,18.206,18.314,11707
2020-07-09,BPYPP,18.455,18.53,18.206,18.53,10579
2020-07-10,BPYPP,18.461,18.648,18.265,18.442,8238
2020-07-13,BPYPP,18.461,18.609,18.329,18.363,24260
2020-07-14,BPYPP,18.461,18.48,18.265,18.265,17498
2020-07-15,BPYPP,18.265,18.736,18.265,18.736,29271
2020-07-16,BPYPP,18.658,18.917,18.52,18.638,17808
2020-07-17,BPYPP,18.923,18.923,18.658,18.903,12124
2020-07-20,BPYPP,18.859,19.074,18.677,18.677,12175
2020-07-21,BPYPP,18.844,19.375,18.677,18.923,24107
2020-07-22,BPYPP,18.844,19.083,18.776,18.776,16000
2020-07-23,BPYPP,18.776,18.913,18.677,18.746,32556
2020-07-24,BPYPP,18.677,18.815,18.667,18.805,3397
2020-07-27,BPYPP,19.001,19.08,18.942,18.942,7999
2020-07-28,BPYPP,18.834,19.09,18.834,18.942,13040
2020-07-29,BPYPP,19.09,19.602,18.952,19.519,18212
2020-07-30,BPYPP,19.532,19.826,19.345,19.63,20125
2020-07-31,BPYPP,19.699,19.797,19.492,19.689,16762
2020-08-03,BPYPP,19.62,20.258,19.591,20.086,20947
2020-08-04,BPYPP,20.082,20.082,19.522,19.738,16054
2020-08-05,BPYPP,19.738,19.875,19.659,19.816,8728
2020-08-06,BPYPP,19.689,19.816,19.276,19.296,9326
2020-08-07,BPYPP,19.591,19.748,19.384,19.591,14520
2020-08-10,BPYPP,19.64,20.003,19.64,19.699,27882
2020-08-11,BPYPP,19.905,20.184,19.689,19.797,37545
2020-08-12,BPYPP,19.866,21.014,19.866,21.005,45040
2020-08-13,BPYPP,21.113,21.358,20.533,20.661,26514
2020-08-14,BPYPP,20.484,21.28,20.484,21.186,7961
2020-08-17,BPYPP,21.201,21.299,21.059,21.299,6644
2020-08-18,BPYPP,21.329,21.829,21.329,21.8,14746
2020-08-19,BPYPP,21.8,21.88,21.643,21.761,7567
2020-08-20,BPYPP,21.653,21.996,21.358,21.358,18345
2020-08-21,BPYPP,21.663,21.996,21.538,21.996,4778
2020-08-24,BPYPP,22.055,22.341,21.81,22.065,22495
2020-08-25,BPYPP,22.095,22.514,22.095,22.095,17239
2020-08-26,BPYPP,22.258,22.478,22.095,22.36,14545
2020-08-27,BPYPP,22.35,22.438,22.193,22.252,23973
2020-08-28,BPYPP,22.586,22.713,22.075,22.144,51142
2020-08-31,BPYPP,22.5386,22.5386,22.07,22.25,11920
2020-09-01,BPYPP,22.305,22.315,22.0614,22.2,8096
2020-09-02,BPYPP,22.19,22.3,22.0,22.0,10358
2020-09-03,BPYPP,22.0,22.125,22.0,22.0,6252
2020-09-04,BPYPP,22.25,22.25,21.51,21.84,11423
2020-09-08,BPYPP,21.57,21.875,21.57,21.77,11622
2020-09-09,BPYPP,21.7701,21.9,21.75,21.75,7914
2020-09-10,BPYPP,21.77,21.9,21.41,21.41,6888
2020-09-11,BPYPP,21.65,22.01,21.65,21.81,16490
2020-09-14,BPYPP,22.09,22.09,21.81,21.81,7715
2020-09-15,BPYPP,21.71,21.9186,21.7,21.71,8797
2020-09-16,BPYPP,21.94,21.9907,21.51,21.51,12957
2020-09-17,BPYPP,21.56,21.56,21.33,21.45,5240
2020-09-18,BPYPP,21.99,21.99,21.45,21.69,7168
2020-09-21,BPYPP,21.3598,21.45,21.2681,21.3,7936
2020-09-22,BPYPP,21.41,21.5,21.26,21.3,9489
2020-09-23,BPYPP,21.05,21.75,20.21,20.32,18828
2020-09-24,BPYPP,20.72,20.72,19.3,20.25,8820
2020-09-25,BPYPP,20.25,20.75,20.25,20.35,8590
2020-09-28,BPYPP,20.71,21.0,20.71,20.95,17864
2020-09-29,BPYPP,20.37,20.89,20.37,20.79,18721
2020-09-30,BPYPP,20.8,20.8,20.17,20.17,37523
2020-10-01,BPYPP,20.42,20.6048,20.25,20.55,22002
2020-10-02,BPYPP,20.5,20.5,20.28,20.33,25366
2020-10-05,BPYPP,20.5,20.7493,20.48,20.58,34434
2020-10-06,BPYPP,20.5,20.67,20.41,20.48,43424
2020-10-07,BPYPP,20.6,20.95,20.59,20.75,60774
2020-10-08,BPYPP,20.89,21.51,20.89,21.48,39838
2020-10-09,BPYPP,21.55,21.77,21.45,21.58,15292
2020-10-12,BPYPP,21.7,21.81,21.3436,21.62,25207
2020-10-13,BPYPP,21.8,21.8,21.31,21.66,21507
2020-10-14,BPYPP,21.73,21.75,21.04,21.07,19022
2020-10-15,BPYPP,21.04,21.16,20.94,21.04,25590
2020-10-16,BPYPP,21.28,21.28,20.96,21.19,11403
2020-10-19,BPYPP,21.1,21.24,21.01,21.08,18000
2020-10-20,BPYPP,21.02,21.48,21.02,21.34,18647
2020-10-21,BPYPP,21.09,21.5,21.09,21.27,29217
2020-10-22,BPYPP,21.29,21.57,21.09,21.57,25423
2020-10-23,BPYPP,21.68,21.77,21.33,21.53,36883
2020-10-26,BPYPP,21.48,21.53,21.3,21.35,11843
2020-10-27,BPYPP,21.5,21.5,21.31,21.45,11582
2020-10-28,BPYPP,21.21,21.21,20.86,21.02,15658
2020-10-29,BPYPP,20.8224,21.1269,20.48,20.73,28233
2020-10-30,BPYPP,20.75,20.88,20.64,20.88,30400
2020-11-02,BPYPP,20.88,20.9882,20.68,20.85,15291
2020-11-03,BPYPP,20.99,21.12,20.65,20.69,11158
2020-11-04,BPYPP,20.66,20.94,20.66,20.855,10498
2020-11-05,BPYPP,20.89,21.5622,20.78,21.01,82721
2020-11-06,BPYPP,21.07,21.2,20.7,20.87,30371
2020-11-09,BPYPP,21.58,22.19,21.21,21.77,65077
2020-11-10,BPYPP,21.95,22.71,21.83,22.71,21016
2020-11-11,BPYPP,22.8,23.41,22.65,22.925,22278
2020-11-12,BPYPP,22.91,23.12,22.5,22.67,22248
2020-11-13,BPYPP,22.48,23.19,22.48,23.05,7832
2020-11-16,BPYPP,23.0,23.89,23.0,23.77,19706
2020-11-17,BPYPP,23.74,24.1848,23.74,23.825,28416
2020-11-18,BPYPP,23.8,24.0,23.7,23.97,26510
2020-11-19,BPYPP,24.0,24.0,23.72,23.74,19201
2020-11-20,BPYPP,24.04,24.05,23.84,23.96,18033
2020-11-23,BPYPP,24.05,24.5,24.0,24.27,33701
2020-11-24,BPYPP,24.12,24.6485,24.12,24.43,15563
2020-11-25,BPYPP,24.62,24.72,24.4711,24.58,17347
2020-11-27,BPYPP,24.6,24.61,24.27,24.52,14366
2020-11-30,BPYPP,24.22,24.67,24.0,24.48,26441
2020-12-01,BPYPP,24.7185,24.77,24.45,24.46,13717
2020-12-02,BPYPP,24.4,24.71,24.4,24.61,14604
2020-12-03,BPYPP,24.5,24.5,24.35,24.48,18426
2020-12-04,BPYPP,24.5,24.7,24.432,24.5,21501
2020-12-07,BPYPP,24.5,24.675,24.45,24.56,31756
2020-12-08,BPYPP,24.64,24.69,24.53,24.53,13926
2020-12-09,BPYPP,24.59,24.6958,24.45,24.45,5784
2020-12-10,BPYPP,24.46,24.46,24.29,24.36,4108
2020-12-11,BPYPP,24.4,24.67,24.36,24.36,9648
2020-12-14,BPYPP,24.36,24.5513,24.23,24.3,14166
2020-12-15,BPYPP,24.35,24.4,24.2,24.2,11869
2020-12-16,BPYPP,24.3,24.47,24.1,24.15,13600
2020-12-17,BPYPP,24.23,24.26,24.18,24.23,11184
2020-12-18,BPYPP,24.25,24.25,23.9965,24.16,11308
2020-12-21,BPYPP,24.1,24.1,23.9,23.96,10976
2020-12-22,BPYPP,23.91,23.99,23.46,23.51,11489
2020-12-23,BPYPP,23.6119,23.66,23.3,23.44,25999
2020-12-24,BPYPP,23.56,23.56,23.45,23.51,2498
2020-12-28,BPYPP,23.76,23.9,23.71,23.885,19175
2020-12-29,BPYPP,23.75,24.02,23.53,23.86,16232
2020-12-30,BPYPP,23.73,23.93,23.66,23.66,35058
2020-12-31,BPYPP,23.6558,24.08,23.41,23.41,77958
2021-01-04,BPYPP,24.05,24.71,23.8106,23.99,76783
2021-01-05,BPYPP,23.99,24.58,23.9,24.48,49775
2021-01-06,BPYPP,24.5,25.0,24.34,25.0,119767
2021-01-07,BPYPP,24.97,24.97,24.5,24.59,63393
2021-01-08,BPYPP,24.8,24.8,24.27,24.64,41968
