date,ticker,open,high,low,close,volume
2024-10-11,CBLL,23.26,25.83,23.0,25.0,3571200
2024-10-14,CBLL,25.3,25.88,24.1,25.5,757520
2024-10-15,CBLL,25.36,26.2021,25.0,25.53,335797
2024-10-16,CBLL,25.61,26.88,25.61,26.43,490088
2024-10-17,CBLL,26.84,26.84,25.635,26.5,266871
2024-10-18,CBLL,26.9,27.41,26.2,26.67,421999
2024-10-21,CBLL,26.47,27.71,25.87,27.05,508064
2024-10-22,CBLL,27.05,27.2,26.32,26.35,397532
2024-10-23,CBLL,25.99,26.64,25.99,26.21,82269
2024-10-24,CBLL,26.01,26.9,26.01,26.43,98282
2024-10-25,CBLL,26.57,26.825,26.09,26.28,215010
2024-10-28,CBLL,25.48,26.28,25.023,25.96,145338
2024-10-29,CBLL,26.01,26.64,25.4051,26.2,162449
2024-10-30,CBLL,26.25,26.48,25.605,26.01,188000
2024-10-31,CBLL,26.01,26.84,25.7,26.29,114228
2024-11-01,CBLL,26.84,26.84,26.305,26.42,50076
2024-11-04,CBLL,26.71,26.76,26.06,26.24,68625
2024-11-05,CBLL,26.99,27.32,26.2701,26.96,239717
2024-11-06,CBLL,27.0,28.94,26.49,27.78,158043
2024-11-07,CBLL,28.09,29.53,27.92,28.95,142850
2024-11-08,CBLL,28.95,29.17,28.08,28.27,63857
2024-11-11,CBLL,29.31,29.31,27.5301,28.9,139512
2024-11-12,CBLL,29.0,29.4,28.025,28.85,195781
2024-11-13,CBLL,29.0,29.0,26.69,27.88,204241
2024-11-14,CBLL,28.01,28.74,27.46,27.55,72985
2024-11-15,CBLL,27.94,28.75,26.48,26.53,111374
2024-11-18,CBLL,26.51,27.9082,24.18,25.0,118872
2024-11-19,CBLL,24.5,25.69,24.5,25.57,215541
2024-11-20,CBLL,25.51,25.8,24.835,25.06,302309
2024-11-21,CBLL,24.81,25.79,24.81,25.23,220087
2024-11-22,CBLL,25.51,26.33,25.3,26.31,66875
2024-11-25,CBLL,26.71,29.19,26.71,28.94,143870
2024-11-26,CBLL,28.69,29.33,27.61,27.68,182487
2024-11-27,CBLL,27.69,29.2,27.69,28.84,73819
2024-11-29,CBLL,28.94,29.34,28.74,28.79,67941
2024-12-02,CBLL,28.53,29.2399,27.9,28.02,142181
2024-12-03,CBLL,27.81,29.7025,27.81,29.47,150930
2024-12-04,CBLL,29.5,29.885,28.71,28.94,79320
2024-12-05,CBLL,29.0,29.265,28.06,28.28,99903
2024-12-06,CBLL,28.03,30.43,28.03,30.24,242939
2024-12-09,CBLL,30.89,32.535,29.08,30.04,179632
2024-12-10,CBLL,29.93,31.4,28.97,29.625,96171
2024-12-11,CBLL,29.63,30.245,29.305,29.61,69242
2024-12-12,CBLL,29.98,32.7489,28.92,29.2,94045
2024-12-13,CBLL,28.91,29.96,28.91,29.22,105848
2024-12-16,CBLL,28.88,29.65,27.5,28.6,651590
2024-12-17,CBLL,28.61,29.7,26.82,27.43,340401
2024-12-18,CBLL,27.0,28.43,26.53,26.92,318723
2024-12-19,CBLL,26.53,27.62,25.75,26.73,291003
2024-12-20,CBLL,26.34,28.23,26.0,26.92,2553159
2024-12-23,CBLL,26.57,27.58,26.45,26.72,184831
2024-12-24,CBLL,26.58,27.0475,26.16,26.98,107356
2024-12-26,CBLL,26.6,27.215,26.19,26.48,115626
2024-12-27,CBLL,26.32,26.61,25.8,26.45,126423
2024-12-30,CBLL,26.27,26.27,25.06,25.86,149465
2024-12-31,CBLL,25.88,26.42,25.05,25.88,137983
2025-01-02,CBLL,26.11,26.83,25.7,25.86,90049
2025-01-03,CBLL,25.44,25.88,23.89,24.29,181206
2025-01-06,CBLL,24.05,24.345,22.24,22.55,389488
2025-01-07,CBLL,22.41,23.49,22.185,23.44,246952
2025-01-08,CBLL,23.34,23.58,22.69,23.02,99460
2025-01-10,CBLL,22.71,22.84,20.1,20.93,180978
2025-01-13,CBLL,20.51,20.84,19.805,20.84,385746
2025-01-14,CBLL,21.13,21.13,18.69,19.09,200828
2025-01-15,CBLL,19.62,20.85,19.2,20.03,277394
2025-01-16,CBLL,19.89,20.47,19.52,20.15,115582
2025-01-17,CBLL,20.23,21.07,19.95,21.04,257470
2025-01-21,CBLL,21.18,23.2191,21.13,22.94,178738
2025-01-22,CBLL,23.05,24.425,23.05,23.24,123387
2025-01-23,CBLL,23.31,24.365,22.87,23.07,152994
2025-01-24,CBLL,22.86,23.38,22.65,22.96,356771
2025-01-27,CBLL,22.79,23.1209,22.215,22.62,204691
2025-01-28,CBLL,22.5,23.59,22.3806,23.33,105587
2025-01-29,CBLL,23.32,23.69,22.945,23.25,124542
2025-01-30,CBLL,23.32,24.71,23.32,23.8,85482
2025-01-31,CBLL,23.73,24.0,22.99,23.01,98606
2025-02-03,CBLL,22.36,23.52,22.36,23.17,88157
2025-02-04,CBLL,22.97,23.3926,22.875,22.98,168927
2025-02-05,CBLL,22.9,23.4763,22.48,22.95,135812
2025-02-06,CBLL,22.79,22.8,22.3878,22.61,134552
2025-02-07,CBLL,22.67,22.83,21.21,21.27,151600
2025-02-10,CBLL,21.27,22.0,20.73,21.44,91847
2025-02-11,CBLL,21.22,22.25,21.22,21.84,87935
2025-02-12,CBLL,21.51,22.34,21.39,22.32,111718
2025-02-13,CBLL,22.59,22.59,21.87,21.9,116974
2025-02-14,CBLL,21.99,22.38,21.39,21.44,302166
2025-02-18,CBLL,21.53,22.16,21.53,21.97,94699
2025-02-19,CBLL,21.97,22.235,21.885,22.15,73279
2025-02-20,CBLL,22.03,23.46,21.835,23.11,178561
2025-02-21,CBLL,23.48,25.085,23.29,24.69,320260
2025-02-24,CBLL,24.74,25.488,24.04,25.43,343789
2025-02-25,CBLL,25.52,26.04,24.1239,25.54,436597
2025-02-26,CBLL,25.4,25.98,25.0,25.2,232863
2025-02-27,CBLL,25.09,25.37,23.52,23.76,228099
2025-02-28,CBLL,23.68,24.2,22.93,23.24,375746
2025-03-03,CBLL,23.33,24.64,23.27,24.62,228147
2025-03-04,CBLL,24.51,24.68,23.35,23.76,346845
2025-03-05,CBLL,23.89,24.31,22.88,23.34,227584
2025-03-06,CBLL,23.24,23.24,21.35,22.22,344005
2025-03-07,CBLL,22.23,22.79,21.67,22.69,333538
2025-03-10,CBLL,22.68,22.98,21.81,22.21,257758
2025-03-11,CBLL,22.26,23.23,22.0,23.23,197309
2025-03-12,CBLL,23.25,23.275,21.56,21.56,135432
2025-03-13,CBLL,21.71,21.92,20.88,21.4,141684
2025-03-14,CBLL,21.42,21.75,21.03,21.03,126927
2025-03-17,CBLL,22.09,22.09,20.41,20.47,141980
2025-03-18,CBLL,20.5,20.855,19.985,20.68,148204
2025-03-19,CBLL,20.64,20.94,20.44,20.635,76028
2025-03-20,CBLL,20.46,20.97,20.17,20.27,146066
2025-03-21,CBLL,20.18,20.73,20.01,20.42,140416
2025-03-24,CBLL,20.6,21.16,20.55,21.05,244781
2025-03-25,CBLL,21.24,21.24,20.05,20.16,87241
2025-03-26,CBLL,20.16,20.325,19.51,19.57,113646
2025-03-27,CBLL,19.5,19.89,19.28,19.83,87779
2025-03-28,CBLL,19.77,19.95,19.405,19.46,136057
2025-03-31,CBLL,19.26,19.5,18.8,19.21,157679
2025-04-01,CBLL,19.0,19.12,18.5005,18.77,84510
2025-04-02,CBLL,18.52,19.39,18.52,19.24,115360
2025-04-03,CBLL,18.74,18.955,18.09,18.73,148386
2025-04-04,CBLL,18.98,19.03,17.67,18.44,182944
2025-04-07,CBLL,17.78,18.93,17.24,18.19,113895
2025-04-08,CBLL,18.35,19.33,16.73,16.97,243303
2025-04-09,CBLL,16.78,19.64,16.78,19.23,287097
2025-04-10,CBLL,18.67,18.67,10.01,11.15,1382409
2025-04-11,CBLL,12.98,15.84,12.61,15.0,2300316
2025-04-14,CBLL,15.56,15.87,14.2,14.88,489617
