date,ticker,open,high,low,close,volume
2020-01-02,CDNA,21.8,21.965,21.01,21.15,582909
2020-01-03,CDNA,20.73,20.9726,20.32,20.54,657063
2020-01-06,CDNA,20.24,21.19,19.8,20.91,561279
2020-01-07,CDNA,20.83,21.18,20.15,20.31,433527
2020-01-08,CDNA,20.3,20.58,19.75,19.785,940460
2020-01-09,CDNA,19.83,20.04,19.51,19.64,534144
2020-01-10,CDNA,19.84,20.58,19.79,19.81,1207656
2020-01-13,CDNA,21.0,22.5,20.46,22.45,1396948
2020-01-14,CDNA,22.57,22.893,21.91,22.68,725379
2020-01-15,CDNA,22.68,23.83,22.6,23.06,665768
2020-01-16,CDNA,23.31,23.72,22.6129,23.51,472267
2020-01-17,CDNA,23.72,24.21,23.31,23.61,735339
2020-01-21,CDNA,23.53,23.53,21.94,22.35,832984
2020-01-22,CDNA,22.36,23.18,22.15,22.29,1454825
2020-01-23,CDNA,22.19,22.23,21.3,21.65,438413
2020-01-24,CDNA,21.65,21.79,21.32,21.67,984977
2020-01-27,CDNA,21.31,23.39,21.155,23.05,1129630
2020-01-28,CDNA,23.22,24.02,23.18,23.95,659174
2020-01-29,CDNA,24.0,24.48,23.28,24.405,614323
2020-01-30,CDNA,24.23,24.47,23.66,24.18,457370
2020-01-31,CDNA,24.07,24.42,23.09,24.16,855911
2020-02-03,CDNA,24.47,25.07,23.5,24.35,1013799
2020-02-04,CDNA,24.93,24.98,24.25,24.79,535965
2020-02-05,CDNA,24.92,25.57,24.88,25.15,786625
2020-02-06,CDNA,25.35,25.72,25.0926,25.42,425417
2020-02-07,CDNA,25.34,25.43,24.05,24.13,589187
2020-02-10,CDNA,24.15,24.35,23.92,24.28,996431
2020-02-11,CDNA,24.49,25.1,23.5,24.86,840801
2020-02-12,CDNA,25.13,25.3,24.76,25.07,525544
2020-02-13,CDNA,24.95,25.26,24.7,24.96,469728
2020-02-14,CDNA,24.92,26.74,24.91,26.67,468950
2020-02-18,CDNA,26.6,27.29,26.32,27.15,633302
2020-02-19,CDNA,27.24,28.61,27.15,28.15,754046
2020-02-20,CDNA,28.16,28.94,27.3,28.2,743853
2020-02-21,CDNA,28.28,28.5491,27.65,28.25,631224
2020-02-24,CDNA,27.13,27.29,25.87,26.55,1057298
2020-02-25,CDNA,26.79,27.0909,24.65,25.04,1303765
2020-02-26,CDNA,25.32,25.83,24.34,24.69,561231
2020-02-27,CDNA,23.95,24.353,22.42,22.445,1042053
2020-02-28,CDNA,19.5,23.34,19.1764,23.31,1443523
2020-03-02,CDNA,23.2,23.43,20.81,21.79,1424572
2020-03-03,CDNA,22.08,23.63,21.07,21.42,1425661
2020-03-04,CDNA,21.92,24.69,21.92,24.27,1132454
2020-03-05,CDNA,23.96,24.115,23.0315,23.27,701596
2020-03-06,CDNA,22.59,23.94,22.06,23.43,759691
2020-03-09,CDNA,22.3,24.8499,21.33,22.8,769012
2020-03-10,CDNA,23.46,23.6,21.46,22.0,940459
2020-03-11,CDNA,21.53,21.78,18.89,18.94,1101124
2020-03-12,CDNA,17.4,18.09,15.36,17.005,1500993
2020-03-13,CDNA,18.1,19.99,17.18,19.95,1206795
2020-03-16,CDNA,17.82,18.175,16.15,16.36,1217166
2020-03-17,CDNA,16.79,17.46,13.8601,15.32,1703956
2020-03-18,CDNA,14.65,15.51,13.04,13.94,1031117
