date,ticker,open,high,low,close,volume
2024-08-13,CEP,10.01,10.03,10.0,10.01,3862600
2024-08-14,CEP,10.01,10.03,10.01,10.01,1266536
2024-08-15,CEP,10.02,10.02,9.99,9.99,743108
2024-08-16,CEP,9.99,10.01,9.99,10.0,160791
2024-08-19,CEP,10.01,10.01,9.99,9.99,18963
2024-08-20,CEP,10.0,10.0,10.0,10.0,105543
2024-08-21,CEP,10.03,10.03,10.015,10.02,11621
2024-08-22,CEP,10.03,10.035,10.02,10.0325,8611
2024-08-23,CEP,10.02,10.02,10.02,10.02,110029
2024-08-26,CEP,10.025,10.025,10.0,10.0106,19437
2024-08-27,CEP,10.01,10.01,10.005,10.01,5543
2024-08-28,CEP,10.01,10.01,10.01,10.01,3031
2024-08-29,CEP,10.01,10.01,10.01,10.01,7609
2024-08-30,CEP,10.02,10.02,10.01,10.02,315
2024-09-03,CEP,10.01,10.05,10.0,10.02,161243
2024-09-05,CEP,10.0,10.01,10.0,10.01,50204
2024-09-06,CEP,10.0,10.0103,9.99,10.01,266903
2024-09-09,CEP,10.01,10.01,10.01,10.01,2315
2024-09-10,CEP,10.0,10.0,10.0,10.0,147
2024-09-11,CEP,10.0,10.01,10.0,10.005,208461
2024-09-12,CEP,10.0,10.0,10.0,10.0,10035
2024-09-13,CEP,10.01,10.01,10.01,10.01,5007
2024-09-16,CEP,10.0,10.01,10.0,10.01,55408
2024-09-18,CEP,10.01,10.0143,10.0,10.0001,98457
2024-09-19,CEP,10.0,10.02,10.0,10.02,183012
2024-09-20,CEP,10.01,10.02,10.01,10.02,8134
2024-09-24,CEP,10.05,10.05,10.05,10.05,4127
2024-09-25,CEP,10.0146,10.04,10.01,10.03,24814
2024-09-26,CEP,10.03,10.03,10.03,10.03,1734
2024-09-30,CEP,10.03,10.03,10.03,10.03,868
2024-10-03,CEP,10.04,10.04,10.03,10.04,83305
2024-10-04,CEP,10.03,10.07,10.02,10.05,11014
2024-10-07,CEP,10.05,10.05,10.05,10.05,3190
2024-10-08,CEP,10.05,10.05,10.05,10.05,3590
2024-10-09,CEP,10.04,10.04,10.03,10.03,11029
2024-10-11,CEP,10.03,10.03,10.03,10.03,2199
2024-10-14,CEP,10.0315,10.0315,10.0315,10.0315,633
2024-10-15,CEP,10.04,10.04,10.04,10.04,25900
2024-10-16,CEP,10.04,10.05,10.04,10.05,3919
2024-10-17,CEP,10.055,10.055,10.03,10.03,23060
2024-10-18,CEP,10.04,10.04,10.04,10.04,25270
2024-10-21,CEP,10.05,10.07,10.05,10.07,998
2024-10-22,CEP,10.06,10.06,10.06,10.06,157
2024-10-23,CEP,10.05,10.05,10.05,10.05,12269
2024-10-24,CEP,10.05,10.05,10.05,10.05,101
2024-10-25,CEP,10.08,10.1,10.05,10.1,1433
2024-10-28,CEP,10.06,10.06,10.06,10.06,293
2024-10-29,CEP,10.06,10.06,10.06,10.06,152
2024-10-30,CEP,10.06,10.07,10.06,10.07,5049
2024-11-01,CEP,10.06,10.06,10.06,10.06,4376
2024-11-04,CEP,10.06,10.07,10.06,10.07,250190
2024-11-06,CEP,10.07,10.07,10.07,10.07,336
2024-11-07,CEP,10.09,10.09,10.0788,10.0788,376
2024-11-08,CEP,10.08,10.12,10.08,10.11,58688
2024-11-11,CEP,10.13,10.135,10.1198,10.13,126876
2024-11-12,CEP,10.125,10.17,10.125,10.15,177559
2024-11-13,CEP,10.1698,10.18,10.15,10.17,3699
2024-11-14,CEP,10.18,10.28,10.1711,10.25,956547
2024-11-15,CEP,10.27,10.27,10.24,10.25,6686
2024-11-18,CEP,10.28,10.28,10.27,10.27,1917
2024-11-19,CEP,10.28,10.35,10.23,10.26,66385
2024-11-20,CEP,10.34,10.34,10.24,10.3,461958
2024-11-21,CEP,10.25,10.305,10.25,10.265,5831
2024-11-22,CEP,10.27,10.27,10.25,10.25,5904
2024-11-25,CEP,10.25,10.25,10.2,10.25,33648
2024-11-26,CEP,10.25,10.3,10.25,10.26,3655
2024-11-27,CEP,10.265,10.3,10.21,10.21,11365
2024-11-29,CEP,10.2,10.21,10.2,10.21,1129
2024-12-02,CEP,10.2,10.31,10.2,10.31,480
2024-12-03,CEP,10.31,10.31,10.25,10.25,3593
2024-12-04,CEP,10.25,10.32,10.2219,10.25,35793
2024-12-05,CEP,10.32,10.32,10.2231,10.29,119085
2024-12-06,CEP,10.2662,10.34,10.2662,10.27,4113
2024-12-09,CEP,10.33,10.35,10.25,10.25,2506
2024-12-10,CEP,10.25,10.265,10.25,10.25,6568
2024-12-11,CEP,10.25,10.35,10.25,10.2508,3425
2024-12-12,CEP,10.35,10.5,10.33,10.5,59601
