date,ticker,open,high,low,close,volume
2020-01-02,CTBI,41.4779,41.4779,40.849,41.2305,36026
2020-01-03,CTBI,40.9208,41.0897,40.5754,41.0004,29696
2020-01-06,CTBI,40.6384,40.849,40.2046,40.8053,32719
2020-01-07,CTBI,40.5491,40.5491,40.1959,40.2745,21519
2020-01-08,CTBI,40.2396,40.8947,40.222,40.8335,37765
2020-01-09,CTBI,40.8335,40.9839,40.6112,40.7442,28324
2020-01-10,CTBI,40.6112,40.7491,40.3706,40.5413,42103
2020-01-13,CTBI,40.6462,40.9374,40.4085,40.8947,24736
2020-01-14,CTBI,40.7277,40.8577,40.4269,40.5142,42027
2020-01-15,CTBI,40.4609,40.5316,40.0484,40.159,29589
2020-01-16,CTBI,40.39,40.8897,40.3706,40.7976,46441
2020-01-17,CTBI,41.0539,41.0539,40.5142,40.5754,30817
2020-01-21,CTBI,40.5491,40.5491,39.6621,39.859,38358
2020-01-22,CTBI,39.8678,40.3017,39.6747,40.2396,38218
2020-01-23,CTBI,39.9387,40.292,39.4962,40.1086,53436
2020-01-24,CTBI,40.39,40.4423,39.6989,39.8775,42713
2020-01-27,CTBI,39.433,40.126,39.4079,39.797,46571
2020-01-28,CTBI,39.895,40.1183,39.4079,39.5059,32092
2020-01-29,CTBI,39.4166,39.531,38.9565,38.9565,49568
2020-01-30,CTBI,38.7809,39.5942,38.7721,39.5854,33741
2020-01-31,CTBI,39.4,39.4428,38.6644,38.7159,36723
2020-02-03,CTBI,38.6741,39.3486,38.6741,39.2651,39032
2020-02-04,CTBI,39.7795,39.8232,38.8856,38.912,67629
2020-02-05,CTBI,39.2564,39.9561,39.0167,39.797,37435
2020-02-06,CTBI,40.0008,40.0008,39.3631,39.4166,26908
2020-02-07,CTBI,39.1787,39.336,38.8265,38.9662,49241
2020-02-10,CTBI,38.9662,39.0051,38.7955,38.9294,26411
2020-02-11,CTBI,39.1138,39.4515,39.1138,39.1787,24404
2020-02-12,CTBI,39.4233,39.4233,38.9391,39.0817,17818
2020-02-13,CTBI,39.0002,39.4515,38.841,39.3534,33081
2020-02-14,CTBI,39.4166,39.4166,38.6372,38.8856,24818
2020-02-18,CTBI,38.7886,39.465,38.2733,38.4771,25399
2020-02-19,CTBI,38.6372,38.7323,38.2218,38.2577,12443
2020-02-20,CTBI,38.2927,38.545,38.0801,38.4168,16978
2020-02-21,CTBI,38.4257,38.4353,37.951,38.2403,19880
2020-02-24,CTBI,37.327,37.7365,37.3008,37.3008,28089
2020-02-25,CTBI,37.1786,37.4105,36.2837,36.4516,34034
2020-02-26,CTBI,36.505,36.9281,35.8053,35.9819,33757
2020-02-27,CTBI,35.4617,36.309,34.3718,34.4426,38541
2020-02-28,CTBI,32.9665,34.5717,32.9665,34.2301,107356
2020-03-02,CTBI,34.2301,35.5403,34.1593,35.4617,86108
2020-03-03,CTBI,35.1512,36.2721,33.8943,34.168,32741
2020-03-04,CTBI,34.3456,35.4132,33.7885,34.7532,37140
2020-03-05,CTBI,34.0544,34.8503,32.8151,33.5323,56615
2020-03-06,CTBI,32.9568,33.2673,31.765,32.5405,45636
2020-03-09,CTBI,30.6907,30.908,28.4517,28.7185,74844
2020-03-10,CTBI,29.656,31.7698,29.2223,31.3117,99165
2020-03-11,CTBI,30.9827,32.1512,29.2649,29.8677,97676
2020-03-12,CTBI,28.408,29.8657,25.9196,26.3145,103694
2020-03-13,CTBI,27.8994,30.2616,27.7645,30.2616,94605
2020-03-16,CTBI,29.8764,31.2361,26.9949,27.1551,72089
2020-03-17,CTBI,27.55,30.3791,26.8687,30.3228,84956
2020-03-18,CTBI,28.9282,28.9282,26.4039,27.4947,79668
2020-03-19,CTBI,27.2541,30.9556,26.566,29.4824,74523
2020-03-20,CTBI,29.3038,29.3038,26.5097,26.6184,131355
2020-03-23,CTBI,27.1113,27.1113,24.7793,26.1272,74299
2020-03-24,CTBI,26.9949,28.5488,26.0438,27.782,67715
2020-03-25,CTBI,27.6025,28.7787,26.596,27.4326,66361
2020-03-26,CTBI,27.9975,29.101,27.7917,28.8467,71840
2020-03-27,CTBI,27.6491,28.5428,27.3442,27.3442,57498
2020-03-30,CTBI,27.8635,28.8117,27.6025,28.5962,51786
2020-03-31,CTBI,28.177,28.605,26.9318,28.4536,103681
2020-04-01,CTBI,27.8538,27.8538,26.9678,27.388,74932
2020-04-02,CTBI,27.1464,28.4264,27.0745,28.1314,58674
2020-04-03,CTBI,28.1498,28.3186,26.8532,27.6025,74249
2020-04-06,CTBI,28.4818,29.0806,27.1579,28.9912,71782
2020-04-07,CTBI,29.8939,31.2613,28.0509,28.8922,68310
2020-04-08,CTBI,29.3125,29.9395,28.8748,29.6182,56161
2020-04-09,CTBI,30.154,31.3254,29.0621,31.1197,72125
2020-04-13,CTBI,30.6829,32.2755,29.4824,30.1898,51122
2020-04-14,CTBI,30.9062,30.9062,28.8117,29.5192,48781
2020-04-15,CTBI,28.2197,28.705,26.9328,27.7015,46292
2020-04-16,CTBI,27.9256,27.9799,26.3145,27.0318,73653
2020-04-17,CTBI,27.8713,29.8045,27.8713,29.2416,70189
2020-04-20,CTBI,28.177,28.9466,27.451,28.1401,49098
2020-04-21,CTBI,27.1638,28.1557,27.1638,27.7645,38381
2020-04-22,CTBI,28.177,28.5962,27.3793,27.5948,37167
2020-04-23,CTBI,27.3355,28.373,27.0318,27.5948,60308
2020-04-24,CTBI,27.7015,28.0556,27.3442,27.9344,28263
2020-04-27,CTBI,28.0227,30.4305,27.7732,29.9579,46024
2020-04-28,CTBI,30.8158,31.1244,30.216,30.3888,57950
2020-04-29,CTBI,31.533,32.6607,29.196,31.9523,75407
2020-04-30,CTBI,31.1197,31.3234,30.2432,30.3413,44994
2020-05-01,CTBI,29.5813,30.2519,29.0184,29.6435,53821
2020-05-04,CTBI,29.2047,29.4299,28.6409,29.2582,38039
2020-05-05,CTBI,29.921,29.9298,27.5228,27.8441,77312
2020-05-06,CTBI,27.9421,28.0509,27.1725,27.2541,64442
2020-05-07,CTBI,27.8635,28.0693,27.0221,27.2541,67331
2020-05-08,CTBI,27.7917,28.6506,27.7917,28.6506,49766
2020-05-11,CTBI,28.211,28.211,27.3161,27.5684,78205
2020-05-12,CTBI,27.6296,27.9111,25.8759,25.9662,97041
2020-05-13,CTBI,25.9575,25.9575,24.6307,25.1966,66647
2020-05-14,CTBI,24.8831,25.2849,23.6728,25.2489,65959
2020-05-15,CTBI,24.8734,25.8982,24.8103,25.7943,64691
2020-05-18,CTBI,26.8067,27.9034,26.8067,27.8354,73421
2020-05-19,CTBI,27.6839,27.881,26.7349,26.7882,60740
2020-05-20,CTBI,27.4249,28.3575,27.191,28.1032,41915
2020-05-21,CTBI,27.8267,28.3274,27.5684,27.8092,33818
2020-05-22,CTBI,27.9159,28.1673,27.5684,28.0062,38377
2020-05-26,CTBI,29.0263,29.6988,28.605,29.3659,41504
2020-05-27,CTBI,30.2248,31.8999,30.0908,31.7553,53763
2020-05-28,CTBI,32.1309,32.1309,30.1637,30.2248,44252
2020-05-29,CTBI,29.6338,29.9743,29.0086,29.394,46848
2020-06-01,CTBI,29.5008,29.8414,29.1776,29.2241,89801
2020-06-02,CTBI,29.3125,29.9123,28.8195,29.0893,53363
