date,ticker,open,high,low,close,volume
2020-01-02,CVLT,44.87,45.2867,44.732,45.2,266596
2020-01-03,CVLT,44.67,45.245,44.665,45.18,259651
2020-01-06,CVLT,44.77,46.19,44.71,46.02,347118
2020-01-07,CVLT,45.93,46.085,45.475,45.93,259168
2020-01-08,CVLT,45.9,46.06,44.58,45.21,682612
2020-01-09,CVLT,45.37,45.6,44.715,45.6,700103
2020-01-10,CVLT,45.69,46.35,45.34,45.39,284715
2020-01-13,CVLT,45.38,45.66,45.01,45.19,327349
2020-01-14,CVLT,44.86,45.22,44.74,44.84,359115
2020-01-15,CVLT,44.85,45.77,44.85,45.71,641657
2020-01-16,CVLT,45.76,47.01,45.76,46.89,420870
2020-01-17,CVLT,47.26,47.5,45.37,45.56,378905
2020-01-21,CVLT,45.67,46.21,45.1,45.54,329306
2020-01-22,CVLT,45.53,45.85,45.48,45.62,308163
2020-01-23,CVLT,45.48,46.29,45.12,46.22,356067
2020-01-24,CVLT,46.55,46.99,45.37,45.58,294165
2020-01-27,CVLT,44.82,45.0,44.29,44.665,304811
2020-01-28,CVLT,44.76,45.13,44.3,44.56,392940
2020-01-29,CVLT,51.8,51.9,45.32,45.53,1919236
2020-01-30,CVLT,44.4,45.69,42.96,44.64,978278
2020-01-31,CVLT,44.4,45.42,43.715,45.02,1030915
2020-02-03,CVLT,45.08,47.63,44.87,47.34,840345
2020-02-04,CVLT,47.69,48.45,47.28,47.875,683170
2020-02-05,CVLT,47.12,49.26,47.12,49.16,693845
2020-02-06,CVLT,49.16,50.68,49.12,49.63,641657
2020-02-07,CVLT,49.53,49.8,49.135,49.51,637563
2020-02-10,CVLT,48.99,50.44,48.78,50.04,567632
2020-02-11,CVLT,50.39,50.67,49.895,50.5,635181
2020-02-12,CVLT,50.89,51.69,49.92,51.55,446336
2020-02-13,CVLT,51.0,51.53,50.3298,50.98,430751
2020-02-14,CVLT,51.08,51.63,50.58,51.48,485713
2020-02-18,CVLT,50.98,51.6025,50.5,51.27,455439
2020-02-19,CVLT,51.24,51.6,50.815,50.85,483825
2020-02-20,CVLT,50.83,51.33,49.91,50.72,300073
2020-02-21,CVLT,50.54,50.54,48.93,48.98,420890
2020-02-24,CVLT,47.2,48.27,47.12,47.99,457317
2020-02-25,CVLT,48.2,48.48,45.1162,45.34,474671
2020-02-26,CVLT,45.24,46.32,44.37,44.43,358090
2020-02-27,CVLT,43.86,43.93,41.62,41.69,679868
2020-02-28,CVLT,40.4,41.8528,39.75,41.7,938915
2020-03-02,CVLT,41.96,42.49,39.83,41.64,1081121
2020-03-03,CVLT,41.57,42.315,40.73,41.66,601741
2020-03-04,CVLT,42.28,42.64,40.64,42.29,483441
2020-03-05,CVLT,41.12,41.56,39.49,40.46,706502
2020-03-06,CVLT,38.92,41.41,38.7,41.17,714603
2020-03-09,CVLT,37.84,39.87,37.325,38.31,1212906
2020-03-10,CVLT,39.5,39.76,35.57,37.48,959967
2020-03-11,CVLT,36.59,36.94,33.7,35.75,1317777
2020-03-12,CVLT,33.66,34.62,31.0301,31.81,1242102
2020-03-13,CVLT,33.3,35.14,31.39,35.1,1740976
2020-03-16,CVLT,32.31,33.86,30.78,32.18,1045963
