date,ticker,open,high,low,close,volume
2020-01-02,CZR,60.26,60.33,59.17,59.51,1081793
2020-01-03,CZR,58.76,59.075,57.345,58.01,2282715
2020-01-06,CZR,57.41,58.92,57.0,58.8,1619573
2020-01-07,CZR,58.8,59.455,57.98,59.33,1957552
2020-01-08,CZR,59.53,59.86,58.45,59.53,1275223
2020-01-09,CZR,59.96,60.26,59.22,59.29,1465356
2020-01-10,CZR,59.41,59.426,58.201,58.45,1426218
2020-01-13,CZR,58.66,59.59,57.9649,59.34,950771
2020-01-14,CZR,59.25,59.68,58.68,58.97,1358109
2020-01-15,CZR,58.97,59.91,58.59,58.82,1140514
2020-01-16,CZR,59.3,60.77,59.215,60.55,1672785
2020-01-17,CZR,61.0,61.55,60.49,61.34,2145251
2020-01-21,CZR,61.0,61.11,59.421,59.5,1956309
2020-01-22,CZR,59.97,60.65,59.74,60.28,1359801
2020-01-23,CZR,59.71,61.01,58.83,60.64,1072284
2020-01-24,CZR,60.93,60.93,58.13,59.2,1744594
2020-01-27,CZR,57.14,59.07,56.97,57.95,1300762
2020-01-28,CZR,58.48,59.96,57.835,59.12,1004346
2020-01-29,CZR,59.42,61.26,59.3738,60.77,1485541
2020-01-30,CZR,59.9,61.55,59.61,60.85,853585
2020-01-31,CZR,60.64,61.01,59.24,59.78,1381177
2020-02-03,CZR,60.29,61.19,59.92,60.9,850816
2020-02-04,CZR,62.28,63.02,61.53,62.7,1308567
2020-02-05,CZR,63.64,64.05,62.63,63.54,1051568
2020-02-06,CZR,63.97,64.32,63.285,63.61,1117823
2020-02-07,CZR,63.03,63.17,61.95,62.3,1457673
2020-02-10,CZR,61.93,64.45,61.5,64.16,1697150
2020-02-11,CZR,64.75,65.83,64.42,65.5,1246672
2020-02-12,CZR,66.29,67.02,66.08,66.41,1361942
2020-02-13,CZR,65.89,68.07,65.51,68.01,1179791
2020-02-14,CZR,68.1,69.15,67.26,68.93,727208
2020-02-18,CZR,68.7,69.57,68.37,68.82,710692
2020-02-19,CZR,69.41,70.11,69.22,69.45,1159027
2020-02-20,CZR,69.08,70.74,67.93,69.47,1229089
2020-02-21,CZR,69.46,69.46,67.28,68.12,1863562
2020-02-24,CZR,65.52,66.25,62.96,62.99,2348757
2020-02-25,CZR,63.43,64.39,55.54,55.62,4219459
2020-02-26,CZR,55.98,57.52,49.05,51.4,6324463
2020-02-27,CZR,51.77,54.06,47.36,49.88,6133489
2020-02-28,CZR,47.88,50.64,46.7,50.18,5135591
2020-03-02,CZR,50.15,50.2,42.26,45.43,7779395
2020-03-03,CZR,45.69,48.59,41.59,41.65,4283942
2020-03-04,CZR,42.66,43.17,40.04,41.12,6892786
2020-03-05,CZR,39.78,40.2,34.27,34.74,7631760
2020-03-06,CZR,33.17,36.47,31.81,33.65,7146097
2020-03-09,CZR,28.99,30.8,25.39,26.44,7605476
2020-03-10,CZR,28.12,29.83,25.34,29.05,6130061
2020-03-11,CZR,27.57,27.89,22.91,24.77,8156688
2020-03-12,CZR,21.755,21.755,14.66,15.48,10808877
2020-03-13,CZR,18.82,19.8,15.01,18.22,7935471
2020-03-16,CZR,14.38,15.93,13.71,13.78,7254102
2020-03-17,CZR,14.8,15.64,9.755,10.09,12166055
2020-03-18,CZR,8.67,8.67,6.02,7.1,10974917
2020-03-19,CZR,7.16,9.96,6.62,7.77,9774464
2020-03-20,CZR,8.51,12.0,8.5,8.82,12707901
2020-03-23,CZR,9.34,10.56,8.51,10.44,7982760
2020-03-24,CZR,13.88,15.67,12.49,15.05,9505026
2020-03-25,CZR,18.0,20.27,15.56,16.69,10151311
2020-03-26,CZR,17.0,19.86,16.05,16.79,7003836
2020-03-27,CZR,16.0,16.58,14.27,15.14,4233445
2020-03-30,CZR,13.6,13.69,10.01,12.05,12045364
2020-03-31,CZR,12.71,15.24,12.03,14.4,11941581
2020-04-01,CZR,13.68,13.775,11.36,11.69,6823755
2020-04-02,CZR,11.54,12.23,10.31,10.67,6523021
2020-04-03,CZR,10.91,11.11,9.57,10.16,6825468
2020-04-06,CZR,11.42,14.5,11.36,14.03,11321291
2020-04-07,CZR,17.39,18.3,14.6,15.11,10800322
2020-04-08,CZR,16.2,18.35,15.61,18.15,10231537
2020-04-09,CZR,19.6,20.6,16.71,18.11,10122796
2020-04-13,CZR,18.25,18.4,15.65,17.09,5850980
2020-04-14,CZR,18.41,18.86,17.2,17.495,4292448
2020-04-15,CZR,16.31,17.0593,15.26,15.99,5396189
2020-04-16,CZR,16.3,16.3,14.62,15.26,5239781
2020-04-17,CZR,16.8,17.4199,16.2,16.7,7153946
2020-04-20,CZR,15.99,17.291,15.6,16.07,5438784
2020-04-21,CZR,15.51,16.18,14.87,15.27,4623068
2020-04-22,CZR,15.76,15.9,14.83,15.01,4038602
2020-04-23,CZR,15.29,16.3,15.29,15.58,5645559
2020-04-24,CZR,16.5,18.31,15.9,17.82,15634214
