date,ticker,open,high,low,close,volume
2020-01-02,DAKT,6.0813,6.1011,5.9129,6.012,143303
2020-01-03,DAKT,5.9327,6.0417,5.9327,5.9724,135492
2020-01-06,DAKT,5.9426,6.2101,5.903,6.1209,263335
2020-01-07,DAKT,6.0912,6.1011,5.9922,6.0516,131653
2020-01-08,DAKT,6.0417,6.1209,5.9724,5.9872,135089
2020-01-09,DAKT,5.9823,6.012,5.9129,5.9426,110125
2020-01-10,DAKT,5.9327,6.0021,5.9129,5.9922,107855
2020-01-13,DAKT,5.9823,6.0219,5.9327,5.9922,87842
2020-01-14,DAKT,5.9525,6.0417,5.9426,5.9724,104232
2020-01-15,DAKT,5.9724,6.0615,5.9327,6.0516,126867
2020-01-16,DAKT,6.1011,6.1803,6.0813,6.1209,101962
2020-01-17,DAKT,6.1704,6.1704,6.0516,6.1308,93986
2020-01-21,DAKT,6.1209,6.1209,6.0516,6.0813,111368
2020-01-22,DAKT,6.0912,6.0912,5.9524,5.9525,148781
2020-01-23,DAKT,5.9426,6.2101,5.9228,6.1803,201393
2020-01-24,DAKT,6.1803,6.1902,6.0021,6.0417,131971
2020-01-27,DAKT,5.9624,6.0021,5.9129,5.9129,106493
2020-01-28,DAKT,5.9327,6.012,5.8931,5.9724,99868
2020-01-29,DAKT,5.9624,6.017,5.8634,5.8733,122245
2020-01-30,DAKT,5.8337,5.9327,5.799,5.9129,127367
2020-01-31,DAKT,5.8931,5.9426,5.8139,5.8436,162387
2020-02-03,DAKT,5.8535,5.9624,5.7743,5.8238,172604
2020-02-04,DAKT,5.8931,5.9181,5.7842,5.804,90637
2020-02-05,DAKT,5.8535,5.903,5.8139,5.8931,117483
2020-02-06,DAKT,5.903,5.9327,5.8733,5.8832,108159
2020-02-07,DAKT,5.8634,5.903,5.7842,5.8832,215848
2020-02-10,DAKT,5.8733,5.9624,5.8634,5.9228,114591
2020-02-11,DAKT,5.9228,6.0516,5.903,6.0318,119030
2020-02-12,DAKT,6.0516,6.1605,6.0516,6.1209,124936
2020-02-13,DAKT,6.1011,6.2002,6.0318,6.1902,93639
2020-02-14,DAKT,6.1605,6.2893,6.111,6.1803,124185
2020-02-18,DAKT,6.1506,6.22,6.1209,6.1902,107966
2020-02-19,DAKT,6.1803,6.2398,6.0714,6.111,120863
2020-02-20,DAKT,6.0912,6.1605,5.9426,5.9426,116488
2020-02-21,DAKT,5.9624,6.012,5.8733,5.8931,222925
2020-02-24,DAKT,5.7941,5.8724,5.7644,5.8337,142031
2020-02-25,DAKT,5.8238,5.8436,5.4969,5.5366,171164
2020-02-26,DAKT,5.487,5.487,4.8631,5.1899,646240
2020-02-27,DAKT,5.1305,5.2097,4.9175,4.9621,297438
2020-02-28,DAKT,4.9126,5.0017,4.7739,4.873,334300
2020-03-02,DAKT,4.873,5.3088,4.873,5.1998,234141
2020-03-03,DAKT,5.3286,5.4375,5.0711,5.1453,292882
2020-03-04,DAKT,5.2493,5.4474,5.1305,5.4276,249317
2020-03-05,DAKT,5.3088,5.388,5.081,5.18,236312
2020-03-06,DAKT,5.03,5.17,4.98,5.13,147676
2020-03-09,DAKT,4.93,5.12,4.87,4.92,220915
2020-03-10,DAKT,5.06,5.09,4.69,4.91,171280
2020-03-11,DAKT,4.76,4.79,4.58,4.71,235049
2020-03-12,DAKT,4.47,4.75,4.33,4.34,323561
2020-03-13,DAKT,4.54,4.69,4.29,4.62,343570
2020-03-16,DAKT,4.37,4.75,4.2834,4.55,280847
2020-03-17,DAKT,4.57,5.29,4.53,5.26,354438
2020-03-18,DAKT,5.15,5.29,4.43,4.58,255015
2020-03-19,DAKT,4.66,4.88,4.35,4.45,338695
2020-03-20,DAKT,4.47,4.67,4.33,4.57,365739
2020-03-23,DAKT,4.63,4.82,4.46,4.67,370525
2020-03-24,DAKT,4.94,4.98,4.47,4.66,678853
2020-03-25,DAKT,4.63,4.69,4.3,4.35,245990
2020-03-26,DAKT,4.4,4.69,4.4,4.62,238235
2020-03-27,DAKT,4.55,4.6,4.34,4.37,574333
2020-03-30,DAKT,4.42,4.7,4.325,4.69,179301
2020-03-31,DAKT,4.7,4.93,4.62,4.93,202609
2020-04-01,DAKT,4.8,4.85,4.39,4.42,682049
2020-04-02,DAKT,4.38,4.55,4.315,4.38,271396
2020-04-03,DAKT,4.31,4.32,4.1,4.2,308725
2020-04-06,DAKT,4.21,4.54,4.2,4.45,221974
2020-04-07,DAKT,4.55,4.6,4.09,4.16,720655
2020-04-08,DAKT,4.24,4.72,4.1743,4.72,280214
