date,ticker,open,high,low,close,volume
2020-01-02,DNLI,17.56,17.56,16.12,16.39,258720
2020-01-03,DNLI,16.15,16.35,16.02,16.15,249309
2020-01-06,DNLI,16.12,17.355,16.03,17.29,323843
2020-01-07,DNLI,17.23,18.88,17.23,18.8,561171
2020-01-08,DNLI,18.8,19.47,18.72,19.26,438406
2020-01-09,DNLI,19.4,19.61,19.01,19.13,258641
2020-01-10,DNLI,19.29,19.39,18.62,18.69,400466
2020-01-13,DNLI,18.79,19.0,17.5,17.58,250993
2020-01-14,DNLI,20.9,22.92,18.7,22.74,2581423
2020-01-15,DNLI,22.55,23.21,20.32,20.585,1131848
2020-01-16,DNLI,20.93,22.17,20.52,22.11,781754
2020-01-17,DNLI,22.13,22.72,21.9,22.36,680425
2020-01-21,DNLI,22.12,22.32,21.0708,22.01,492026
2020-01-22,DNLI,22.18,23.62,21.81,23.4,667202
2020-01-23,DNLI,23.4,25.29,23.14,24.9,1484397
2020-01-24,DNLI,25.0,25.43,24.22,24.65,937819
2020-01-27,DNLI,25.0,30.41,24.84,27.98,2703335
2020-01-28,DNLI,27.82,28.15,24.75,24.84,1298851
2020-01-29,DNLI,24.8,26.94,24.66,24.98,3516850
2020-01-30,DNLI,24.67,25.2624,21.8817,23.28,1453253
2020-01-31,DNLI,23.51,23.92,22.5341,23.16,574293
2020-02-03,DNLI,23.48,23.48,21.91,22.73,744222
2020-02-04,DNLI,23.02,23.33,22.4,22.71,406632
2020-02-05,DNLI,22.79,23.99,22.5,23.67,549105
2020-02-06,DNLI,23.77,26.25,23.6,25.45,550463
2020-02-07,DNLI,25.33,26.0,24.58,25.1,628564
2020-02-10,DNLI,25.12,26.2,24.59,24.81,381258
2020-02-11,DNLI,24.87,24.9,23.78,24.59,376128
2020-02-12,DNLI,24.73,25.49,24.6,25.42,269120
2020-02-13,DNLI,25.04,25.83,24.9,25.53,216967
2020-02-14,DNLI,25.41,26.35,24.8,25.42,285366
2020-02-18,DNLI,25.07,26.57,25.07,26.21,427660
2020-02-19,DNLI,26.12,26.55,25.62,26.2,348332
2020-02-20,DNLI,26.07,26.1,24.04,24.77,501706
2020-02-21,DNLI,24.78,25.64,24.27,24.45,346952
2020-02-24,DNLI,23.75,24.08,22.57,22.69,827072
2020-02-25,DNLI,23.17,23.3499,21.77,22.08,539081
2020-02-26,DNLI,21.89,22.43,21.39,21.63,941188
2020-02-27,DNLI,21.17,21.4,19.01,19.02,1105240
2020-02-28,DNLI,20.31,20.41,18.835,19.77,1420638
2020-03-02,DNLI,20.11,20.43,19.38,19.88,1002133
2020-03-03,DNLI,19.75,20.59,19.36,19.46,840055
2020-03-04,DNLI,19.9,20.59,19.57,20.05,753335
2020-03-05,DNLI,19.64,19.86,18.8,19.45,489374
2020-03-06,DNLI,18.9,19.57,17.91,18.18,404248
2020-03-09,DNLI,17.54,17.94,16.86,17.35,728076
2020-03-10,DNLI,17.95,18.02,16.52,17.99,574428
2020-03-11,DNLI,17.39,17.74,16.6,16.88,664642
2020-03-12,DNLI,15.57,15.67,12.39,15.01,944101
2020-03-13,DNLI,16.1,16.49,13.94,16.22,794168
2020-03-16,DNLI,13.98,15.28,13.2,14.2,1341978
2020-03-17,DNLI,14.44,16.82,13.63,16.54,887117
2020-03-18,DNLI,15.38,17.106,15.1,16.44,700230
2020-03-19,DNLI,16.39,18.15,15.5,17.82,651393
2020-03-20,DNLI,18.22,18.95,16.24,17.04,1192514
2020-03-23,DNLI,17.14,17.86,15.755,16.75,676511
2020-03-24,DNLI,17.5,18.2,16.72,18.1,482150
2020-03-25,DNLI,18.21,18.78,17.76,18.04,449779
2020-03-26,DNLI,18.15,19.47,18.13,19.29,537908
2020-03-27,DNLI,18.26,19.28,18.13,18.92,552871
2020-03-30,DNLI,19.08,19.79,18.7301,19.7,636361
2020-03-31,DNLI,19.63,19.65,17.17,17.51,474964
2020-04-01,DNLI,16.95,17.58,16.0,16.01,387713
2020-04-02,DNLI,15.83,17.48,15.72,17.44,393316
2020-04-03,DNLI,17.54,17.69,16.54,17.2,284954
2020-04-06,DNLI,18.03,18.89,17.68,18.74,509382
2020-04-07,DNLI,19.32,19.43,17.515,17.67,386273
2020-04-08,DNLI,17.91,18.83,17.74,18.67,305242
2020-04-09,DNLI,18.93,19.85,18.85,19.56,332902
2020-04-13,DNLI,19.49,19.82,18.8,19.13,197560
2020-04-14,DNLI,19.65,20.59,19.55,20.46,502070
2020-04-15,DNLI,19.8,20.73,19.64,20.01,441149
2020-04-16,DNLI,19.93,20.17,18.45,19.35,369823
2020-04-17,DNLI,19.51,20.84,19.47,20.5,512535
2020-04-20,DNLI,20.1,21.17,19.8,20.51,388862
2020-04-21,DNLI,19.78,21.59,19.33,21.24,362538
2020-04-22,DNLI,21.83,21.92,20.43,20.93,258741
2020-04-23,DNLI,21.03,22.39,20.8,21.68,263358
2020-04-24,DNLI,21.78,22.92,21.42,22.77,309759
2020-04-27,DNLI,23.11,23.92,22.75,23.66,307644
2020-04-28,DNLI,23.9,24.05,23.16,23.17,277325
2020-04-29,DNLI,23.81,23.91,22.35,23.23,431186
2020-04-30,DNLI,22.99,23.27,21.84,21.86,389830
2020-05-01,DNLI,21.47,22.0,20.08,21.8,578008
2020-05-04,DNLI,21.56,23.23,21.55,23.21,371099
2020-05-05,DNLI,23.6,24.45,23.5,24.39,358969
2020-05-06,DNLI,24.45,25.61,24.19,25.27,372822
2020-05-07,DNLI,25.82,25.8762,23.72,23.86,499229
2020-05-08,DNLI,24.15,24.96,23.76,23.89,339745
2020-05-11,DNLI,23.48,25.25,23.23,24.97,406804
2020-05-12,DNLI,25.18,25.4689,23.84,23.84,380778
2020-05-13,DNLI,23.78,24.94,22.81,23.62,599871
2020-05-14,DNLI,23.31,23.8099,22.56,23.07,447343
2020-05-15,DNLI,22.94,23.0,21.41,22.65,439231
2020-05-18,DNLI,23.3,24.33,23.11,23.65,509157
2020-05-19,DNLI,23.52,23.985,23.06,23.07,259656
2020-05-20,DNLI,23.54,24.425,23.05,24.41,340960
2020-05-21,DNLI,24.34,24.77,23.56,24.49,285379
2020-05-22,DNLI,24.39,25.495,24.04,25.45,356600
2020-05-26,DNLI,26.07,26.97,25.83,25.91,453854
2020-05-27,DNLI,26.38,27.46,25.509,27.38,515333
2020-05-28,DNLI,27.49,28.4,27.38,27.42,485504
2020-05-29,DNLI,27.59,27.93,26.61,27.83,549088
2020-06-01,DNLI,27.11,28.37,27.11,28.1,397613
2020-06-02,DNLI,28.11,28.43,27.615,28.41,435470
2020-06-03,DNLI,28.51,29.39,28.34,28.82,472702
2020-06-04,DNLI,28.12,28.62,26.86,27.0,541652
2020-06-05,DNLI,27.56,27.86,25.84,25.93,471975
2020-06-08,DNLI,25.72,26.435,25.345,26.08,678753
2020-06-09,DNLI,25.81,26.13,25.55,25.71,417515
2020-06-10,DNLI,25.99,26.3,23.52,25.73,753256
2020-06-11,DNLI,25.22,26.6,24.96,25.14,1266450
2020-06-12,DNLI,25.87,26.5195,24.24,24.71,583542
2020-06-15,DNLI,24.51,26.22,24.11,25.66,472501
2020-06-16,DNLI,26.49,27.71,25.97,26.7,1177613
2020-06-17,DNLI,26.55,27.2372,25.95,26.14,436708
2020-06-18,DNLI,26.07,26.56,25.83,26.02,388513
2020-06-19,DNLI,26.01,26.28,23.61,23.61,1878901
2020-06-22,DNLI,23.65,25.38,23.25,24.9,915682
2020-06-23,DNLI,25.22,26.65,25.09,26.21,459206
2020-06-24,DNLI,25.98,26.17,24.93,24.97,468554
2020-06-25,DNLI,24.82,26.45,24.6195,25.71,473758
2020-06-26,DNLI,25.5,25.76,23.485,23.8,2405750
2020-06-29,DNLI,24.12,24.82,23.36,23.7,593571
2020-06-30,DNLI,23.56,24.4,23.34,24.18,451702
2020-07-01,DNLI,24.1,25.32,24.08,25.24,288813
2020-07-02,DNLI,25.73,25.73,24.76,25.45,314294
2020-07-06,DNLI,25.96,26.08,25.19,25.5,496332
2020-07-07,DNLI,25.54,27.26,25.49,26.63,641315
2020-07-08,DNLI,26.77,27.24,26.26,27.1,264048
2020-07-09,DNLI,27.2,27.58,26.33,26.82,275603
2020-07-10,DNLI,26.97,27.04,25.83,25.93,168728
2020-07-13,DNLI,26.08,26.57,24.78,24.81,333251
2020-07-14,DNLI,24.82,25.85,24.1,25.8,450737
2020-07-15,DNLI,26.3,27.3099,26.16,27.01,423668
2020-07-16,DNLI,27.05,27.06,25.69,25.88,318076
2020-07-17,DNLI,25.72,26.68,25.72,26.48,288252
2020-07-20,DNLI,26.66,29.05,26.47,28.25,785038
2020-07-21,DNLI,28.28,28.28,24.45,24.695,818982
