date,ticker,open,high,low,close,volume
2020-04-17,EXTR,2.91,3.01,2.76,2.89,1443276
2020-04-20,EXTR,2.93,3.045,2.85,3.0,1035809
2020-04-21,EXTR,2.9,2.96,2.82,2.86,726415
2020-04-22,EXTR,2.95,2.95,2.835,2.85,756477
2020-04-23,EXTR,2.86,3.07,2.85,3.02,945428
2020-04-24,EXTR,3.06,3.11,3.0,3.07,1630660
2020-04-27,EXTR,3.06,3.15,3.06,3.1,863441
2020-04-28,EXTR,3.23,3.5,3.18,3.27,1104573
2020-04-29,EXTR,3.43,3.74,3.37,3.64,2167159
2020-04-30,EXTR,3.54,3.58,3.37,3.4,1527616
2020-05-01,EXTR,3.31,3.38,3.13,3.2,1091722
2020-05-04,EXTR,3.1,3.24,2.95,3.19,954519
2020-05-05,EXTR,3.25,3.4,3.145,3.185,1910131
2020-05-06,EXTR,3.21,3.28,3.07,3.07,809331
2020-05-07,EXTR,3.13,3.25,3.11,3.2,1119949
2020-05-08,EXTR,3.24,3.37,3.19,3.37,1363251
2020-05-11,EXTR,3.29,3.31,3.115,3.21,1964827
2020-05-12,EXTR,3.3,3.62,3.25,3.32,2564041
2020-05-13,EXTR,3.22,3.41,2.98,3.02,2339172
2020-05-14,EXTR,3.01,3.02,2.745,2.92,1573495
2020-05-15,EXTR,2.91,2.96,2.85,2.9,775607
2020-05-18,EXTR,2.99,3.26,2.99,3.185,2968846
2020-05-19,EXTR,3.18,3.25,3.05,3.11,1146963
2020-05-20,EXTR,3.2,3.28,3.12,3.26,2829579
2020-05-21,EXTR,3.24,3.32,3.18,3.24,585432
2020-05-22,EXTR,3.26,3.33,3.13,3.32,742856
2020-05-26,EXTR,3.47,3.55,3.335,3.35,1204488
2020-05-27,EXTR,3.47,3.6,3.375,3.57,1095434
2020-05-28,EXTR,3.6,3.66,3.46,3.47,1210713
2020-05-29,EXTR,3.4,3.45,3.24,3.3,1281999
2020-06-01,EXTR,3.32,3.615,3.31,3.57,1268658
2020-06-02,EXTR,3.77,4.07,3.7,3.9,2325164
2020-06-03,EXTR,4.02,4.21,3.97,4.11,2032216
