date,ticker,open,high,low,close,volume
2021-10-01,FWRG,21.0,23.43,20.4,22.13,3651966
2021-10-04,FWRG,25.28,25.46,21.5,21.5,873426
2021-10-05,FWRG,21.95,22.85,21.0,21.3,845636
2021-10-06,FWRG,20.77,23.19,20.0,22.18,520028
2021-10-07,FWRG,22.45,23.195,21.5,21.71,245235
2021-10-08,FWRG,22.16,22.8615,21.78,22.31,172653
2021-10-11,FWRG,22.5,22.7325,20.54,20.83,274130
2021-10-12,FWRG,20.85,21.8,20.37,21.31,497165
2021-10-13,FWRG,22.24,22.74,21.52,22.0,324565
2021-10-14,FWRG,22.42,22.42,21.01,21.65,296969
2021-10-15,FWRG,21.37,21.9,21.08,21.59,106979
2021-10-18,FWRG,21.59,21.86,20.755,21.71,233300
2021-10-19,FWRG,21.72,22.4999,21.22,21.23,328717
2021-10-20,FWRG,21.16,22.19,20.91,21.11,485695
2021-10-21,FWRG,21.21,22.2,21.05,21.8,162316
2021-10-22,FWRG,21.74,22.8789,21.4,22.52,310690
2021-10-25,FWRG,22.38,22.5985,21.36,21.48,216417
2021-10-26,FWRG,21.52,22.39,21.52,21.9,282232
2021-10-27,FWRG,22.25,22.4799,21.5,21.84,146279
2021-10-28,FWRG,21.94,22.4,21.11,21.88,282295
2021-10-29,FWRG,21.74,22.25,20.95,21.58,216952
2021-11-01,FWRG,21.86,21.98,20.89,20.99,317342
2021-11-02,FWRG,20.9,21.345,20.5,21.08,320988
2021-11-03,FWRG,21.2,21.2,20.15,20.6,267367
2021-11-04,FWRG,20.01,20.76,19.57,20.37,639426
2021-11-05,FWRG,20.37,20.7143,19.82,20.12,567501
2021-11-08,FWRG,20.33,20.98,19.96,20.69,355529
2021-11-09,FWRG,21.68,21.68,20.37,20.49,352178
2021-11-10,FWRG,20.41,20.64,19.78,20.05,303165
2021-11-11,FWRG,20.12,20.15,18.75,19.42,365730
2021-11-12,FWRG,19.58,20.3,19.355,20.06,142629
2021-11-15,FWRG,20.43,20.455,19.7816,20.38,203280
2021-11-16,FWRG,20.47,21.0,20.23,20.43,384983
2021-11-17,FWRG,20.58,20.58,19.76,20.03,209528
2021-11-18,FWRG,20.0,20.16,19.5201,20.0,149188
2021-11-19,FWRG,20.0,21.99,19.65,21.14,366410
2021-11-22,FWRG,20.97,21.13,20.09,20.66,137427
2021-11-23,FWRG,20.63,20.9199,19.13,19.78,198308
2021-11-24,FWRG,19.91,20.805,19.4266,20.29,122237
2021-11-26,FWRG,20.0,20.47,19.6657,20.37,104791
2021-11-29,FWRG,20.23,20.689,19.66,20.41,215783
2021-11-30,FWRG,20.41,20.89,19.58,19.93,143888
2021-12-01,FWRG,20.2,20.56,19.4512,19.76,156900
2021-12-02,FWRG,19.75,20.62,19.52,20.28,192658
2021-12-03,FWRG,20.18,20.76,19.71,20.15,193803
2021-12-06,FWRG,20.1,21.485,20.08,20.24,184899
