date,ticker,open,high,low,close,volume
2021-12-03,GRABW,3.18,3.36,2.5999,2.6,342340
2021-12-06,GRABW,2.69,2.96,2.51,2.65,270653
2021-12-07,GRABW,2.71,2.82,2.56,2.82,153291
2021-12-08,GRABW,2.62,2.87,2.55,2.65,91586
2021-12-09,GRABW,2.82,2.82,2.21,2.5,319701
2021-12-10,GRABW,2.48,2.48,2.01,2.09,381841
2021-12-13,GRABW,2.08,2.08,1.95,1.98,163308
2021-12-14,GRABW,2.0095,2.0095,1.76,2.0,242224
2021-12-15,GRABW,2.0,2.11,1.82,2.02,52082
2021-12-16,GRABW,2.19,2.19,1.94,2.04,90300
2021-12-17,GRABW,1.85,2.18,1.85,2.07,140669
2021-12-20,GRABW,1.87,2.02,1.87,2.02,25251
2021-12-21,GRABW,2.06,2.0686,1.9,1.92,32611
2021-12-22,GRABW,2.0,2.0,1.86,1.88,53349
2021-12-23,GRABW,1.84,2.15,1.84,1.92,53620
2021-12-27,GRABW,2.06,2.1,1.93,1.98,102928
2021-12-28,GRABW,2.08,2.1,1.9,1.99,111800
2021-12-29,GRABW,2.02,2.02,1.88,1.95,78218
2021-12-30,GRABW,2.0,2.05,1.97,2.05,70301
2021-12-31,GRABW,2.04,2.14,1.95,2.11,51374
2022-01-03,GRABW,2.14,2.14,2.0,2.04,29181
2022-01-04,GRABW,2.03,2.11,1.98,2.05,80056
2022-01-05,GRABW,2.03,2.03,1.75,1.82,100661
2022-01-06,GRABW,1.82,1.82,1.54,1.695,114863
2022-01-07,GRABW,1.7121,1.78,1.7121,1.78,4451
2022-01-10,GRABW,1.65,1.6992,1.58,1.65,24162
2022-01-11,GRABW,1.75,1.77,1.56,1.69,30442
2022-01-12,GRABW,1.77,1.83,1.64,1.69,17396
2022-01-13,GRABW,1.67,1.71,1.65,1.6701,52521
2022-01-14,GRABW,1.61,1.7399,1.58,1.69,94155
2022-01-18,GRABW,1.53,1.68,1.5,1.5101,53986
2022-01-19,GRABW,1.52,1.65,1.35,1.4,81742
2022-01-20,GRABW,1.45,1.63,1.4,1.56,43551
2022-01-21,GRABW,1.5,1.51,1.32,1.45,24587
2022-01-24,GRABW,1.4,1.4399,1.22,1.3,105047
2022-01-25,GRABW,1.25,1.47,1.25,1.4,17674
2022-01-26,GRABW,1.4,1.61,1.4,1.61,69839
2022-01-27,GRABW,1.53,1.53,1.46,1.5003,26034
2022-01-28,GRABW,1.45,1.475,1.16,1.3,184269
2022-01-31,GRABW,1.2999,1.41,1.2999,1.38,13628
2022-02-01,GRABW,1.44,1.44,1.4,1.42,6792
2022-02-02,GRABW,1.42,1.445,1.3,1.335,5702
2022-02-03,GRABW,1.3,1.32,1.2201,1.32,18722
2022-02-04,GRABW,1.23,1.3669,1.23,1.3669,10928
2022-02-07,GRABW,1.4,1.4,1.3301,1.4,3473
2022-02-08,GRABW,1.34,1.39,1.24,1.26,14719
2022-02-09,GRABW,1.26,1.41,1.26,1.41,7690
2022-02-10,GRABW,1.4999,1.79,1.4764,1.61,66504
2022-02-11,GRABW,1.6,1.6,1.4,1.46,17377
2022-02-14,GRABW,1.425,1.5297,1.42,1.49,13223
2022-02-15,GRABW,1.47,1.52,1.47,1.5002,15138
2022-02-16,GRABW,1.51,1.5496,1.47,1.545,17407
2022-02-17,GRABW,1.505,1.53,1.4201,1.5,3675
2022-02-18,GRABW,1.4899,1.49,1.43,1.4714,9627
2022-02-22,GRABW,1.4,1.49,1.3601,1.44,40280
2022-02-23,GRABW,1.51,1.51,1.28,1.295,27674
2022-02-24,GRABW,1.15,1.36,1.15,1.36,105298
2022-02-25,GRABW,1.4099,1.4504,1.4099,1.4504,7555
2022-02-28,GRABW,1.46,1.56,1.42,1.48,24078
2022-03-01,GRABW,1.41,1.46,1.41,1.46,4732
2022-03-02,GRABW,1.4613,1.48,1.235,1.37,38128
2022-03-03,GRABW,1.21,1.23,0.85,0.88,207055
2022-03-04,GRABW,0.9202,1.09,0.8501,0.8744,52051
2022-03-07,GRABW,0.85,0.915,0.8484,0.86,392075
2022-03-08,GRABW,0.8991,0.8991,0.81,0.82,21598
2022-03-09,GRABW,0.8598,0.8599,0.81,0.81,21134
2022-03-10,GRABW,0.8,0.8622,0.7501,0.8,37212
2022-03-11,GRABW,0.8995,0.8995,0.6726,0.6813,52545
2022-03-14,GRABW,0.6852,0.7201,0.6501,0.7201,8553
2022-03-15,GRABW,1.09,1.09,0.72485,0.744799,15959
2022-03-16,GRABW,0.7201,1.0,0.7201,0.866,99623
2022-03-17,GRABW,1.07,1.07,0.8657,0.9699,6880
2022-03-18,GRABW,0.9882,1.04,0.9001,0.99,31642
2022-03-21,GRABW,0.95,0.97,0.94,0.97,20126
2022-03-22,GRABW,0.9001,0.97,0.89,0.8975,21682
2022-03-23,GRABW,0.92495,0.92495,0.7845,0.8611,24345
2022-03-24,GRABW,0.9,0.90595,0.88,0.88,16513
2022-03-25,GRABW,0.89,0.9,0.8,0.8199,12921
2022-03-28,GRABW,0.8399,0.9175,0.8399,0.9,74966
2022-03-29,GRABW,0.95,0.97,0.85,0.87,486901
2022-03-30,GRABW,0.87,0.87,0.7772,0.78,41379
2022-03-31,GRABW,0.781,0.7899,0.75,0.77,26884
2022-04-01,GRABW,0.8499,0.854,0.7,0.7,72471
2022-04-04,GRABW,0.7,0.78,0.6904,0.76,251944
2022-04-05,GRABW,0.75,0.7643,0.7,0.7276,115750
2022-04-06,GRABW,0.7,0.7499,0.665,0.665,344837
2022-04-07,GRABW,0.699799,0.699799,0.62,0.62,150141
2022-04-08,GRABW,0.601,0.6805,0.559,0.5949,295705
2022-04-11,GRABW,0.575,0.59,0.55,0.58,99252
2022-04-12,GRABW,0.699799,0.699799,0.58,0.5977,18959
2022-04-13,GRABW,0.599499,0.599499,0.5511,0.5889,9307
2022-04-14,GRABW,0.5899,0.5921,0.54,0.5499,107716
2022-04-18,GRABW,0.55,0.55,0.4951,0.504999,74064
2022-04-19,GRABW,0.5,0.5844,0.5,0.5116,547322
2022-04-20,GRABW,0.56,0.5681,0.49,0.5,49049
2022-04-21,GRABW,0.502,0.5107,0.4839,0.49,50353
2022-04-22,GRABW,0.5,0.5195,0.452999,0.5,78509
2022-04-25,GRABW,0.474,0.498,0.45,0.498,6091
2022-04-26,GRABW,0.47,0.4978,0.4541,0.48,52387
2022-04-27,GRABW,0.48,0.53,0.47,0.5256,82147
2022-04-28,GRABW,0.51,0.53,0.47,0.53,550757
2022-04-29,GRABW,0.5301,0.571958,0.51855,0.5295,6692
2022-05-02,GRABW,0.5999,0.5999,0.485,0.5497,16851
2022-05-03,GRABW,0.5599,0.5801,0.5333,0.5794,1264
2022-05-04,GRABW,0.5497,0.5499,0.5001,0.5499,16214
2022-05-05,GRABW,0.5597,0.5597,0.4801,0.5,15573
2022-05-06,GRABW,0.5298,0.5298,0.4472,0.5166,118530
2022-05-09,GRABW,0.4501,0.4995,0.4301,0.4698,17042
2022-05-10,GRABW,0.4601,0.4898,0.45,0.45,10902
2022-05-11,GRABW,0.46,0.46,0.365,0.39,17866
2022-05-12,GRABW,0.375,0.45,0.3683,0.42,94236
2022-05-13,GRABW,0.465001,0.4889,0.4597,0.4601,10572
2022-05-16,GRABW,0.4601,0.4601,0.4,0.432,15921
2022-05-17,GRABW,0.4334,0.499,0.4334,0.499,19612
2022-05-18,GRABW,0.4799,0.4799,0.41,0.411,3033
2022-05-19,GRABW,0.430601,0.77,0.430601,0.55,556652
