date,ticker,open,high,low,close,volume
2020-01-03,IGIC,9.68421,9.73002,9.67424,9.73002,4006
2020-01-06,IGIC,9.73002,9.73002,9.73002,9.73002,174011
2020-01-07,IGIC,9.7111,9.81769,9.69815,9.73899,23708
2020-01-08,IGIC,9.73899,9.75791,9.64734,9.75791,5246
2020-01-09,IGIC,9.74796,9.8406,9.74796,9.77584,282925
2020-01-10,IGIC,9.83063,9.83063,9.74796,9.78481,11712
2020-01-13,IGIC,9.75791,9.77584,9.73002,9.75293,708510
2020-01-14,IGIC,9.72106,9.77584,9.72106,9.77584,2219
2020-01-15,IGIC,9.71508,9.77584,9.68421,9.77584,8311
2020-01-16,IGIC,9.77584,9.81769,9.5826,9.7111,31218
2020-01-17,IGIC,9.8127,9.82066,9.69317,9.75791,10486
2020-01-21,IGIC,9.73002,9.77584,9.63839,9.63839,213439
2020-01-22,IGIC,9.73002,9.73002,9.66528,9.66528,13247
2020-01-23,IGIC,9.73002,9.73002,9.60949,9.63839,18625
2020-01-24,IGIC,9.68421,9.77584,9.59256,9.70213,10426
2020-01-27,IGIC,9.70213,9.76688,9.63839,9.63839,242573
2020-01-28,IGIC,9.73002,9.73002,9.64734,9.73002,12169
2020-01-29,IGIC,9.76688,9.76688,9.73002,9.73002,2607
2020-01-30,IGIC,9.76688,9.77584,9.68421,9.76688,61656
2020-01-31,IGIC,9.76688,9.77584,9.63839,9.68421,44625
2020-02-03,IGIC,9.77584,9.77584,9.59256,9.59256,5161
2020-02-04,IGIC,9.77584,9.77584,9.68421,9.75791,6653
2020-02-05,IGIC,9.77584,9.77584,9.68421,9.77584,25591
2020-02-06,IGIC,9.77584,9.78082,9.73002,9.74796,51935
2020-02-07,IGIC,9.77584,9.77584,9.67424,9.68421,71505
2020-02-10,IGIC,9.70213,9.77584,9.68421,9.77584,12299
2020-02-11,IGIC,9.77584,9.77584,9.73002,9.77584,7577
2020-02-12,IGIC,9.73002,9.73002,9.63839,9.63839,11707
2020-02-13,IGIC,9.70213,9.73002,9.62842,9.65631,236735
2020-02-14,IGIC,9.70213,9.76688,9.59256,9.63839,295060
2020-02-18,IGIC,9.77584,9.77584,9.63839,9.63839,451463
2020-02-19,IGIC,9.77584,9.77584,9.73002,9.73002,16278
2020-02-20,IGIC,9.76688,9.76688,9.63839,9.65631,154219
2020-02-21,IGIC,9.68421,9.76688,9.63839,9.68421,350164
2020-02-24,IGIC,9.69317,9.7111,9.63839,9.7111,38344
2020-02-25,IGIC,9.65631,10.6245,9.59256,9.64734,590836
2020-02-26,IGIC,9.65631,9.73002,9.59256,9.73002,226598
2020-02-27,IGIC,9.63839,9.73002,9.63839,9.65631,364469
2020-02-28,IGIC,9.68421,9.73002,9.54475,9.54475,232790
2020-03-02,IGIC,9.58061,9.66528,9.58061,9.63839,10490
2020-03-03,IGIC,9.64536,9.66528,9.59256,9.60053,117935
2020-03-04,IGIC,9.60053,9.60053,9.59256,9.59256,27643
2020-03-05,IGIC,9.60053,9.60949,9.52781,9.59256,541303
2020-03-06,IGIC,9.60651,9.60949,9.40708,9.5826,57186
2020-03-09,IGIC,9.51786,9.60949,9.31574,9.59256,48016
2020-03-10,IGIC,9.56069,9.60949,9.56069,9.56368,1025
2020-03-11,IGIC,9.59256,10.2729,9.1482,10.2729,19733
2020-03-12,IGIC,10.0438,10.0438,7.38727,7.38727,20246
2020-03-13,IGIC,7.8392,8.14362,5.79648,8.14362,75832
2020-03-16,IGIC,7.8392,7.8392,6.23447,6.6127,109170
2020-03-17,IGIC,7.87615,8.52642,6.96302,7.67325,1742
2020-03-19,IGIC,6.49277,7.02768,6.37831,6.917,13662
2020-03-20,IGIC,7.3781,7.3781,6.20677,6.20677,14488
2020-03-23,IGIC,6.23447,6.66797,5.91183,6.39126,6168
2020-03-24,IGIC,6.4559,6.4559,6.4559,6.4559,12295
2020-03-25,IGIC,6.30818,6.91003,5.80106,5.80485,74532
2020-03-26,IGIC,6.20677,6.62185,5.86561,6.20677,26719
2020-03-27,IGIC,6.56657,6.56657,6.0178,6.2254,28395
2020-03-30,IGIC,6.4835,7.8139,6.21604,7.6364,12589
2020-03-31,IGIC,7.60871,7.60871,7.3781,7.3781,1778
2020-04-01,IGIC,7.10148,7.1476,6.34981,6.54804,12534
2020-04-02,IGIC,6.52962,6.77864,6.52962,6.77864,866
