date,ticker,open,high,low,close,volume
2020-01-02,LIND,16.38,16.48,16.14,16.195,82941
2020-01-03,LIND,16.02,16.27,15.88,16.145,95583
2020-01-06,LIND,16.09,16.45,15.9,16.32,133626
2020-01-07,LIND,16.29,16.38,16.21,16.25,103436
2020-01-08,LIND,16.3,16.36,16.17,16.32,190596
2020-01-09,LIND,16.63,17.64,16.63,17.55,198827
2020-01-10,LIND,17.5,18.09,17.42,17.99,266124
2020-01-13,LIND,17.95,18.34,17.8,18.27,117798
2020-01-14,LIND,17.93,18.07,17.17,17.63,246036
2020-01-15,LIND,17.65,18.14,17.5,17.95,100958
2020-01-16,LIND,17.93,18.06,17.6,17.74,241645
2020-01-17,LIND,17.75,17.75,17.47,17.73,93013
2020-01-21,LIND,17.72,17.72,17.29,17.36,103097
2020-01-22,LIND,17.54,17.96,17.4085,17.86,164023
2020-01-23,LIND,17.79,17.98,17.54,17.915,79280
2020-01-24,LIND,17.94,18.04,17.43,17.46,73293
2020-01-27,LIND,17.1,17.215,16.88,16.965,88725
2020-01-28,LIND,17.04,17.38,16.89,17.35,101350
2020-01-29,LIND,17.35,17.59,17.27,17.55,289654
2020-01-30,LIND,17.34,17.7,16.85,16.87,115708
2020-01-31,LIND,16.8,16.82,16.46,16.49,83244
2020-02-03,LIND,16.53,17.08,16.48,16.87,143877
2020-02-04,LIND,17.03,17.09,16.58,16.58,58451
2020-02-05,LIND,16.66,16.89,16.46,16.76,57260
2020-02-06,LIND,16.77,16.8,16.3,16.36,56804
2020-02-07,LIND,16.26,16.45,15.63,15.69,119265
2020-02-10,LIND,15.68,16.03,15.53,15.87,110522
2020-02-11,LIND,15.95,16.1,15.624,15.7,74380
2020-02-12,LIND,15.78,15.83,15.61,15.63,59820
2020-02-13,LIND,15.59,15.995,15.32,15.9,114607
2020-02-14,LIND,15.91,15.91,15.34,15.4,90605
2020-02-18,LIND,15.31,15.57,15.16,15.18,68513
2020-02-19,LIND,15.18,15.505,15.18,15.31,72310
2020-02-20,LIND,15.18,15.386,14.835,15.21,90454
2020-02-21,LIND,15.27,15.27,14.81,14.89,99418
2020-02-24,LIND,14.36,14.55,13.69,13.795,145090
2020-02-25,LIND,13.83,14.68,13.06,13.17,177978
2020-02-26,LIND,13.13,14.1933,12.38,13.03,258577
2020-02-27,LIND,12.82,12.9,12.06,12.4,325828
2020-02-28,LIND,11.98,12.12,11.51,11.9,271612
2020-03-02,LIND,12.0,12.85,11.74,12.8,433234
2020-03-03,LIND,12.9,12.9,11.33,11.49,161840
2020-03-04,LIND,11.74,11.74,11.4,11.62,117673
2020-03-05,LIND,11.39,11.5,10.62,10.88,221139
2020-03-06,LIND,10.54,11.2425,10.22,10.45,311720
2020-03-09,LIND,8.56,9.24,8.33,9.01,488897
2020-03-10,LIND,9.35,10.45,8.91,10.22,370326
2020-03-11,LIND,9.84,10.19,8.95,9.0,337755
2020-03-12,LIND,7.71,8.0,6.305,6.725,946936
2020-03-13,LIND,7.46,7.77,5.54,5.93,607910
2020-03-16,LIND,3.41,5.08,3.41,3.82,1446296
2020-03-17,LIND,4.41,4.57,3.84,4.37,907180
2020-03-18,LIND,4.06,4.68,3.44,3.74,1088237
2020-03-19,LIND,3.71,4.2156,3.45,3.75,807467
2020-03-20,LIND,3.91,4.09,3.31,3.31,687368
2020-03-23,LIND,3.39,3.628,3.01,3.2,1032384
2020-03-24,LIND,3.55,4.6,3.55,3.95,1630904
2020-03-25,LIND,4.35,6.3,3.97,5.01,2279910
2020-03-26,LIND,5.18,6.12,5.07,5.68,1194997
2020-03-27,LIND,5.56,5.56,4.46,5.03,1221208
2020-03-30,LIND,5.0,5.0,4.1,4.28,752463
2020-03-31,LIND,4.21,4.415,3.81,4.17,681013
2020-04-01,LIND,3.94,4.2,3.58,3.69,892972
2020-04-02,LIND,3.65,3.71,3.5,3.57,529854
2020-04-03,LIND,3.55,3.88,3.5,3.7,730659
2020-04-06,LIND,4.02,4.25,3.91,4.22,799612
2020-04-07,LIND,4.61,5.3499,4.54,4.97,827839
2020-04-08,LIND,5.14,6.25,4.96,6.14,1129579
2020-04-09,LIND,6.29,7.38,5.051,5.38,1497854
2020-04-13,LIND,5.49,5.49,4.9906,5.13,422216
2020-04-14,LIND,5.23,5.64,5.11,5.24,516951
2020-04-15,LIND,5.01,5.2,4.75,5.08,316174
2020-04-16,LIND,5.1,5.19,4.66,4.75,369430
2020-04-17,LIND,5.21,5.42,4.92,5.31,515605
2020-04-20,LIND,5.09,5.15,4.96,5.1,320524
2020-04-21,LIND,5.0,5.3199,5.0,5.25,229983
2020-04-22,LIND,5.34,5.34,4.73,4.92,392756
2020-04-23,LIND,4.89,5.1523,4.86,5.07,202282
2020-04-24,LIND,5.11,5.22,4.85,5.12,221450
2020-04-27,LIND,5.16,5.62,5.11,5.56,291145
2020-04-28,LIND,5.99,6.34,5.76,6.05,388571
2020-04-29,LIND,6.36,6.89,6.3,6.49,581227
2020-04-30,LIND,6.25,6.87,5.925,6.68,422421
2020-05-01,LIND,5.98,7.33,5.6014,6.9,634734
2020-05-04,LIND,6.58,6.64,6.26,6.46,369797
2020-05-05,LIND,6.54,6.81,6.2,6.28,407020
2020-05-06,LIND,6.36,6.36,5.9,5.96,196623
2020-05-07,LIND,5.97,6.23,5.66,6.17,388931
2020-05-08,LIND,6.26,6.62,6.19,6.52,295912
2020-05-11,LIND,6.5,6.55,6.05,6.4,389985
2020-05-12,LIND,6.45,6.52,6.01,6.05,226019
2020-05-13,LIND,6.05,6.05,5.3701,5.68,291629
2020-05-14,LIND,5.5,5.77,5.1,5.76,281371
2020-05-15,LIND,5.72,6.07,5.59,5.88,204906
2020-05-18,LIND,6.24,7.03,6.19,6.99,601540
2020-05-19,LIND,6.99,7.04,6.44,6.47,276596
2020-05-20,LIND,6.7,7.29,6.7,6.87,340367
2020-05-21,LIND,6.88,7.1,6.74,6.86,229536
2020-05-22,LIND,6.93,6.99,6.485,6.9,206007
2020-05-26,LIND,7.26,7.93,7.07,7.75,614311
2020-05-27,LIND,8.39,8.41,7.59,8.31,592117
2020-05-28,LIND,8.43,8.54,7.63,7.68,602781
2020-05-29,LIND,7.54,8.0,7.2157,7.85,577100
2020-06-01,LIND,8.97,9.57,8.46,8.54,1018091
2020-06-02,LIND,8.7,9.89,8.4901,9.41,1081512
2020-06-03,LIND,9.37,10.14,9.3,10.13,649594
2020-06-04,LIND,9.98,10.35,9.75,9.775,505448
2020-06-05,LIND,10.6,11.18,10.14,10.225,975896
2020-06-08,LIND,11.17,11.36,10.4479,11.36,625523
2020-06-09,LIND,11.18,11.18,10.1,10.13,713984
2020-06-10,LIND,10.08,10.08,8.9,8.98,651041
2020-06-11,LIND,7.6,8.94,7.5,8.24,643737
2020-06-12,LIND,9.05,9.05,8.36,8.76,377308
2020-06-15,LIND,8.27,9.73,8.2,9.06,356513
2020-06-16,LIND,9.94,9.94,9.0201,9.37,279226
2020-06-17,LIND,9.43,9.43,8.79,8.83,371749
2020-06-18,LIND,8.6,8.83,8.26,8.54,385077
2020-06-19,LIND,8.72,8.945,8.23,8.23,389752
2020-06-22,LIND,8.09,8.2319,7.96,8.09,411175
2020-06-23,LIND,8.27,8.3,7.95,8.13,306918
2020-06-24,LIND,8.05,8.05,7.3,7.63,338264
2020-06-25,LIND,7.36,7.72,7.28,7.485,269172
2020-06-26,LIND,7.4,7.77,7.2,7.32,828282
2020-06-29,LIND,7.43,7.8599,7.18,7.745,304129
2020-06-30,LIND,7.65,7.79,7.48,7.72,217547
2020-07-01,LIND,7.78,8.53,7.77,8.1,546781
2020-07-02,LIND,8.37,8.47,7.55,7.7,307178
2020-07-06,LIND,7.97,7.97,7.4,7.68,365522
2020-07-07,LIND,7.55,7.55,7.11,7.14,225704
2020-07-08,LIND,7.09,7.31,6.83,7.28,275710
2020-07-09,LIND,7.28,7.3299,6.88,7.03,259117
2020-07-10,LIND,7.0,7.45,6.83,7.44,215165
2020-07-13,LIND,7.45,7.6,7.09,7.11,287440
2020-07-14,LIND,7.04,7.26,6.83,7.04,448238
2020-07-15,LIND,7.47,8.33,7.38,8.28,451652
2020-07-16,LIND,8.16,8.18,7.5601,8.16,420924
2020-07-17,LIND,8.12,8.2236,7.77,7.94,289666
2020-07-20,LIND,7.93,8.0,7.58,7.65,276753
2020-07-21,LIND,7.95,7.95,7.66,7.79,243817
2020-07-22,LIND,7.67,7.83,7.45,7.65,230177
2020-07-23,LIND,7.57,7.81,7.48,7.75,241314
2020-07-24,LIND,7.72,7.77,7.48,7.565,169741
2020-07-27,LIND,7.65,7.675,7.37,7.55,237770
2020-07-28,LIND,7.55,7.82,7.49,7.66,180416
2020-07-29,LIND,7.7,7.93,7.63,7.72,210840
2020-07-30,LIND,7.55,7.6,7.35,7.49,183158
2020-07-31,LIND,7.47,7.47,7.25,7.25,287429
2020-08-03,LIND,7.23,7.28,6.88,6.93,327261
2020-08-04,LIND,6.94,7.34,6.85,7.26,203851
2020-08-05,LIND,7.46,7.48,7.27,7.47,241754
2020-08-06,LIND,7.44,7.85,7.42,7.77,324549
2020-08-07,LIND,7.74,8.1,7.47,8.02,181265
2020-08-10,LIND,8.16,8.695,8.16,8.54,294777
2020-08-11,LIND,8.72,9.0,8.0,8.25,362291
2020-08-12,LIND,8.38,8.79,7.55,7.71,514457
2020-08-13,LIND,7.6,7.6,7.23,7.47,391406
2020-08-14,LIND,7.39,7.75,7.3,7.67,486094
