date,ticker,open,high,low,close,volume
2020-01-02,MBUU,41.41,41.49,40.23,40.95,111055
2020-01-03,MBUU,40.3,41.14,40.18,40.84,112220
2020-01-06,MBUU,40.33,41.34,40.32,41.02,136410
2020-01-07,MBUU,40.85,41.19,40.6,40.62,104250
2020-01-08,MBUU,40.63,41.095,40.18,40.8,121705
2020-01-09,MBUU,41.12,41.12,39.81,40.0,75983
2020-01-10,MBUU,39.85,40.205,39.0,39.26,142105
2020-01-13,MBUU,39.4,40.67,38.94,40.03,179791
2020-01-14,MBUU,40.11,40.77,39.77,40.07,129672
2020-01-15,MBUU,40.44,40.85,40.27,40.83,102781
2020-01-16,MBUU,41.1,42.25,41.1,41.74,98831
2020-01-17,MBUU,42.14,43.0,42.0587,42.62,131433
2020-01-21,MBUU,42.38,43.25,42.239,42.68,154107
2020-01-22,MBUU,42.8,43.12,41.54,41.6,85319
2020-01-23,MBUU,42.07,44.165,41.96,43.99,199448
2020-01-24,MBUU,44.18,44.19,43.3361,44.05,129540
2020-01-27,MBUU,43.26,44.09,42.63,43.95,162895
2020-01-28,MBUU,44.49,45.42,44.23,45.23,234789
2020-01-29,MBUU,45.29,45.52,44.19,44.66,135329
2020-01-30,MBUU,44.34,44.96,43.93,44.06,101747
2020-01-31,MBUU,43.91,44.23,43.2217,43.79,150740
2020-02-03,MBUU,44.12,44.69,43.78,43.88,142440
2020-02-04,MBUU,44.2,44.6,43.26,43.83,215815
2020-02-05,MBUU,44.39,46.81,43.69,46.66,310527
2020-02-06,MBUU,50.72,51.45,47.72,48.07,401052
2020-02-07,MBUU,48.75,48.99,47.02,47.56,173578
2020-02-10,MBUU,47.59,48.115,46.93,47.34,120689
2020-02-11,MBUU,47.84,47.84,46.63,47.47,152618
2020-02-12,MBUU,47.89,49.29,47.51,49.15,177826
2020-02-13,MBUU,49.04,51.44,49.04,51.17,293915
2020-02-14,MBUU,51.15,51.15,49.67,49.86,186297
2020-02-18,MBUU,51.25,51.25,50.06,50.31,192924
2020-02-19,MBUU,50.51,52.13,50.3384,51.2,222746
2020-02-20,MBUU,50.94,51.38,49.48,51.31,254797
2020-02-21,MBUU,51.46,51.46,49.6,49.68,228493
