date,ticker,open,high,low,close,volume
2020-04-17,NATH,54.0695,55.8113,52.2633,55.57,10782
2020-04-20,NATH,55.5601,55.5601,52.1312,52.6132,5396
2020-04-21,NATH,51.4861,54.9727,51.2721,54.9727,5690
2020-04-22,NATH,54.051,54.051,53.1752,53.1752,2067
2020-04-23,NATH,53.1928,53.1928,52.3336,52.8946,7897
2020-04-24,NATH,52.1118,52.6034,51.926,52.4548,2567
2020-04-27,NATH,53.5925,56.0547,52.3073,56.0547,8845
2020-04-28,NATH,57.649,59.1503,55.6304,55.6921,6269
2020-04-29,NATH,56.913,58.2823,55.2523,55.308,11436
2020-04-30,NATH,54.4058,55.4673,52.4548,52.4548,4935
2020-05-01,NATH,51.011,53.9855,50.2281,53.5104,5725
2020-05-04,NATH,52.2046,54.0315,50.5449,53.4635,8331
2020-05-05,NATH,54.0695,56.2786,53.0901,53.0901,4790
2020-05-06,NATH,52.3727,54.0774,50.8155,51.3746,4259
2020-05-07,NATH,51.7383,51.7383,48.8578,50.8996,10246
2020-05-08,NATH,51.5438,56.0918,51.5438,54.0774,6019
2020-05-11,NATH,53.2876,54.3569,51.5154,51.5154,6349
2020-05-12,NATH,51.3279,51.7765,49.7737,50.0044,8475
2020-05-13,NATH,51.1334,51.1334,48.3828,48.7376,4334
2020-05-14,NATH,48.0093,49.3045,46.07,48.4756,12410
2020-05-15,NATH,48.7092,50.2007,47.763,48.4756,6199
2020-05-18,NATH,46.0369,52.4362,46.0369,52.4362,11512
2020-05-19,NATH,46.4336,54.0705,46.4336,49.8274,4099
2020-05-20,NATH,50.5449,51.2721,48.6251,51.2721,6789
2020-05-21,NATH,49.0953,51.2721,49.0953,49.1832,6551
2020-05-22,NATH,49.6319,49.6319,47.5353,47.982,5296
2020-05-26,NATH,49.1285,49.502,48.2664,49.2859,5863
2020-05-27,NATH,51.2721,53.5104,51.2721,53.397,6460
2020-05-28,NATH,54.1614,54.5309,51.4577,51.4577,5672
2020-05-29,NATH,51.3376,53.5925,49.4824,52.2329,3417
2020-06-01,NATH,52.2143,52.2143,50.6016,50.6191,5984
2020-06-02,NATH,51.2721,51.2721,49.4081,49.4081,6285
2020-06-03,NATH,53.1273,53.1273,51.4861,51.4861,3045
2020-06-04,NATH,51.2721,52.5505,51.2721,51.971,4515
2020-06-05,NATH,53.7519,57.3313,53.0706,56.521,10532
2020-06-08,NATH,58.6841,58.73,55.002,57.3411,23063
2020-06-09,NATH,56.8377,58.2169,55.308,57.1632,13230
2020-06-10,NATH,57.8259,58.4035,56.7732,56.9501,8127
2020-06-11,NATH,54.2553,54.2553,49.324,52.2046,10481
2020-06-12,NATH,48.4854,55.6354,48.4854,54.0598,13004
2020-06-15,NATH,54.0695,56.9589,53.7803,56.9589,4226
2020-06-16,NATH,57.7976,58.5531,55.6384,57.6099,12891
2020-06-17,NATH,56.39,56.4096,54.1067,55.57,5377
2020-06-18,NATH,53.9933,55.2337,53.5564,54.0695,3545
2020-06-19,NATH,54.9599,57.1544,54.9599,57.1544,12264
2020-06-22,NATH,55.8241,56.5669,55.4663,56.5541,2798
2020-06-23,NATH,57.342,57.342,54.8104,54.8104,3805
2020-06-24,NATH,54.6199,55.4761,50.1021,50.1021,9162
2020-06-25,NATH,50.1763,53.5534,50.1763,52.5311,10109
2020-06-26,NATH,50.7481,51.8223,49.7355,50.1206,27628
2020-06-29,NATH,51.058,54.1067,51.058,51.884,6351
2020-06-30,NATH,52.0531,54.4175,48.9761,52.746,4647
2020-07-01,NATH,52.8594,56.2355,52.8594,54.8661,3907
2020-07-02,NATH,55.5035,56.0763,54.3784,55.7565,3355
2020-07-06,NATH,56.2727,57.0283,54.0216,54.7635,12508
2020-07-07,NATH,55.2317,55.2317,50.8342,51.0297,5373
2020-07-08,NATH,52.4274,53.2143,51.0767,51.0767,16668
2020-07-09,NATH,51.5829,51.5829,48.9105,48.9105,10139
2020-07-10,NATH,48.7327,51.9026,48.0192,51.9026,10232
2020-07-13,NATH,51.6122,52.0531,49.718,50.4579,5547
2020-07-14,NATH,50.4198,51.6778,49.7081,50.6465,7466
