date,ticker,open,high,low,close,volume
2020-01-02,NEOG,32.625,32.92,31.97,32.44,396216
2020-01-03,NEOG,32.15,32.88,31.92,32.835,579668
2020-01-06,NEOG,32.55,33.065,32.265,32.705,385092
2020-01-07,NEOG,32.58,32.58,32.06,32.285,230956
2020-01-08,NEOG,32.215,32.647,32.135,32.495,274122
2020-01-09,NEOG,32.66,32.875,32.175,32.67,244436
2020-01-10,NEOG,32.67,32.985,32.555,32.895,199126
2020-01-13,NEOG,32.895,33.99,32.688,33.955,246032
2020-01-14,NEOG,33.765,35.0,33.645,34.435,355310
2020-01-15,NEOG,34.485,34.895,34.03,34.77,310126
2020-01-16,NEOG,35.0,35.195,34.684,34.875,317250
2020-01-17,NEOG,35.125,35.71,34.95,35.64,348172
2020-01-21,NEOG,35.55,35.75,34.495,34.65,396148
2020-01-22,NEOG,34.855,35.185,34.445,34.93,305478
2020-01-23,NEOG,34.865,35.085,34.564,34.985,485088
2020-01-24,NEOG,35.125,35.125,33.58,33.705,279160
2020-01-27,NEOG,33.085,34.135,32.84,33.895,484008
2020-01-28,NEOG,34.15,34.678,33.84,34.315,476580
2020-01-29,NEOG,34.325,34.7,34.089,34.185,227614
2020-01-30,NEOG,33.92,34.572,33.92,34.545,191998
2020-01-31,NEOG,34.35,34.705,33.44,33.635,343332
2020-02-03,NEOG,34.12,34.935,33.945,34.05,607248
2020-02-04,NEOG,34.605,34.825,34.085,34.755,237168
2020-02-05,NEOG,34.915,35.075,34.09,34.635,333830
2020-02-06,NEOG,34.87,35.01,34.66,34.88,176496
2020-02-07,NEOG,34.85,34.945,34.24,34.415,211844
2020-02-10,NEOG,34.49,35.57,34.365,35.555,532072
2020-02-11,NEOG,35.91,36.458,35.67,35.985,444258
2020-02-12,NEOG,36.125,36.265,35.555,35.935,342284
2020-02-13,NEOG,35.765,36.32,35.676,36.0,218046
2020-02-14,NEOG,35.985,36.512,35.75,36.38,323420
2020-02-18,NEOG,36.17,36.295,35.92,36.185,264902
2020-02-19,NEOG,36.305,36.515,36.01,36.375,212016
2020-02-20,NEOG,36.24,36.4,35.62,35.965,191132
2020-02-21,NEOG,35.95,36.265,35.592,36.03,234080
2020-02-24,NEOG,34.615,35.41,34.615,35.41,340050
2020-02-25,NEOG,35.49,35.49,33.465,33.495,399046
2020-02-26,NEOG,33.705,34.355,33.515,34.005,298538
2020-02-27,NEOG,33.45,33.58,31.795,31.81,622238
2020-02-28,NEOG,30.695,31.768,29.79,30.375,653314
2020-03-02,NEOG,30.825,31.485,30.435,31.36,384210
2020-03-03,NEOG,31.35,32.425,30.105,30.56,312278
2020-03-04,NEOG,31.15,32.035,30.665,31.93,304228
2020-03-05,NEOG,31.065,31.855,30.3,30.9,395884
2020-03-06,NEOG,30.215,31.62,29.97,31.565,346052
2020-03-09,NEOG,29.67,31.01,29.53,30.035,404654
2020-03-10,NEOG,30.965,32.8,30.005,32.69,507698
2020-03-11,NEOG,31.785,32.245,29.59,30.365,423234
2020-03-12,NEOG,29.25,31.238,28.04,28.06,678138
2020-03-13,NEOG,29.125,31.905,27.54,31.54,749630
2020-03-16,NEOG,27.5,29.82,27.115,27.4,1083754
2020-03-17,NEOG,27.84,27.84,24.455,27.305,1574110
2020-03-18,NEOG,25.645,28.2,25.08,27.01,731032
2020-03-19,NEOG,26.87,28.87,25.065,28.175,748296
2020-03-20,NEOG,28.4,30.18,27.185,28.355,792692
2020-03-23,NEOG,28.82,30.385,27.56,29.655,546016
2020-03-24,NEOG,30.71,33.26,26.355,30.655,1031378
2020-03-25,NEOG,30.135,30.42,27.91,28.08,731708
2020-03-26,NEOG,28.19,30.4,27.975,29.7,1189926
2020-03-27,NEOG,28.76,30.098,28.575,29.295,495158
2020-03-30,NEOG,29.84,33.56,29.75,33.27,960484
2020-03-31,NEOG,33.495,34.45,32.41,33.495,744222
2020-04-01,NEOG,32.225,33.645,30.3,30.8,479746
2020-04-02,NEOG,30.59,33.48,30.59,33.17,412828
2020-04-03,NEOG,33.17,33.17,30.918,32.0,574358
2020-04-06,NEOG,33.36,34.7,32.355,34.13,804662
2020-04-07,NEOG,34.66,34.781,30.862,31.24,772368
2020-04-08,NEOG,31.74,32.065,30.42,30.895,671762
2020-04-09,NEOG,31.43,32.1,30.945,31.75,531192
2020-04-13,NEOG,31.03,31.695,30.68,31.13,492512
2020-04-14,NEOG,31.89,32.295,31.56,31.615,571246
2020-04-15,NEOG,30.96,31.34,30.285,30.615,552808
2020-04-16,NEOG,30.86,32.785,30.445,32.585,762574
2020-04-17,NEOG,33.42,33.448,32.255,33.035,409720
2020-04-20,NEOG,32.65,33.665,32.035,32.305,391102
2020-04-21,NEOG,31.58,32.16,31.16,31.32,288654
2020-04-22,NEOG,31.89,32.885,31.535,32.385,256214
2020-04-23,NEOG,32.46,33.22,31.87,32.07,393296
2020-04-24,NEOG,32.065,32.778,31.82,32.23,332848
2020-04-27,NEOG,32.625,33.37,32.255,32.73,431270
2020-04-28,NEOG,33.245,33.245,31.875,31.99,412062
2020-04-29,NEOG,32.855,33.75,31.645,32.87,680496
2020-04-30,NEOG,32.48,32.48,31.035,31.295,617022
2020-05-01,NEOG,30.665,30.935,29.865,30.51,676940
2020-05-04,NEOG,30.2,30.89,29.85,30.78,516052
2020-05-05,NEOG,31.365,32.078,31.065,31.29,354540
2020-05-06,NEOG,31.5,32.33,31.2,31.745,447098
2020-05-07,NEOG,32.25,32.47,32.055,32.185,244562
2020-05-08,NEOG,32.595,33.505,32.377,33.25,273450
2020-05-11,NEOG,32.945,33.833,32.63,33.285,410088
2020-05-12,NEOG,33.565,33.565,31.96,32.025,370778
2020-05-13,NEOG,31.825,32.89,31.56,32.325,350774
2020-05-14,NEOG,31.77,32.16,31.245,31.7,435054
2020-05-15,NEOG,31.605,33.065,31.605,32.28,856454
2020-05-18,NEOG,32.97,33.85,32.935,33.7,386072
2020-05-19,NEOG,33.49,34.225,33.09,33.09,331516
2020-05-20,NEOG,33.68,34.17,33.21,33.73,343038
2020-05-21,NEOG,33.675,33.728,33.14,33.275,275028
2020-05-22,NEOG,32.94,33.812,32.94,33.415,235324
2020-05-26,NEOG,34.285,34.985,33.81,34.65,339410
2020-05-27,NEOG,35.0,36.44,34.27,36.38,514788
