date,ticker,open,high,low,close,volume
2023-11-28,NMFCZ,25.78,25.78,25.41,25.45,53405
2023-11-29,NMFCZ,25.5,26.26,25.45,25.68,162190
2023-11-30,NMFCZ,25.7,26.74,25.7,26.64,609557
2023-12-01,NMFCZ,26.5,26.5,25.8401,26.2,30887
2023-12-04,NMFCZ,26.06,26.08,25.85,26.05,18834
2023-12-05,NMFCZ,26.1,26.25,26.1,26.25,42124
2023-12-06,NMFCZ,26.15,26.25,26.12,26.15,17734
2023-12-07,NMFCZ,26.15,26.2,25.98,25.98,61712
2023-12-08,NMFCZ,25.97,26.05,25.852,26.04,25926
2023-12-11,NMFCZ,26.02,26.05,25.86,25.9,22084
2023-12-12,NMFCZ,25.99,25.99,25.85,25.85,59541
2023-12-13,NMFCZ,25.8408,25.92,25.69,25.75,113261
2023-12-14,NMFCZ,25.76,25.92,25.76,25.8,45341
2023-12-15,NMFCZ,25.46,25.84,25.46,25.7,27870
2023-12-18,NMFCZ,25.68,25.6987,25.61,25.68,23171
2023-12-19,NMFCZ,25.68,25.8,25.65,25.7,59227
2023-12-20,NMFCZ,25.72,25.79,25.65,25.69,40122
2023-12-21,NMFCZ,25.7126,25.79,25.57,25.68,86247
2023-12-22,NMFCZ,25.77,26.05,25.675,25.85,63863
2023-12-26,NMFCZ,25.7,25.9499,25.7,25.77,17145
2023-12-27,NMFCZ,25.89,26.05,25.83,26.0,39723
2023-12-28,NMFCZ,26.03,26.42,25.97,26.07,67606
2023-12-29,NMFCZ,26.18,26.4,25.86,25.9,153300
2024-01-02,NMFCZ,25.998,26.0,25.77,25.82,16051
2024-01-03,NMFCZ,25.83,25.87,25.695,25.78,13119
2024-01-04,NMFCZ,25.78,25.97,25.76,25.84,14173
2024-01-05,NMFCZ,25.87,26.1,25.8441,25.92,7477
2024-01-08,NMFCZ,25.98,26.0,25.74,26.0,57379
2024-01-09,NMFCZ,26.04,26.19,25.95,26.03,17680
2024-01-10,NMFCZ,26.03,26.2,25.98,25.98,31542
2024-01-11,NMFCZ,26.08,26.09,25.86,25.95,22263
2024-01-12,NMFCZ,26.04,26.04,25.88,25.95,9472
2024-01-16,NMFCZ,25.95,25.95,25.812,25.84,14723
2024-01-17,NMFCZ,25.9,25.9,25.73,25.83,8266
2024-01-18,NMFCZ,25.9999,25.9999,25.71,25.71,14954
2024-01-19,NMFCZ,25.75,25.8584,25.6335,25.8,26642
2024-01-22,NMFCZ,25.75,25.9,25.75,25.88,6034
2024-01-23,NMFCZ,25.88,26.0,25.77,25.87,35221
2024-01-24,NMFCZ,25.85,25.985,25.82,25.85,9704
2024-01-25,NMFCZ,25.83,25.95,25.7572,25.94,18564
2024-01-26,NMFCZ,26.0,26.0,25.94,25.97,12105
2024-01-29,NMFCZ,25.998,26.1394,25.97,25.97,20794
2024-01-30,NMFCZ,25.97,26.07,25.87,25.95,25352
2024-01-31,NMFCZ,25.8,26.1,25.8,25.91,35175
2024-02-01,NMFCZ,25.91,26.1,25.91,26.0,17161
2024-02-02,NMFCZ,25.98,26.29,25.69,25.745,85165
2024-02-05,NMFCZ,25.71,25.985,25.71,25.8,33482
2024-02-06,NMFCZ,25.67,26.0,25.61,25.72,18713
2024-02-07,NMFCZ,25.73,25.9,25.73,25.81,20255
2024-02-08,NMFCZ,25.82,25.98,25.81,25.9,16749
2024-02-09,NMFCZ,25.9,25.97,25.9,25.97,2181
2024-02-12,NMFCZ,25.981,26.04,25.837,26.04,12157
2024-02-13,NMFCZ,25.95,26.0986,25.93,25.99,7150
2024-02-14,NMFCZ,26.01,26.02,25.98,25.98,6000
2024-02-15,NMFCZ,25.94,26.05,25.8124,26.05,16174
2024-02-16,NMFCZ,26.0,26.0,25.7,25.81,42737
2024-02-20,NMFCZ,25.76,25.87,25.69,25.81,24147
2024-02-21,NMFCZ,25.79,25.885,25.69,25.71,41134
2024-02-22,NMFCZ,25.855,25.8681,25.76,25.76,3850
2024-02-23,NMFCZ,25.76,25.87,25.74,25.84,17543
2024-02-26,NMFCZ,25.76,25.81,25.72,25.81,7655
2024-02-27,NMFCZ,25.76,25.857,25.6,25.82,32921
2024-02-28,NMFCZ,25.74,25.81,25.67,25.69,17833
2024-02-29,NMFCZ,25.74,25.88,25.6801,25.88,46046
2024-03-01,NMFCZ,25.69,25.84,25.56,25.66,86818
2024-03-04,NMFCZ,25.725,25.725,25.6,25.68,14942
2024-03-05,NMFCZ,25.7,25.7768,25.68,25.73,9942
2024-03-06,NMFCZ,25.78,25.79,25.51,25.6,41095
2024-03-07,NMFCZ,25.715,25.7199,25.63,25.67,17974
2024-03-08,NMFCZ,25.61,25.785,25.61,25.76,12826
2024-03-11,NMFCZ,25.7,25.87,25.66,25.77,8534
2024-03-12,NMFCZ,25.8,25.8,25.68,25.77,11454
2024-03-13,NMFCZ,25.8,25.83,25.78,25.8,18628
2024-03-14,NMFCZ,25.8,25.8,25.6,25.66,14443
2024-03-15,NMFCZ,25.63,25.76,25.56,25.76,23045
2024-03-18,NMFCZ,25.74,25.84,25.71,25.79,7349
2024-03-19,NMFCZ,25.8099,25.9,25.64,25.65,73916
