date,ticker,open,high,low,close,volume
2020-01-02,NTNX,31.69,32.48,31.55,31.88,2197176
2020-01-03,NTNX,31.3,32.55,31.235,32.45,2402310
2020-01-06,NTNX,32.06,33.185,31.79,33.14,2425307
2020-01-07,NTNX,33.41,33.75,32.435,32.9,2560734
2020-01-08,NTNX,32.86,33.39,32.345,33.15,2712669
2020-01-09,NTNX,33.5,34.23,33.17,34.15,2938263
2020-01-10,NTNX,34.47,35.21,34.19,34.9,3744711
2020-01-13,NTNX,34.94,35.575,34.49,35.01,2063451
2020-01-14,NTNX,35.05,35.55,34.782,34.96,2151732
2020-01-15,NTNX,34.9,35.66,34.59,34.7,1670215
2020-01-16,NTNX,35.08,36.265,35.05,35.88,3362903
2020-01-17,NTNX,35.71,36.16,34.98,35.14,2541875
2020-01-21,NTNX,35.02,35.27,34.6,34.62,1529785
2020-01-22,NTNX,34.9,36.875,34.86,36.33,3954942
2020-01-23,NTNX,36.39,36.42,35.4,35.58,1812514
2020-01-24,NTNX,35.9,36.45,34.81,35.23,2167732
2020-01-27,NTNX,34.0,34.44,33.51,33.74,1576440
2020-01-28,NTNX,34.01,34.24,33.2,33.49,1558005
2020-01-29,NTNX,33.99,33.99,32.13,32.25,1550694
2020-01-30,NTNX,32.0,33.34,31.72,33.28,2338674
2020-01-31,NTNX,32.99,33.15,31.83,32.47,2074348
2020-02-03,NTNX,32.4,33.47,32.2,33.42,1476359
2020-02-04,NTNX,33.27,34.77,32.42,34.77,3054670
2020-02-05,NTNX,35.25,35.51,34.51,35.34,2109279
2020-02-06,NTNX,35.67,35.7552,35.18,35.5,1536169
2020-02-07,NTNX,35.46,35.6,34.71,35.01,1290925
2020-02-10,NTNX,35.01,35.39,34.35,35.08,1233788
2020-02-11,NTNX,35.46,35.87,34.71,34.91,1483520
2020-02-12,NTNX,35.56,36.2,35.27,36.04,2259264
2020-02-13,NTNX,35.66,36.22,35.301,35.72,1671321
2020-02-14,NTNX,35.75,36.7,35.7,36.65,1823080
2020-02-18,NTNX,36.39,37.4579,35.9462,37.07,2897108
2020-02-19,NTNX,37.4,37.74,36.87,37.42,2171172
2020-02-20,NTNX,37.63,37.86,36.34,37.3,2031750
2020-02-21,NTNX,37.02,37.12,35.73,36.97,1924825
2020-02-24,NTNX,34.96,36.25,34.59,36.01,2356293
2020-02-25,NTNX,37.35,37.35,34.44,34.7,3141352
2020-02-26,NTNX,35.27,35.27,32.26,32.63,5545391
2020-02-27,NTNX,24.48,26.35,23.02,23.3,21646243
2020-02-28,NTNX,22.74,24.32,22.07,23.84,6778512
2020-03-02,NTNX,24.63,24.85,22.9,24.09,4693058
2020-03-03,NTNX,23.95,24.38,22.031,22.1,5357688
2020-03-04,NTNX,22.55,22.84,21.875,22.82,3298392
2020-03-05,NTNX,22.26,22.41,21.22,21.64,3156704
2020-03-06,NTNX,20.99,21.31,19.915,20.25,4706749
2020-03-09,NTNX,18.2,19.381,17.0,17.5,6646468
2020-03-10,NTNX,18.67,18.73,16.75,17.46,5254834
2020-03-11,NTNX,17.02,17.02,15.52,15.85,6853786
2020-03-12,NTNX,14.3,15.1328,13.34,13.34,7085996
2020-03-13,NTNX,14.52,14.7,12.61,14.63,5828737
2020-03-16,NTNX,12.505,13.9714,12.48,12.49,5646250
2020-03-17,NTNX,12.91,13.43,11.31,13.1,5344824
2020-03-18,NTNX,12.05,13.92,11.78,12.8,6936556
2020-03-19,NTNX,12.67,14.21,12.265,14.06,4583308
2020-03-20,NTNX,14.58,16.31,14.0801,14.6,6026783
2020-03-23,NTNX,14.6,15.91,14.21,15.81,4921093
2020-03-24,NTNX,16.8,18.42,16.8,18.37,5715477
2020-03-25,NTNX,18.5,19.6875,17.31,18.08,5468679
2020-03-26,NTNX,18.73,19.0,16.93,17.62,6604153
2020-03-27,NTNX,16.92,17.38,16.4,16.93,3076477
2020-03-30,NTNX,16.92,17.25,15.9,16.03,3425207
2020-03-31,NTNX,15.9,16.86,15.67,15.8,3660923
2020-04-01,NTNX,15.21,15.68,14.56,14.78,2612531
2020-04-02,NTNX,14.66,15.25,14.07,14.53,2638103
2020-04-03,NTNX,14.24,14.59,13.76,14.33,2693371
2020-04-06,NTNX,15.11,16.15,14.91,16.03,3848440
2020-04-07,NTNX,17.19,17.19,15.84,15.97,2819244
2020-04-08,NTNX,16.46,16.98,16.22,16.5,3314502
2020-04-09,NTNX,16.97,17.27,16.15,16.35,4084578
2020-04-13,NTNX,16.4,17.2886,16.07,17.17,6038534
2020-04-14,NTNX,17.62,18.22,17.535,17.91,3422731
2020-04-15,NTNX,17.07,17.54,16.65,17.16,2663193
2020-04-16,NTNX,17.17,17.45,16.52,17.4,2018642
2020-04-17,NTNX,17.0,17.56,16.68,16.85,4247373
2020-04-20,NTNX,16.53,17.23,16.44,16.85,4127349
2020-04-21,NTNX,16.64,16.74,15.63,16.25,2514275
2020-04-22,NTNX,16.7,17.32,16.42,17.23,1917723
2020-04-23,NTNX,17.3,17.545,16.81,17.02,2406163
2020-04-24,NTNX,17.1,18.0,17.09,17.79,2759815
2020-04-27,NTNX,18.1,18.92,17.9,18.81,2851415
2020-04-28,NTNX,19.34,19.8,18.71,18.955,3188142
2020-04-29,NTNX,19.56,20.855,19.48,20.58,4186085
2020-04-30,NTNX,20.5,21.16,20.09,20.49,2616864
2020-05-01,NTNX,19.74,19.91,18.16,18.26,3767029
2020-05-04,NTNX,17.94,18.28,17.29,17.64,3301886
2020-05-05,NTNX,17.97,18.485,17.46,17.77,2780205
2020-05-06,NTNX,20.23,21.27,19.53,20.68,7610055
2020-05-07,NTNX,21.0,22.43,21.0,21.66,4941683
2020-05-08,NTNX,22.0,22.33,21.42,22.2,3164194
2020-05-11,NTNX,22.0,22.65,21.8901,22.055,2908507
2020-05-12,NTNX,22.12,22.44,21.16,21.21,2897557
2020-05-13,NTNX,21.22,21.5572,19.3548,20.1,3148769
2020-05-14,NTNX,19.72,19.9098,19.09,19.635,3274353
2020-05-15,NTNX,19.43,20.41,19.23,20.29,2354259
2020-05-18,NTNX,21.21,21.68,20.9,21.23,2127016
2020-05-19,NTNX,20.85,21.54,20.37,20.92,3072319
2020-05-20,NTNX,21.61,23.5,21.4,23.45,8641529
2020-05-21,NTNX,23.83,24.36,23.16,24.01,6269670
2020-05-22,NTNX,24.0,24.7,23.46,24.61,3723873
2020-05-26,NTNX,25.48,25.6,24.02,24.41,4661798
2020-05-27,NTNX,24.6,25.03,23.2,24.91,6262732
2020-05-28,NTNX,23.15,24.38,22.65,22.83,8504051
2020-05-29,NTNX,22.95,24.17,22.73,24.06,5627497
2020-06-01,NTNX,23.8,24.2,23.44,24.025,3549065
2020-06-02,NTNX,24.11,24.72,23.72,24.38,3168742
2020-06-03,NTNX,24.52,24.84,23.625,24.17,3557901
2020-06-04,NTNX,24.02,24.65,23.85,24.28,2375633
2020-06-05,NTNX,24.53,24.89,23.64,23.68,2804208
2020-06-08,NTNX,24.06,25.49,23.89,25.35,4017542
2020-06-09,NTNX,25.1,25.1,23.64,24.09,3191583
2020-06-10,NTNX,24.24,24.77,23.78,24.05,2521534
2020-06-11,NTNX,22.82,23.0697,21.035,21.21,3968258
2020-06-12,NTNX,22.26,22.63,21.5,22.52,2627106
2020-06-15,NTNX,21.95,23.27,21.69,23.16,2128838
2020-06-16,NTNX,24.07,24.39,23.1,23.39,2044682
2020-06-17,NTNX,23.35,23.8413,22.985,23.13,1776740
2020-06-18,NTNX,22.98,23.2242,22.59,22.93,2438323
2020-06-19,NTNX,23.16,23.87,22.915,23.21,3352092
2020-06-22,NTNX,23.17,23.32,22.79,23.12,1729889
2020-06-23,NTNX,23.29,24.085,23.1881,23.64,2008402
2020-06-24,NTNX,23.43,23.77,22.42,22.69,2078474
2020-06-25,NTNX,22.53,22.66,20.57,21.64,7098324
2020-06-26,NTNX,21.5,22.7417,21.15,22.65,4237496
2020-06-29,NTNX,22.51,22.8,21.89,22.8,1663495
2020-06-30,NTNX,22.84,23.795,22.7,23.705,2446194
2020-07-01,NTNX,23.36,24.1216,23.36,23.96,2294826
2020-07-02,NTNX,24.03,24.51,23.82,23.87,2320000
2020-07-06,NTNX,24.33,24.55,23.53,23.62,2080180
2020-07-07,NTNX,23.38,23.75,23.17,23.23,1134622
2020-07-08,NTNX,23.26,23.962,23.26,23.95,1225947
2020-07-09,NTNX,24.1,24.16,23.02,23.62,1515357
2020-07-10,NTNX,23.52,24.0,23.12,23.34,2000872
2020-07-13,NTNX,23.5,23.64,20.98,21.0,3963372
2020-07-14,NTNX,21.05,21.12,19.83,20.815,4124039
2020-07-15,NTNX,21.09,21.45,20.29,20.77,3354424
2020-07-16,NTNX,20.5,20.59,20.2,20.35,1970803
2020-07-17,NTNX,20.36,23.19,20.06,22.06,15464262
