date,ticker,open,high,low,close,volume
2021-08-05,OBT,33.8,37.0,33.8,34.1,272675
2021-08-06,OBT,34.89,34.89,34.0,34.15,35347
2021-08-09,OBT,34.69,34.69,34.0,34.15,35069
2021-08-10,OBT,34.23,34.89,34.0,34.21,11796
2021-08-11,OBT,34.99,34.99,34.01,34.08,5389
2021-08-12,OBT,34.43,34.43,34.03,34.03,2217
2021-08-13,OBT,34.25,34.25,34.0,34.02,3999
2021-08-16,OBT,34.01,34.25,34.0,34.19,3901
2021-08-17,OBT,34.2,34.25,34.01,34.21,6643
2021-08-18,OBT,34.49,34.49,34.01,34.01,5526
2021-08-19,OBT,34.02,34.35,34.0,34.22,10259
2021-08-20,OBT,34.25,34.49,34.01,34.02,10084
2021-08-23,OBT,34.13,34.13,34.02,34.02,600
2021-08-24,OBT,34.01,34.39,34.01,34.25,6351
2021-08-25,OBT,34.25,34.46,34.01,34.46,800
2021-08-26,OBT,34.16,34.5,34.16,34.5,2001
2021-08-27,OBT,34.4,34.98,34.4,34.98,6654
2021-08-30,OBT,34.52,34.55,34.52,34.55,2017
2021-08-31,OBT,34.52,34.75,34.12,34.74,2346
2021-09-01,OBT,34.99,34.99,34.95,34.99,1998
2021-09-02,OBT,34.75,35.49,34.38,35.49,1968
2021-09-03,OBT,35.2,35.7,34.3,34.99,3243
2021-09-07,OBT,34.99,35.99,34.3,35.99,25467
2021-09-08,OBT,35.0,35.5,34.29,34.29,4135
2021-09-09,OBT,34.75,34.75,34.01,34.01,15023
2021-09-10,OBT,34.75,35.49,34.36,35.49,3404
2021-09-13,OBT,35.32,35.44,34.06,34.06,3037
2021-09-14,OBT,35.29,35.99,34.01,35.0,4859
2021-09-15,OBT,35.5,35.6,34.9,35.0,4635
2021-09-16,OBT,35.1,35.65,34.5,35.65,12197
2021-09-17,OBT,35.0,35.6,34.01,34.01,32231
2021-09-20,OBT,34.0,34.51,34.0,34.11,2474
2021-09-21,OBT,34.15,34.41,33.82,33.82,3835
2021-09-22,OBT,33.82,34.87,33.82,34.0,795
2021-09-23,OBT,35.82,35.82,33.9,33.9,1084
2021-09-24,OBT,34.1,34.1,34.1,34.1,1105
2021-09-27,OBT,34.52,35.1,34.3,34.3,1899
2021-09-28,OBT,34.3,34.3,34.3,34.3,65
2021-09-29,OBT,34.95,34.95,34.3,34.3,42254
2021-09-30,OBT,34.3,35.15,34.3,35.15,32659
2021-10-01,OBT,33.96,35.49,33.96,35.48,663
2021-10-04,OBT,35.01,35.48,34.01,34.5,4377
2021-10-05,OBT,34.23,35.0,33.8,34.17,17706
