date,ticker,open,high,low,close,volume
2020-01-02,PBPB,4.27,4.32,4.15,4.24,284914
2020-01-03,PBPB,4.18,4.36,4.18,4.32,131949
2020-01-06,PBPB,4.35,4.43,4.25,4.35,99460
2020-01-07,PBPB,4.37,4.43,4.24,4.3,169445
2020-01-08,PBPB,4.3,4.4,4.19,4.31,153310
2020-01-09,PBPB,4.31,4.44,4.3,4.33,112888
2020-01-10,PBPB,4.32,4.4,4.22,4.33,248047
2020-01-13,PBPB,4.33,4.41,4.12,4.15,241932
2020-01-14,PBPB,4.12,4.29,4.12,4.18,184269
2020-01-15,PBPB,4.14,4.25,4.09,4.13,252579
2020-01-16,PBPB,4.19,4.28,4.16,4.22,251263
2020-01-17,PBPB,4.26,4.26,4.15,4.18,109994
2020-01-21,PBPB,4.16,4.33,4.13,4.29,130514
2020-01-22,PBPB,4.31,4.31,4.0,4.03,920968
2020-01-23,PBPB,4.06,4.13,3.87,4.08,391934
2020-01-24,PBPB,4.04,4.19,4.01,4.17,137139
2020-01-27,PBPB,4.1,4.13,3.93,4.03,185199
2020-01-28,PBPB,4.06,4.15,3.99,4.12,181047
2020-01-29,PBPB,4.1,4.31,4.07,4.29,288446
2020-01-30,PBPB,4.27,4.29,4.19,4.23,169703
2020-01-31,PBPB,4.21,4.34,4.19,4.31,234137
2020-02-03,PBPB,4.31,4.43,4.28,4.4,370179
2020-02-04,PBPB,4.44,4.74,4.4,4.66,245706
2020-02-05,PBPB,4.72,5.0,4.72,4.91,326735
2020-02-06,PBPB,4.94,5.09,4.9,4.97,479654
2020-02-07,PBPB,4.93,4.98,4.86,4.86,181883
2020-02-10,PBPB,4.86,4.9,4.69,4.8,162688
2020-02-11,PBPB,4.83,4.9,4.66,4.89,208309
2020-02-12,PBPB,4.9,5.01,4.83,4.96,224909
2020-02-13,PBPB,4.9,5.04,4.76,5.01,71336
2020-02-14,PBPB,5.0,5.17,4.92,5.06,183598
2020-02-18,PBPB,5.04,5.08,4.96,5.0,258594
2020-02-19,PBPB,5.01,5.07,4.94,5.0,185305
2020-02-20,PBPB,4.99,5.7,4.99,5.6,749136
2020-02-21,PBPB,5.51,6.0,5.43,5.81,340052
2020-02-24,PBPB,5.65,5.8,5.56,5.7,187815
2020-02-25,PBPB,5.66,5.73,5.36,5.43,308391
2020-02-26,PBPB,5.54,6.0,5.43,5.51,613855
2020-02-27,PBPB,5.4,5.4,4.93,4.94,648724
2020-02-28,PBPB,4.71,5.1,4.7,5.0,359280
2020-03-02,PBPB,5.02,5.08,4.82,4.99,510495
2020-03-03,PBPB,5.03,5.15,4.87,4.96,535349
2020-03-04,PBPB,5.08,5.08,4.76,4.81,305279
2020-03-05,PBPB,4.73,4.73,4.22,4.27,265701
2020-03-06,PBPB,4.16,4.26,4.0,4.1,260869
2020-03-09,PBPB,4.0,4.03,3.72,3.83,363841
2020-03-10,PBPB,3.99,4.0,3.77,3.87,368193
2020-03-11,PBPB,3.76,3.78,3.58,3.71,263509
2020-03-12,PBPB,3.5,3.54,3.09,3.1,349180
2020-03-13,PBPB,3.26,3.26,2.9,2.98,383010
2020-03-16,PBPB,2.69,2.93,2.58,2.62,527347
2020-03-17,PBPB,2.61,2.65,2.21,2.37,230920
2020-03-18,PBPB,2.25,2.29,1.5,1.84,399035
2020-03-19,PBPB,1.84,2.24,1.71,2.24,437880
2020-03-20,PBPB,2.25,2.34,2.0,2.08,377584
2020-03-23,PBPB,2.07,2.19,2.0,2.01,237404
2020-03-24,PBPB,2.11,2.54,2.08,2.35,551229
2020-03-25,PBPB,2.42,3.02,2.41,3.0,604292
2020-03-26,PBPB,3.05,3.34,2.96,3.29,399026
2020-03-27,PBPB,3.16,3.16,2.81,3.06,575043
2020-03-30,PBPB,2.98,3.09,2.75,2.99,375612
2020-03-31,PBPB,3.0,3.09,2.76,3.09,374787
2020-04-01,PBPB,2.92,3.05,2.69,3.04,453023
2020-04-02,PBPB,3.03,3.03,2.8,3.01,181411
2020-04-03,PBPB,2.97,3.09,2.74,3.05,331087
2020-04-06,PBPB,3.11,3.35,3.06,3.23,252639
2020-04-07,PBPB,3.29,3.55,3.28,3.46,354525
2020-04-08,PBPB,3.48,3.64,3.3,3.61,145156
2020-04-09,PBPB,3.69,3.95,3.47,3.7,205097
2020-04-13,PBPB,3.72,3.72,3.43,3.53,88586
2020-04-14,PBPB,3.66,3.72,3.37,3.63,174551
2020-04-15,PBPB,3.44,3.48,3.34,3.42,110146
2020-04-16,PBPB,3.45,3.45,3.27,3.36,131744
2020-04-17,PBPB,3.48,3.67,3.45,3.6,117474
2020-04-20,PBPB,3.63,3.74,3.39,3.47,147404
2020-04-21,PBPB,3.39,3.44,3.23,3.3,116055
2020-04-22,PBPB,3.36,3.46,3.29,3.33,136395
2020-04-23,PBPB,3.36,3.36,3.14,3.17,123348
2020-04-24,PBPB,3.17,3.19,3.01,3.01,176284
2020-04-27,PBPB,3.16,3.23,3.03,3.05,190040
2020-04-28,PBPB,3.1,3.13,3.0,3.06,234597
2020-04-29,PBPB,3.15,3.6,3.15,3.47,1073110
2020-04-30,PBPB,3.51,3.6,3.3,3.45,368324
2020-05-01,PBPB,3.28,3.36,3.1,3.15,177762
2020-05-04,PBPB,3.13,3.14,2.94,2.99,181866
2020-05-05,PBPB,3.1,3.11,2.84,2.89,323770
2020-05-06,PBPB,2.9,2.9,2.69,2.69,186318
2020-05-07,PBPB,2.72,2.93,2.7,2.89,232516
2020-05-08,PBPB,2.97,2.99,2.84,2.99,269766
2020-05-11,PBPB,2.93,3.13,2.84,2.99,318857
2020-05-12,PBPB,3.02,3.11,2.91,2.95,316537
2020-05-13,PBPB,2.75,2.79,2.21,2.25,673655
2020-05-14,PBPB,2.2,2.34,2.1,2.21,343985
2020-05-15,PBPB,2.21,2.21,2.02,2.05,412159
2020-05-18,PBPB,2.2,2.25,2.1,2.24,322314
2020-05-19,PBPB,2.29,2.32,2.06,2.1,534031
2020-05-20,PBPB,2.09,2.13,2.02,2.04,395838
2020-05-21,PBPB,2.03,2.04,1.96,1.98,407911
2020-05-22,PBPB,2.0,2.0,1.8,1.82,746007
2020-05-26,PBPB,1.95,1.96,1.78,1.78,653528
2020-05-27,PBPB,1.8,2.35,1.79,2.3,1532326
2020-05-28,PBPB,2.27,2.45,2.06,2.12,876805
2020-05-29,PBPB,2.1,2.18,2.05,2.1,404947
2020-06-01,PBPB,2.1,2.15,2.06,2.07,300068
2020-06-02,PBPB,2.06,2.27,2.06,2.21,401897
2020-06-03,PBPB,2.26,2.45,2.26,2.28,820019
2020-06-04,PBPB,2.55,2.89,2.51,2.85,2057384
2020-06-05,PBPB,3.12,3.14,2.85,2.89,1148624
2020-06-08,PBPB,3.0,3.26,2.97,3.14,955563
2020-06-09,PBPB,2.93,3.14,2.81,3.04,957497
2020-06-10,PBPB,2.99,2.99,2.75,2.76,542831
2020-06-11,PBPB,2.48,2.72,2.28,2.44,912729
2020-06-12,PBPB,2.77,2.77,2.51,2.62,351879
2020-06-15,PBPB,2.53,2.65,2.41,2.57,591971
2020-06-16,PBPB,2.62,2.74,2.41,2.5,718898
2020-06-17,PBPB,2.51,2.55,2.4,2.42,270677
2020-06-18,PBPB,2.4,2.43,2.31,2.4,343570
2020-06-19,PBPB,2.41,2.47,2.31,2.38,807779
2020-06-22,PBPB,2.37,2.42,2.27,2.35,439465
2020-06-23,PBPB,2.39,2.4,2.12,2.16,1124809
2020-06-24,PBPB,2.14,2.24,2.06,2.21,869056
2020-06-25,PBPB,2.18,2.21,2.0,2.18,914914
2020-06-26,PBPB,2.16,2.19,2.0,2.15,2777134
2020-06-29,PBPB,2.17,2.42,2.15,2.36,656223
2020-06-30,PBPB,2.36,2.4,2.26,2.28,201833
2020-07-01,PBPB,2.29,2.39,2.14,2.14,231176
2020-07-02,PBPB,2.2,2.31,2.16,2.2,319443
