date,ticker,open,high,low,close,volume
2020-01-02,PPC,32.75,32.9407,31.82,32.18,672063
2020-01-03,PPC,31.94,32.44,31.82,32.29,656174
2020-01-06,PPC,32.12,32.14,31.12,31.43,926871
2020-01-07,PPC,31.4,31.7,30.87,30.95,616233
2020-01-08,PPC,30.98,31.46,30.89,30.94,586613
2020-01-09,PPC,30.94,31.2,30.64,30.81,569327
2020-01-10,PPC,30.91,31.66,30.9,31.47,713993
2020-01-13,PPC,31.55,32.18,31.55,31.92,733898
2020-01-14,PPC,31.89,31.93,31.46,31.57,714400
2020-01-15,PPC,31.52,31.76,30.345,30.43,852993
2020-01-16,PPC,30.0,30.495,29.148,29.925,1080329
2020-01-17,PPC,29.93,30.1089,29.37,29.5,719333
2020-01-21,PPC,29.54,29.63,28.73,28.78,697491
2020-01-22,PPC,28.85,29.26,28.515,28.55,825749
2020-01-23,PPC,28.5,28.73,28.094,28.64,546565
2020-01-24,PPC,28.65,28.74,27.7414,27.87,461248
2020-01-27,PPC,27.5,27.53,26.64,26.715,1018788
2020-01-28,PPC,26.76,27.765,26.685,27.52,1126177
2020-01-29,PPC,27.56,27.59,26.51,26.59,986116
2020-01-30,PPC,26.41,26.97,26.2044,26.93,744909
2020-01-31,PPC,26.8,26.98,26.0,26.05,741892
2020-02-03,PPC,26.23,27.13,26.03,27.03,1073117
2020-02-04,PPC,27.38,27.56,26.742,26.78,746904
2020-02-05,PPC,27.03,27.37,26.55,26.67,857725
2020-02-06,PPC,26.62,26.73,25.87,26.295,904286
2020-02-07,PPC,26.19,26.53,25.91,26.42,1103886
2020-02-10,PPC,26.29,26.51,25.98,26.49,802736
2020-02-11,PPC,26.47,27.03,26.38,26.41,554367
2020-02-12,PPC,26.5,26.59,26.28,26.35,568261
2020-02-13,PPC,26.2,26.76,25.9,26.6,656347
2020-02-14,PPC,26.6,26.62,26.14,26.22,435293
2020-02-18,PPC,26.1,26.25,25.46,25.565,803122
2020-02-19,PPC,25.6,25.91,25.46,25.47,613894
2020-02-20,PPC,25.49,25.63,25.13,25.4,678709
2020-02-21,PPC,25.01,25.6,23.83,24.24,1581677
2020-02-24,PPC,23.385,23.72,22.59,22.98,1143561
2020-02-25,PPC,23.04,23.24,22.6,22.755,1677130
2020-02-26,PPC,22.8,22.98,21.89,22.0,1636343
2020-02-27,PPC,21.44,22.13,21.13,21.145,1410510
2020-02-28,PPC,20.51,21.19,20.23,21.16,1759159
2020-03-02,PPC,21.22,21.82,20.88,21.49,1191859
2020-03-03,PPC,21.4,21.78,20.76,21.06,1461630
2020-03-04,PPC,21.34,21.765,20.98,21.69,1200552
2020-03-05,PPC,21.18,21.47,21.04,21.24,1382426
2020-03-06,PPC,20.51,21.6,20.49,21.51,1378651
2020-03-09,PPC,20.24,21.25,20.07,20.11,1353023
2020-03-10,PPC,20.55,20.935,19.07,19.87,1454894
2020-03-11,PPC,19.37,19.74,18.22,18.4,1634117
2020-03-12,PPC,17.41,17.755,16.49,17.11,1602203
2020-03-13,PPC,17.85,19.12,16.93,19.07,1439878
2020-03-16,PPC,17.49,18.18,15.85,16.17,1360740
2020-03-17,PPC,16.4,17.73,16.2801,17.71,2096436
2020-03-18,PPC,16.94,17.75,15.75,16.34,1919032
2020-03-19,PPC,16.05,18.44,15.78,18.05,1631263
2020-03-20,PPC,18.19,19.56,17.5,17.65,1601152
2020-03-23,PPC,17.55,17.99,17.13,17.49,1088001
2020-03-24,PPC,18.55,19.42,17.92,18.81,1289445
2020-03-25,PPC,18.81,19.39,18.04,18.2,1148500
2020-03-26,PPC,18.21,19.0,17.91,18.56,1004315
2020-03-27,PPC,18.03,18.4095,17.6795,18.02,873950
2020-03-30,PPC,18.11,18.735,18.0,18.7,774738
2020-03-31,PPC,18.71,18.72,17.83,18.12,1652465
2020-04-01,PPC,17.54,18.28,17.27,17.75,887963
2020-04-02,PPC,17.53,18.25,17.345,17.71,821532
2020-04-03,PPC,17.56,17.9,17.22,17.61,772400
2020-04-06,PPC,18.06,18.74,18.02,18.23,1063996
2020-04-07,PPC,18.68,19.0121,18.21,18.44,1232010
2020-04-08,PPC,18.53,19.06,18.4514,18.74,552311
2020-04-09,PPC,18.89,19.49,18.7,19.21,703364
2020-04-13,PPC,19.5,19.795,18.96,19.59,1054568
2020-04-14,PPC,19.93,20.3,19.65,20.08,834534
2020-04-15,PPC,19.9,19.99,19.46,19.74,1264401
2020-04-16,PPC,19.76,20.477,19.24,19.465,1118360
2020-04-17,PPC,19.88,19.97,19.13,19.43,1285246
2020-04-20,PPC,19.19,19.49,18.92,18.93,1310826
2020-04-21,PPC,18.73,18.78,17.925,17.96,1005429
2020-04-22,PPC,18.16,19.06,18.12,18.94,1058813
2020-04-23,PPC,19.07,20.19,19.07,19.94,1158884
2020-04-24,PPC,19.95,20.065,19.4681,19.645,991691
2020-04-27,PPC,19.82,20.675,19.82,20.53,715875
2020-04-28,PPC,20.98,21.99,20.88,21.31,1873221
2020-04-29,PPC,21.89,22.43,21.68,22.01,1257622
2020-04-30,PPC,22.0,22.56,21.005,22.0,2067558
2020-05-01,PPC,21.5,21.63,20.59,20.7,1293297
2020-05-04,PPC,20.3,20.805,19.725,20.16,1108966
2020-05-05,PPC,20.3,20.68,20.13,20.215,789906
2020-05-06,PPC,20.22,20.5549,19.525,19.68,790607
2020-05-07,PPC,19.9,20.795,19.74,20.56,823500
2020-05-08,PPC,21.18,21.51,20.72,21.29,1055299
2020-05-11,PPC,21.97,22.18,21.47,21.79,1120266
2020-05-12,PPC,21.98,22.14,21.48,21.48,1016938
2020-05-13,PPC,21.51,21.555,20.51,20.77,1086530
2020-05-14,PPC,20.56,20.96,20.1,20.96,807959
