date,ticker,open,high,low,close,volume
2020-01-02,IBRX,3.83,4.124,3.76,3.96,558805
2020-01-03,IBRX,3.95,4.38,3.92,4.04,1118485
2020-01-06,IBRX,3.9,3.99,3.8,3.81,533972
2020-01-07,IBRX,3.84,3.9,3.41,3.49,753730
2020-01-08,IBRX,3.48,3.79,3.4784,3.7,375805
2020-01-09,IBRX,3.75,3.88,3.42,3.48,518011
2020-01-10,IBRX,3.54,3.69,3.35,3.56,510801
2020-01-13,IBRX,3.56,6.8,3.46,6.8,4435098
2020-01-14,IBRX,6.55,6.6139,4.43,4.9,6387085
2020-01-15,IBRX,4.64,5.62,4.5,5.3,2621789
2020-01-16,IBRX,5.35,9.9,5.34,7.38,32546841
2020-01-17,IBRX,6.95,8.36,6.75,7.35,7420571
2020-01-21,IBRX,7.39,7.46,6.0,6.26,4264678
2020-01-22,IBRX,6.27,7.67,5.7,7.23,6583616
2020-01-23,IBRX,7.0,7.54,6.4,6.77,3274872
2020-01-24,IBRX,6.67,7.19,6.49,6.53,1446868
2020-01-27,IBRX,6.21,6.88,6.015,6.18,1821891
2020-01-28,IBRX,6.17,7.2,6.0921,6.71,3723263
2020-01-29,IBRX,6.8,7.27,6.4,6.76,2092988
2020-01-30,IBRX,6.86,7.15,6.5,6.59,1376593
2020-01-31,IBRX,6.62,6.7,6.07,6.32,1295072
2020-02-03,IBRX,6.26,6.74,6.21,6.69,916822
2020-02-04,IBRX,6.7,7.16,6.53,6.8,1932349
2020-02-05,IBRX,6.96,7.091,6.4505,6.49,979945
2020-02-06,IBRX,6.53,6.89,6.22,6.42,1290311
2020-02-07,IBRX,6.29,6.48,6.1,6.44,829034
2020-02-10,IBRX,6.47,6.98,6.31,6.69,1901312
2020-02-11,IBRX,6.84,7.2,6.52,6.64,2245818
2020-02-12,IBRX,6.65,6.773,6.4,6.46,594265
2020-02-13,IBRX,6.37,6.57,6.15,6.2,1076230
2020-02-14,IBRX,6.24,6.54,6.16,6.3,740008
2020-02-18,IBRX,6.3,6.3,5.5332,5.94,1764331
2020-02-19,IBRX,6.01,6.1897,5.7,6.07,870350
2020-02-20,IBRX,6.05,6.33,5.81,5.96,814896
2020-02-21,IBRX,5.92,5.9799,5.58,5.75,1340494
2020-02-24,IBRX,5.46,5.6,5.14,5.4,983797
2020-02-25,IBRX,5.42,5.48,4.7,4.89,1037822
2020-02-26,IBRX,4.7,5.1,4.66,4.93,750075
2020-02-27,IBRX,4.78,4.89,4.44,4.68,1063318
2020-02-28,IBRX,4.3,4.95,4.25,4.84,1005680
2020-03-02,IBRX,4.85,5.21,4.59,5.1,911054
2020-03-03,IBRX,5.17,5.4,4.8686,5.02,996512
2020-03-04,IBRX,5.08,5.81,5.04,5.43,1009157
2020-03-05,IBRX,5.27,5.43,5.0,5.07,612464
2020-03-06,IBRX,4.85,5.0498,4.64,4.89,828708
2020-03-09,IBRX,4.41,4.62,4.17,4.4,717823
2020-03-10,IBRX,4.55,4.69,3.98,4.17,492843
2020-03-11,IBRX,4.07,4.1,3.43,3.52,853423
2020-03-12,IBRX,3.07,3.29,2.9,2.9,1213944
2020-03-13,IBRX,3.29,3.3344,2.89,3.09,833861
2020-03-16,IBRX,2.9,3.15,2.6601,3.0,719986
2020-03-17,IBRX,3.0,3.32,2.8,3.28,533359
2020-03-18,IBRX,3.05,3.1899,2.6,2.73,515340
2020-03-19,IBRX,2.78,3.0,2.6411,2.91,399726
2020-03-20,IBRX,3.05,3.05,2.76,2.87,401203
2020-03-23,IBRX,2.92,2.93,2.66,2.82,377397
2020-03-24,IBRX,3.0,3.1,2.86,2.98,701010
2020-03-25,IBRX,3.0,3.39,2.79,2.99,1106477
2020-03-26,IBRX,3.03,3.75,2.97,3.47,1041012
2020-03-27,IBRX,3.35,3.35,3.09,3.15,488683
2020-03-30,IBRX,3.18,3.2,3.07,3.14,417311
2020-03-31,IBRX,3.08,3.1,2.83,2.88,736081
2020-04-01,IBRX,2.84,2.96,2.66,2.72,451179
2020-04-02,IBRX,2.72,2.82,2.55,2.65,500529
2020-04-03,IBRX,2.66,2.84,2.52,2.6,554827
2020-04-06,IBRX,2.7,3.02,2.67,3.0,680064
2020-04-07,IBRX,3.09,3.14,2.79,2.85,610338
2020-04-08,IBRX,2.89,3.02,2.83,2.95,777954
2020-04-09,IBRX,3.06,3.09,2.91,2.99,762946
2020-04-13,IBRX,2.99,3.16,2.92,3.14,789755
2020-04-14,IBRX,4.27,4.29,3.26,3.39,5103946
2020-04-15,IBRX,3.26,3.35,3.0401,3.29,813559
2020-04-16,IBRX,3.2,3.35,3.05,3.33,805157
2020-04-17,IBRX,3.4,3.46,3.25,3.3,713229
2020-04-20,IBRX,3.25,3.92,3.16,3.56,1361889
2020-04-21,IBRX,3.58,3.7,3.35,3.54,658519
2020-04-22,IBRX,3.66,3.66,3.3,3.41,909191
2020-04-23,IBRX,3.49,3.69,3.4,3.55,491579
2020-04-24,IBRX,3.65,3.71,3.43,3.63,696012
2020-04-27,IBRX,3.7,3.97,3.6097,3.89,782865
2020-04-28,IBRX,4.0,4.025,3.5,3.57,818950
2020-04-29,IBRX,3.65,3.89,3.575,3.78,556559
2020-04-30,IBRX,3.89,4.23,3.8,3.9,1212000
2020-05-01,IBRX,3.95,4.01,3.4899,3.63,908283
2020-05-04,IBRX,3.56,4.025,3.52,3.96,589014
2020-05-05,IBRX,4.1,4.143,3.86,3.9,844958
2020-05-06,IBRX,3.9,4.38,3.85,4.2,863854
2020-05-07,IBRX,4.24,4.29,4.03,4.2,596981
2020-05-08,IBRX,4.21,4.43,4.125,4.23,652792
2020-05-11,IBRX,4.4,5.54,4.3432,5.16,2529376
2020-05-12,IBRX,5.18,5.45,4.96,4.97,1145945
2020-05-13,IBRX,5.15,5.25,4.4675,4.88,1190094
2020-05-14,IBRX,4.91,5.4,4.6,5.15,1049403
2020-05-15,IBRX,4.73,4.89,4.15,4.355,1554871
2020-05-18,IBRX,5.02,5.12,4.46,4.83,1791965
2020-05-19,IBRX,4.83,4.98,4.58,4.77,701448
2020-05-20,IBRX,4.77,5.15,4.76,5.05,814384
2020-05-21,IBRX,5.06,5.8,4.9301,5.72,2107416
2020-05-22,IBRX,5.78,5.7899,5.17,5.58,1012124
2020-05-26,IBRX,5.6,5.75,5.36,5.45,800055
2020-05-27,IBRX,5.51,8.34,5.1,7.58,22465025
2020-05-28,IBRX,7.1135,7.39,6.56,6.61,3122875
2020-05-29,IBRX,6.62,6.9,6.41,6.74,1212484
2020-06-01,IBRX,6.94,7.77,6.69,7.5,1664234
2020-06-02,IBRX,7.59,7.755,7.13,7.49,1011447
2020-06-03,IBRX,7.55,7.96,7.16,7.4,1592268
2020-06-04,IBRX,7.16,7.2971,6.12,6.21,2182692
2020-06-05,IBRX,6.5,6.63,5.53,5.54,1688267
2020-06-08,IBRX,5.55,6.03,5.54,5.84,847939
2020-06-09,IBRX,5.77,5.94,5.605,5.65,778379
2020-06-10,IBRX,6.447,6.63,6.0301,6.21,1838216
2020-06-11,IBRX,8.07,8.49,6.58,6.675,12608885
2020-06-12,IBRX,7.09,7.46,6.7,6.88,2024702
2020-06-15,IBRX,6.8,8.66,6.5,8.32,5951639
2020-06-16,IBRX,8.38,8.55,7.54,8.05,2019872
2020-06-17,IBRX,8.01,8.72,7.68,7.695,1725269
2020-06-18,IBRX,7.62,8.3,7.55,8.15,1054452
2020-06-19,IBRX,8.25,9.02,8.22,8.84,1951624
2020-06-22,IBRX,9.71,13.11,9.25,11.13,14164659
2020-06-23,IBRX,11.42,13.05,11.02,11.8,5066897
2020-06-24,IBRX,11.63,12.59,11.18,12.14,2644693
2020-06-25,IBRX,10.6,11.84,10.58,11.12,5729757
2020-06-26,IBRX,11.15,11.5,9.55,9.95,7266787
2020-06-29,IBRX,10.21,10.92,9.95,10.82,1893256
2020-06-30,IBRX,11.15,13.0,11.0815,12.28,4192726
2020-07-01,IBRX,12.13,12.6,11.468,11.74,1778170
2020-07-02,IBRX,11.77,12.08,11.17,11.99,2193624
2020-07-06,IBRX,12.55,12.8,11.7,11.86,1957967
2020-07-07,IBRX,12.23,12.43,11.6301,12.26,1527181
2020-07-08,IBRX,13.2165,15.0,12.7,14.99,4662629
2020-07-09,IBRX,14.79,15.338,13.45,14.09,2690666
2020-07-10,IBRX,13.98,14.5,13.6,13.8,1037261
2020-07-13,IBRX,13.9,14.27,13.0404,13.21,1507770
2020-07-14,IBRX,13.04,13.74,12.3,13.52,2257967
2020-07-15,IBRX,13.99,14.27,13.1601,13.77,1113148
2020-07-16,IBRX,13.26,13.5,12.84,13.45,924169
2020-07-17,IBRX,13.44,14.3277,13.4,13.83,1119524
2020-07-20,IBRX,14.11,15.7,13.91,15.36,2231542
2020-07-21,IBRX,15.22,15.59,14.74,15.18,1125732
2020-07-22,IBRX,15.15,15.37,14.5,14.97,821564
2020-07-23,IBRX,14.95,15.19,13.5101,13.66,1268324
2020-07-24,IBRX,13.49,13.59,12.51,13.24,1051033
2020-07-27,IBRX,13.39,13.67,12.83,13.49,770622
2020-07-28,IBRX,13.3,13.6,12.72,12.82,780189
2020-07-29,IBRX,12.81,13.295,12.66,13.11,865064
2020-07-30,IBRX,12.95,13.67,12.66,13.43,896516
2020-07-31,IBRX,13.13,13.657,11.05,11.18,2566799
2020-08-03,IBRX,11.8,12.7199,11.355,12.04,1914816
2020-08-04,IBRX,11.8,11.99,10.87,11.07,1603335
2020-08-05,IBRX,11.12,11.4,10.65,10.89,1817477
2020-08-06,IBRX,10.97,11.05,10.26,10.51,1354676
2020-08-07,IBRX,10.2835,10.9,10.2201,10.52,1418636
2020-08-10,IBRX,10.64,11.53,10.38,11.27,2354683
2020-08-11,IBRX,11.07,11.21,9.29,9.45,2401822
2020-08-12,IBRX,9.42,9.69,8.68,9.31,1990062
2020-08-13,IBRX,9.29,9.6557,9.03,9.28,1195922
2020-08-14,IBRX,9.1,9.24,8.75,8.85,1321558
2020-08-17,IBRX,8.75,9.12,8.49,8.91,1308382
2020-08-18,IBRX,8.93,9.07,8.51,8.75,833844
2020-08-19,IBRX,8.74,9.32,8.56,8.92,1201628
2020-08-20,IBRX,8.98,8.98,8.56,8.63,1100141
2020-08-21,IBRX,8.56,8.58,7.87,8.04,1803485
2020-08-24,IBRX,8.29,8.42,7.62,7.77,1281884
2020-08-25,IBRX,7.8,7.895,7.5,7.84,976627
2020-08-26,IBRX,7.83,7.99,7.3,7.39,1267504
2020-08-27,IBRX,7.3,7.4,6.93,7.31,1322829
2020-08-28,IBRX,7.31,7.39,7.04,7.31,846546
2020-08-31,IBRX,7.38,7.49,7.15,7.3,1022328
2020-09-01,IBRX,7.3,7.36,6.5501,6.67,1328544
2020-09-02,IBRX,6.68,7.17,6.26,6.97,1388144
2020-09-03,IBRX,6.86,7.5,6.51,6.67,1400951
2020-09-04,IBRX,6.61,6.7778,6.03,6.41,885132
2020-09-08,IBRX,6.22,6.69,6.09,6.37,771706
2020-09-09,IBRX,6.41,6.83,6.3529,6.58,877293
2020-09-10,IBRX,6.68,6.94,6.52,6.54,882782
2020-09-11,IBRX,6.56,6.86,6.51,6.6,675302
2020-09-14,IBRX,6.84,8.27,6.84,8.09,2822342
2020-09-15,IBRX,8.08,8.287,7.4,7.72,1989904
2020-09-16,IBRX,7.6135,8.78,7.6135,8.21,2116286
2020-09-17,IBRX,8.0,8.44,7.71,8.33,1117125
2020-09-18,IBRX,8.42,8.71,8.13,8.49,1629330
2020-09-21,IBRX,8.13,8.31,7.77,8.05,1070315
2020-09-22,IBRX,8.06,8.157,7.58,7.74,611569
2020-09-23,IBRX,7.76,7.845,6.915,7.0,784422
2020-09-24,IBRX,6.83,7.105,6.6357,6.85,624803
2020-09-25,IBRX,6.83,7.21,6.81,7.18,551890
2020-09-28,IBRX,7.25,7.2928,6.86,7.19,911622
2020-09-29,IBRX,7.12,7.365,6.97,7.18,586191
2020-09-30,IBRX,7.21,7.22,6.83,6.935,1359938
2020-10-01,IBRX,6.95,7.16,6.84,7.055,765861
2020-10-02,IBRX,6.92,7.1799,6.87,7.04,496843
2020-10-05,IBRX,7.1,7.94,7.0936,7.89,1172471
2020-10-06,IBRX,7.95,8.1,7.44,7.65,990245
2020-10-07,IBRX,7.62,8.66,7.62,8.53,1570808
2020-10-08,IBRX,8.9701,8.9701,8.16,8.26,1087106
2020-10-09,IBRX,8.45,8.8,8.1,8.74,934635
2020-10-12,IBRX,8.95,8.98,8.38,8.54,652339
2020-10-13,IBRX,8.49,9.52,8.49,9.44,1274682
2020-10-14,IBRX,9.68,9.94,9.05,9.05,1224845
2020-10-15,IBRX,9.65,10.17,9.22,9.62,2016056
2020-10-16,IBRX,9.65,9.79,9.0,9.22,1027310
2020-10-19,IBRX,9.32,9.34,8.6,8.65,775657
2020-10-20,IBRX,8.68,8.79,8.26,8.45,607466
2020-10-21,IBRX,8.27,8.62,7.58,7.61,1011221
2020-10-22,IBRX,7.76,8.15,7.625,8.035,834954
2020-10-23,IBRX,8.4,8.62,8.01,8.58,1024098
2020-10-26,IBRX,8.7,9.22,8.47,9.03,1291532
2020-10-27,IBRX,9.12,9.31,8.11,8.35,1129164
2020-10-28,IBRX,8.08,8.09,7.305,7.46,1097140
2020-10-29,IBRX,7.5,8.09,7.37,8.04,915663
2020-10-30,IBRX,7.99,8.25,7.36,7.51,666734
2020-11-02,IBRX,7.71,7.85,7.23,7.53,910414
2020-11-03,IBRX,7.59,8.045,7.4601,7.96,635201
2020-11-04,IBRX,7.9,8.3,7.9,8.18,709718
2020-11-05,IBRX,8.2,8.49,7.81,8.36,648891
2020-11-06,IBRX,8.24,8.73,7.97,8.11,1049442
2020-11-09,IBRX,7.38,7.43,6.8,7.11,1518228
2020-11-10,IBRX,7.49,7.87,7.05,7.83,950718
2020-11-11,IBRX,7.85,8.2999,7.7034,7.87,1094189
2020-11-12,IBRX,7.84,8.33,7.7001,8.08,646906
2020-11-13,IBRX,8.21,8.3,7.8,8.05,474357
2020-11-16,IBRX,8.0,8.43,7.9465,8.38,535189
2020-11-17,IBRX,8.38,8.38,7.8023,8.27,684508
