date,ticker,open,high,low,close,volume
2020-01-02,NYMTM,24.036,24.093,23.922,24.055,103257
2020-01-03,NYMTM,24.027,24.169,24.027,24.16,65238
2020-01-06,NYMTM,24.265,24.265,24.045,24.045,57851
2020-01-07,NYMTM,24.151,24.151,23.96,23.998,71840
2020-01-08,NYMTM,24.151,24.151,23.998,24.017,65776
2020-01-09,NYMTM,24.027,24.169,23.998,24.131,36303
2020-01-10,NYMTM,24.131,24.298,24.111,24.284,48964
2020-01-13,NYMTM,24.312,24.312,24.056,24.122,49520
2020-01-14,NYMTM,24.141,24.312,24.141,24.236,38015
2020-01-15,NYMTM,24.16,24.241,24.141,24.189,52963
2020-01-16,NYMTM,24.141,24.274,24.056,24.274,49822
2020-01-17,NYMTM,24.284,24.693,24.284,24.693,62807
2020-01-21,NYMTM,24.712,24.731,24.379,24.389,30731
2020-01-22,NYMTM,24.712,24.712,24.389,24.389,22770
2020-01-23,NYMTM,24.389,24.506,24.284,24.379,38202
2020-01-24,NYMTM,24.41,24.427,24.312,24.35,12870
2020-01-27,NYMTM,24.35,24.377,24.312,24.341,13887
2020-01-28,NYMTM,24.35,24.465,24.341,24.446,17263
2020-01-29,NYMTM,24.455,24.712,24.369,24.655,31258
2020-01-30,NYMTM,24.731,24.788,24.379,24.389,25169
2020-01-31,NYMTM,24.389,24.665,24.389,24.427,17265
2020-02-03,NYMTM,24.646,24.646,24.35,24.35,34831
2020-02-04,NYMTM,24.519,24.617,24.379,24.474,31983
2020-02-05,NYMTM,24.436,24.95,24.436,24.684,34834
2020-02-06,NYMTM,24.784,24.836,24.617,24.636,10806
2020-02-07,NYMTM,24.617,24.824,24.617,24.665,22402
2020-02-10,NYMTM,24.788,24.855,24.712,24.76,22307
2020-02-11,NYMTM,24.808,24.808,24.531,24.684,51375
2020-02-12,NYMTM,24.665,24.741,24.522,24.711,58779
2020-02-13,NYMTM,24.779,24.798,24.717,24.755,16918
2020-02-14,NYMTM,24.733,24.807,24.674,24.693,16646
2020-02-18,NYMTM,24.684,24.684,24.579,24.636,16580
2020-02-19,NYMTM,24.665,24.76,24.646,24.665,57337
2020-02-20,NYMTM,24.665,24.76,24.579,24.598,24457
2020-02-21,NYMTM,24.76,24.788,24.531,24.531,16390
