date,ticker,open,high,low,close,volume
2020-10-28,ROOT,468.0,530.64,468.0,486.0,882776
2020-10-29,ROOT,505.8,507.24,432.9,464.4,295924
2020-10-30,ROOT,450.36,459.0,408.78,431.46,278959
2020-11-02,ROOT,428.4,441.0,391.86,426.42,173962
2020-11-03,ROOT,424.08,435.42,405.54,409.5,208813
2020-11-04,ROOT,417.6,427.32,410.4,414.54,41401
2020-11-05,ROOT,415.98,446.22,414.9,427.68,51605
2020-11-06,ROOT,432.0,434.7,408.78,409.32,35005
2020-11-09,ROOT,416.7,420.66,397.53,408.78,61377
2020-11-10,ROOT,405.0,419.04,400.86,412.02,58176
2020-11-11,ROOT,414.36,428.76,407.34,409.32,29994
2020-11-12,ROOT,410.4,411.84,399.6,402.3,34066
2020-11-13,ROOT,403.38,404.995,373.32,378.0,45026
2020-11-16,ROOT,388.8,388.8,353.97,357.3,81808
2020-11-17,ROOT,360.0,363.746,344.16,345.96,49464
2020-11-18,ROOT,342.36,347.22,307.26,309.06,168092
2020-11-19,ROOT,311.4,350.1,303.66,346.68,143235
2020-11-20,ROOT,348.48,350.091,332.1,342.0,35141
2020-11-23,ROOT,323.755,329.04,306.0,306.36,162761
2020-11-24,ROOT,313.38,316.44,298.62,301.14,76392
2020-11-25,ROOT,302.4,315.18,301.86,306.18,65258
2020-11-27,ROOT,306.54,314.1,304.74,310.14,34919
2020-11-30,ROOT,317.88,319.41,306.18,318.6,68477
2020-12-01,ROOT,320.94,321.3,302.94,306.0,88222
2020-12-02,ROOT,277.65,287.82,262.08,264.6,176766
2020-12-03,ROOT,268.38,280.62,252.36,257.4,287521
2020-12-04,ROOT,261.612,262.53,248.04,256.68,126020
2020-12-07,ROOT,259.2,280.98,252.0,279.36,138217
2020-12-08,ROOT,271.44,277.2,259.56,269.46,82710
2020-12-09,ROOT,266.76,270.54,253.26,253.26,83949
2020-12-10,ROOT,252.18,256.86,248.58,252.36,161845
2020-12-11,ROOT,253.62,265.718,252.0,253.8,84942
2020-12-14,ROOT,257.94,272.7,257.04,262.8,83767
2020-12-15,ROOT,265.14,266.94,249.3,254.52,104777
2020-12-16,ROOT,254.34,254.97,244.26,250.38,72106
2020-12-17,ROOT,261.36,264.42,251.82,254.52,127865
2020-12-18,ROOT,257.22,257.4,250.2,252.9,175096
2020-12-21,ROOT,261.18,296.671,256.5,295.38,333798
2020-12-22,ROOT,318.6,355.5,306.9,326.52,320071
2020-12-23,ROOT,351.0,356.4,316.8,330.66,206527
2020-12-24,ROOT,337.214,341.28,301.32,309.06,102606
2020-12-28,ROOT,301.86,320.76,280.44,314.82,138866
