date,ticker,open,high,low,close,volume
2025-02-07,STRK,85.5,87.88,85.25,86.4,847775
2025-02-10,STRK,89.05,89.99,88.0,89.5,616625
2025-02-11,STRK,90.29,91.79,89.36,89.57,335958
2025-02-12,STRK,89.7,92.25,88.02,90.0,459925
2025-02-13,STRK,90.0,90.26,89.5,90.26,246624
2025-02-14,STRK,90.2,94.35,90.02,94.04,242885
2025-02-18,STRK,95.1,98.9999,93.1585,98.6,541675
2025-02-19,STRK,100.0,100.25,95.4,95.78,383588
2025-02-20,STRK,97.0,98.5,96.002,97.75,222383
2025-02-21,STRK,99.1,99.1,92.12,93.01,225726
2025-02-24,STRK,93.95,94.79,92.5,93.11,200449
2025-02-25,STRK,91.5,92.3435,89.0,90.75,376754
2025-02-26,STRK,90.49,94.63,89.5091,93.13,527029
2025-02-27,STRK,94.5,94.5,91.5,91.59,382523
2025-02-28,STRK,92.0,94.63,91.05,92.4,1281632
2025-03-03,STRK,94.75,95.0,89.5,90.24,274212
2025-03-04,STRK,89.5,93.44,89.5,92.55,191731
2025-03-05,STRK,93.68,94.5,92.25,94.35,140493
2025-03-06,STRK,93.0,94.4,92.4,94.4,177022
2025-03-07,STRK,93.7,94.0999,91.91,92.4,91235
2025-03-10,STRK,89.3,89.85,83.45,84.8,765876
2025-03-11,STRK,85.27,88.57,85.0,87.03,331615
2025-03-12,STRK,88.0,88.0,86.05,87.25,183652
2025-03-13,STRK,88.34,89.0799,86.75,86.77,221896
2025-03-14,STRK,88.0,88.69,87.12,88.34,329293
2025-03-17,STRK,90.5,90.5,87.07,88.2,138254
2025-03-18,STRK,85.89,88.0,84.3,84.97,284423
2025-03-19,STRK,86.25,86.65,83.7,83.9,501476
2025-03-20,STRK,83.5,83.7531,82.01,83.0,494171
2025-03-21,STRK,83.1,86.3318,82.5,85.0,749545
2025-03-24,STRK,86.5,88.25,85.0,86.62,551597
2025-03-25,STRK,87.3,87.85,86.26,87.03,377537
2025-03-26,STRK,87.08,87.5,85.5,86.44,149182
2025-03-27,STRK,85.66,87.1505,85.1701,85.94,146138
2025-03-28,STRK,86.26,86.32,83.6,84.08,196483
2025-03-31,STRK,84.0,84.99,83.0901,84.01,298940
2025-04-01,STRK,84.5,88.0,83.89,86.46,289137
2025-04-02,STRK,86.9,87.4886,85.27,85.71,108319
2025-04-03,STRK,84.44,87.0,83.5,83.61,145201
2025-04-04,STRK,84.74,86.0,83.66,83.9,212653
2025-04-07,STRK,82.88,83.89,81.29,81.82,205580
2025-04-08,STRK,82.29,83.83,81.06,81.13,146813
2025-04-09,STRK,81.47,85.75,79.4,83.99,403163
2025-04-10,STRK,82.5,83.5,81.49,81.68,132896
2025-04-11,STRK,83.44,85.5,81.75,84.54,394061
2025-04-14,STRK,85.0,85.98,83.604,84.21,149390
2025-04-15,STRK,84.8,85.5,83.77,83.94,102618
2025-04-16,STRK,83.75,85.11,83.61,84.93,181892
2025-04-17,STRK,85.01,85.55,84.01,85.15,141339
2025-04-21,STRK,85.72,85.747,84.25,85.0,106533
2025-04-22,STRK,85.8,87.0,85.09,86.31,148168
2025-04-23,STRK,86.74,87.0,85.37,85.57,318212
2025-04-24,STRK,85.25,86.4,85.25,85.86,68163
2025-04-25,STRK,86.35,87.4999,86.0,86.68,266500
2025-04-28,STRK,87.85,87.85,85.62,86.6,104569
2025-04-29,STRK,86.88,89.5201,86.58,89.0,132807
2025-04-30,STRK,87.54,89.6385,87.54,89.5,204594
2025-05-01,STRK,90.6,91.49,89.24,89.5,107851
2025-05-02,STRK,90.89,91.095,89.8748,90.97,644309
2025-05-05,STRK,90.7,90.9699,89.5,90.25,114264
2025-05-06,STRK,90.8,90.9,90.215,90.41,121576
2025-05-07,STRK,90.8,91.26,90.55,90.55,51763
2025-05-08,STRK,91.75,92.36,91.42,91.942,286368
2025-05-09,STRK,92.48,92.9,92.0,92.65,227469
2025-05-12,STRK,94.9,95.24,94.11,94.38,447880
2025-05-13,STRK,97.99,98.24,96.375,97.03,364723
2025-05-14,STRK,97.96,98.39,95.6,96.12,413818
2025-05-15,STRK,96.9,96.95,95.06,96.54,443186
2025-05-16,STRK,97.56,97.56,96.32,96.5,366741
2025-05-19,STRK,96.92,98.48,96.5195,98.47,365341
2025-05-20,STRK,98.98,99.33,98.5,99.2,379293
2025-05-21,STRK,100.55,101.13,98.5,100.0,541346
2025-05-22,STRK,101.35,101.7299,100.7,100.91,320326
2025-05-23,STRK,100.12,101.75,100.12,100.99,450176
2025-05-27,STRK,102.0,102.0,101.5,101.74,369614
2025-05-28,STRK,102.4,102.7,101.7,102.02,230004
2025-05-29,STRK,102.25,102.42,101.5,101.61,191666
2025-05-30,STRK,101.78,104.0,101.5842,103.16,653060
2025-06-02,STRK,103.5,105.48,103.436,104.49,403390
2025-06-03,STRK,106.25,107.0,105.09,106.05,469415
2025-06-04,STRK,106.8,107.8855,106.66,107.5,357278
2025-06-05,STRK,108.49,108.49,100.26,101.74,508709
