date,ticker,open,high,low,close,volume
2020-01-02,PTCT,48.36,48.49,47.5,48.44,406935
2020-01-03,PTCT,47.42,48.84,47.37,48.31,427507
2020-01-06,PTCT,47.73,49.69,47.55,49.61,733534
2020-01-07,PTCT,49.29,52.11,49.1,51.49,1294222
2020-01-08,PTCT,51.56,52.64,51.22,51.96,770452
2020-01-09,PTCT,51.54,53.29,51.38,52.23,627291
2020-01-10,PTCT,51.75,52.345,50.24,50.51,644461
2020-01-13,PTCT,50.48,50.48,47.9,48.39,1300542
2020-01-14,PTCT,48.23,50.29,47.83,50.06,578179
2020-01-15,PTCT,50.21,52.02,49.55,51.5,793809
2020-01-16,PTCT,51.87,53.61,51.58,52.47,933209
2020-01-17,PTCT,52.84,53.8499,52.56,53.8,779998
2020-01-21,PTCT,53.27,54.37,53.08,53.51,925153
2020-01-22,PTCT,52.88,54.17,52.18,53.74,775256
2020-01-23,PTCT,53.75,53.75,52.37,53.33,789649
2020-01-24,PTCT,53.56,53.88,51.81,51.92,501298
2020-01-27,PTCT,50.9,51.56,50.21,51.09,1322777
2020-01-28,PTCT,51.46,52.46,50.64,51.53,645043
2020-01-29,PTCT,51.71,52.09,51.12,51.16,457966
2020-01-30,PTCT,50.39,51.55,50.06,51.23,730594
2020-01-31,PTCT,51.25,51.93,50.48,51.5,530900
2020-02-03,PTCT,52.03,52.3,51.04,52.25,1013888
2020-02-04,PTCT,53.0,54.412,52.415,53.74,1063099
2020-02-05,PTCT,54.36,55.0,52.16,53.38,948044
2020-02-06,PTCT,47.0,55.21,46.8,54.935,3660921
2020-02-07,PTCT,54.11,54.455,51.63,53.79,1234099
2020-02-10,PTCT,53.92,55.31,53.715,55.22,637514
2020-02-11,PTCT,55.81,56.89,54.985,56.14,787986
2020-02-12,PTCT,56.61,58.445,56.25,57.81,758390
2020-02-13,PTCT,57.5,58.0,56.4,56.77,567408
2020-02-14,PTCT,56.83,58.44,56.63,57.75,554843
2020-02-18,PTCT,57.74,58.95,56.5425,58.36,461460
2020-02-19,PTCT,58.36,59.89,58.345,59.36,729476
2020-02-20,PTCT,57.47,58.14,55.655,57.35,1250183
2020-02-21,PTCT,57.46,57.68,55.0,57.18,1088441
2020-02-24,PTCT,55.5471,56.44,54.49,54.89,1607435
2020-02-25,PTCT,55.33,55.87,52.145,52.82,917517
2020-02-26,PTCT,53.21,55.44,53.01,54.34,732961
2020-02-27,PTCT,53.49,57.37,51.41,53.54,1050288
2020-02-28,PTCT,51.86,54.84,51.86,54.84,939478
2020-03-02,PTCT,54.99,55.23,52.72,54.93,1686332
2020-03-03,PTCT,55.07,56.8,50.225,51.87,1285675
2020-03-04,PTCT,52.94,56.93,52.22,56.71,1149625
2020-03-05,PTCT,55.0,57.06,54.405,55.43,792050
2020-03-06,PTCT,53.86,55.26,53.71,55.06,705691
2020-03-09,PTCT,51.61,54.74,50.82,50.99,1104098
2020-03-10,PTCT,52.52,52.52,47.39,51.35,1317855
2020-03-11,PTCT,50.04,52.15,46.89,47.08,1017245
2020-03-12,PTCT,43.63,44.22,40.01,41.7,1615396
2020-03-13,PTCT,43.76,44.06,39.62,43.94,1133198
2020-03-16,PTCT,39.92,40.0286,30.8,32.37,2330224
2020-03-17,PTCT,33.05,36.78,30.7923,36.09,1602507
2020-03-18,PTCT,33.65,37.66,33.54,37.02,1373751
2020-03-19,PTCT,37.57,40.48,35.368,39.33,1363931
2020-03-20,PTCT,39.53,42.12,38.67,39.54,1774265
2020-03-23,PTCT,40.33,41.48,37.21,40.79,1067857
2020-03-24,PTCT,42.95,42.95,39.49,42.53,1099153
2020-03-25,PTCT,42.23,43.45,39.95,41.72,835164
2020-03-26,PTCT,42.04,44.47,40.365,43.42,733060
2020-03-27,PTCT,41.84,43.16,40.09,40.34,672304
2020-03-30,PTCT,40.87,42.895,40.34,42.54,365533
2020-03-31,PTCT,42.23,44.9,40.3863,44.61,772406
2020-04-01,PTCT,43.03,45.62,42.59,44.61,720969
2020-04-02,PTCT,44.42,45.77,42.04,44.96,685644
2020-04-03,PTCT,44.31,45.76,42.25,42.56,631880
2020-04-06,PTCT,43.74,46.29,43.74,44.96,762112
2020-04-07,PTCT,46.3,46.98,42.08,42.79,790707
2020-04-08,PTCT,41.55,44.37,40.03,44.15,938894
2020-04-09,PTCT,47.31,47.81,44.28,45.43,694105
2020-04-13,PTCT,45.16,45.93,43.97,44.92,263710
2020-04-14,PTCT,46.06,47.945,45.5101,47.38,557905
2020-04-15,PTCT,46.69,47.73,46.02,46.67,504775
2020-04-16,PTCT,46.01,48.2,45.71,47.49,517829
2020-04-17,PTCT,48.34,50.44,47.91,49.78,953191
2020-04-20,PTCT,49.06,52.21,48.4203,51.4,1243914
2020-04-21,PTCT,50.09,51.035,47.745,49.15,769155
2020-04-22,PTCT,49.98,50.83,48.69,49.76,356191
2020-04-23,PTCT,49.92,52.05,49.08,49.4,569214
2020-04-24,PTCT,49.92,53.455,49.1,53.06,749730
2020-04-27,PTCT,53.99,54.89,52.95,53.51,1186357
2020-04-28,PTCT,54.16,55.0,51.16,53.85,1030051
2020-04-29,PTCT,54.34,54.4,52.35,53.54,506995
2020-04-30,PTCT,53.1,53.62,50.68,50.92,659827
2020-05-01,PTCT,48.7,50.15,46.535,48.0,1173089
