date,ticker,open,high,low,close,volume
2024-12-06,RADX,21.99,50.82,15.8,18.9,158435
2024-12-09,RADX,10.7,14.0,9.0,9.18,131526
2024-12-10,RADX,7.05,7.93,6.4,6.58,83113
2024-12-11,RADX,6.29,6.37,5.68,5.73,30758
2024-12-12,RADX,6.49,7.39,5.7,5.8,35444
2024-12-13,RADX,5.6,6.2,5.52,5.63,37149
2024-12-16,RADX,5.0001,5.76,4.38,4.77,109835
2024-12-17,RADX,4.31,5.37,4.2,4.48,73735
2024-12-18,RADX,4.3,5.0,4.3,4.5,14793
2024-12-19,RADX,4.69,5.17,4.3259,4.46,20804
2024-12-20,RADX,4.94,4.94,4.38,4.39,4908
2024-12-23,RADX,4.27,5.1699,3.86,4.21,51773
2024-12-24,RADX,4.35,4.44,3.92,4.1,77773
2024-12-26,RADX,3.92,5.0,3.8,3.99,168642
2024-12-27,RADX,3.94,4.96,3.5501,4.67,77269
2024-12-30,RADX,5.04,5.61,4.55,4.8,157586
2024-12-31,RADX,4.47,4.59,4.105,4.49,53921
2025-01-02,RADX,4.4,5.05,4.3502,4.64,61806
2025-01-03,RADX,4.41,4.8379,4.41,4.62,20936
2025-01-06,RADX,4.64,4.64,4.51,4.51,15162
2025-01-07,RADX,4.51,4.65,4.27,4.65,7064
2025-01-08,RADX,4.3,4.41,3.7,4.03,59241
2025-01-10,RADX,3.95,5.6099,3.85,5.35,499246
2025-01-13,RADX,5.5,7.05,5.4501,6.24,292439
2025-01-14,RADX,6.7,6.894,5.0,5.4,194959
2025-01-15,RADX,5.35,5.88,5.2,5.63,93019
2025-01-16,RADX,5.75,5.7504,4.55,5.19,211271
2025-01-17,RADX,5.21,5.82,5.21,5.3405,186548
2025-01-21,RADX,5.5,5.5,4.86,5.21,45703
2025-01-22,RADX,5.515,5.7,4.8169,4.8169,235440
2025-01-23,RADX,5.12,5.44,4.58,4.83,43591
2025-01-24,RADX,5.15,5.79,4.7,4.83,94200
2025-01-27,RADX,4.92,4.94,4.5,4.81,109241
2025-01-28,RADX,5.02,5.59,4.79,4.85,37218
2025-01-29,RADX,5.05,5.575,4.68,4.76,94771
2025-01-30,RADX,4.97,4.9899,4.255,4.75,60384
2025-01-31,RADX,4.92,5.085,4.64,4.64,20676
2025-02-03,RADX,4.66,4.75,4.0565,4.43,35506
2025-02-04,RADX,3.98,4.46,3.96,4.45,13333
2025-02-05,RADX,4.7999,4.7999,4.09,4.49,18915
