date,ticker,open,high,low,close,volume
2020-04-17,RDNT,11.53,12.585,11.27,12.56,425596
2020-04-20,RDNT,12.28,12.92,11.97,12.41,320040
2020-04-21,RDNT,11.93,12.47,11.63,12.04,357961
2020-04-22,RDNT,12.41,12.53,12.09,12.16,253473
2020-04-23,RDNT,12.05,12.95,12.05,12.35,337966
2020-04-24,RDNT,12.46,12.58,12.1,12.49,179929
2020-04-27,RDNT,12.71,13.14,12.4836,13.09,317033
2020-04-28,RDNT,13.52,13.6,12.61,13.1,378853
2020-04-29,RDNT,13.62,14.73,13.35,14.41,525063
2020-04-30,RDNT,14.43,14.7208,13.88,14.12,512569
2020-05-01,RDNT,13.44,14.19,12.6098,13.37,406562
2020-05-04,RDNT,13.11,13.52,12.85,13.17,271108
2020-05-05,RDNT,13.46,14.29,13.415,14.04,1123432
2020-05-06,RDNT,14.1,14.15,13.57,13.64,454201
2020-05-07,RDNT,13.77,14.029,13.32,13.55,410321
2020-05-08,RDNT,13.94,14.81,13.8065,14.43,796022
2020-05-11,RDNT,13.74,15.895,13.4,15.63,940370
2020-05-12,RDNT,15.75,16.21,15.05,15.1,949530
2020-05-13,RDNT,15.06,15.17,13.81,14.22,504066
2020-05-14,RDNT,13.57,14.04,12.8,14.0,469814
2020-05-15,RDNT,14.02,15.2,13.72,14.96,349243
2020-05-18,RDNT,15.69,16.71,15.29,16.27,468213
2020-05-19,RDNT,16.1,17.24,15.86,16.55,588964
2020-05-20,RDNT,16.88,17.77,16.83,17.21,410598
2020-05-21,RDNT,17.26,17.66,17.02,17.125,273091
2020-05-22,RDNT,17.28,17.35,16.74,17.21,164617
2020-05-26,RDNT,18.0,18.08,17.45,17.76,376766
2020-05-27,RDNT,18.16,18.55,17.255,18.41,556951
2020-05-28,RDNT,18.5,19.1595,17.44,17.6,350662
2020-05-29,RDNT,17.48,17.61,16.63,17.04,736984
2020-06-01,RDNT,17.17,17.53,16.85,16.93,567447
2020-06-02,RDNT,16.7,17.43,16.7,16.99,337657
2020-06-03,RDNT,17.55,17.59,17.16,17.31,380223
2020-06-04,RDNT,17.25,17.76,17.1,17.36,340177
2020-06-05,RDNT,18.13,18.83,17.77,17.86,368694
2020-06-08,RDNT,18.2,18.7905,18.14,18.6,271106
2020-06-09,RDNT,18.25,18.55,17.71,17.99,418958
2020-06-10,RDNT,17.67,17.78,16.87,17.15,321277
2020-06-11,RDNT,16.37,16.42,15.5101,15.79,467302
2020-06-12,RDNT,16.53,16.98,15.59,16.01,389596
2020-06-15,RDNT,15.35,16.81,15.26,16.79,301029
2020-06-16,RDNT,17.36,17.6638,16.59,17.08,471258
2020-06-17,RDNT,17.2,17.2,15.69,15.72,308240
2020-06-18,RDNT,15.54,15.9,15.2705,15.58,216194
2020-06-19,RDNT,15.78,15.93,15.17,15.29,575296
2020-06-22,RDNT,15.15,15.42,14.65,15.19,332076
2020-06-23,RDNT,15.4,15.46,15.12,15.25,260278
2020-06-24,RDNT,15.1,15.23,14.28,14.9,573185
2020-06-25,RDNT,14.8,14.96,14.51,14.89,315979
2020-06-26,RDNT,14.81,15.03,14.43,14.54,556391
2020-06-29,RDNT,14.84,15.11,14.39,15.0,270026
2020-06-30,RDNT,14.98,15.99,14.73,15.87,282054
2020-07-01,RDNT,15.9,16.25,15.64,15.78,204719
2020-07-02,RDNT,16.19,16.29,15.68,15.83,214631
2020-07-06,RDNT,16.24,16.24,15.35,15.57,208916
2020-07-07,RDNT,15.45,15.45,14.97,15.02,224722
2020-07-08,RDNT,14.95,15.43,14.75,15.4,320536
2020-07-09,RDNT,15.4,15.4,14.59,14.96,199233
2020-07-10,RDNT,15.07,15.61,14.91,15.55,210628
2020-07-13,RDNT,15.9,16.35,15.44,15.44,221718
2020-07-14,RDNT,15.37,15.88,15.16,15.88,402270
2020-07-15,RDNT,16.37,16.91,16.18,16.76,215057
2020-07-16,RDNT,16.71,16.71,16.05,16.24,158412
2020-07-17,RDNT,16.33,16.67,16.03,16.52,237298
