date,ticker,open,high,low,close,volume
2020-01-02,RGLD,118.83,119.476,116.099,117.36,444945
2020-01-03,RGLD,119.029,119.029,115.99,116.377,423225
2020-01-06,RGLD,118.274,118.691,113.745,115.105,969262
2020-01-07,RGLD,115.105,117.39,114.768,116.427,722078
2020-01-08,RGLD,116.516,117.122,106.942,108.123,1272087
2020-01-09,RGLD,107.895,109.941,107.23,108.699,848302
2020-01-10,RGLD,109.196,110.974,109.196,110.239,460733
2020-01-13,RGLD,110.001,110.249,107.528,107.706,641161
2020-01-14,RGLD,107.498,109.037,105.819,108.878,1035128
2020-01-15,RGLD,109.097,111.908,108.759,111.014,552887
2020-01-16,RGLD,110.924,112.066,109.851,111.381,637120
2020-01-17,RGLD,112.056,112.226,109.245,109.265,456377
2020-01-21,RGLD,107.498,110.745,106.236,110.527,842781
2020-01-22,RGLD,110.299,110.457,108.679,109.375,521006
2020-01-23,RGLD,108.63,110.358,108.421,109.137,672240
2020-01-24,RGLD,109.137,112.046,108.689,111.272,395716
2020-01-27,RGLD,112.622,113.845,110.199,110.616,499990
2020-01-28,RGLD,109.821,110.328,106.902,108.242,467201
2020-01-29,RGLD,107.706,110.378,107.706,110.109,411254
2020-01-30,RGLD,110.378,111.6,109.513,110.358,361976
2020-01-31,RGLD,110.447,112.304,110.437,111.728,556173
2020-02-03,RGLD,111.113,111.252,108.352,108.898,646731
2020-02-04,RGLD,108.094,109.157,107.11,107.666,607051
2020-02-05,RGLD,107.338,110.149,107.25,108.6,583327
2020-02-06,RGLD,107.04,109.493,101.736,105.382,1054871
2020-02-07,RGLD,105.541,105.829,102.244,102.382,471969
2020-02-10,RGLD,102.264,103.843,101.836,103.505,536160
2020-02-11,RGLD,103.157,104.379,102.432,103.296,486645
2020-02-12,RGLD,104.21,104.259,101.508,102.064,490983
2020-02-13,RGLD,102.958,103.117,100.883,100.982,693973
2020-02-14,RGLD,100.455,100.455,98.2347,99.7008,731630
2020-02-18,RGLD,99.7805,102.332,99.7107,101.37,558246
2020-02-19,RGLD,101.926,104.041,101.37,102.472,834224
2020-02-20,RGLD,102.452,104.597,102.303,103.922,550051
2020-02-21,RGLD,105.561,106.842,104.637,105.71,709951
2020-02-24,RGLD,110.05,110.159,105.809,106.732,780448
2020-02-25,RGLD,104.607,107.1,103.981,103.991,750866
2020-02-26,RGLD,103.475,105.064,102.978,103.853,831768
2020-02-27,RGLD,104.399,104.975,98.5108,98.5605,1343726
2020-02-28,RGLD,94.7872,96.275,88.9013,93.4641,1641324
2020-03-02,RGLD,94.2498,97.5424,93.5625,96.9355,879429
2020-03-03,RGLD,98.343,102.899,97.3378,99.8891,754866
2020-03-04,RGLD,101.21,101.736,98.5693,100.883,526497
2020-03-05,RGLD,101.796,103.673,101.448,103.256,675665
2020-03-06,RGLD,103.654,103.971,97.751,101.399,850122
2020-03-09,RGLD,97.9278,100.565,95.402,95.7616,714831
2020-03-10,RGLD,96.3227,98.6826,92.5832,94.3263,1118047
2020-03-11,RGLD,92.4193,93.7124,84.2509,85.2789,1673305
2020-03-12,RGLD,73.2449,82.0042,70.5513,78.371,1797525
2020-03-13,RGLD,80.7061,80.9664,68.8747,69.5353,1288974
2020-03-16,RGLD,60.167,81.9844,57.9184,78.8934,1560865
2020-03-17,RGLD,77.2169,87.4879,76.761,85.8689,1412677
2020-03-18,RGLD,82.8565,86.0596,66.0559,67.4713,1167240
2020-03-19,RGLD,68.101,81.8205,63.4209,72.0937,1402090
2020-03-20,RGLD,73.4595,75.2463,68.9035,69.3892,1243030
2020-03-23,RGLD,72.6063,78.9133,70.2424,74.5729,772785
2020-03-24,RGLD,84.533,94.9093,80.2889,92.3805,1320978
2020-03-25,RGLD,93.4741,94.9471,86.3537,90.2183,1053650
2020-03-26,RGLD,90.122,92.4193,84.7545,89.5985,1026682
2020-03-27,RGLD,87.3319,90.7775,85.4438,87.7382,804695
2020-03-30,RGLD,88.2338,93.8446,85.5402,88.8248,845342
2020-03-31,RGLD,87.1592,88.1652,83.95,84.978,880515
2020-04-01,RGLD,84.3861,89.6283,83.5825,88.4841,872960
2020-04-02,RGLD,89.5349,91.8959,87.5634,90.1656,728998
2020-04-03,RGLD,90.2332,94.8418,90.0117,90.8669,695795
2020-04-06,RGLD,92.5474,94.23,90.4299,92.1293,684280
2020-04-07,RGLD,92.0816,94.8706,88.5328,91.2652,596195
2020-04-08,RGLD,92.159,93.2824,90.3127,92.2156,512568
2020-04-09,RGLD,93.6946,102.422,93.6946,102.084,961300
2020-04-13,RGLD,102.044,103.405,97.2007,102.064,739515
2020-04-14,RGLD,103.525,106.097,100.157,102.254,909155
2020-04-15,RGLD,99.9688,102.988,97.8196,101.856,876600
2020-04-16,RGLD,103.167,108.729,102.303,108.58,701137
2020-04-17,RGLD,105.392,107.696,103.941,104.776,1200720
2020-04-20,RGLD,106.564,109.533,105.124,108.461,832769
2020-04-21,RGLD,105.839,109.821,104.399,106.147,710990
2020-04-22,RGLD,110.159,114.133,108.659,113.377,737957
2020-04-23,RGLD,117.152,123.121,116.446,119.485,1122243
2020-04-24,RGLD,121.085,123.409,119.158,121.9,1001151
2020-04-27,RGLD,122.436,124.293,119.625,122.784,816733
2020-04-28,RGLD,121.393,123.747,119.725,122.376,672926
2020-04-29,RGLD,122.526,127.402,120.678,126.736,973877
2020-04-30,RGLD,124.779,126.339,118.929,119.069,838134
2020-05-01,RGLD,116.646,122.476,115.155,122.326,878652
2020-05-04,RGLD,125.038,126.27,121.353,121.691,767186
2020-05-05,RGLD,121.78,126.091,120.111,124.819,476048
2020-05-06,RGLD,122.952,125.495,121.81,123.042,575915
2020-05-07,RGLD,125.097,134.007,124.413,132.13,1073910
2020-05-08,RGLD,132.348,134.653,131.444,132.576,743071
2020-05-11,RGLD,132.408,133.51,126.846,129.091,629856
2020-05-12,RGLD,129.428,132.06,125.177,125.177,753975
2020-05-13,RGLD,127.272,127.809,121.83,124.591,654949
2020-05-14,RGLD,124.115,128.594,124.095,125.545,597516
2020-05-15,RGLD,129.16,130.65,127.174,130.233,1098763
2020-05-18,RGLD,131.772,132.894,128.286,130.501,649124
2020-05-19,RGLD,132.448,135.249,132.16,133.212,494059
2020-05-20,RGLD,134.235,135.705,132.04,132.15,548781
2020-05-21,RGLD,130.888,133.074,126.806,132.864,693384
2020-05-22,RGLD,132.448,134.801,131.107,133.093,678925
2020-05-26,RGLD,132.15,132.636,128.018,128.723,463625
2020-05-27,RGLD,125.217,129.746,122.446,128.862,768566
2020-05-28,RGLD,130.213,131.395,126.677,127.948,522500
2020-05-29,RGLD,132.854,132.854,128.981,129.438,990886
2020-06-01,RGLD,130.083,131.524,128.395,131.315,378472
2020-06-02,RGLD,131.156,131.206,126.478,126.806,451259
2020-06-03,RGLD,123.727,124.581,120.896,122.326,738147
2020-06-04,RGLD,122.952,125.346,121.83,122.634,614458
2020-06-05,RGLD,118.771,120.549,116.357,119.059,502260
2020-06-08,RGLD,121.393,121.472,117.162,118.801,478982
2020-06-09,RGLD,120.618,120.857,118.582,118.821,559460
2020-06-10,RGLD,120.797,125.067,117.242,124.701,658362
2020-06-11,RGLD,123.836,126.22,117.42,118.761,626396
2020-06-12,RGLD,120.678,122.426,116.357,116.963,432052
2020-06-15,RGLD,113.586,117.946,110.159,117.608,661465
2020-06-16,RGLD,117.758,118.463,113.546,113.933,443038
2020-06-17,RGLD,113.914,115.155,111.342,112.314,520491
2020-06-18,RGLD,111.222,112.802,108.977,109.186,571841
2020-06-19,RGLD,110.597,113.517,110.229,111.768,791422
2020-06-22,RGLD,113.963,116.566,113.298,114.917,521295
2020-06-23,RGLD,116.616,117.708,115.841,116.198,637069
2020-06-24,RGLD,115.97,117.4,112.96,115.027,548139
2020-06-25,RGLD,115.205,115.831,113.397,115.771,332936
2020-06-26,RGLD,115.027,115.99,113.06,114.192,1135312
2020-06-29,RGLD,114.947,117.072,113.735,116.944,325802
2020-06-30,RGLD,116.794,121.333,116.069,120.827,550103
2020-07-01,RGLD,120.509,120.589,116.556,120.201,403862
2020-07-02,RGLD,119.089,121.105,117.698,117.906,346107
2020-07-06,RGLD,120.698,121.353,118.066,119.337,375523
2020-07-07,RGLD,118.284,121.92,118.284,121.632,867155
2020-07-08,RGLD,123.608,124.681,120.876,123.449,549409
2020-07-09,RGLD,124.085,124.929,120.062,123.012,439091
2020-07-10,RGLD,123.638,124.959,122.446,124.323,562850
2020-07-13,RGLD,125.167,126.081,117.668,117.996,562327
2020-07-14,RGLD,117.748,122.634,117.42,122.624,431639
2020-07-15,RGLD,122.813,123.896,120.101,123.647,404523
2020-07-16,RGLD,123.638,123.866,120.876,121.701,306326
2020-07-17,RGLD,123.21,126.916,122.526,126.568,491539
2020-07-20,RGLD,126.667,131.216,126.667,129.369,401203
2020-07-21,RGLD,131.504,133.252,128.415,129.031,471151
2020-07-22,RGLD,130.541,131.196,128.385,131.166,342937
2020-07-23,RGLD,131.166,132.268,126.756,130.719,618135
