date,ticker,open,high,low,close,volume
2020-01-02,SRPT,129.63,130.63,127.765,129.09,580890
2020-01-03,SRPT,127.98,131.0,127.37,129.78,628604
2020-01-06,SRPT,128.14,131.45,127.69,131.45,810633
2020-01-07,SRPT,131.36,132.43,128.16,130.22,739218
2020-01-08,SRPT,130.0,131.328,129.0,130.03,1011451
2020-01-09,SRPT,130.48,133.26,130.0,131.64,780215
2020-01-10,SRPT,132.02,134.571,128.65,129.02,832565
2020-01-13,SRPT,130.0,131.3,123.5,124.63,1777274
2020-01-14,SRPT,125.0,131.53,123.014,127.93,1734701
2020-01-15,SRPT,128.25,133.53,128.04,130.24,1095893
2020-01-16,SRPT,129.7,133.0,129.212,130.3,751358
2020-01-17,SRPT,130.25,131.24,127.44,127.9,862513
2020-01-21,SRPT,127.49,128.62,122.61,122.99,1489726
2020-01-22,SRPT,121.8,123.74,118.0,118.33,1417570
2020-01-23,SRPT,117.17,117.44,113.63,113.68,1461306
2020-01-24,SRPT,114.12,115.55,110.42,112.39,787889
2020-01-27,SRPT,110.87,113.01,108.545,111.62,633210
2020-01-28,SRPT,112.55,117.97,112.55,117.93,1165940
2020-01-29,SRPT,118.15,121.18,118.15,119.87,1083373
2020-01-30,SRPT,118.06,120.168,117.2,117.82,599996
2020-01-31,SRPT,117.21,117.73,112.16,115.96,723345
2020-02-03,SRPT,116.59,118.335,114.74,115.32,620677
2020-02-04,SRPT,116.49,123.42,116.49,121.14,790558
2020-02-05,SRPT,122.86,124.8,120.41,121.66,521064
2020-02-06,SRPT,122.09,123.354,119.9,121.69,450256
2020-02-07,SRPT,120.95,121.9,118.38,118.46,364437
2020-02-10,SRPT,118.31,124.1,118.01,123.72,713939
2020-02-11,SRPT,123.66,125.86,122.0,123.96,505213
2020-02-12,SRPT,124.94,127.0,124.035,125.44,625884
2020-02-13,SRPT,125.0,127.3,124.69,125.03,476842
2020-02-14,SRPT,124.61,125.83,123.28,125.42,409759
2020-02-18,SRPT,125.38,126.41,122.22,122.78,549364
2020-02-19,SRPT,123.0,124.52,121.41,121.9,487655
2020-02-20,SRPT,121.9,123.44,121.14,123.09,692205
2020-02-21,SRPT,123.01,124.16,121.885,123.98,493085
2020-02-24,SRPT,118.243,121.49,117.034,119.57,1102865
2020-02-25,SRPT,120.05,120.75,112.75,113.79,1064906
2020-02-26,SRPT,114.98,116.11,111.57,113.63,746704
2020-02-27,SRPT,106.0,115.93,99.0101,107.67,1622253
2020-02-28,SRPT,103.01,114.475,102.02,114.47,1415696
2020-03-02,SRPT,115.98,120.14,111.27,119.86,1049834
2020-03-03,SRPT,119.94,120.82,112.95,116.1,900188
2020-03-04,SRPT,119.16,119.672,115.59,119.18,768114
2020-03-05,SRPT,117.36,123.96,116.2301,120.06,681634
2020-03-06,SRPT,116.0938,122.4439,115.11,117.1,832132
2020-03-09,SRPT,108.37,115.5099,105.89,106.87,946983
2020-03-10,SRPT,109.58,111.85,102.69,110.38,963617
2020-03-11,SRPT,107.95,109.62,99.94,102.83,915531
2020-03-12,SRPT,95.0,97.94,90.01,94.19,1714145
2020-03-13,SRPT,97.95,100.0,89.09,99.83,1471207
2020-03-16,SRPT,88.95,96.27,83.02,85.17,1457400
2020-03-17,SRPT,86.87,94.74,81.71,86.81,1590897
2020-03-18,SRPT,83.0,91.965,78.06,82.38,1838201
2020-03-19,SRPT,81.09,90.81,78.39,87.22,1083164
2020-03-20,SRPT,88.48,94.84,85.62,87.01,982354
2020-03-23,SRPT,87.6,93.58,85.38,89.38,713466
2020-03-24,SRPT,92.79,97.895,91.28,92.72,968050
2020-03-25,SRPT,91.82,99.437,91.82,94.53,958668
2020-03-26,SRPT,95.4,103.09,95.4,99.01,815360
2020-03-27,SRPT,96.83,98.99,94.0,94.44,518443
2020-03-30,SRPT,94.78,98.68,93.01,98.52,544947
2020-03-31,SRPT,98.84,102.61,95.46,97.82,978306
2020-04-01,SRPT,95.69,99.88,92.36,93.0,1096076
2020-04-02,SRPT,92.15,98.285,91.53,95.98,978920
2020-04-03,SRPT,94.69,97.475,92.0,93.62,1801664
2020-04-06,SRPT,98.28,101.31,96.2,101.07,954547
2020-04-07,SRPT,104.37,106.39,99.33,99.98,871695
2020-04-08,SRPT,100.65,105.19,100.18,103.87,563219
2020-04-09,SRPT,104.5,109.15,103.935,108.75,921754
2020-04-13,SRPT,109.0,111.97,107.1,111.61,770885
2020-04-14,SRPT,111.73,114.95,111.42,113.05,803044
2020-04-15,SRPT,111.74,113.17,109.41,112.09,512923
2020-04-16,SRPT,113.4,114.73,110.3516,112.74,611117
2020-04-17,SRPT,115.64,118.99,114.26,118.54,915257
2020-04-20,SRPT,118.0,122.04,116.8842,118.52,918053
2020-04-21,SRPT,118.54,119.46,112.46,113.4,663982
2020-04-22,SRPT,116.3,116.44,111.9,114.34,630204
2020-04-23,SRPT,115.21,118.57,113.51,115.31,799764
2020-04-24,SRPT,117.74,123.8847,116.805,121.53,825164
2020-04-27,SRPT,123.44,124.125,120.12,122.12,486425
2020-04-28,SRPT,125.4,126.73,117.29,119.69,826329
2020-04-29,SRPT,122.36,122.36,116.63,117.09,692961
2020-04-30,SRPT,117.71,119.1599,116.17,117.88,638099
2020-05-01,SRPT,115.96,118.78,111.34,113.34,567733
2020-05-04,SRPT,113.44,118.53,112.12,118.34,626078
2020-05-05,SRPT,121.02,122.45,119.01,119.44,446687
2020-05-06,SRPT,120.62,124.97,119.59,122.57,619709
2020-05-07,SRPT,121.21,127.36,121.0438,123.61,1145860
2020-05-08,SRPT,125.15,129.88,123.6631,128.0,1055228
2020-05-11,SRPT,128.0,137.19,127.5725,135.83,1295207
2020-05-12,SRPT,138.41,140.92,132.62,132.89,1303434
2020-05-13,SRPT,132.74,135.48,124.0,128.23,1141536
2020-05-14,SRPT,127.27,129.04,125.13,127.05,738615
2020-05-15,SRPT,128.2,143.23,127.0,141.25,2047285
2020-05-18,SRPT,144.99,149.99,143.3,146.77,1482773
2020-05-19,SRPT,146.64,148.7,145.32,145.46,943760
2020-05-20,SRPT,147.95,152.0,146.57,150.09,1060478
2020-05-21,SRPT,150.53,151.69,143.59,145.74,779471
2020-05-22,SRPT,145.15,152.5,144.03,150.6,799349
2020-05-26,SRPT,152.75,158.4,152.0,154.05,1526370
2020-05-27,SRPT,153.99,157.7,150.88,157.16,1269376
2020-05-28,SRPT,156.17,156.835,151.99,153.0,1367789
2020-05-29,SRPT,152.98,154.95,150.42,152.27,999690
2020-06-01,SRPT,150.44,152.91,149.14,149.76,757075
2020-06-02,SRPT,149.62,153.14,147.25,151.0,757253
2020-06-03,SRPT,150.93,153.18,148.5,149.04,601406
2020-06-04,SRPT,146.93,151.16,144.01,145.01,665471
2020-06-05,SRPT,144.88,149.44,141.0,147.99,624315
2020-06-08,SRPT,151.0,159.7499,150.0,159.68,1684400
2020-06-09,SRPT,159.5,159.77,154.6,155.65,1282118
2020-06-10,SRPT,156.42,161.43,156.025,159.83,873145
2020-06-11,SRPT,157.54,162.4776,152.72,153.6,1103134
2020-06-12,SRPT,157.14,159.2,153.76,158.85,1072028
2020-06-15,SRPT,157.18,159.98,155.42,158.02,1002845
2020-06-16,SRPT,162.55,162.68,155.69,160.22,1118587
2020-06-17,SRPT,161.71,164.87,160.0,163.42,1071048
2020-06-18,SRPT,163.74,167.88,163.365,165.22,1052143
2020-06-19,SRPT,165.94,169.38,164.77,168.82,1929211
2020-06-22,SRPT,170.35,171.935,167.67,171.7,1394899
2020-06-23,SRPT,171.83,172.7,168.075,168.81,983374
2020-06-24,SRPT,167.5,170.25,160.82,163.63,934402
2020-06-25,SRPT,164.0,168.645,161.9499,167.31,932597
2020-06-26,SRPT,170.0,170.01,162.47,162.63,1257310
2020-06-29,SRPT,162.79,165.0,160.0268,162.71,669211
2020-06-30,SRPT,160.45,160.725,157.18,160.34,842816
2020-07-01,SRPT,160.3,166.795,159.6,165.68,709498
2020-07-02,SRPT,169.17,169.17,162.515,162.75,539637
2020-07-06,SRPT,163.25,165.82,162.02,163.49,637135
2020-07-07,SRPT,163.09,169.45,162.49,163.89,492015
2020-07-08,SRPT,164.19,170.45,164.15,170.15,614798
2020-07-09,SRPT,170.19,171.23,166.53,169.96,461531
2020-07-10,SRPT,170.06,172.0,167.8356,168.81,434013
2020-07-13,SRPT,169.61,170.7,160.94,161.98,765053
2020-07-14,SRPT,163.07,167.3,159.4825,166.76,724032
2020-07-15,SRPT,168.7,170.72,166.52,169.66,547699
2020-07-16,SRPT,167.42,169.605,164.94,169.415,570279
2020-07-17,SRPT,170.93,170.93,165.05,167.51,601029
2020-07-20,SRPT,168.46,175.0,167.59,172.34,780048
2020-07-21,SRPT,172.51,174.46,167.13,168.27,591021
2020-07-22,SRPT,167.85,169.14,163.5,164.52,667719
2020-07-23,SRPT,164.74,168.05,160.8687,161.67,540471
2020-07-24,SRPT,160.0,160.42,154.41,158.63,642108
2020-07-27,SRPT,159.21,159.47,155.72,158.45,685707
2020-07-28,SRPT,158.45,159.64,154.76,155.49,863513
2020-07-29,SRPT,156.41,156.47,148.8363,150.0,835256
2020-07-30,SRPT,148.0235,155.77,148.02,154.09,477704
2020-07-31,SRPT,154.23,155.26,150.5,153.52,495394
2020-08-03,SRPT,154.86,159.5,154.8,158.23,483884
2020-08-04,SRPT,158.89,159.13,154.28,156.73,428121
2020-08-05,SRPT,156.91,159.5,154.07,158.89,571072
2020-08-06,SRPT,155.2,158.35,150.0,154.42,756812
2020-08-07,SRPT,154.55,160.02,153.98,158.97,914673
2020-08-10,SRPT,158.26,159.96,157.2649,159.0,609151
2020-08-11,SRPT,159.09,161.3003,155.5075,158.03,523930
2020-08-12,SRPT,157.78,160.0,156.89,158.0,608968
2020-08-13,SRPT,158.5,161.21,156.189,159.0,384622
2020-08-14,SRPT,158.82,158.8448,154.86,157.0,857477
2020-08-17,SRPT,157.0,160.4,156.26,158.71,538113
2020-08-18,SRPT,159.15,160.85,158.17,159.04,538984
2020-08-19,SRPT,158.12,158.38,148.31,148.66,1141435
2020-08-20,SRPT,144.0,144.3447,138.71,140.97,1160960
2020-08-21,SRPT,142.57,142.57,138.24,141.94,740664
