date,ticker,open,high,low,close,volume
2020-04-17,STNE,24.25,25.09,23.7,24.1,3741693
2020-04-20,STNE,23.16,23.6,22.06,22.43,4868544
2020-04-21,STNE,21.81,22.29,20.88,21.21,4463577
2020-04-22,STNE,21.87,23.2,21.27,23.0,4431302
2020-04-23,STNE,23.11,24.45,22.92,23.18,4527432
2020-04-24,STNE,23.1,23.2,21.37,22.08,4582357
2020-04-27,STNE,22.74,23.8143,22.5101,23.75,2657007
2020-04-28,STNE,24.5,25.59,23.77,25.27,3522822
2020-04-29,STNE,26.7,28.53,26.66,28.04,4664580
2020-04-30,STNE,27.55,27.85,25.651,26.38,3674538
2020-05-01,STNE,25.09,25.96,24.9,25.4,1990561
2020-05-04,STNE,24.77,26.55,24.5,26.4,2178007
2020-05-05,STNE,27.29,27.74,26.5,26.74,1996116
2020-05-06,STNE,27.38,28.015,26.73,27.06,3447001
2020-05-07,STNE,27.71,28.44,26.79,26.99,4275230
2020-05-08,STNE,27.71,28.32,27.25,28.1,2839682
2020-05-11,STNE,29.0,29.0,26.86,27.13,2774820
2020-05-12,STNE,26.6,26.79,23.71,23.8,6872986
2020-05-13,STNE,24.0,24.04,21.03,21.15,7108851
2020-05-14,STNE,20.92,22.28,20.3893,22.1,4868823
2020-05-15,STNE,21.81,22.52,21.5002,21.88,3313173
2020-05-18,STNE,23.18,24.685,22.74,24.4,6224121
2020-05-19,STNE,24.64,25.18,24.02,24.26,3522583
2020-05-20,STNE,24.76,25.7,24.27,24.41,3135793
2020-05-21,STNE,24.59,25.01,23.56,24.7,3555674
2020-05-22,STNE,24.78,24.98,23.79,24.46,2533840
2020-05-26,STNE,25.72,26.8399,24.99,26.7,8968004
2020-05-27,STNE,32.8,34.45,31.02,34.01,23807281
2020-05-28,STNE,33.9,33.9,31.0235,31.38,10196747
2020-05-29,STNE,30.04,31.77,29.6,31.68,9348218
2020-06-01,STNE,31.65,33.0499,31.65,31.89,2990594
2020-06-02,STNE,32.27,32.92,31.91,32.62,2382768
2020-06-03,STNE,33.08,37.705,32.8,35.45,6466703
2020-06-04,STNE,35.23,37.29,34.72,36.31,3720734
2020-06-05,STNE,37.9,39.505,37.7,39.23,6165305
2020-06-08,STNE,40.0,40.17,38.82,39.31,3916076
2020-06-09,STNE,37.86,39.69,37.5,38.6,2465110
2020-06-10,STNE,38.76,39.14,37.54,38.42,2245217
2020-06-11,STNE,35.05,36.66,34.28,34.58,4326638
2020-06-12,STNE,36.46,37.24,35.11,36.99,2542160
2020-06-15,STNE,35.51,37.04,33.83,36.95,3686815
2020-06-16,STNE,38.93,39.26,36.55,37.43,3783057
2020-06-17,STNE,37.76,38.39,37.01,37.25,2145575
2020-06-18,STNE,36.64,38.845,36.37,38.57,2400600
2020-06-19,STNE,39.49,39.91,38.11,38.14,3069302
2020-06-22,STNE,38.22,39.945,38.05,39.69,2333131
2020-06-23,STNE,40.45,42.88,40.45,41.55,4561943
2020-06-24,STNE,41.28,41.8,38.21,38.43,3408567
2020-06-25,STNE,38.59,40.09,37.705,39.96,2597816
2020-06-26,STNE,39.52,39.9358,37.5,37.94,11977099
2020-06-29,STNE,38.2647,38.66,36.67,38.2,1818119
2020-06-30,STNE,37.97,39.17,37.89,38.76,1693083
2020-07-01,STNE,38.94,39.79,38.26,39.51,1754067
2020-07-02,STNE,40.07,40.9799,39.49,40.11,1873495
2020-07-06,STNE,41.1,41.37,40.1,40.57,1161438
2020-07-07,STNE,40.39,41.13,39.85,40.13,1514435
2020-07-08,STNE,40.24,41.84,40.21,41.53,1876359
2020-07-09,STNE,42.0,42.0,40.33,41.48,1695290
2020-07-10,STNE,40.5,40.99,39.53,39.84,2486773
2020-07-13,STNE,40.44,40.89,38.46,38.55,1683320
2020-07-14,STNE,37.71,38.44,36.71,38.39,2355750
2020-07-15,STNE,39.68,41.22,39.33,40.71,2176895
2020-07-16,STNE,39.38,40.59,39.38,40.36,903775
2020-07-17,STNE,40.57,40.79,39.73,40.54,922273
2020-07-20,STNE,40.54,41.98,40.2801,41.91,1164392
2020-07-21,STNE,42.5,43.17,42.01,42.36,1829104
2020-07-22,STNE,42.28,43.0799,41.94,42.79,1445602
2020-07-23,STNE,42.67,44.9,42.51,43.01,2447032
2020-07-24,STNE,42.39,43.5038,41.91,42.68,1180531
2020-07-27,STNE,43.3,45.155,42.84,45.03,1208741
2020-07-28,STNE,45.18,45.4,44.23,44.24,1327754
2020-07-29,STNE,45.25,47.06,44.725,46.9,1873903
2020-07-30,STNE,46.29,47.42,44.82,47.03,1698712
2020-07-31,STNE,47.47,47.87,46.395,47.71,1604808
2020-08-03,STNE,48.17,49.2,47.8,48.12,2136541
2020-08-04,STNE,47.98,48.4299,46.56,47.2,2659054
2020-08-05,STNE,48.09,48.71,47.32,47.86,2113249
2020-08-06,STNE,48.01,49.47,47.5,49.09,2208501
2020-08-07,STNE,49.95,50.42,48.13,49.06,3792247
2020-08-10,STNE,49.72,50.6028,47.05,47.18,2143616
2020-08-11,STNE,47.41,55.0,46.23,52.39,9477272
2020-08-12,STNE,49.73,52.16,47.83,49.29,8463211
2020-08-13,STNE,48.6,49.53,48.24,49.01,12902800
2020-08-14,STNE,48.5,49.01,47.93,48.21,4195991
2020-08-17,STNE,48.6,49.37,48.26,48.86,4255918
2020-08-18,STNE,49.24,52.21,49.0,51.28,5558848
2020-08-19,STNE,51.52,52.09,50.46,50.62,2357758
2020-08-20,STNE,50.12,50.73,48.93,49.41,2877428
