date,ticker,open,high,low,close,volume
2020-01-02,TH,4.96,5.0,4.71,4.81,150755
2020-01-03,TH,4.78,4.8,4.544,4.71,111043
2020-01-06,TH,4.64,4.87,4.6,4.845,109619
2020-01-07,TH,4.84,4.92,4.77,4.87,59776
2020-01-08,TH,4.84,5.36,4.84,5.245,130781
2020-01-09,TH,5.28,5.55,5.14,5.16,144566
2020-01-10,TH,5.16,5.164,4.99,5.07,755225
2020-01-13,TH,5.02,5.39,5.02,5.24,236548
2020-01-14,TH,5.24,5.285,4.93,5.03,446653
2020-01-15,TH,5.04,5.3,5.04,5.24,94007
2020-01-16,TH,5.28,5.32,5.21,5.26,58207
2020-01-17,TH,5.3,5.34,5.195,5.32,70017
2020-01-21,TH,5.31,5.37,5.12,5.25,95459
2020-01-22,TH,5.26,5.29,5.14,5.2,116291
2020-01-23,TH,5.16,5.29,4.98,5.26,128430
2020-01-24,TH,5.26,5.35,5.21,5.3,119084
2020-01-27,TH,5.23,5.27,5.15,5.17,89070
2020-01-28,TH,5.22,5.3,5.19,5.28,220632
2020-01-29,TH,5.28,5.54,5.21,5.51,122913
2020-01-30,TH,5.47,5.61,5.23,5.57,327339
2020-01-31,TH,5.53,5.68,5.41,5.47,189653
2020-02-03,TH,5.43,5.69,5.335,5.64,140695
2020-02-04,TH,5.67,5.725,5.55,5.63,77122
2020-02-05,TH,5.69,5.77,5.44,5.63,162531
2020-02-06,TH,5.67,5.69,5.37,5.44,70934
2020-02-07,TH,5.45,5.57,5.375,5.5,106871
2020-02-10,TH,5.49,5.56,5.3288,5.53,51923
2020-02-11,TH,5.52,5.55,5.25,5.27,72718
2020-02-12,TH,5.27,5.42,5.19,5.34,64887
2020-02-13,TH,5.32,5.48,5.31,5.33,41516
2020-02-14,TH,5.32,5.345,5.16,5.24,39477
2020-02-18,TH,5.24,5.29,4.99,5.08,138724
2020-02-19,TH,5.12,5.29,5.02,5.07,83289
2020-02-20,TH,5.06,5.17,4.99,5.05,64340
2020-02-21,TH,5.08,5.08,4.69,4.8,109196
2020-02-24,TH,4.65,4.735,4.48,4.7,154582
2020-02-25,TH,4.69,4.9079,4.5195,4.76,89249
2020-02-26,TH,4.74,4.82,4.41,4.55,53467
2020-02-27,TH,4.46,4.83,4.35,4.655,275802
2020-02-28,TH,4.15,4.85,4.15,4.68,243224
2020-03-02,TH,4.54,4.95,4.51,4.75,173350
2020-03-03,TH,4.71,4.72,4.31,4.48,167021
2020-03-04,TH,4.54,4.54,4.31,4.51,179403
2020-03-05,TH,4.44,4.55,4.36,4.42,323850
2020-03-06,TH,4.31,4.45,4.19,4.24,156110
2020-03-09,TH,3.96,4.0,2.98,3.0,834967
2020-03-10,TH,3.0,3.0,2.255,2.61,466291
2020-03-11,TH,2.51,2.66,2.33,2.47,361094
2020-03-12,TH,1.78,2.135,1.69,1.7,629261
2020-03-13,TH,1.86,1.96,1.61,1.77,442646
2020-03-16,TH,1.7,1.73,1.53,1.62,456665
2020-03-17,TH,1.65,2.09,1.56,2.02,203224
2020-03-18,TH,1.89,1.93,1.445,1.56,245567
2020-03-19,TH,1.59,1.6613,1.19,1.37,357311
2020-03-20,TH,1.38,1.56,1.23,1.45,250523
2020-03-23,TH,1.44,1.47,1.21,1.26,184073
2020-03-24,TH,1.29,1.47,1.26,1.36,305717
2020-03-25,TH,1.41,1.91,1.355,1.8,172808
2020-03-26,TH,1.86,2.2156,1.71,1.96,135912
2020-03-27,TH,1.88,1.95,1.73,1.94,975642
