date,ticker,open,high,low,close,volume
2020-01-02,TRNS,31.94,32.2,31.25,31.63,16966
2020-01-03,TRNS,31.07,31.6,30.3,31.4,18432
2020-01-06,TRNS,31.35,31.64,29.9972,31.46,14778
2020-01-07,TRNS,31.23,31.62,30.95,31.4,20558
2020-01-08,TRNS,31.3,31.63,31.1752,31.28,11086
2020-01-09,TRNS,31.32,32.09,31.1934,31.25,16066
2020-01-10,TRNS,31.25,31.6,30.94,31.15,10655
2020-01-13,TRNS,31.4983,31.515,30.9592,31.5,14421
2020-01-14,TRNS,31.46,31.74,31.14,31.14,10778
2020-01-15,TRNS,31.28,31.75,31.0326,31.67,12428
2020-01-16,TRNS,31.71,32.99,31.7,32.72,33951
2020-01-17,TRNS,32.8,32.8,32.12,32.37,17104
2020-01-21,TRNS,32.45,33.183,31.61,32.25,23175
2020-01-22,TRNS,32.3307,32.6,32.1,32.6,62529
2020-01-23,TRNS,32.49,32.87,32.4078,32.42,21403
2020-01-24,TRNS,32.64,32.86,32.32,32.44,8718
2020-01-27,TRNS,32.12,32.6029,31.9109,32.11,6847
2020-01-28,TRNS,32.16,32.5833,31.95,32.27,6720
2020-01-29,TRNS,32.27,32.7,31.46,31.5,10693
2020-01-30,TRNS,31.36,31.645,30.07,30.18,16113
2020-01-31,TRNS,30.8,32.6748,29.99,30.6,50998
2020-02-03,TRNS,30.69,31.8262,30.65,30.7,15882
2020-02-04,TRNS,30.87,31.415,30.48,30.48,22540
2020-02-05,TRNS,30.59,32.58,29.91,30.82,19929
2020-02-06,TRNS,30.84,32.98,30.84,32.9,28661
2020-02-07,TRNS,32.6,32.98,31.22,32.29,37707
2020-02-10,TRNS,32.02,32.3109,31.51,32.21,6593
2020-02-11,TRNS,32.24,32.4219,31.403,31.65,11994
2020-02-12,TRNS,31.74,31.95,30.545,31.6,10579
2020-02-13,TRNS,31.45,32.41,30.2868,32.21,11998
2020-02-14,TRNS,32.19,32.41,31.495,32.15,9813
2020-02-18,TRNS,32.13,32.13,31.75,31.75,3665
2020-02-19,TRNS,32.22,32.22,31.2,31.32,21284
2020-02-20,TRNS,31.31,31.74,30.674,31.42,7793
2020-02-21,TRNS,31.38,31.9865,31.04,31.04,10394
2020-02-24,TRNS,30.72,30.93,30.07,30.26,11242
2020-02-25,TRNS,30.26,30.4641,30.15,30.26,23537
2020-02-26,TRNS,30.62,30.86,30.0,30.72,43583
2020-02-27,TRNS,30.405,31.41,27.83,28.72,54432
2020-02-28,TRNS,28.14,29.375,28.14,28.89,20160
2020-03-02,TRNS,29.25,31.28,28.7762,31.28,33012
2020-03-03,TRNS,31.16,31.5164,30.176,31.32,29367
