date,ticker,open,high,low,close,volume
2021-01-28,VINP,15.9117,16.0825,14.627,15.1924,6602033
2021-01-29,VINP,14.8784,15.7589,13.4854,15.3272,1815153
2021-02-01,VINP,15.3728,16.63,15.3728,16.4782,1040966
2021-02-02,VINP,16.1821,17.0361,15.9117,16.5143,1030835
2021-02-03,VINP,16.5048,16.9005,16.1821,16.5408,709018
2021-02-04,VINP,16.5854,17.4945,16.1944,17.1889,367899
2021-02-05,VINP,17.0807,17.1984,16.5324,16.8558,463858
2021-02-08,VINP,16.8835,17.1984,16.5768,16.9099,382954
2021-02-09,VINP,16.7391,17.0267,16.5598,16.5684,123222
2021-02-10,VINP,16.5504,16.982,16.2447,16.721,92912
2021-02-11,VINP,16.703,16.9005,16.4877,16.63,206633
2021-02-12,VINP,16.63,16.9099,16.4241,16.7116,220882
2021-02-16,VINP,16.7923,17.206,16.5048,16.7657,253784
2021-02-17,VINP,16.6766,16.721,15.7324,16.1821,103931
2021-02-18,VINP,16.2713,16.6091,16.0104,16.1546,36114
2021-02-19,VINP,16.5324,17.485,15.3993,17.4404,485152
2021-02-22,VINP,15.9848,17.2686,15.7324,15.7409,555976
2021-02-23,VINP,16.1774,16.1774,14.9505,15.4534,289199
2021-02-24,VINP,15.4534,16.721,14.7436,15.0217,231859
2021-02-25,VINP,15.0947,15.5473,13.9342,14.0329,383601
2021-02-26,VINP,13.9703,14.7646,13.0622,14.0861,572382
2021-03-01,VINP,14.3755,15.4534,14.2313,15.0672,607123
2021-03-02,VINP,16.6766,16.7847,14.5824,14.6354,726001
2021-03-03,VINP,15.0577,15.5075,14.366,14.3755,379871
2021-03-04,VINP,14.1771,15.0757,13.8887,14.7787,214690
2021-03-05,VINP,14.7532,15.8662,14.384,15.4534,184213
2021-03-08,VINP,15.5075,15.6877,14.0149,14.0604,222028
2021-03-09,VINP,14.1145,14.2863,13.0262,13.1514,494302
2021-03-10,VINP,13.3953,14.1078,12.8639,13.2966,427717
2021-03-11,VINP,13.3953,13.8536,13.0802,13.3953,116104
2021-03-12,VINP,13.215,13.3222,12.8193,13.0622,215309
2021-03-15,VINP,13.0358,13.5738,12.8553,13.5205,74735
2021-03-16,VINP,13.494,13.8252,13.494,13.5926,46747
2021-03-17,VINP,13.6638,14.1771,13.5385,14.0149,179642
2021-03-18,VINP,13.6733,13.9342,12.5859,13.3137,370644
2021-03-19,VINP,13.3052,13.3052,11.9568,12.5859,907814
2021-03-22,VINP,12.8013,12.8013,12.064,12.5413,172032
2021-03-23,VINP,12.4958,12.6837,12.2803,12.3156,237376
2021-03-24,VINP,11.8667,11.9568,11.2821,11.4445,753333
2021-03-25,VINP,11.3447,11.6778,11.1388,11.4615,399001
2021-03-26,VINP,11.5251,11.8667,11.2556,11.7139,249363
2021-03-29,VINP,11.6864,11.9834,11.4709,11.6864,179397
2021-03-30,VINP,11.6598,11.7405,11.4976,11.6778,79258
2021-03-31,VINP,11.786,12.0014,11.6418,11.822,136439
2021-04-01,VINP,11.8667,11.9739,11.3353,11.5516,495250
2021-04-05,VINP,11.6598,11.9472,11.265,11.768,306779
2021-04-06,VINP,11.6684,11.6864,11.3989,11.4083,82669
2021-04-07,VINP,11.4255,11.5706,10.9861,11.2186,439077
2021-04-08,VINP,11.2376,11.5023,11.0838,11.21,321821
2021-04-09,VINP,11.1569,11.3002,10.913,11.228,103412
2021-04-12,VINP,11.1198,11.4615,11.1198,11.3192,175647
2021-04-13,VINP,11.2015,11.5706,11.0212,11.1645,148049
2021-04-14,VINP,11.228,11.4976,10.9671,11.0582,149537
2021-04-15,VINP,10.9861,10.9861,10.7877,10.7877,132729
2021-04-16,VINP,10.8419,11.0488,10.7783,11.0118,189472
2021-04-19,VINP,10.9766,11.1114,10.7537,10.9766,153642
