date,ticker,open,high,low,close,volume
2020-01-02,VSAT,73.49,73.8,72.95,73.6,195831
2020-01-03,VSAT,72.61,73.73,72.44,73.56,202921
2020-01-06,VSAT,73.17,73.84,72.54,73.58,306151
2020-01-07,VSAT,73.58,73.58,72.33,72.37,169360
2020-01-08,VSAT,72.39,72.66,69.72,70.28,357385
2020-01-09,VSAT,70.46,70.99,69.84,70.58,387804
2020-01-10,VSAT,70.88,71.18,70.315,70.64,178528
2020-01-13,VSAT,70.76,72.22,70.58,72.1,170086
2020-01-14,VSAT,71.95,72.49,71.6553,72.46,425826
2020-01-15,VSAT,72.33,73.22,72.26,72.96,344019
2020-01-16,VSAT,73.62,74.05,73.36,73.5,411364
2020-01-17,VSAT,73.89,73.99,72.41,72.77,346449
2020-01-21,VSAT,72.38,72.56,71.18,71.64,364037
2020-01-22,VSAT,71.58,71.94,70.06,70.1,263486
2020-01-23,VSAT,69.82,70.16,69.12,69.41,356636
2020-01-24,VSAT,69.57,69.92,69.0,69.09,234927
2020-01-27,VSAT,68.36,69.1,68.05,68.47,281189
2020-01-28,VSAT,68.61,69.08,68.5,68.64,144422
2020-01-29,VSAT,68.61,68.96,67.47,67.5,210973
2020-01-30,VSAT,67.05,67.74,65.32,65.51,293885
2020-01-31,VSAT,65.25,65.31,63.5,63.65,471914
2020-02-03,VSAT,63.81,65.59,63.81,65.2,426001
2020-02-04,VSAT,65.82,66.96,65.75,66.25,301227
2020-02-05,VSAT,66.86,67.05,66.01,66.66,173197
2020-02-06,VSAT,66.52,67.76,66.52,66.53,362706
2020-02-07,VSAT,68.4,68.4,62.35,65.55,715730
2020-02-10,VSAT,64.08,64.94,62.92,64.72,976135
2020-02-11,VSAT,65.02,66.6,64.75,65.0,427948
2020-02-12,VSAT,65.38,65.47,64.59,64.9,435684
2020-02-13,VSAT,64.28,64.63,62.5,62.56,365791
2020-02-14,VSAT,62.67,62.815,60.85,61.0,606670
2020-02-18,VSAT,60.78,60.78,57.8,57.95,668919
2020-02-19,VSAT,57.74,58.1,56.84,57.1,826413
2020-02-20,VSAT,56.97,58.11,56.36,57.88,750005
2020-02-21,VSAT,57.62,57.697,54.82,55.67,723316
2020-02-24,VSAT,54.56,55.66,52.98,54.13,765077
2020-02-25,VSAT,54.42,56.89,54.42,56.29,910184
2020-02-26,VSAT,56.41,57.79,56.23,56.99,687123
2020-02-27,VSAT,56.49,58.11,55.57,57.01,653122
2020-02-28,VSAT,56.1,58.59,55.835,57.5,949630
2020-03-02,VSAT,57.5,59.08,55.5,59.02,735435
2020-03-03,VSAT,58.935,60.07,58.08,59.03,1023347
2020-03-04,VSAT,59.46,59.62,57.0,57.42,507779
2020-03-05,VSAT,58.08,58.08,52.19,53.97,857968
2020-03-06,VSAT,52.51,53.16,50.8,52.03,854768
2020-03-09,VSAT,49.5,49.5,46.66,47.67,760849
2020-03-10,VSAT,48.96,50.39,48.17,50.0,509419
2020-03-11,VSAT,48.94,49.47,47.51,47.93,541452
2020-03-12,VSAT,45.16,46.01,42.74,43.33,605869
2020-03-13,VSAT,45.18,46.99,40.56,43.03,782703
2020-03-16,VSAT,38.63,40.975,37.69,38.13,621410
2020-03-17,VSAT,39.2,42.92,37.74,39.69,782781
2020-03-18,VSAT,37.81,38.24,25.71,29.81,1628086
2020-03-19,VSAT,29.59,32.46,29.0,31.82,1629394
2020-03-20,VSAT,32.0,33.5,28.0,28.22,1144992
2020-03-23,VSAT,28.72,29.93,25.1,27.46,1136842
2020-03-24,VSAT,29.02,36.22,29.01,35.62,1088240
2020-03-25,VSAT,36.23,39.64,34.3,38.4,909271
2020-03-26,VSAT,39.2,40.68,38.29,40.34,599587
2020-03-27,VSAT,38.8,39.42,37.68,38.66,614994
2020-03-30,VSAT,38.2,38.88,36.77,38.51,547430
2020-03-31,VSAT,38.3,38.59,35.17,35.92,1111523
2020-04-01,VSAT,34.23,34.77,31.61,32.89,645791
2020-04-02,VSAT,32.84,35.12,32.08,34.18,687903
2020-04-03,VSAT,34.08,34.46,32.41,32.89,480669
2020-04-06,VSAT,35.14,37.98,35.14,37.91,557670
2020-04-07,VSAT,40.14,41.662,39.54,39.63,682385
2020-04-08,VSAT,40.41,43.57,39.74,43.07,496161
2020-04-09,VSAT,44.44,45.54,43.74,44.69,439288
2020-04-13,VSAT,43.78,43.89,41.62,41.92,523632
2020-04-14,VSAT,42.92,44.8,42.76,43.16,423488
2020-04-15,VSAT,41.97,42.05,39.89,40.38,358231
2020-04-16,VSAT,40.39,40.45,38.43,39.12,334942
2020-04-17,VSAT,40.89,41.9836,40.76,41.07,306907
2020-04-20,VSAT,40.8,42.55,40.24,41.75,340771
2020-04-21,VSAT,40.39,41.3,38.97,39.29,231776
2020-04-22,VSAT,40.44,41.1799,39.58,40.75,198578
2020-04-23,VSAT,40.97,42.34,40.65,41.52,296105
2020-04-24,VSAT,41.4,42.0,40.663,41.3,305573
2020-04-27,VSAT,41.51,44.39,41.51,42.51,366816
2020-04-28,VSAT,43.65,44.02,42.48,42.97,328369
2020-04-29,VSAT,44.07,46.175,43.58,45.55,354039
2020-04-30,VSAT,45.17,45.17,42.08,42.4,387325
2020-05-01,VSAT,41.43,41.61,39.77,40.52,352655
2020-05-04,VSAT,39.72,40.51,38.79,39.38,296298
2020-05-05,VSAT,40.73,41.54,39.675,39.83,259233
2020-05-06,VSAT,39.9,40.32,37.81,37.88,391616
2020-05-07,VSAT,38.49,39.74,38.34,39.37,480331
2020-05-08,VSAT,40.28,41.34,39.915,41.28,463734
2020-05-11,VSAT,40.34,40.39,38.745,38.94,521507
2020-05-12,VSAT,39.1,39.495,36.87,36.92,436784
2020-05-13,VSAT,36.44,36.8865,34.1,34.98,541732
2020-05-14,VSAT,34.13,35.63,32.8467,34.55,510939
2020-05-15,VSAT,34.26,35.455,33.89,35.1,504083
2020-05-18,VSAT,36.73,39.03,36.73,38.66,650643
2020-05-19,VSAT,38.66,39.1725,37.68,38.07,525162
2020-05-20,VSAT,39.06,41.04,38.77,40.86,498499
2020-05-21,VSAT,40.6,42.54,38.78,41.83,766827
2020-05-22,VSAT,42.86,43.74,40.44,42.15,468781
2020-05-26,VSAT,45.247,48.0,44.605,47.73,995230
2020-05-27,VSAT,44.63,45.95,42.5,44.08,1502996
2020-05-28,VSAT,44.09,45.66,42.58,42.96,765894
2020-05-29,VSAT,42.72,43.32,41.02,42.0,625589
2020-06-01,VSAT,41.63,43.8,41.44,43.39,603428
2020-06-02,VSAT,44.06,44.66,43.46,43.74,472680
2020-06-03,VSAT,44.47,46.1,44.23,45.29,656089
2020-06-04,VSAT,44.34,45.41,44.13,44.92,488718
2020-06-05,VSAT,45.0,47.3,45.0,45.39,804260
2020-06-08,VSAT,45.37,47.94,45.37,47.42,1381235
2020-06-09,VSAT,46.5,46.92,45.48,46.18,585196
2020-06-10,VSAT,46.01,46.01,41.98,42.24,635328
2020-06-11,VSAT,39.96,41.13,39.47,39.71,650393
2020-06-12,VSAT,41.78,42.14,38.64,40.08,462827
2020-06-15,VSAT,38.66,41.005,37.51,40.27,378167
2020-06-16,VSAT,42.77,43.61,41.16,42.64,543535
2020-06-17,VSAT,42.82,42.82,40.77,41.32,602976
2020-06-18,VSAT,40.77,42.13,40.48,41.02,366009
2020-06-19,VSAT,42.07,42.4006,40.15,40.36,519841
2020-06-22,VSAT,40.96,40.96,38.94,39.46,405840
2020-06-23,VSAT,40.29,40.5,39.18,40.37,320295
2020-06-24,VSAT,39.73,39.73,38.02,38.51,414036
2020-06-25,VSAT,38.22,39.1,37.87,38.58,370430
2020-06-26,VSAT,38.33,38.6486,36.4466,36.8,593705
2020-06-29,VSAT,37.46,39.47,36.52,39.33,450089
2020-06-30,VSAT,39.0,39.335,37.44,38.37,608918
2020-07-01,VSAT,38.18,38.8,36.33,36.77,624943
2020-07-02,VSAT,37.63,38.5024,36.57,36.68,564302
2020-07-06,VSAT,37.66,38.38,37.09,37.46,451699
2020-07-07,VSAT,36.68,37.04,36.24,36.5,603938
2020-07-08,VSAT,36.36,37.82,36.27,37.565,355676
2020-07-09,VSAT,37.27,37.85,35.87,36.145,452934
2020-07-10,VSAT,35.9,37.16,35.73,36.98,267740
2020-07-13,VSAT,37.58,37.715,36.31,36.53,320791
2020-07-14,VSAT,36.15,37.03,35.81,36.83,275890
2020-07-15,VSAT,37.99,39.31,37.96,38.37,417062
2020-07-16,VSAT,37.7,38.35,37.37,37.95,316128
2020-07-17,VSAT,38.08,38.335,37.45,37.58,371494
2020-07-20,VSAT,37.63,38.05,36.9301,37.73,318607
2020-07-21,VSAT,38.35,39.25,38.17,38.54,214131
2020-07-22,VSAT,38.18,38.65,37.91,38.11,230187
2020-07-23,VSAT,38.12,38.63,37.66,38.05,322275
2020-07-24,VSAT,38.12,38.29,37.29,37.38,414788
2020-07-27,VSAT,37.39,37.57,36.71,37.45,340329
2020-07-28,VSAT,38.91,39.43,38.315,38.6,645872
2020-07-29,VSAT,38.71,39.4,38.51,38.89,736355
2020-07-30,VSAT,38.14,38.77,36.89,38.4,531136
2020-07-31,VSAT,38.1,38.18,36.82,37.96,402685
2020-08-03,VSAT,38.0,38.01,36.95,37.5,481887
2020-08-04,VSAT,37.18,38.98,37.18,38.34,1184967
2020-08-05,VSAT,38.56,38.89,37.71,38.0,428367
2020-08-06,VSAT,37.89,38.8,37.76,38.57,935053
2020-08-07,VSAT,39.73,42.85,39.68,42.1,1646623
2020-08-10,VSAT,42.36,42.75,40.97,41.83,862648
2020-08-11,VSAT,42.4,43.43,41.785,41.9,876130
2020-08-12,VSAT,42.34,42.34,41.132,41.83,499007
2020-08-13,VSAT,41.37,41.82,40.95,41.07,334741
2020-08-14,VSAT,40.23,41.51,40.06,41.38,416085
2020-08-17,VSAT,41.31,41.625,40.56,41.31,369794
2020-08-18,VSAT,41.55,41.78,41.08,41.16,594152
2020-08-19,VSAT,41.16,41.64,40.85,40.94,654172
2020-08-20,VSAT,40.58,41.08,40.27,40.33,267762
2020-08-21,VSAT,40.04,40.06,38.8,39.26,415130
2020-08-24,VSAT,39.63,40.83,39.296,40.56,1236273
2020-08-25,VSAT,40.95,41.22,39.81,40.11,802748
2020-08-26,VSAT,40.36,40.94,39.77,39.91,458953
2020-08-27,VSAT,40.12,40.6,40.03,40.12,675090
2020-08-28,VSAT,40.34,40.5,39.56,40.23,375973
2020-08-31,VSAT,40.27,40.39,39.5,39.76,288768
2020-09-01,VSAT,39.64,40.17,39.03,39.3,345168
2020-09-02,VSAT,39.3,39.5,38.82,39.1,562547
2020-09-03,VSAT,39.25,39.515,37.19,37.43,523854
2020-09-04,VSAT,37.83,38.02,36.57,37.19,1293533
2020-09-08,VSAT,36.53,38.22,36.1,37.86,769299
2020-09-09,VSAT,38.04,38.47,37.14,37.14,485192
2020-09-10,VSAT,37.15,37.73,35.16,35.31,613756
2020-09-11,VSAT,35.56,36.14,35.14,35.945,571036
2020-09-14,VSAT,36.69,37.16,36.24,36.44,478449
2020-09-15,VSAT,36.55,37.11,35.27,35.35,435648
2020-09-16,VSAT,35.55,35.825,34.32,35.52,855685
2020-09-17,VSAT,35.0,35.7,34.86,35.53,572015
2020-09-18,VSAT,35.54,36.1599,34.99,35.11,1542684
2020-09-21,VSAT,34.38,35.14,33.695,34.88,817075
2020-09-22,VSAT,35.02,35.78,34.01,34.53,771983
2020-09-23,VSAT,34.5,34.9,33.01,33.64,960999
2020-09-24,VSAT,33.38,33.44,32.35,32.62,519067
2020-09-25,VSAT,32.47,32.96,31.96,32.94,456465
2020-09-28,VSAT,33.76,34.72,33.72,34.19,360341
2020-09-29,VSAT,34.17,34.66,33.8,34.24,427558
2020-09-30,VSAT,34.49,34.98,33.92,34.39,885786
2020-10-01,VSAT,34.4,35.22,34.0,34.35,390973
2020-10-02,VSAT,33.59,34.67,33.56,34.48,263385
2020-10-05,VSAT,34.97,35.37,34.0,34.37,182080
2020-10-06,VSAT,34.53,35.34,34.01,34.1,325597
2020-10-07,VSAT,34.15,35.4,33.96,34.13,429098
2020-10-08,VSAT,34.43,35.29,34.42,35.15,433561
2020-10-09,VSAT,35.51,35.95,34.9737,35.62,355804
2020-10-12,VSAT,35.57,36.55,35.28,36.17,804627
2020-10-13,VSAT,36.22,36.5,34.85,34.88,422097
2020-10-14,VSAT,34.9,35.47,34.21,34.24,312583
2020-10-15,VSAT,33.75,34.62,33.39,34.52,209836
2020-10-16,VSAT,34.69,35.2,34.33,34.72,413723
2020-10-19,VSAT,34.9,35.01,34.13,34.3,429123
2020-10-20,VSAT,34.75,35.02,34.47,34.98,482947
2020-10-21,VSAT,34.99,35.19,34.53,34.76,538704
2020-10-22,VSAT,34.79,35.47,34.77,35.21,432654
2020-10-23,VSAT,35.43,35.82,35.19,35.74,307904
2020-10-26,VSAT,35.26,35.4,33.87,34.69,504136
2020-10-27,VSAT,34.57,34.925,34.26,34.37,541132
2020-10-28,VSAT,33.84,34.1358,33.335,33.61,508353
2020-10-29,VSAT,33.41,33.9,32.88,33.8,576159
2020-10-30,VSAT,33.6,34.11,33.16,33.9,684077
2020-11-02,VSAT,34.29,34.7,33.95,34.68,410737
2020-11-03,VSAT,35.29,36.2633,34.79,34.915,876468
2020-11-04,VSAT,34.28,34.6,32.19,32.19,522615
2020-11-05,VSAT,32.39,33.98,32.0,33.63,390593
2020-11-06,VSAT,34.12,34.22,32.365,33.22,517271
2020-11-09,VSAT,35.49,37.38,35.2501,36.3,777458
2020-11-10,VSAT,36.4,36.6099,34.445,34.54,672097
2020-11-11,VSAT,34.63,34.69,33.5,34.32,466342
2020-11-12,VSAT,34.08,34.48,33.02,33.36,550198
2020-11-13,VSAT,33.73,34.685,33.73,34.59,388971
2020-11-16,VSAT,37.3407,37.3407,35.49,36.65,382409
2020-11-17,VSAT,35.88,36.19,35.36,35.66,776765
2020-11-18,VSAT,36.26,36.75,35.61,36.17,757893
2020-11-19,VSAT,36.15,36.15,34.74,34.99,468286
2020-11-20,VSAT,34.85,35.02,34.4,34.75,722492
2020-11-23,VSAT,34.94,35.8558,34.51,35.66,720956
2020-11-24,VSAT,36.55,37.49,36.132,36.68,990686
2020-11-25,VSAT,37.0489,37.0489,35.555,35.85,653051
2020-11-27,VSAT,36.06,36.535,35.07,35.54,490055
2020-11-30,VSAT,35.13,35.49,33.94,34.0,777169
2020-12-01,VSAT,34.73,35.17,33.82,34.83,769975
2020-12-02,VSAT,34.35,34.72,33.95,34.3,409642
2020-12-03,VSAT,34.51,35.859,34.11,34.87,621711
2020-12-04,VSAT,35.22,35.5,34.825,35.32,707715
2020-12-07,VSAT,35.25,36.92,34.93,35.22,776315
2020-12-08,VSAT,35.245,35.33,34.2,34.23,904462
2020-12-09,VSAT,34.19,34.93,33.73,34.9,743404
2020-12-10,VSAT,34.52,34.885,34.02,34.38,519442
2020-12-11,VSAT,34.83,35.3011,34.2,34.85,712541
2020-12-14,VSAT,35.61,36.05,34.4,34.5,773411
2020-12-15,VSAT,34.63,34.75,32.78,33.51,774163
2020-12-16,VSAT,33.54,33.72,32.73,32.9,833002
2020-12-17,VSAT,32.98,33.0631,31.75,32.04,1070119
2020-12-18,VSAT,31.95,32.0,30.81,31.41,2087652
2020-12-21,VSAT,30.27,31.12,29.82,30.57,1740937
2020-12-22,VSAT,30.57,32.08,30.5601,32.03,1418925
2020-12-23,VSAT,32.07,33.48,31.9608,33.46,967720
2020-12-24,VSAT,33.56,33.56,32.12,33.43,491546
2020-12-28,VSAT,33.46,35.18,33.46,34.545,927603
2020-12-29,VSAT,34.68,35.0,33.09,33.57,568183
2020-12-30,VSAT,33.65,34.28,32.95,33.22,668451
2020-12-31,VSAT,33.12,33.15,32.5,32.65,690540
2021-01-04,VSAT,32.7,32.72,31.31,31.93,708864
2021-01-05,VSAT,31.86,32.18,31.16,31.51,1392313
2021-01-06,VSAT,32.2,33.885,31.62,33.29,1084771
2021-01-07,VSAT,33.36,33.98,33.13,33.85,774044
2021-01-08,VSAT,34.03,34.5,33.64,34.22,882955
2021-01-11,VSAT,33.96,34.4,33.7,34.14,763351
2021-01-12,VSAT,34.58,35.74,34.19,35.34,888249
2021-01-13,VSAT,35.28,35.46,34.19,34.56,566367
