<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQQQ.US,D,20100211,000000,2202930,2224280,2089050,2107385,2.0197441214132,0
SQQQ.US,D,20100212,000000,2170060,2171725,2079190,2089860,2.0197441214132,0
SQQQ.US,D,20100216,000000,2044420,2078640,2009380,2015675,1.7953281079228,0
SQQQ.US,D,20100217,000000,1988845,2018690,1978985,1984740,1.7953281079228,0
SQQQ.US,D,20100218,000000,1982265,1991585,1931355,1937110,1.5709120944325,0
SQQQ.US,D,20100219,000000,1954620,1970500,1916310,1942315,1.5709120944325,0
SQQQ.US,D,20100222,000000,1921225,1975975,1919865,1954350,1.1220800674518,0
SQQQ.US,D,20100223,000000,1958460,2054275,1958185,2032920,2.0197441214132,0
SQQQ.US,D,20100224,000000,1997885,2006920,1945315,1969415,2.4685761483939,0
SQQQ.US,D,20100225,000000,2031560,2069610,1955715,1955715,2.0197441214132,0
SQQQ.US,D,20100226,000000,1971050,1989945,1938475,1945050,1.5709120944325,0
SQQQ.US,D,20100301,000000,1922320,1923695,1853340,1859360,2.0197441214132,0
SQQQ.US,D,20100302,000000,1842385,1856350,1811730,1845120,0.89766405396142,0
SQQQ.US,D,20100303,000000,1838565,1859095,1813635,1845120,1.1220800674518,0
SQQQ.US,D,20100304,000000,1835000,1860460,1815555,1822135,1.5709120944325,0
SQQQ.US,D,20100305,000000,1776695,1788735,1732335,1741365,2.2441601349035,0
SQQQ.US,D,20100308,000000,1729870,1733155,1716460,1727130,1.1220800674518,0
SQQQ.US,D,20100309,000000,1742190,1742190,1669915,1697295,2.9174081753746,0
SQQQ.US,D,20100310,000000,1682250,1685245,1645555,1656500,2.0197441214132,0
SQQQ.US,D,20100311,000000,1666635,1675400,1639260,1640355,2.4685761483939,0
SQQQ.US,D,20100312,000000,1619550,1653225,1619550,1637885,2.0197441214132,0
SQQQ.US,D,20100315,000000,1649115,1680595,1636520,1647755,2.0197441214132,0
SQQQ.US,D,20100316,000000,1633245,1646650,1610240,1615985,1.7953281079228,0
SQQQ.US,D,20100317,000000,1610515,1615170,1581500,1608325,2.6929921618843,0
SQQQ.US,D,20100318,000000,1599015,1609690,1582585,1589155,2.0197441214132,0
SQQQ.US,D,20100319,000000,1570825,1631870,1570825,1617905,3.141824188865,0
SQQQ.US,D,20100322,000000,1632970,1639805,1552480,1572465,5.3859843237685,0
SQQQ.US,D,20100323,000000,1564255,1583140,1535785,1541255,4.0394882428264,0
SQQQ.US,D,20100324,000000,1548920,1571095,1547010,1557675,4.4883202698071,0
SQQQ.US,D,20100325,000000,1524280,1572465,1505665,1570540,4.9371522967878,0
SQQQ.US,D,20100326,000000,1549740,1586975,1531125,1560970,3.3662402023553,0
SQQQ.US,D,20100329,000000,1539605,1551935,1527015,1540715,2.6929921618843,0
SQQQ.US,D,20100330,000000,1527285,1552205,1512510,1525650,1.7953281079228,0
SQQQ.US,D,20100331,000000,1542080,1554120,1520720,1542355,3.815072229336,0
