<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBND.US,D,20181005,000000,23.0598,23.0598,23.0598,23.0598,274.8822447088,0
WBND.US,D,20181010,000000,23.0598,23.0598,23.0598,23.0598,102.3284268624,0
WBND.US,D,20181012,000000,23.1335,23.1335,23.1335,23.1335,156.5022999072,0
WBND.US,D,20181015,000000,23.1196,23.1196,23.1196,23.1196,214.6890524368,0
WBND.US,D,20181019,000000,23.0099,23.0099,23.0099,23.0099,214.6890524368,0
WBND.US,D,20181022,000000,22.982,22.982,22.982,22.982,102.3284268624,0
WBND.US,D,20181025,000000,23.0398,23.0398,23.0398,23.0398,562.8063477432,0
WBND.US,D,20181026,000000,23.0837,23.0837,23.0837,23.0837,102.3284268624,0
WBND.US,D,20181031,000000,22.9561,22.9561,22.9043,22.9043,976.1329346776,0
WBND.US,D,20181101,000000,22.9302,22.9461,22.9302,22.9322,810.6016559296,0
WBND.US,D,20181102,000000,22.9043,22.9043,22.8734,22.8734,312.0013799432,0
WBND.US,D,20181105,000000,22.9013,22.9013,22.9013,22.9013,102.3284268624,0
WBND.US,D,20181107,000000,22.9561,22.9561,22.9371,22.9371,216503.8771838,0
WBND.US,D,20181108,000000,22.8674,22.8674,22.8674,22.8674,43299.972860863,0
WBND.US,D,20181109,000000,22.8524,22.8863,22.8524,22.8863,757.431002756,0
WBND.US,D,20181113,000000,22.8654,22.8863,22.8654,22.8863,327.0496780112,0
WBND.US,D,20181115,000000,22.8564,22.8564,22.8564,22.8564,102.3284268624,0
WBND.US,D,20181119,000000,22.9651,22.975,22.9651,22.975,328.0528978824,0
WBND.US,D,20181129,000000,22.9561,22.9561,22.9561,22.9561,102.3284268624,0
WBND.US,D,20181203,000000,22.974,22.974,22.974,22.974,213.6858325656,0
WBND.US,D,20181204,000000,23.0518,23.0518,23.0518,23.0518,213.6858325656,0
WBND.US,D,20181207,000000,23.1076,23.1076,23.0867,23.0867,329.0561177536,0
WBND.US,D,20181210,000000,23.1076,23.1076,23.1076,23.1076,213.6858325656,0
WBND.US,D,20181212,000000,23.1156,23.1156,23.1096,23.1096,327.0496780112,0
WBND.US,D,20181213,000000,23.1684,23.1684,23.1684,23.1684,410.3169273208,0
WBND.US,D,20181217,000000,23.2143,23.2143,23.2143,23.2143,310.998160072,0
WBND.US,D,20181219,000000,23.3747,23.4435,23.3747,23.4196,735.3601655896,0
WBND.US,D,20181220,000000,23.4106,23.4106,23.3747,23.3747,575.8482060688,0
