<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEI.US,D,20201124,000000,136,156,120.2,139.6,101974.8,0
AEI.US,D,20201125,000000,140,140,122,122,49916.05,0
AEI.US,D,20201127,000000,120,124,110,111,14118.65,0
AEI.US,D,20201130,000000,112,127.6,110.4,121.8,12847.9,0
AEI.US,D,20201201,000000,125.4,129.6,116.2,118.4,5884.65,0
AEI.US,D,20201202,000000,116.2,124,110.4,113,8127.2,0
AEI.US,D,20201203,000000,111,115.2,109,110.4,5326.75,0
AEI.US,D,20201204,000000,111.162,114.4,108.4,109.2,5458.2,0
AEI.US,D,20201207,000000,108,114.2,108,110,3254.5,0
AEI.US,D,20201208,000000,110,110.74,108,109,1003.55,0
AEI.US,D,20201209,000000,109,113,103,107.8,2944.5,0
AEI.US,D,20201210,000000,104.6,105.376,101.482,102.4,1313.3,0
AEI.US,D,20201211,000000,101.8,104.8,101.356,101.402,1093.4,0
AEI.US,D,20201214,000000,101.6,105,100,100,916.15,0
AEI.US,D,20201215,000000,100,100.486,92,92.3,3003.75,0
AEI.US,D,20201216,000000,92.8,126,92.6,114.8,35804.4,0
AEI.US,D,20201217,000000,116.8,150,109.2,118.802,46909.85,0
AEI.US,D,20201218,000000,120.2,127.2,107.908,116,20489.55,0
AEI.US,D,20201221,000000,105,118.6,102,118.6,4239.05,0
AEI.US,D,20201222,000000,118.4,120,107.6,108,3493.05,0
AEI.US,D,20201223,000000,108,114.8,105.4,111.8,2353.8,0
AEI.US,D,20201224,000000,108.6,111,103.6,105.2,1481.75,0
AEI.US,D,20201228,000000,107.634,116.4,107.634,113.8,3333.45,0
AEI.US,D,20201229,000000,110,112.8,105.6,109,2795.2,0
AEI.US,D,20201230,000000,107,119.998,107,111.2,1906.05,0
AEI.US,D,20201231,000000,111,127,111,119.6,10972.15,0
AEI.US,D,20210104,000000,120,122,113.2,117.8,1503.85,0
AEI.US,D,20210105,000000,120,125,117,120,2603.15,0
AEI.US,D,20210106,000000,119,134.988,118.202,121.8,8568.3,0
AEI.US,D,20210107,000000,125.2,130,121.2,123,2217.65,0
AEI.US,D,20210108,000000,123,123.6,117.002,117.4,2987.6,0
AEI.US,D,20210111,000000,115.4,124,107,122,2736.4,0
AEI.US,D,20210112,000000,122,130,118.4,124,7546.2,0
AEI.US,D,20210113,000000,128.554,139,126.1,135,4025.05,0
AEI.US,D,20210114,000000,133.2,134.4,126.134,126.6,4438.6,0
AEI.US,D,20210115,000000,129.8,139,124.562,134,7263.25,0
AEI.US,D,20210119,000000,134,135.4,124.2,127.2,5797.85,0
AEI.US,D,20210120,000000,127.4,130.4,125.4,130.4,491.35,0
AEI.US,D,20210121,000000,130.4,137.8,126.2,127.8,6498.9,0
AEI.US,D,20210122,000000,127.6,133,114.7,117.6,6230.65,0
AEI.US,D,20210125,000000,120,126.6,116,118,2312.65,0
AEI.US,D,20210126,000000,118,122.5,113.6,115.326,844.65,0
AEI.US,D,20210127,000000,111.6,123.4,105.56,121.8,4707.45,0
AEI.US,D,20210128,000000,121.8,123,112.202,120.6,705.6,0
AEI.US,D,20210129,000000,118.8,133.948,118.8,126.2,11559.4,0
AEI.US,D,20210201,000000,126.4,133,122,128,4777.6,0
AEI.US,D,20210202,000000,130,130,115.2,120,1275,0
AEI.US,D,20210203,000000,118.6,124.868,117,120.2,827.6,0
AEI.US,D,20210204,000000,121.08,129.2,120.8,123,2781.55,0
AEI.US,D,20210205,000000,129,129,116,121,907.05,0
AEI.US,D,20210208,000000,121,349.6,121,211,112781.95,0
AEI.US,D,20210209,000000,202.8,266.6,180,200,34573.3,0
AEI.US,D,20210210,000000,193.8,193.8,160,177.2,10240.15,0
AEI.US,D,20210211,000000,172.2,330.2,168.8,256,103759.2,0
AEI.US,D,20210212,000000,234,358,210,351.2,60811,0
AEI.US,D,20210216,000000,427.6,589.8,360.2,550,80020.15,0
AEI.US,D,20210217,000000,481.2,579.8,462,512,22666.05,0
AEI.US,D,20210218,000000,490,490,442.4,477.6,11651.1,0
AEI.US,D,20210219,000000,462.6,518.378,442.232,477.8,11511.3,0
AEI.US,D,20210222,000000,462.2,470.8,367.8,385.4,14746.05,0
AEI.US,D,20210223,000000,330.8,330.8,284.6,330.8,12512.75,0
AEI.US,D,20210224,000000,320,420,290.2,355,18141.85,0
AEI.US,D,20210225,000000,349,377.2,304,305.6,7596.5,0
AEI.US,D,20210226,000000,319.8,319.8,273,287,10205.5,0
AEI.US,D,20210301,000000,310,329.172,288.402,293.4,8821.7,0
AEI.US,D,20210302,000000,297.6,317.28,270,272.4,6400.4,0
AEI.US,D,20210303,000000,275,289.998,234.4,250.4,16399,0
AEI.US,D,20210304,000000,237,244.6,190.8,213,13669,0
AEI.US,D,20210305,000000,295,328.8,200.6,205.2,283846.4,0
AEI.US,D,20210308,000000,202.4,221.4,192,194.2,30044.95,0
AEI.US,D,20210309,000000,195.4,248.6,194.4,228,44887.75,0
AEI.US,D,20210310,000000,245.8,247.6,214.2,226.2,10545.2,0
AEI.US,D,20210311,000000,226.2,243.16,212.002,226,14898.65,0
AEI.US,D,20210312,000000,222,222,199.2,200.6,17453.9,0
AEI.US,D,20210315,000000,202.6,219,198.234,206.2,16532.3,0
AEI.US,D,20210316,000000,206.8,212,198.4,200,9667.35,0
AEI.US,D,20210317,000000,194.4,288.908,194.4,276.2,99688.15,0
AEI.US,D,20210318,000000,284.524,306.2,222.202,229,93887.5,0
AEI.US,D,20210319,000000,227.4,245.8,216.7,224.4,22401.55,0
AEI.US,D,20210322,000000,222.8,252.8,212.4,250.4,56236.5,0
AEI.US,D,20210323,000000,245.2,274.6,209.2,216.6,116974.7,0
AEI.US,D,20210324,000000,214.6,239.8,207.2,209.6,31994.45,0
AEI.US,D,20210325,000000,201,240,190.2,229.2,113721.95,0
AEI.US,D,20210326,000000,220.2,235,207.4,223.4,65514.05,0
AEI.US,D,20210329,000000,226.4,244.69,214.8,228.2,53712,0
AEI.US,D,20210330,000000,229.4,229.4,217,227.2,24570.9,0
AEI.US,D,20210331,000000,234.334,254.7,224.2,231.4,47154.2,0
AEI.US,D,20210401,000000,231.4,272,220.4,228.6,98249.85,0
AEI.US,D,20210405,000000,228.2,241.6,215.6,223.2,68841.1,0
AEI.US,D,20210406,000000,220.4,230.4,215.6,224,71308.25,0
AEI.US,D,20210407,000000,222.8,233.574,217.6,225.8,44973.45,0
AEI.US,D,20210408,000000,231.244,248,220,235,106677.65,0
AEI.US,D,20210409,000000,229.02,237.4,225.8,230,25309.15,0
AEI.US,D,20210412,000000,230,242,214,215.6,35009.55,0
AEI.US,D,20210413,000000,214,218.8,197.6,202,42207.65,0
AEI.US,D,20210414,000000,201,210.4,194.774,198.4,22101.1,0
AEI.US,D,20210415,000000,200,204,177.6,183.2,50253.8,0
AEI.US,D,20210416,000000,184,200.478,172,186.6,25406,0
AEI.US,D,20210419,000000,183.2,194.2,178,186.2,14331.95,0
AEI.US,D,20210420,000000,186,214,180.4,195,59723.05,0
AEI.US,D,20210421,000000,196,203,185,198.2,31818.65,0
AEI.US,D,20210422,000000,205.8,213.8,196,201.8,19685.45,0
AEI.US,D,20210423,000000,201.6,211.6,193.2,207.6,25189.6,0
AEI.US,D,20210426,000000,210,217.998,201.288,207,20202.8,0
AEI.US,D,20210427,000000,211.4,213.6,204.154,206,7845.25,0
AEI.US,D,20210428,000000,205.4,209,201.6,207.4,3559.25,0
AEI.US,D,20210429,000000,203.4,207.4,197.2,204.4,5695.75,0
AEI.US,D,20210430,000000,201,215,196.4,213,24845.65,0
AEI.US,D,20210503,000000,214,224.6,201.4,210.4,33879.55,0
AEI.US,D,20210504,000000,211,211,193.4,195.2,15563.05,0
AEI.US,D,20210505,000000,182.2,183,165.802,170.4,36400.3,0
AEI.US,D,20210506,000000,171.8,173.6,145.8,167.8,52061.75,0
AEI.US,D,20210507,000000,164,164.2,151.2,153.6,31400.95,0
AEI.US,D,20210510,000000,151.04,151.04,126.4,126.8,57787.8,0
AEI.US,D,20210511,000000,80,84.4,79,83.2,518339.5,0
AEI.US,D,20210512,000000,81.6,84.4,80,80.4,136473.4,0
AEI.US,D,20210513,000000,81.2,82.4,72.2,73.6,157240.45,0
AEI.US,D,20210514,000000,74.72,75.6,70.8,74.8,54320.25,0
AEI.US,D,20210517,000000,76,79.8,75,78.2,50520.6,0
AEI.US,D,20210518,000000,77.944,78,74.4,74.8,51670.7,0
AEI.US,D,20210519,000000,71.4,73.6,68,72.2,72741.3,0
AEI.US,D,20210520,000000,72.2,78.95,71,77.2,103488.6,0
AEI.US,D,20210521,000000,77.2,84.2,75.4,83.4,139360.5,0
AEI.US,D,20210524,000000,83.8,84.4,78.4,80.4,58226,0
AEI.US,D,20210525,000000,80,81.2,73.2,74.2,85501.65,0
AEI.US,D,20210526,000000,75.2,80.8,74.4,80,152185.9,0
AEI.US,D,20210527,000000,79.8,84.2,77,81.6,148063.35,0
AEI.US,D,20210528,000000,82,82.6,78.214,81.4,61738.95,0
AEI.US,D,20210601,000000,80.6,87.124,79.2,83.8,158778.95,0
AEI.US,D,20210602,000000,84.4,88.8,80.8,86.4,200964.6,0
AEI.US,D,20210603,000000,88.4,100,85.4,91.2,520792.8,0
AEI.US,D,20210604,000000,92.8,102.2,88.6,96.8,321562.95,0
AEI.US,D,20210607,000000,97.2,102.8,90.2,92.2,239217.3,0
AEI.US,D,20210608,000000,97,102.8,93,100.4,206143.75,0
AEI.US,D,20210609,000000,101.602,103,94.2,96.4,117410.5,0
AEI.US,D,20210610,000000,110.4,123.4,103.2,110.8,980824.55,0
AEI.US,D,20210611,000000,114,115.6,102.2,109,228848.25,0
AEI.US,D,20210614,000000,108.4,111.564,103.2,104,116085,0
AEI.US,D,20210615,000000,101.2,101.8,95.2,97.4,140281.95,0
AEI.US,D,20210616,000000,99.6,104.6,97,104.6,87295.2,0
AEI.US,D,20210617,000000,103,105,98.2,102,88770.85,0
AEI.US,D,20210618,000000,100,101.64,95.2,98.2,59463.85,0
AEI.US,D,20210621,000000,147.8,152.8,120,122.4,4615184.4,0
AEI.US,D,20210622,000000,117.4,121,110,119.8,334946.2,0
AEI.US,D,20210623,000000,118.408,125.4,113,118,281658.8,0
AEI.US,D,20210624,000000,120.4,120.6,114.4,120,140654,0
AEI.US,D,20210625,000000,121,130.2,118.4,125,266860.9,0
AEI.US,D,20210628,000000,122.2,123.8,118.4,122.2,96303,0
AEI.US,D,20210629,000000,121.8,125.6,118.4,120.4,114343.9,0
AEI.US,D,20210630,000000,117.8,118,112.6,113.6,105017.5,0
AEI.US,D,20210701,000000,115,115.056,105.8,106.2,129450.3,0
AEI.US,D,20210702,000000,108.4,116.8,102.8,112.6,161570.85,0
AEI.US,D,20210706,000000,109.6,110.244,105,105,78168.75,0
AEI.US,D,20210707,000000,103.6,104.4,97,97.2,73405.4,0
AEI.US,D,20210708,000000,93.822,102.24,92.2,97.2,78626.05,0
AEI.US,D,20210709,000000,99.2,103.744,97.8,102.4,64216.15,0
AEI.US,D,20210712,000000,110.6,124,106.002,118,393438.4,0
AEI.US,D,20210713,000000,113.6,113.762,104.4,107,118435.25,0
AEI.US,D,20210714,000000,105,114.486,102.2,110.2,140807.45,0
AEI.US,D,20210715,000000,106,114,101.2,104,228039.8,0
AEI.US,D,20210716,000000,104,105.998,98.4,99.2,46492.55,0
AEI.US,D,20210719,000000,96,97.1,90.6,94.2,56482.95,0
AEI.US,D,20210720,000000,96.8,105,95.2,98.4,81055.3,0
AEI.US,D,20210721,000000,97.8,103.8,97.2,101.8,77191.4,0
AEI.US,D,20210722,000000,101,104.8,98.688,100.4,53839.8,0
AEI.US,D,20210723,000000,100.2,100.6,95,97.6,66581.3,0
AEI.US,D,20210726,000000,87.8,88,75,77,188532.15,0
AEI.US,D,20210727,000000,76,76.4,67.2,68.2,140632.55,0
AEI.US,D,20210728,000000,44.2,46.4,43.2,44.2,652338.95,0
AEI.US,D,20210729,000000,44.624,45.2,42.4,42.6,188999.4,0
AEI.US,D,20210730,000000,42.4,43.6,41,41.3,211629.15,0
AEI.US,D,20210802,000000,42.2,43.6,41,41.4,214120.4,0
AEI.US,D,20210803,000000,41.2,41.2,36.8,38.6,431823.35,0
AEI.US,D,20210804,000000,38.358,41.4,37.7,39.6,183787.55,0
AEI.US,D,20210805,000000,39.6,41,38.2,40.4,97545.55,0
AEI.US,D,20210806,000000,40.6,42.4,38.6,39.2,226345.4,0
AEI.US,D,20210809,000000,40.2,41,39,40.6,102325.45,0
AEI.US,D,20210810,000000,40.6,40.8,39,39.2,68336.3,0
AEI.US,D,20210811,000000,39.4,39.4,36.6,36.8,133132.65,0
AEI.US,D,20210812,000000,36.8,38.8,36.6,38.6,90245.9,0
AEI.US,D,20210813,000000,37.8,38.4,36.5,37.4,64445.55,0
AEI.US,D,20210816,000000,37.6,37.6,36,36.6,76593.75,0
AEI.US,D,20210817,000000,37,37.2,35.9,36.8,67599.5,0
AEI.US,D,20210818,000000,37.2,38.588,36.3,37.4,49233.5,0
AEI.US,D,20210819,000000,39,39,34.2,34.4,167681.75,0
AEI.US,D,20210820,000000,34.2,35.6,33,35.4,72550.6,0
AEI.US,D,20210823,000000,35.8,38.6,35.4,38.4,80487.8,0
AEI.US,D,20210824,000000,38,39.6,37.22,39.2,47135.9,0
AEI.US,D,20210825,000000,39.6,39.73,37.6,38,54150.25,0
AEI.US,D,20210826,000000,38,39.2,37.2,38.4,36577.1,0
AEI.US,D,20210827,000000,38.08,41.4,37.572,39.4,109412.35,0
AEI.US,D,20210830,000000,40,42,39.4,40.4,128075.45,0
AEI.US,D,20210831,000000,39.8,40.4,38.2,40.2,49194.7,0
AEI.US,D,20210901,000000,40,42.6,38.6,40.4,263603.35,0
AEI.US,D,20210902,000000,41.2,47.6,40,45,1134920.6,0
AEI.US,D,20210903,000000,44.2,44.998,41,42,495250.35,0
AEI.US,D,20210907,000000,44.2,54,43.6,48,1709763.9,0
