<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIEV.US,D,20220809,000000,9.95,9.95,9.95,9.95,12928,0
AIEV.US,D,20220810,000000,9.9401,9.9401,9.9401,9.9401,1145,0
AIEV.US,D,20220811,000000,9.9401,9.9607,9.9401,9.96,476400,0
AIEV.US,D,20220812,000000,9.96,9.96,9.9395,9.9395,7561,0
AIEV.US,D,20220816,000000,9.97,9.97,9.97,9.97,531243,0
AIEV.US,D,20220817,000000,9.97,9.97,9.96,9.97,1065561,0
AIEV.US,D,20220818,000000,9.91,9.98,9.91,9.98,11077,0
AIEV.US,D,20220819,000000,9.97,9.97,9.97,9.97,17903,0
AIEV.US,D,20220822,000000,9.975,9.98,9.94,9.94,251124,0
AIEV.US,D,20220823,000000,9.96,9.98,9.96,9.98,11989,0
AIEV.US,D,20220824,000000,9.98,9.9807,9.9797,9.98,69943,0
AIEV.US,D,20220826,000000,9.9755,9.9755,9.97,9.97,1600,0
AIEV.US,D,20220829,000000,9.9699,9.975,9.9699,9.97,31481,0
AIEV.US,D,20220830,000000,9.97,9.97,9.97,9.97,6620,0
AIEV.US,D,20220831,000000,9.94,9.97,9.94,9.9668,259430,0
AIEV.US,D,20220901,000000,9.95,9.97,9.95,9.97,86970,0
AIEV.US,D,20220902,000000,9.96,9.96,9.95,9.96,19000,0
AIEV.US,D,20220906,000000,9.96,9.97,9.96,9.97,31000,0
AIEV.US,D,20220908,000000,9.95,9.95,9.95,9.95,30000,0
AIEV.US,D,20220912,000000,9.98,9.98,9.98,9.98,4506,0
AIEV.US,D,20220914,000000,9.96,9.96,9.96,9.96,320775,0
AIEV.US,D,20220915,000000,9.96,9.96,9.96,9.96,2001,0
AIEV.US,D,20220919,000000,9.96,9.96,9.95,9.96,41002,0
AIEV.US,D,20220920,000000,9.95,9.98,9.95,9.98,67931,0
AIEV.US,D,20220922,000000,9.95,9.96,9.95,9.96,4515,0
AIEV.US,D,20220923,000000,9.95,9.95,9.95,9.95,46801,0
AIEV.US,D,20220928,000000,9.98,9.98,9.98,9.98,2500,0
AIEV.US,D,20221003,000000,9.97,9.97,9.97,9.97,100,0
AIEV.US,D,20221004,000000,9.98,9.99,9.98,9.98,14842,0
AIEV.US,D,20221010,000000,10.03,10.03,10,10,5592,0
AIEV.US,D,20221014,000000,10,10,10,10,700,0
AIEV.US,D,20221017,000000,10,10.0009,10,10,120000,0
AIEV.US,D,20221018,000000,10.01,10.0204,10,10,46400,0
AIEV.US,D,20221019,000000,10.01,10.01,10.01,10.01,2500,0
AIEV.US,D,20221020,000000,10.01,10.01,10.01,10.01,2000,0
AIEV.US,D,20221027,000000,9.99,9.99,9.99,9.99,1100,0
AIEV.US,D,20221028,000000,9.99,9.99,9.98,9.98,3001,0
AIEV.US,D,20221104,000000,10.02,10.02,9.98,9.99,26483,0
AIEV.US,D,20221107,000000,10,10,9.99,10,48717,0
AIEV.US,D,20221108,000000,10.07,10.07,10.07,10.07,175,0
AIEV.US,D,20221114,000000,10.05,10.07,10.02,10.02,13074,0
