<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIXI.US,D,20230309,000000,61.2,72,50.13,52.29,327269.66663394,0
AIXI.US,D,20230310,000000,57.6,60.3,54.09,58.41,113247.33332201,0
AIXI.US,D,20230313,000000,58.41,64.71,56.7,57.42,121581.44443229,0
AIXI.US,D,20230314,000000,56.97,57.87,50.4,53.64,73828.888881506,0
AIXI.US,D,20230315,000000,52.29,53.109,44.55,51.66,50410.444439403,0
AIXI.US,D,20230316,000000,50.4,50.67,47.3409,50.49,24978.77777528,0
AIXI.US,D,20230317,000000,50.85,51.2991,48.24,50.76,20208.666664646,0
AIXI.US,D,20230320,000000,50.67,51.282,48.6,50.4,10518.666665615,0
AIXI.US,D,20230321,000000,49.95,59.31,48.78,56.7,54147.222216808,0
AIXI.US,D,20230322,000000,55.44,55.791,52.2,53.37,16751.666664992,0
AIXI.US,D,20230323,000000,51.93,57.6891,51.39,53.91,34473.444440997,0
AIXI.US,D,20230324,000000,53.1,54.225,52.11,53.28,7769.5555547786,0
AIXI.US,D,20230327,000000,53.01,55.62,51.4809,53.64,11866.999998813,0
AIXI.US,D,20230328,000000,54.36,54.81,51.3,52.2855,9666.8888879222,0
AIXI.US,D,20230329,000000,51.39,53.82,47.295,49.41,32989.111107812,0
AIXI.US,D,20230330,000000,51.3,52.2,48.69,49.95,12419.888887647,0
AIXI.US,D,20230331,000000,51.93,63.9,50.4,62.28,190124.99998099,0
AIXI.US,D,20230403,000000,62.1,65.25,55.89,63.9,197619.88886913,0
AIXI.US,D,20230404,000000,64.35,65.7,48.42,48.42,179196.99998208,0
AIXI.US,D,20230405,000000,50.76,51.66,45.36,49.3209,40146.333329319,0
AIXI.US,D,20230406,000000,47.16,53.01,47.16,51.75,43778.222217844,0
AIXI.US,D,20230410,000000,50.85,52.56,48.78,48.87,12137.999998786,0
AIXI.US,D,20230411,000000,50.535,53.64,47.88,48.78,31824.111107929,0
AIXI.US,D,20230412,000000,49.41,52.6491,48.015,51.48,24207.777775357,0
AIXI.US,D,20230413,000000,53.01,58.032,49.815,56.79,72296.222214993,0
AIXI.US,D,20230414,000000,57.33,60.3,53.19,55.2465,35675.888885321,0
