<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASMB.US,D,20101221,000000,375,387,375,375,862.49999655,0
ASMB.US,D,20101222,000000,378,378,360,363,1927.0833256249998,0
ASMB.US,D,20101223,000000,366,378,360,378,1019.4999959219999,0
ASMB.US,D,20101227,000000,381.6,381.6,372,377.4,260.33333229199997,0
ASMB.US,D,20101228,000000,375,384,360,379.8,350.583331931,0
ASMB.US,D,20101229,000000,375,381.6,375,381,40.833333169999996,0
ASMB.US,D,20101230,000000,387,387,379.2,379.2,38.33333318,0
ASMB.US,D,20101231,000000,379.8,450,379.2,397.2,524.16666457,0
ASMB.US,D,20110103,000000,402,447,402,408,78.33333302,0
ASMB.US,D,20110104,000000,378,420,378,391.8,459.583331495,0
ASMB.US,D,20110105,000000,397.8,435,384,396,194.49999922199999,0
ASMB.US,D,20110106,000000,402,435,384,420,230.416665745,0
ASMB.US,D,20110107,000000,396.6,412.8,390,412.8,230.91666574299998,0
ASMB.US,D,20110110,000000,393,420,378,387,236.416665721,0
ASMB.US,D,20110111,000000,379.8,411,379.8,390,74.749999701,0
ASMB.US,D,20110112,000000,378,396,378,388.8,120.91666618299999,0
ASMB.US,D,20110113,000000,394.8,409.2,378.6,408,24.9999999,0
ASMB.US,D,20110114,000000,395.4,396,384,384,47.49999981,0
ASMB.US,D,20110118,000000,378.6,400.8,378,387,435.08333159299997,0
ASMB.US,D,20110119,000000,387,393,387,390,43.333333159999995,0
ASMB.US,D,20110120,000000,389.4,389.4,357,374.4,162.49999935,0
ASMB.US,D,20110121,000000,374.4,374.4,345,360,447.99999820799997,0
ASMB.US,D,20110124,000000,356.4,390,353.4,385.2,775.166663566,0
ASMB.US,D,20110125,000000,402,405,382.2,385.8,457.83333150199996,0
ASMB.US,D,20110126,000000,384,390,375,384.6,499.416664669,0
ASMB.US,D,20110127,000000,387,387,378,386.4,56.66666644,0
ASMB.US,D,20110128,000000,378,378.6,378,378.6,48.33333314,0
ASMB.US,D,20110131,000000,360,370.2,357,367.2,643.666664092,0
ASMB.US,D,20110201,000000,363,369,363,368.4,196.66666587999998,0
