<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASTI.US,D,20220825,000000,174588,190532,160000,160000,1.1866,0
ASTI.US,D,20220826,000000,160000,177598,160000,166398,0.3496,0
ASTI.US,D,20220829,000000,170000,170000,143600,143600,1.82995,0
ASTI.US,D,20220830,000000,143594,145000,130000,130200,0.707,0
ASTI.US,D,20220831,000000,130000,143000,126000,129998,1.173,0
ASTI.US,D,20220901,000000,126200,128000,116168,120000,0.93415,0
ASTI.US,D,20220902,000000,119200,126600,110802,126600,0.5174,0
ASTI.US,D,20220906,000000,133400,134198,123000,129800,0.50395,0
ASTI.US,D,20220907,000000,126000,127600,111000,111800,0.69365,0
ASTI.US,D,20220908,000000,111000,119800,111000,115200,0.4849,0
ASTI.US,D,20220909,000000,115760,127600,115760,118000,0.42885,0
ASTI.US,D,20220912,000000,120000,125800,115996,120400,0.67465,0
ASTI.US,D,20220913,000000,129800,129800,119392,123000,0.35765,0
ASTI.US,D,20220914,000000,120200,121288,118002,120000,0.3055,0
ASTI.US,D,20220915,000000,120000,120000,116000,119520,0.19875,0
ASTI.US,D,20220916,000000,114800,116768,111200,111742,0.6345,0
ASTI.US,D,20220919,000000,114956,115398,110790,112398,0.1763,0
ASTI.US,D,20220920,000000,112800,116000,103000,105600,0.7426,0
ASTI.US,D,20220921,000000,104000,108736,102402,107400,0.2983,0
ASTI.US,D,20220922,000000,105942,110398,102602,106772,0.145,0
ASTI.US,D,20220923,000000,102400,109798,102400,106598,0.4334,0
ASTI.US,D,20220926,000000,102800,111620,101048,102800,0.92375,0
ASTI.US,D,20220927,000000,102800,105600,86728,93000,6.09975,0
ASTI.US,D,20220928,000000,96380,100000,87700,93600,6.06665,0
ASTI.US,D,20220929,000000,99000,100000,86000,92800,6.0555,0
ASTI.US,D,20220930,000000,89600,96000,87000,91000,6.10155,0
ASTI.US,D,20221003,000000,88800,95000,83800,86000,3.34165,0
ASTI.US,D,20221004,000000,86200,93000,82402,87400,3.49695,0
ASTI.US,D,20221005,000000,85000,92100,83600,86800,3.6675,0
ASTI.US,D,20221006,000000,84800,90200,81000,84800,3.79085,0
ASTI.US,D,20221007,000000,81000,90000,73200,77200,4.40965,0
ASTI.US,D,20221010,000000,76000,80802,68686,72000,0.8197,0
ASTI.US,D,20221011,000000,69400,71626,62600,66000,0.43215,0
ASTI.US,D,20221012,000000,68000,68000,59874,65000,0.6117,0
ASTI.US,D,20221013,000000,60800,62400,57204,59600,1.06955,0
ASTI.US,D,20221014,000000,58800,60262,53602,54000,0.7652,0
ASTI.US,D,20221017,000000,56000,64000,50562,58000,1.1988,0
ASTI.US,D,20221018,000000,69800,69800,53500,60400,3.64515,0
ASTI.US,D,20221019,000000,64800,77600,56000,65000,5.69365,0
ASTI.US,D,20221020,000000,65200,149400,65200,102400,252.91875,0
ASTI.US,D,20221021,000000,104800,137600,81000,91600,105.60185,0
ASTI.US,D,20221024,000000,88200,88200,56200,68400,15.11865,0
ASTI.US,D,20221025,000000,62800,66000,56800,61800,12.26495,0
ASTI.US,D,20221026,000000,65200,65200,58000,60600,5.64595,0
ASTI.US,D,20221027,000000,58800,61000,51800,56600,5.69565,0
ASTI.US,D,20221028,000000,55000,59116,54500,56000,4.32285,0
ASTI.US,D,20221031,000000,55000,57200,54400,55600,3.0912,0
ASTI.US,D,20221101,000000,55400,59600,50000,55000,3.40865,0
ASTI.US,D,20221102,000000,55300,55800,51720,53200,3.27145,0
ASTI.US,D,20221103,000000,54000,56000,50200,51400,3.3002,0
ASTI.US,D,20221104,000000,54800,54800,50800,51802,3.37355,0
ASTI.US,D,20221107,000000,52000,67598,52000,57200,21.66685,0
ASTI.US,D,20221108,000000,58000,58000,51400,55800,4.1583,0
ASTI.US,D,20221109,000000,56000,57660,50600,53000,7.4829,0
ASTI.US,D,20221110,000000,55800,59600,52400,57300,5.4574,0
ASTI.US,D,20221111,000000,60000,69526,56402,69000,9.22665,0
ASTI.US,D,20221114,000000,69800,69800,62000,63200,2.25495,0
ASTI.US,D,20221115,000000,65600,68800,63800,65000,1.71,0
ASTI.US,D,20221116,000000,65000,67724,63600,65200,1.3384,0
ASTI.US,D,20221117,000000,65000,70000,63800,67200,1.36315,0
ASTI.US,D,20221118,000000,66000,69200,62400,63000,6.7233,0
ASTI.US,D,20221121,000000,62400,64800,55400,60200,4.3482,0
ASTI.US,D,20221122,000000,60800,60800,56722,59200,0.47735,0
