<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCBP.US,D,20050303,000000,9.01282,9.01282,9.01282,9.01282,528.68796663016,0
BCBP.US,D,20050304,000000,9.47372,9.47372,9.12868,9.12868,1427.4575099014,0
BCBP.US,D,20050307,000000,9.7019,9.7078,9.12868,9.12868,1980.5464596068,0
BCBP.US,D,20050310,000000,9.12868,9.12868,9.12868,9.12868,703.56167866937,0
BCBP.US,D,20050311,000000,9.12868,9.12868,9.03455,9.03455,6006.7086670212,0
BCBP.US,D,20050314,000000,9.23845,9.23845,9.12868,9.23845,3607.2786646227,0
BCBP.US,D,20050315,000000,9.12868,9.12868,9.12868,9.12868,2119.8354046613,0
BCBP.US,D,20050321,000000,9.12868,9.12868,9.12868,9.12868,419.90025041973,0
BCBP.US,D,20050323,000000,9.12868,9.12868,9.12868,9.12868,1168.197064727,0
BCBP.US,D,20050324,000000,9.12868,9.12868,9.12868,9.12868,310.09582658115,0
BCBP.US,D,20050328,000000,9.12868,9.12868,9.12868,9.12868,289.76167401845,0
BCBP.US,D,20050329,000000,9.12868,9.12868,9.08,9.08,2053.7494088326,0
BCBP.US,D,20050330,000000,9.05826,9.08,9.05826,9.08,1270.8845351687,0
BCBP.US,D,20050401,000000,9.07439,9.08,9.07439,9.08,769.64767449814,0
BCBP.US,D,20050405,000000,8.91525,8.91525,8.78159,8.78159,2542.7857779655,0
BCBP.US,D,20050406,000000,8.78159,8.78159,8.78159,8.78159,2542.7857779655,0
BCBP.US,D,20050408,000000,8.91525,8.91525,8.66572,8.66572,1064.4928866573,0
BCBP.US,D,20050411,000000,8.43301,8.43812,8.43301,8.43812,2119.8354046613,0
BCBP.US,D,20050412,000000,8.34026,8.66572,8.34026,8.66572,1888.0260654466,0
BCBP.US,D,20050414,000000,8.43301,8.43301,8.086,8.43301,7001.0487273371,0
BCBP.US,D,20050415,000000,8.43301,8.43301,8.086,8.086,1018.7410433912,0
BCBP.US,D,20050418,000000,8.086,8.24416,8.086,8.24416,3666.2477070546,0
BCBP.US,D,20050419,000000,8.31675,8.43301,8.31675,8.41068,3180.2614608061,0
BCBP.US,D,20050420,000000,8.43301,8.43301,8.36317,8.36317,4558.917004557,0
BCBP.US,D,20050421,000000,8.36317,8.43301,8.36317,8.43301,12037.818317118,0
BCBP.US,D,20050426,000000,8.45671,8.66572,8.43301,8.43301,9789.8777513112,0
BCBP.US,D,20050427,000000,8.31675,8.55241,8.31675,8.55241,7047.8172782313,0
BCBP.US,D,20050428,000000,8.78159,8.89538,8.78159,8.82958,14002.097454674,0
BCBP.US,D,20050502,000000,8.89538,9.01282,8.89538,9.01282,1270.8845351687,0
BCBP.US,D,20050503,000000,8.89538,8.89538,8.89538,8.89538,599.85750059961,0
BCBP.US,D,20050505,000000,8.89538,8.89538,8.82958,8.82958,2936.2516300537,0
BCBP.US,D,20050506,000000,8.66572,8.82958,8.66572,8.82958,1874.8088662808,0
BCBP.US,D,20050509,000000,8.78159,8.78159,8.55241,8.55241,2542.7857779655,0
BCBP.US,D,20050512,000000,8.55241,8.55241,8.55241,8.55241,2542.7857779655,0
BCBP.US,D,20050516,000000,8.66572,8.66572,8.66572,8.66572,1497.6103362427,0
BCBP.US,D,20050517,000000,8.78159,8.78159,8.70939,8.70939,14829.697463976,0
BCBP.US,D,20050519,000000,9.12868,9.12868,8.78778,8.78778,13784.522022254,0
BCBP.US,D,20050520,000000,8.78159,8.78159,8.70939,8.70939,6624.8669049272,0
BCBP.US,D,20050523,000000,8.78159,8.78159,8.78159,8.78159,419.90025041973,0
BCBP.US,D,20050524,000000,8.70939,8.70939,8.70939,8.70939,798.11548808592,0
BCBP.US,D,20050525,000000,8.89538,8.89538,8.89538,8.89538,535.80492002711,0
BCBP.US,D,20050527,000000,8.78159,8.78159,8.66572,8.78159,6156.164688357,0
BCBP.US,D,20050531,000000,8.66572,8.89538,8.66572,8.89538,1909.3769256374,0
BCBP.US,D,20050603,000000,8.70939,8.70939,8.70939,8.70939,1944.9616926221,0
BCBP.US,D,20050606,000000,8.78159,8.78159,8.73408,8.73408,16266.305342531,0
BCBP.US,D,20050607,000000,8.73408,8.73408,8.66572,8.66572,4628.0531232702,0
BCBP.US,D,20050608,000000,8.64034,8.64034,8.64034,8.64034,638.49239046873,0
BCBP.US,D,20050609,000000,8.78159,8.78159,8.59284,8.59284,8269.8998472495,0
BCBP.US,D,20050610,000000,8.73408,8.73408,8.73408,8.73408,844.88403898013,0
BCBP.US,D,20050613,000000,8.64034,8.64034,8.64034,8.64034,2119.8354046613,0
BCBP.US,D,20050617,000000,8.78159,8.78159,8.78159,8.78159,2119.8354046613,0
BCBP.US,D,20050620,000000,8.78159,8.78159,8.78159,8.78159,1064.4928866573,0
BCBP.US,D,20050621,000000,8.89538,9.01282,8.89538,9.01282,19089.702425861,0
BCBP.US,D,20050622,000000,9.01282,9.12868,8.9425,8.9425,14825.630633463,0
BCBP.US,D,20050701,000000,8.9425,8.9425,8.9425,8.9425,810.31597962354,0
BCBP.US,D,20050706,000000,9.01282,9.23845,9.01282,9.23845,3814.6870207623,0
BCBP.US,D,20050708,000000,9.23845,9.23845,9.23845,9.23845,1207.8486622243,0
BCBP.US,D,20050711,000000,9.23845,9.26559,9.12868,9.26559,10441.587340946,0
BCBP.US,D,20050712,000000,9.2172,9.2172,9.2172,9.2172,2335.3774218259,0
BCBP.US,D,20050718,000000,9.12868,9.23845,9.12868,9.19596,4877.1464921633,0
BCBP.US,D,20050721,000000,9.23845,9.23845,9.12868,9.23845,7425.0158082694,0
BCBP.US,D,20050722,000000,9.2172,9.58683,9.2172,9.47372,7619.2069652432,0
BCBP.US,D,20050725,000000,9.58683,9.7078,9.58683,9.7078,2121.8688199176,0
BCBP.US,D,20050726,000000,9.58683,9.58683,9.47372,9.47372,833.70025507064,0
BCBP.US,D,20050727,000000,9.7078,9.88976,9.7078,9.7078,6949.1966383022,0
BCBP.US,D,20050729,000000,9.47372,9.47372,9.47372,9.47372,419.90025041973,0
BCBP.US,D,20050801,000000,9.47372,9.7078,9.47372,9.7078,844.88403898013,0
BCBP.US,D,20050802,000000,9.54453,9.54453,9.23845,9.23845,6044.3268492621,0
BCBP.US,D,20050803,000000,9.26559,9.35962,9.23845,9.23845,26010.431250576,0
BCBP.US,D,20050805,000000,9.40388,9.40388,9.40388,9.40388,284.67813587778,0
BCBP.US,D,20050809,000000,9.40388,9.40388,9.40388,9.40388,1064.4928866573,0
BCBP.US,D,20050810,000000,9.313,9.313,9.313,9.313,525.63784374576,0
BCBP.US,D,20050812,000000,9.313,9.313,9.313,9.313,638.49239046873,0
BCBP.US,D,20050816,000000,9.313,9.313,9.23845,9.24523,1750.7705356483,0
BCBP.US,D,20050817,000000,9.23845,9.23845,9.12868,9.12868,5089.6383864435,0
BCBP.US,D,20050818,000000,9.12868,9.12868,9.12868,9.12868,3871.6226479378,0
BCBP.US,D,20050819,000000,9.12868,9.12868,9.03455,9.03455,6156.164688357,0
BCBP.US,D,20050822,000000,9.08,9.08,9.08,9.08,4031.245745555,0
BCBP.US,D,20050823,000000,9.12868,9.7078,9.12868,9.12868,1864.6417899995,0
BCBP.US,D,20050826,000000,9.12868,9.12868,9.12868,9.12868,1379.6722513791,0
BCBP.US,D,20050829,000000,9.19596,9.19596,9.03455,9.03455,7001.0487273371,0
BCBP.US,D,20050830,000000,9.19596,9.23845,9.19596,9.23845,864.20148391469,0
BCBP.US,D,20050831,000000,9.03455,9.03455,9.03455,9.03455,999.42359845663,0
BCBP.US,D,20050901,000000,9.08,9.08,9.08,9.08,1203.7818317118,0
BCBP.US,D,20050906,000000,9.03455,9.23845,9.03455,9.23845,528.68796663016,0
BCBP.US,D,20050912,000000,9.03455,9.03455,9.03455,9.03455,1168.197064727,0
BCBP.US,D,20050913,000000,9.03455,9.23845,9.03455,9.23845,1862.6083747432,0
BCBP.US,D,20050914,000000,9.23845,9.23845,8.89538,8.89538,4247.8044703477,0
BCBP.US,D,20050920,000000,9.01282,9.19596,9.01282,9.19596,2542.7857779655,0
BCBP.US,D,20050923,000000,8.9425,8.9425,8.9425,8.9425,790.99853468897,0
BCBP.US,D,20050927,000000,9.01282,9.01282,9.01282,9.01282,1061.4427637729,0
BCBP.US,D,20050928,000000,9.23845,9.23845,9.01282,9.01282,9965.7681709786,0
BCBP.US,D,20051003,000000,9.01282,9.01282,9.01282,9.01282,2119.8354046613,0
BCBP.US,D,20051004,000000,8.91525,8.96403,8.85161,8.91525,18074.011505354,0
BCBP.US,D,20051005,000000,8.82958,8.82958,8.73408,8.73408,4031.245745555,0
BCBP.US,D,20051006,000000,8.61614,8.78159,8.61614,8.78159,2552.9528542468,0
BCBP.US,D,20051007,000000,8.78159,9.01282,8.78159,8.80362,9170.7028057771,0
BCBP.US,D,20051010,000000,8.89538,8.96403,8.89538,8.96403,5732.1976074247,0
BCBP.US,D,20051011,000000,8.96403,8.96403,8.89538,8.89538,3494.4241178997,0
BCBP.US,D,20051012,000000,8.98095,8.98095,8.98095,8.98095,3754.7012707023,0
BCBP.US,D,20051013,000000,8.96403,8.96403,8.96403,8.96403,1701.9685694979,0
BCBP.US,D,20051017,000000,8.96403,8.96403,8.78159,8.78159,1503.7105820116,0
BCBP.US,D,20051018,000000,8.78159,8.78159,8.78159,8.78159,639.50909809687,0
BCBP.US,D,20051019,000000,8.68667,8.68667,8.64034,8.65283,8269.8998472495,0
BCBP.US,D,20051027,000000,8.64034,8.66572,8.61614,8.66572,24389.799291329,0
BCBP.US,D,20051028,000000,8.60454,9.52978,8.60454,8.66572,10692.714125095,0
BCBP.US,D,20051031,000000,8.95183,9.10105,8.66572,8.66572,3426.3047068147,0
