<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEAGR.US,D,20241217,000000,0.22,0.229952,0.219984,0.2219,408303,0
BEAGR.US,D,20241218,000000,0.214,0.22,0.2,0.21,719350,0
BEAGR.US,D,20241219,000000,0.2055,0.21,0.202,0.21,36981,0
BEAGR.US,D,20241220,000000,0.216,0.216,0.202,0.21,45030,0
BEAGR.US,D,20241226,000000,0.21,0.214,0.1952,0.2,268014,0
BEAGR.US,D,20241227,000000,0.23,0.2499,0.2255,0.2305,217461,0
BEAGR.US,D,20241230,000000,0.231,0.231,0.226,0.23,12692,0
BEAGR.US,D,20241231,000000,0.23,0.23,0.22,0.225,11010,0
BEAGR.US,D,20250102,000000,0.2178,0.225,0.2178,0.225,1447,0
BEAGR.US,D,20250103,000000,0.225,0.23,0.2249,0.2289,50168,0
BEAGR.US,D,20250106,000000,0.23,0.23,0.225,0.225,1990,0
BEAGR.US,D,20250108,000000,0.219999,0.2297,0.219999,0.2297,118119,0
BEAGR.US,D,20250110,000000,0.2297,0.2297,0.228,0.2297,9953,0
BEAGR.US,D,20250113,000000,0.2259,0.2355,0.2258,0.2298,28949,0
BEAGR.US,D,20250114,000000,0.2298,0.2298,0.228,0.2298,2100,0
BEAGR.US,D,20250115,000000,0.22,0.23,0.22,0.22,106797,0
BEAGR.US,D,20250116,000000,0.2226,0.2226,0.22,0.2225,8261,0
BEAGR.US,D,20250117,000000,0.22,0.22,0.22,0.22,5253,0
BEAGR.US,D,20250121,000000,0.22,0.22,0.215,0.22,12754,0
BEAGR.US,D,20250122,000000,0.22,0.22,0.18,0.218,9453,0
BEAGR.US,D,20250123,000000,0.2183,0.22,0.213501,0.22,105474,0
BEAGR.US,D,20250128,000000,0.2018,0.2018,0.2018,0.2018,1200,0
BEAGR.US,D,20250129,000000,0.203,0.22,0.198876,0.22,121267,0
BEAGR.US,D,20250131,000000,0.22,0.22,0.22,0.22,158,0
BEAGR.US,D,20250203,000000,0.21,0.22,0.21,0.22,60494,0
BEAGR.US,D,20250204,000000,0.22,0.22,0.22,0.22,146,0
BEAGR.US,D,20250205,000000,0.22,0.2741,0.212933,0.213501,120891,0
BEAGR.US,D,20250207,000000,0.23,0.246,0.2224,0.2224,15148,0
BEAGR.US,D,20250210,000000,0.2178,0.24,0.2178,0.24,10150,0
BEAGR.US,D,20250211,000000,0.27,0.4071,0.24,0.2895,201578,0
BEAGR.US,D,20250212,000000,0.3,0.3197,0.245234,0.315,351818,0
BEAGR.US,D,20250213,000000,0.2468,0.3,0.2468,0.3,379,0
BEAGR.US,D,20250214,000000,0.29,0.299,0.2501,0.299,45862,0
BEAGR.US,D,20250218,000000,0.3025,0.3049,0.28,0.2803,3119,0
BEAGR.US,D,20250221,000000,0.25,0.281,0.25,0.281,6447,0
BEAGR.US,D,20250225,000000,0.2599,0.3,0.23,0.2991,22930,0
BEAGR.US,D,20250226,000000,0.28,0.2999,0.2701,0.29,72753,0
BEAGR.US,D,20250227,000000,0.2786,0.3045,0.235,0.275,142515,0
BEAGR.US,D,20250228,000000,0.29,0.29,0.2117,0.22,437893,0
BEAGR.US,D,20250303,000000,0.24,0.266,0.24,0.25,4980,0
BEAGR.US,D,20250304,000000,0.22,0.26,0.21,0.26,20300,0
BEAGR.US,D,20250305,000000,0.269799,0.29,0.263501,0.29,112692,0
BEAGR.US,D,20250306,000000,0.2844,0.2845,0.261,0.261,1115,0
BEAGR.US,D,20250310,000000,0.285,0.285,0.285,0.285,114,0
BEAGR.US,D,20250312,000000,0.29,0.29,0.28,0.28,212,0
BEAGR.US,D,20250314,000000,0.25,0.25,0.2231,0.23,6542,0
BEAGR.US,D,20250317,000000,0.29,0.29,0.28,0.28,448,0
BEAGR.US,D,20250319,000000,0.269,0.271,0.269,0.27,433,0
BEAGR.US,D,20250320,000000,0.2653,0.2653,0.2653,0.2653,160,0
BEAGR.US,D,20250324,000000,0.2652,0.29,0.2424,0.29,9242,0
BEAGR.US,D,20250325,000000,0.2853,0.29,0.28,0.289762,7859,0
BEAGR.US,D,20250326,000000,0.28,0.28,0.2743,0.28,50058,0
BEAGR.US,D,20250327,000000,0.2462,0.28,0.2462,0.28,1121,0
BEAGR.US,D,20250328,000000,0.2807,0.2808,0.2562,0.28,16363,0
BEAGR.US,D,20250331,000000,0.28,0.28,0.23,0.23,1192,0
BEAGR.US,D,20250403,000000,0.25,0.25,0.221,0.25,92604,0
BEAGR.US,D,20250404,000000,0.2222,0.23,0.201,0.22,35690,0
