<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNAI.US,D,20210429,000000,10,10,9.9,9.9,2453,0
BNAI.US,D,20210430,000000,9.81,10.2,9.71,9.71,8153,0
BNAI.US,D,20210503,000000,9.72,9.76,9.72,9.76,1897,0
BNAI.US,D,20210505,000000,9.75,9.75,9.72,9.74,1717,0
BNAI.US,D,20210506,000000,9.72,9.72,9.7,9.7,2775,0
BNAI.US,D,20210507,000000,9.71,9.74,9.69,9.69,18515,0
BNAI.US,D,20210510,000000,9.69,9.72,9.68,9.72,1508,0
BNAI.US,D,20210511,000000,9.7,9.7,9.69,9.69,2453,0
BNAI.US,D,20210512,000000,9.68,9.7,9.65,9.65,4250,0
BNAI.US,D,20210513,000000,9.65,9.66,9.63,9.63,4101,0
BNAI.US,D,20210514,000000,9.63,9.7,9.62,9.7,8804,0
BNAI.US,D,20210518,000000,10.63,10.63,9.66,9.74,172450,0
BNAI.US,D,20210519,000000,9.64,9.64,9.64,9.64,234,0
BNAI.US,D,20210521,000000,9.72,9.72,9.63,9.7,2287,0
BNAI.US,D,20210524,000000,9.7,9.7,9.7,9.7,101,0
BNAI.US,D,20210526,000000,9.685,9.703,9.66,9.66,1600,0
BNAI.US,D,20210602,000000,9.95,9.95,9.71,9.71,1346,0
BNAI.US,D,20210603,000000,9.72,9.72,9.72,9.72,258,0
BNAI.US,D,20210604,000000,9.65,9.65,9.615,9.64,416962,0
BNAI.US,D,20210607,000000,9.68,9.68,9.65,9.66,16880,0
BNAI.US,D,20210608,000000,9.69,9.69,9.69,9.69,307,0
BNAI.US,D,20210609,000000,9.71,9.71,9.7,9.71,535,0
BNAI.US,D,20210610,000000,9.7,9.7,9.68,9.7,12883,0
BNAI.US,D,20210614,000000,9.65,9.74,9.65,9.65,13793,0
BNAI.US,D,20210615,000000,9.69,9.73,9.69,9.73,233,0
BNAI.US,D,20210617,000000,9.71,9.71,9.71,9.71,106,0
BNAI.US,D,20210618,000000,9.71,9.71,9.71,9.71,107,0
BNAI.US,D,20210622,000000,9.7,9.71,9.66,9.71,3263,0
BNAI.US,D,20210623,000000,9.72,9.72,9.7,9.7,11937,0
BNAI.US,D,20210624,000000,9.62,9.69,9.62,9.69,10648,0
BNAI.US,D,20210625,000000,9.77,9.77,9.69,9.7,16249,0
BNAI.US,D,20210628,000000,9.63,9.7,9.63,9.68,3969,0
BNAI.US,D,20210629,000000,9.73,9.73,9.73,9.73,528,0
BNAI.US,D,20210630,000000,9.69,9.74,9.69,9.7008,31220,0
BNAI.US,D,20210701,000000,9.86,9.861,9.74,9.74,468868,0
BNAI.US,D,20210702,000000,9.75,9.815,9.72,9.73,150287,0
BNAI.US,D,20210706,000000,9.79,9.81,9.73,9.73,186387,0
BNAI.US,D,20210707,000000,9.71,9.75,9.7,9.7,6528,0
BNAI.US,D,20210708,000000,9.75,9.7512,9.71,9.75,7244,0
BNAI.US,D,20210709,000000,9.7444,9.75,9.68,9.73,95117,0
BNAI.US,D,20210712,000000,9.75,9.8,9.7,9.77,32803,0
BNAI.US,D,20210713,000000,9.76,9.76,9.7,9.74,11318,0
BNAI.US,D,20210714,000000,9.7,9.7519,9.7,9.7391,1294,0
BNAI.US,D,20210715,000000,9.717,9.725,9.65,9.725,6915,0
BNAI.US,D,20210716,000000,9.72,9.73,9.6958,9.7099,5402,0
BNAI.US,D,20210719,000000,9.73,9.73,9.6812,9.69,4494,0
BNAI.US,D,20210720,000000,9.7,9.71,9.69,9.71,2668,0
BNAI.US,D,20210721,000000,9.686,9.71,9.686,9.705,129309,0
BNAI.US,D,20210722,000000,9.73,9.73,9.69,9.69,3605,0
BNAI.US,D,20210723,000000,9.705,9.73,9.7,9.73,3798,0
BNAI.US,D,20210726,000000,9.71,9.72,9.71,9.72,5301,0
BNAI.US,D,20210727,000000,9.6801,9.6801,9.6801,9.6801,1585,0
BNAI.US,D,20210728,000000,9.73,9.73,9.73,9.73,645,0
BNAI.US,D,20210729,000000,9.76,9.76,9.7,9.71,5856,0
BNAI.US,D,20210730,000000,9.7199,9.72,9.7199,9.72,237,0
BNAI.US,D,20210802,000000,9.705,9.73,9.7,9.7,2144,0
BNAI.US,D,20210803,000000,9.725,9.725,9.7,9.7,3700,0
BNAI.US,D,20210804,000000,9.77,10,9.7,9.7,83831,0
BNAI.US,D,20210805,000000,9.8,9.8,9.68,9.7,19391,0
BNAI.US,D,20210806,000000,9.67,9.6768,9.63,9.65,39524,0
BNAI.US,D,20210809,000000,9.64,9.69,9.6398,9.67,13448,0
BNAI.US,D,20210810,000000,9.67,9.67,9.67,9.67,1156,0
BNAI.US,D,20210811,000000,9.66,9.67,9.66,9.67,2033,0
BNAI.US,D,20210812,000000,9.68,9.68,9.68,9.68,249,0
BNAI.US,D,20210813,000000,9.6701,9.6702,9.67,9.67,4113,0
BNAI.US,D,20210816,000000,9.67,9.67,9.66,9.67,2816,0
BNAI.US,D,20210817,000000,9.64,9.68,9.64,9.68,3630,0
BNAI.US,D,20210818,000000,9.6799,9.68,9.6591,9.68,114163,0
BNAI.US,D,20210819,000000,9.63,9.68,9.62,9.68,6599,0
BNAI.US,D,20210820,000000,9.6276,9.6276,9.6276,9.6276,212,0
BNAI.US,D,20210823,000000,9.6481,9.67,9.64,9.67,1344,0
BNAI.US,D,20210830,000000,9.65,9.65,9.65,9.65,115,0
BNAI.US,D,20210831,000000,9.64,9.68,9.64,9.64,5573,0
BNAI.US,D,20210901,000000,9.68,9.68,9.645,9.67,994,0
BNAI.US,D,20210903,000000,9.67,9.69,9.6497,9.68,28350,0
BNAI.US,D,20210907,000000,9.74,9.74,9.63,9.69,2130,0
BNAI.US,D,20210909,000000,9.6501,9.6501,9.6501,9.6501,300,0
BNAI.US,D,20210910,000000,9.635,9.69,9.633,9.68,4558,0
BNAI.US,D,20210913,000000,9.66,9.68,9.65,9.67,2656,0
BNAI.US,D,20210914,000000,9.66,9.7,9.64,9.7,20979,0
BNAI.US,D,20210915,000000,9.7,9.72,9.67,9.72,11948,0
BNAI.US,D,20210916,000000,9.7,9.7,9.7,9.7,300,0
BNAI.US,D,20210920,000000,9.67,9.67,9.67,9.67,275,0
BNAI.US,D,20210921,000000,9.67,9.69,9.67,9.69,1136,0
BNAI.US,D,20210922,000000,9.7,9.7,9.69,9.69,646,0
BNAI.US,D,20210924,000000,9.6949,9.71,9.6949,9.71,2981,0
BNAI.US,D,20210929,000000,9.71,9.74,9.71,9.74,18213,0
BNAI.US,D,20210930,000000,9.7,9.785,9.7,9.77,12174,0
BNAI.US,D,20211001,000000,9.77,9.82,9.75,9.78,4807,0
BNAI.US,D,20211004,000000,9.75,9.79,9.72,9.78,3459,0
BNAI.US,D,20211007,000000,9.76,9.79,9.76,9.78,1457,0
BNAI.US,D,20211012,000000,9.71,9.76,9.71,9.75,15264,0
BNAI.US,D,20211013,000000,9.73,9.75,9.73,9.75,1723,0
BNAI.US,D,20211014,000000,9.74,9.74,9.74,9.74,200424,0
BNAI.US,D,20211015,000000,9.7201,9.75,9.7201,9.75,1466,0
BNAI.US,D,20211018,000000,9.71,9.75,9.71,9.75,2251,0
BNAI.US,D,20211021,000000,9.72,9.75,9.72,9.75,1197,0
BNAI.US,D,20211022,000000,9.75,9.75,9.72,9.72,201,0
BNAI.US,D,20211025,000000,9.75,9.77,9.735,9.77,32302,0
BNAI.US,D,20211026,000000,9.755,9.77,9.755,9.77,2594,0
