<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRACU.US,D,20240701,000000,12.03,12.03,11.48,11.48,1198,0
BRACU.US,D,20240716,000000,11.95,11.95,11.95,11.95,224,0
BRACU.US,D,20240718,000000,12.52,12.52,12.26,12.26,208,0
BRACU.US,D,20240916,000000,11.2,11.37,11.2,11.37,2444,0
BRACU.US,D,20241008,000000,11.37,11.37,11.31,11.31,595,0
BRACU.US,D,20241009,000000,11.42,11.43,11.42,11.43,1204,0
BRACU.US,D,20241014,000000,11.46,11.49,11.31,11.31,800,0
BRACU.US,D,20250110,000000,11.46,12.45,11.46,12.41,6821,0
BRACU.US,D,20250114,000000,11.99,14,11.99,12.99,21871,0
BRACU.US,D,20250115,000000,12.01,12.05,12,12.05,531,0
BRACU.US,D,20250116,000000,12,12,11.02,11.65,2483,0
BRACU.US,D,20250117,000000,12,12,11.65,11.65,1231,0
BRACU.US,D,20250121,000000,10.8,11.62,10.8,11.62,3934,0
BRACU.US,D,20250122,000000,12,12,12,12,151,0
