<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRLS.US,D,20211007,000000,9.82,9.82,9.82,9.82,408,0
BRLS.US,D,20211008,000000,9.82,9.85,9.8,9.8,161738,0
BRLS.US,D,20211011,000000,9.81,9.82,9.8,9.8,195000,0
BRLS.US,D,20211012,000000,9.82,9.87,9.82,9.86,646907,0
BRLS.US,D,20211013,000000,9.86,9.87,9.84,9.87,932358,0
BRLS.US,D,20211014,000000,9.87,9.87,9.84,9.84,219475,0
BRLS.US,D,20211015,000000,9.84,9.87,9.84,9.85,34890,0
BRLS.US,D,20211018,000000,9.86,9.95,9.8501,9.88,76682,0
BRLS.US,D,20211019,000000,9.865,9.88,9.865,9.88,8321,0
BRLS.US,D,20211020,000000,9.87,9.9,9.84,9.85,560136,0
BRLS.US,D,20211021,000000,9.85,9.87,9.85,9.86,127783,0
BRLS.US,D,20211022,000000,9.8681,9.87,9.84,9.85,45842,0
BRLS.US,D,20211025,000000,9.84,9.9,9.84,9.9,55431,0
BRLS.US,D,20211026,000000,9.9,9.9289,9.87,9.87,40175,0
BRLS.US,D,20211027,000000,9.8689,9.885,9.8689,9.88,3431,0
BRLS.US,D,20211028,000000,9.905,9.905,9.905,9.905,104,0
BRLS.US,D,20211029,000000,9.905,9.9234,9.8837,9.91,378167,0
BRLS.US,D,20211101,000000,9.9199,9.9199,9.8864,9.8864,1411,0
BRLS.US,D,20211102,000000,9.8901,9.91,9.89,9.91,5574,0
BRLS.US,D,20211103,000000,9.92,9.92,9.8901,9.8901,1030,0
BRLS.US,D,20211104,000000,9.87,9.9,9.87,9.9,494769,0
BRLS.US,D,20211105,000000,9.9,9.93,9.9,9.93,9654,0
BRLS.US,D,20211108,000000,9.89,9.8948,9.89,9.8948,1430,0
BRLS.US,D,20211109,000000,9.8858,9.9,9.8858,9.89,1203,0
BRLS.US,D,20211110,000000,9.9,9.91,9.89,9.89,237476,0
BRLS.US,D,20211111,000000,9.89,9.9146,9.88,9.9,56723,0
BRLS.US,D,20211112,000000,9.88,9.9199,9.88,9.89,3834,0
BRLS.US,D,20211115,000000,9.8971,9.9219,9.89,9.91,204964,0
BRLS.US,D,20211116,000000,9.9,9.93,9.9,9.92,54982,0
BRLS.US,D,20211117,000000,9.98,9.98,9.88,9.92,517722,0
BRLS.US,D,20211118,000000,9.99,9.99,9.92,9.9499,9824,0
BRLS.US,D,20211119,000000,9.97,10.1398,9.91,9.946,120926,0
BRLS.US,D,20211122,000000,9.97,9.97,9.91,9.95,52599,0
BRLS.US,D,20211123,000000,9.9275,9.96,9.92,9.96,24967,0
BRLS.US,D,20211124,000000,9.96,9.96,9.93,9.95,1276,0
BRLS.US,D,20211126,000000,9.95,9.96,9.928,9.95,3524,0
BRLS.US,D,20211129,000000,9.98,9.98,9.92,9.92,5724,0
BRLS.US,D,20211130,000000,9.935,9.95,9.9229,9.9254,7598,0
BRLS.US,D,20211201,000000,9.94,9.95,9.92,9.95,21933,0
BRLS.US,D,20211202,000000,9.95,9.95,9.93,9.935,4814,0
BRLS.US,D,20211203,000000,9.95,9.97,9.92,9.97,55867,0
BRLS.US,D,20211206,000000,9.94,9.97,9.9201,9.93,86208,0
BRLS.US,D,20211207,000000,9.93,9.94,9.93,9.94,10315,0
BRLS.US,D,20211208,000000,9.94,9.94,9.92,9.92,41840,0
BRLS.US,D,20211209,000000,9.94,9.94,9.92,9.94,171274,0
BRLS.US,D,20211210,000000,9.94,9.94,9.93,9.93,20440,0
BRLS.US,D,20211213,000000,9.94,9.94,9.92,9.93,8318,0
BRLS.US,D,20211214,000000,9.93,9.93,9.88,9.9,171975,0
BRLS.US,D,20211215,000000,9.8833,9.9,9.8815,9.8832,35635,0
BRLS.US,D,20211216,000000,9.9,9.9,9.88,9.88,1359,0
BRLS.US,D,20211217,000000,9.8888,9.8888,9.88,9.8801,3338,0
BRLS.US,D,20211220,000000,9.89,9.89,9.88,9.88,5583,0
BRLS.US,D,20211221,000000,9.88,9.88,9.8738,9.88,2633,0
BRLS.US,D,20211222,000000,9.89,9.94,9.8804,9.94,27483,0
BRLS.US,D,20211223,000000,9.89,9.89,9.88,9.89,34176,0
BRLS.US,D,20211227,000000,9.88,9.8801,9.88,9.8801,1234,0
BRLS.US,D,20211228,000000,9.8718,9.8718,9.87,9.8701,1164,0
BRLS.US,D,20211229,000000,9.87,9.88,9.87,9.88,443,0
BRLS.US,D,20211230,000000,9.8888,9.8888,9.88,9.88,433,0
BRLS.US,D,20211231,000000,9.86,9.9,9.86,9.88,9216,0
BRLS.US,D,20220103,000000,9.88,9.88,9.87,9.872,53145,0
BRLS.US,D,20220104,000000,9.88,9.88,9.88,9.88,1123,0
BRLS.US,D,20220105,000000,9.86,9.89,9.86,9.87,80169,0
BRLS.US,D,20220106,000000,9.87,9.875,9.87,9.87,24529,0
BRLS.US,D,20220107,000000,9.8701,9.89,9.87,9.89,10029,0
BRLS.US,D,20220110,000000,9.87,9.9,9.87,9.89,14743,0
BRLS.US,D,20220111,000000,9.9,9.9,9.87,9.89,1267,0
BRLS.US,D,20220112,000000,9.8999,9.8999,9.885,9.89,6724,0
