<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDTX.US,D,20150415,000000,322.2,382.6,319.2,320,225607.45,0
CDTX.US,D,20150416,000000,319.6,324.8,304,304,20460.100000000002,0
CDTX.US,D,20150417,000000,301,312.8,290,302.8,10235,0
CDTX.US,D,20150420,000000,299.6,315,293.4,305.8,5726.150000000001,0
CDTX.US,D,20150421,000000,310,311.4,297,301,5786.55,0
CDTX.US,D,20150422,000000,301,308.8,298.6,298.8,5769.85,0
CDTX.US,D,20150423,000000,290,305.2,283,303,7760,0
CDTX.US,D,20150424,000000,300.4,305,300.4,302,3370,0
CDTX.US,D,20150427,000000,305.4,305.6,297,298,8270,0
CDTX.US,D,20150428,000000,300.2,300.4,285,295.8,3075,0
CDTX.US,D,20150429,000000,296,299.6,284.4,285.6,5150,0
CDTX.US,D,20150430,000000,283.2,306.6,283.2,292.4,13360,0
CDTX.US,D,20150501,000000,288.8,289.6,274.8,278.4,9175,0
CDTX.US,D,20150504,000000,278,328,266.8,295,30720,0
CDTX.US,D,20150505,000000,298.4,308,280.6,287.6,6495,0
CDTX.US,D,20150506,000000,290,296,280,285.8,1900.8000000000002,0
CDTX.US,D,20150507,000000,296.8,296.8,272.8,287.2,14953.95,0
CDTX.US,D,20150508,000000,293,317.8,290.4,298.8,29560,0
CDTX.US,D,20150511,000000,305.6,311.2,292,300,7655,0
CDTX.US,D,20150512,000000,298,308.34,298,300.8,1723.3000000000002,0
CDTX.US,D,20150513,000000,300.8,319.8,300.8,315,4155,0
CDTX.US,D,20150514,000000,311.4,325,311.4,321,6930,0
CDTX.US,D,20150515,000000,324.4,333.4,311.2,326.4,3659.6000000000004,0
CDTX.US,D,20150518,000000,326,339.8,323.6,333.8,4025.75,0
CDTX.US,D,20150519,000000,333.8,341,325,325,1675,0
CDTX.US,D,20150520,000000,321.4,331,314,327,2265,0
CDTX.US,D,20150521,000000,318.4,344.2,315,330.4,10295,0
CDTX.US,D,20150522,000000,333.8,338,293.6,311.8,10415,0
CDTX.US,D,20150526,000000,312.4,331.3,312.4,326.4,2322.15,0
CDTX.US,D,20150527,000000,330.4,336,314.8,315,2465,0
CDTX.US,D,20150528,000000,315.4,319.5,304.4,313.4,2218.55,0
CDTX.US,D,20150529,000000,309.6,318.2,300.6,313.8,3470,0
CDTX.US,D,20150601,000000,317.2,328,310.4,324.6,2120,0
CDTX.US,D,20150602,000000,327.2,337,324.2,333.4,2730.8,0
CDTX.US,D,20150603,000000,335.6,340,331,331.8,2040,0
CDTX.US,D,20150604,000000,330,330,317.2,325.2,1500,0
CDTX.US,D,20150605,000000,325,334.2,320,330,960,0
CDTX.US,D,20150608,000000,329,331.4,321,324.8,7540,0
CDTX.US,D,20150609,000000,331.4,331.8,318,318.2,3383.1000000000004,0
CDTX.US,D,20150610,000000,323,327.6,305.6,314.8,4276.150000000001,0
CDTX.US,D,20150611,000000,320.2,323.32,311.6,319.4,2100.3,0
CDTX.US,D,20150612,000000,320.6,325.4,313.2,316.8,3240,0
CDTX.US,D,20150615,000000,312.4,320.4,307.8,312.4,4570,0
CDTX.US,D,20150616,000000,314.8,321.4,312.8,313.2,2055,0
CDTX.US,D,20150617,000000,317.6,320,307.8,310.2,4640,0
CDTX.US,D,20150618,000000,312,320,309,319,7850,0
CDTX.US,D,20150619,000000,320.2,323,300.2,304,10730,0
CDTX.US,D,20150622,000000,307.6,307.8,301,303.6,1295,0
CDTX.US,D,20150623,000000,303.6,303.6,288.8,301.4,3872.25,0
CDTX.US,D,20150624,000000,300.6,300.6,286,287.8,2805,0
CDTX.US,D,20150625,000000,289,293.2,276,279.2,3530,0
CDTX.US,D,20150626,000000,277.4,280.8,269.6,277,32705,0
CDTX.US,D,20150629,000000,274.6,283,270.2,280.2,1280,0
CDTX.US,D,20150630,000000,284.8,284.8,279.4,280.4,503.6,0
CDTX.US,D,20150701,000000,281.6,299.4,278.4,293.2,1940,0
CDTX.US,D,20150702,000000,291,299,288.8,293,765,0
CDTX.US,D,20150706,000000,290.6,307.6,288.6,303.8,1540,0
CDTX.US,D,20150707,000000,303.4,303.4,296.6,299,940,0
CDTX.US,D,20150708,000000,297.2,297.6,285,288.6,5870,0
CDTX.US,D,20150709,000000,289.2,289.2,280,280,3505,0
CDTX.US,D,20150710,000000,282.8,290.8,280,288.6,975,0
CDTX.US,D,20150713,000000,291.6,291.6,286,288.8,425,0
CDTX.US,D,20150714,000000,287.2,294.8,287.2,292.8,742.75,0
CDTX.US,D,20150715,000000,291.4,309.2,291.4,293.8,1705.75,0
CDTX.US,D,20150716,000000,295.4,304.2,294.4,297.6,1050,0
CDTX.US,D,20150717,000000,297,301.6,291.8,293.4,750,0
CDTX.US,D,20150720,000000,297,302.2,294,298.8,2505,0
CDTX.US,D,20150721,000000,296.8,300,291.2,294.6,720,0
CDTX.US,D,20150722,000000,306,306,285,295.8,3620,0
CDTX.US,D,20150723,000000,292.6,298,286.4,291.4,3310,0
CDTX.US,D,20150724,000000,293,297.2,291.6,292.8,570,0
CDTX.US,D,20150727,000000,290,291,282.8,284,1155,0
CDTX.US,D,20150728,000000,288,299.8,279,279.2,1130,0
CDTX.US,D,20150729,000000,279,282,272,276.8,1150,0
CDTX.US,D,20150730,000000,277.6,282,270.2,271.2,1150,0
CDTX.US,D,20150731,000000,272.2,283.4,260,279.6,6300,0
CDTX.US,D,20150803,000000,282.6,292,282.6,290.4,1195.8,0
CDTX.US,D,20150804,000000,291.8,292.2,283.2,286,1050,0
CDTX.US,D,20150805,000000,287,292.6,282.2,285.6,1915,0
CDTX.US,D,20150806,000000,285,292.2,280.8,285,1607.5500000000002,0
CDTX.US,D,20150807,000000,284,285.8,274,276.2,4800,0
CDTX.US,D,20150810,000000,277.2,285.8,275.4,278.8,1045,0
CDTX.US,D,20150811,000000,291.4,291.4,270,273.8,2162.55,0
CDTX.US,D,20150812,000000,273,295.6,270.6,272,2205,0
CDTX.US,D,20150813,000000,273,287,270.4,285.8,3935,0
CDTX.US,D,20150814,000000,284.4,292,274.8,290,1660,0
CDTX.US,D,20150817,000000,290.2,296.2,285.8,294.8,2380,0
CDTX.US,D,20150818,000000,286,292.6,280.2,285.6,2465,0
