<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRVS.US,D,20160323,000000,15,15.39,14.25,14.25,1643589,0
CRVS.US,D,20160324,000000,14.15,14.47,14,14.25,246413,0
CRVS.US,D,20160328,000000,14.39,14.42,13.75,13.8,106523,0
CRVS.US,D,20160329,000000,13.75,14.94,13.75,14.53,102347,0
CRVS.US,D,20160330,000000,14.71,14.95,14.5,14.76,84805,0
CRVS.US,D,20160331,000000,14.97,14.97,14.398,14.5,101829,0
CRVS.US,D,20160401,000000,14.5,14.85,14.25,14.25,114075,0
CRVS.US,D,20160404,000000,14.29,14.75,14.25,14.4,95589,0
CRVS.US,D,20160405,000000,14.35,15.63,14.35,14.75,216943,0
CRVS.US,D,20160406,000000,15.18,15.2999,14.79,14.91,240092,0
CRVS.US,D,20160407,000000,14.9,15.015,14.75,14.75,139235,0
CRVS.US,D,20160408,000000,14.8,15.1999,14.74,14.75,146579,0
CRVS.US,D,20160411,000000,14.8,15.05,14.5,14.52,103188,0
CRVS.US,D,20160412,000000,14.83,15,14.5001,14.76,55378,0
CRVS.US,D,20160413,000000,14.9,15.6,14.82,15.01,142400,0
CRVS.US,D,20160414,000000,15.13,15.71,15.11,15.32,69817,0
CRVS.US,D,20160415,000000,15.7,15.9,15.26,15.61,81343,0
CRVS.US,D,20160418,000000,15.88,15.88,15,15.03,112125,0
CRVS.US,D,20160419,000000,14.87,15.23,14.595,15.19,73154,0
CRVS.US,D,20160420,000000,15.27,15.4,14.89,15,100777,0
CRVS.US,D,20160421,000000,14.95,15.35,14.9,15.01,61023,0
CRVS.US,D,20160422,000000,14.97,15.2,14.95,15.13,22498,0
CRVS.US,D,20160425,000000,15.18,15.2,14.525,14.86,37313,0
CRVS.US,D,20160426,000000,14.86,14.86,13.8501,14.39,89667,0
CRVS.US,D,20160427,000000,14.12,14.24,13.81,13.94,22451,0
CRVS.US,D,20160428,000000,13.8,14.665,12.5,12.78,82586,0
CRVS.US,D,20160429,000000,12.58,12.96,12.05,12.24,48413,0
CRVS.US,D,20160502,000000,12.33,12.48,12.05,12.05,27065,0
CRVS.US,D,20160503,000000,12.05,12.64,12.05,12.32,40572,0
CRVS.US,D,20160504,000000,12.5,13.2699,12.05,12.78,66881,0
CRVS.US,D,20160505,000000,12.7599,12.9431,12.4,12.425,23998,0
CRVS.US,D,20160506,000000,12.39,12.98,12.05,12.09,64245,0
CRVS.US,D,20160509,000000,12.09,12.99,12.06,12.46,71039,0
CRVS.US,D,20160510,000000,12.55,12.55,12.3,12.39,21671,0
CRVS.US,D,20160511,000000,12.3,12.38,10.6,10.94,69270,0
CRVS.US,D,20160512,000000,10.64,10.86,9.63,10.11,186742,0
CRVS.US,D,20160513,000000,9.84,10.87,9.8,10.66,18581,0
CRVS.US,D,20160516,000000,10.94,12.05,10.88,11.65,74297,0
CRVS.US,D,20160517,000000,11.8,12.575,11.04,11.3,65468,0
CRVS.US,D,20160518,000000,11.25,12,11.025,11.62,41717,0
CRVS.US,D,20160519,000000,11.65,12.73,11.5,12.65,31103,0
CRVS.US,D,20160520,000000,12.66,14.78,12.4101,14.03,45150,0
CRVS.US,D,20160523,000000,14.36,14.5,13.805,14.36,24454,0
CRVS.US,D,20160524,000000,14.53,14.9,13.61,14.19,38287,0
CRVS.US,D,20160525,000000,14.33,14.6,14.03,14.21,8783,0
CRVS.US,D,20160526,000000,14.4,14.59,13.5,14.31,9547,0
CRVS.US,D,20160527,000000,14.39,14.49,13.535,14.285,12638,0
CRVS.US,D,20160531,000000,14.5,14.5,13.85,14.05,9138,0
CRVS.US,D,20160601,000000,14.08,14.485,13.52,14.32,9766,0
CRVS.US,D,20160602,000000,14.35,14.5,13.9,14.36,14559,0
CRVS.US,D,20160603,000000,14.21,14.7,14.16,14.49,34272,0
CRVS.US,D,20160606,000000,14.5,14.69,14.08,14.24,12296,0
CRVS.US,D,20160607,000000,14.25,14.47,13.4201,13.54,15057,0
CRVS.US,D,20160608,000000,13.57,14.465,13,13.34,11795,0
CRVS.US,D,20160609,000000,13.05,13.55,12.24,12.99,80960,0
CRVS.US,D,20160610,000000,12.86,13.1,12.01,12.83,59035,0
CRVS.US,D,20160613,000000,12.6,13.27,12.05,12.7,22312,0
CRVS.US,D,20160614,000000,12.81,13.01,11.65,11.86,40196,0
CRVS.US,D,20160615,000000,12.31,12.31,11.66,11.85,28978,0
CRVS.US,D,20160616,000000,12.18,12.27,11.82,12.08,36878,0
CRVS.US,D,20160617,000000,12.42,12.9,11.84,12.39,235549,0
CRVS.US,D,20160620,000000,12.35,13.05,12.24,12.87,40794,0
CRVS.US,D,20160621,000000,13.28,13.28,12.7,13.16,42824,0
CRVS.US,D,20160622,000000,13.19,13.7995,13.09,13.56,36943,0
CRVS.US,D,20160623,000000,13.51,13.6,12.55,13.46,24467,0
CRVS.US,D,20160624,000000,12.94,13.62,12.545,13.29,278013,0
CRVS.US,D,20160627,000000,13.23,14.14,13.09,13.35,39604,0
CRVS.US,D,20160628,000000,13.5,14.09,13.07,13.96,31004,0
CRVS.US,D,20160629,000000,13.89,14.72,13.22,14.44,20411,0
CRVS.US,D,20160630,000000,14.4029,14.42,14.12,14.26,15791,0
CRVS.US,D,20160701,000000,14.46,14.46,13.7,14.39,25359,0
CRVS.US,D,20160705,000000,13.4065,14.4,13.34,14.35,23467,0
CRVS.US,D,20160706,000000,14.21,14.45,13.87,14.14,13852,0
CRVS.US,D,20160707,000000,14.24,14.99,14.24,14.97,48201,0
CRVS.US,D,20160708,000000,14.91,14.97,13.57,14.65,47362,0
CRVS.US,D,20160711,000000,12.04,14.93,12.04,14.73,54162,0
CRVS.US,D,20160712,000000,14.63,15.06,14.63,14.965,40096,0
CRVS.US,D,20160713,000000,15,15.07,14.34,14.41,21640,0
CRVS.US,D,20160714,000000,14.41,14.98,14.11,14.31,30856,0
CRVS.US,D,20160715,000000,14.56,14.73,14,14.04,29797,0
CRVS.US,D,20160718,000000,14.46,14.5,14.17,14.37,18307,0
CRVS.US,D,20160719,000000,14.15,14.35,14.15,14.2,6069,0
CRVS.US,D,20160720,000000,14.17,14.25,14.02,14.08,4280,0
CRVS.US,D,20160721,000000,14.27,14.28,14.08,14.12,2825,0
CRVS.US,D,20160722,000000,14.16,14.32,14.06,14.19,10183,0
CRVS.US,D,20160725,000000,13.47,14,13.42,13.59,8821,0
