<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DJTWW.US,D,20211001,000000,0.46,0.500001,0.434999,0.500001,240708,0
DJTWW.US,D,20211004,000000,0.5,0.5,0.475,0.48,2548457,0
DJTWW.US,D,20211005,000000,0.48,0.49,0.47,0.4863,338878,0
DJTWW.US,D,20211006,000000,0.48,0.485,0.4595,0.46,3700,0
DJTWW.US,D,20211007,000000,0.4598,0.48,0.4001,0.4378,933639,0
DJTWW.US,D,20211008,000000,0.44,0.45,0.44,0.44,100150,0
DJTWW.US,D,20211011,000000,0.43,0.43,0.4059,0.4272,101099,0
DJTWW.US,D,20211012,000000,0.43,0.45,0.43,0.439899,105450,0
DJTWW.US,D,20211013,000000,0.43865,0.44,0.43865,0.44,300,0
DJTWW.US,D,20211014,000000,0.44,0.45,0.44,0.45,100064,0
DJTWW.US,D,20211015,000000,0.4386,0.4386,0.429899,0.43,148400,0
DJTWW.US,D,20211018,000000,0.44,0.4675,0.4386,0.4386,261700,0
DJTWW.US,D,20211019,000000,0.44,0.455,0.44,0.45,119133,0
DJTWW.US,D,20211020,000000,0.47,0.5299,0.47,0.51,1066550,0
DJTWW.US,D,20211021,000000,3.162,14.49,3.06,11.29,94109829,0
DJTWW.US,D,20211022,000000,45,79.22,26.09,29.1,51371427,0
DJTWW.US,D,20211025,000000,43.34,44.1903,25.5,26,12753122,0
DJTWW.US,D,20211026,000000,26.7,29.7,20.22,23,6720344,0
DJTWW.US,D,20211027,000000,22.51,34.9,20.5,32.25,8702512,0
DJTWW.US,D,20211028,000000,35.5,39.39,34.0101,37.04,5010329,0
DJTWW.US,D,20211029,000000,35,36.95,30.8801,30.9,2718738,0
DJTWW.US,D,20211101,000000,30,31.482,25.5656,26.76,1718313,0
DJTWW.US,D,20211102,000000,25.43,29.4799,22.8,27.81,3024189,0
DJTWW.US,D,20211103,000000,30,30,25.12,26,1489049,0
DJTWW.US,D,20211104,000000,26.48,26.9,23.8,23.8,1241079,0
DJTWW.US,D,20211105,000000,24.09,24.34,21.485,22.06,1151381,0
DJTWW.US,D,20211108,000000,23.3,24.1944,22.02,22.9,1612632,0
DJTWW.US,D,20211109,000000,22.75,23.96,21.28,21.7,509258,0
DJTWW.US,D,20211110,000000,21.5,23.3,20.78,20.96,1447958,0
DJTWW.US,D,20211111,000000,21,21.93,20.5239,20.8,424058,0
DJTWW.US,D,20211112,000000,20.75,23.75,20.75,21.94,1541925,0
DJTWW.US,D,20211115,000000,22.52,22.8,21.5,21.5,548659,0
DJTWW.US,D,20211116,000000,21.59,22.7,21.57,21.65,538947,0
DJTWW.US,D,20211117,000000,21.56,22,21,21.05,346691,0
DJTWW.US,D,20211118,000000,21,21.79,19.2,19.78,625930,0
DJTWW.US,D,20211119,000000,19.22,20.2,17.77,18.02,824642,0
DJTWW.US,D,20211122,000000,18,18.02,14.55,14.74,857095,0
DJTWW.US,D,20211123,000000,15.41,15.4599,12.25,12.25,943375,0
DJTWW.US,D,20211124,000000,12.5,15.24,12.29,14.21,1077175,0
DJTWW.US,D,20211126,000000,13.64,14.77,12.75,14,458565,0
DJTWW.US,D,20211129,000000,14.45,15.115,13.6001,13.83,411236,0
DJTWW.US,D,20211130,000000,13.3,14.25,12.74,13.46,543840,0
DJTWW.US,D,20211201,000000,14.25,17.95,12.29,17.95,2262389,0
DJTWW.US,D,20211202,000000,17.95,21.74,16.16,17.6,2206619,0
DJTWW.US,D,20211203,000000,16.21,16.91,14.04,15.1307,604451,0
DJTWW.US,D,20211206,000000,18,18.27,13.55,13.66,1454798,0
DJTWW.US,D,20211207,000000,15.5,16.75,14.5,16.48,1211341,0
DJTWW.US,D,20211208,000000,16.97,21.5,14.5,21.5,3733518,0
DJTWW.US,D,20211209,000000,20.85,21.9,18.35,18.63,1062072,0
DJTWW.US,D,20211210,000000,19.81,20.65,18.2887,18.35,798277,0
DJTWW.US,D,20211213,000000,20,20,16.26,16.4121,639154,0
DJTWW.US,D,20211214,000000,15.63,16.3999,15.5,15.92,388776,0
DJTWW.US,D,20211215,000000,17.46,17.6,16,16.75,421070,0
DJTWW.US,D,20211216,000000,17,17.42,16,16.11,217324,0
DJTWW.US,D,20211217,000000,16,16.285,15.23,15.32,291469,0
DJTWW.US,D,20211220,000000,15.2,16.25,15.1,15.5,370353,0
DJTWW.US,D,20211221,000000,15.55,15.93,15.04,15.27,266818,0
DJTWW.US,D,20211222,000000,15.25,15.83,15,15.21,579567,0
DJTWW.US,D,20211223,000000,15.21,15.85,15,15.5,477916,0
DJTWW.US,D,20211227,000000,15.79,15.89,15.1,15.2,400810,0
DJTWW.US,D,20211228,000000,15.35,15.595,14.55,14.8,363303,0
DJTWW.US,D,20211229,000000,14.9,14.9,13.99,14.12,334000,0
DJTWW.US,D,20211230,000000,14,14.34,13.905,14.07,412518,0
DJTWW.US,D,20211231,000000,14.07,14.41,13.2,13.2,783154,0
DJTWW.US,D,20220103,000000,13.5,13.99,13.5,13.7,279879,0
DJTWW.US,D,20220104,000000,13.75,14.1772,13.42,13.5,204243,0
DJTWW.US,D,20220105,000000,13.59,13.59,12.92,12.92,213238,0
DJTWW.US,D,20220106,000000,13.05,17.11,12.11,16.89,2537157,0
DJTWW.US,D,20220107,000000,15.95,16.48,14.73,14.98,812324,0
DJTWW.US,D,20220110,000000,15,17.7,14,16.16,1675240,0
DJTWW.US,D,20220111,000000,16.25,20.45,16.1601,19.92,3245253,0
DJTWW.US,D,20220112,000000,20.5,24.6499,20.5,24.49,3854195,0
DJTWW.US,D,20220113,000000,25.2,26.78,22.08,22.5,3349223,0
DJTWW.US,D,20220114,000000,22.01,24.8,22.01,24.1,1889766,0
DJTWW.US,D,20220118,000000,27,33,26.16,30.82,5111317,0
DJTWW.US,D,20220119,000000,34,34,27.3,27.95,2844931,0
DJTWW.US,D,20220120,000000,28.8,31.91,27.9,29.69,2588337,0
DJTWW.US,D,20220121,000000,29.86,30.86,25.81,26.19,1962908,0
DJTWW.US,D,20220124,000000,21.6,23.79,18.9,22.75,2403706,0
DJTWW.US,D,20220125,000000,22.06,25.69,21.6,23.77,1748864,0
DJTWW.US,D,20220126,000000,26.3899,26.3899,22.26,23.31,1287097,0
DJTWW.US,D,20220127,000000,24,24.495,22,22.12,719091,0
DJTWW.US,D,20220128,000000,22.2,24.1,21.5119,23.79,683520,0
DJTWW.US,D,20220131,000000,24.95,26.56,24.665,25.6,1084541,0
DJTWW.US,D,20220201,000000,25.5,29.71,25.01,28.915,1728823,0
DJTWW.US,D,20220202,000000,29.3,29.3,26.22,27.19,1196147,0
DJTWW.US,D,20220203,000000,25.49,29.2,24.76,27.13,1304643,0
DJTWW.US,D,20220204,000000,27.68,29.5,27.68,28.2,1344062,0
DJTWW.US,D,20220207,000000,30.18,31.94,26,26.3,3161343,0
DJTWW.US,D,20220208,000000,26.76,27.88,25.4,27.05,1104756,0
DJTWW.US,D,20220209,000000,28.57,28.57,26.5,27.49,726185,0
DJTWW.US,D,20220210,000000,27.28,27.7999,26.8226,26.97,388945,0
DJTWW.US,D,20220211,000000,27,27.59,25,26.32,637462,0
DJTWW.US,D,20220214,000000,26.06,26.6,25.3,25.76,383134,0
DJTWW.US,D,20220215,000000,26.21,27,25.56,26.32,387725,0
DJTWW.US,D,20220216,000000,28.29,28.33,26.75,27.88,707916,0
DJTWW.US,D,20220217,000000,28,29.48,27,27.5,872245,0
DJTWW.US,D,20220218,000000,27.66,28.4399,25.8,26.59,503327,0
DJTWW.US,D,20220222,000000,32.1,32.2808,27.75,28.98,2292432,0
DJTWW.US,D,20220223,000000,28.1326,28.5,26.81,27.5,716540,0
DJTWW.US,D,20220224,000000,23.98,26.49,23.79,26.39,1035892,0
DJTWW.US,D,20220225,000000,26.74,27.8,26.2657,26.6,517746,0
DJTWW.US,D,20220228,000000,26.88,27.47,26.27,26.6,379850,0
DJTWW.US,D,20220301,000000,27.1,27.24,25.8,26.39,540512,0
DJTWW.US,D,20220302,000000,27.1,28.26,25.13,25.35,1329139,0
DJTWW.US,D,20220303,000000,26.39,26.4999,23.15,24,1002412,0
