<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DPRO.US,D,20210802,000000,96.25,96.25,83,91.5,43738.92,0
DPRO.US,D,20210803,000000,89.5,90.75,86,90,8207.68,0
DPRO.US,D,20210804,000000,93.5,101,86.25,87.75,43508.32,0
DPRO.US,D,20210805,000000,87,92.5,86.25,89.75,5796.4,0
DPRO.US,D,20210806,000000,91.25,101.25,89.0825,95.75,24967.12,0
DPRO.US,D,20210809,000000,97.675,99.75,92.75,94.75,10324.32,0
DPRO.US,D,20210810,000000,98.75,99,86.5,88,18230.04,0
DPRO.US,D,20210811,000000,90,90.1975,78,81.5,17171.2,0
DPRO.US,D,20210812,000000,80.75,87,80.5,85,10611.28,0
DPRO.US,D,20210813,000000,85,85,81.25,81.5,5941.8,0
DPRO.US,D,20210816,000000,82.25,82.25,73,74.5,9964.12,0
DPRO.US,D,20210817,000000,73.25,77.5,70,71.5,7990.4,0
DPRO.US,D,20210818,000000,70,76.25,70,72,10828,0
DPRO.US,D,20210819,000000,71.5,74.5,65.25,67.25,17193.44,0
DPRO.US,D,20210820,000000,68.5,71.25,66.25,69.5,4825.88,0
DPRO.US,D,20210823,000000,68.75,74.75,68.75,73.35,5253.72,0
DPRO.US,D,20210824,000000,74.5,74.5,69.25,71.5,4211.32,0
DPRO.US,D,20210825,000000,70.75,79,70.75,73.73,10253.96,0
DPRO.US,D,20210826,000000,75,75,69.25,70.25,8568.04,0
DPRO.US,D,20210827,000000,70.25,73.25,68,69.5,10708.48,0
DPRO.US,D,20210830,000000,70,77,70,71.75,12317.12,0
DPRO.US,D,20210831,000000,73.25,78.3025,73,75.75,8812.32,0
DPRO.US,D,20210901,000000,78,80.9975,75,75.5,10550.8,0
DPRO.US,D,20210902,000000,78.25,80.75,76.355,76.75,11688.76,0
DPRO.US,D,20210903,000000,80.25,102.75,76.75,95.25,327365.8,0
DPRO.US,D,20210907,000000,98.375,102.25,87.75,100.5,45247.4,0
DPRO.US,D,20210908,000000,98.75,102,91.25,95.75,20529.68,0
DPRO.US,D,20210909,000000,97.5,104.75,93.7525,97,24384.72,0
DPRO.US,D,20210910,000000,97.5,98.5,93.75,95,8444.32,0
DPRO.US,D,20210913,000000,95.3375,97.5,88.75,91.25,8745.92,0
DPRO.US,D,20210914,000000,94.75,96,88.5,89,12264.92,0
DPRO.US,D,20210915,000000,90.25,93.4975,88.75,89.5,3891.2,0
DPRO.US,D,20210916,000000,89.5,90,82.5,86,13107,0
DPRO.US,D,20210917,000000,86.25,90.25,86,89.75,4230.8,0
DPRO.US,D,20210920,000000,84.75,87.5,79.5,81.5,9574.12,0
DPRO.US,D,20210921,000000,83.25,86.7025,82.25,82.75,3470.8,0
DPRO.US,D,20210922,000000,84.75,86.5875,83.7525,85,4827.96,0
DPRO.US,D,20210923,000000,87.25,96,87.25,93.25,19642.88,0
DPRO.US,D,20210924,000000,91.25,93.75,90,92,4533.08,0
DPRO.US,D,20210927,000000,91.25,97.25,90.25,95.75,12530.56,0
DPRO.US,D,20210928,000000,95.5,96,90.5,92.5,7916.4,0
DPRO.US,D,20210929,000000,92.75,94.75,85.25,86.5,6282.24,0
DPRO.US,D,20210930,000000,85.25,87.25,81.25,83.75,5483.68,0
DPRO.US,D,20211001,000000,84,90,83.125,86.25,8604.56,0
DPRO.US,D,20211004,000000,86.25,88.5,84,85.485,9558.28,0
DPRO.US,D,20211005,000000,85.75,87,84.75,85.25,2694.96,0
DPRO.US,D,20211006,000000,85.25,87.25,78.75,80.155,9900.44,0
DPRO.US,D,20211007,000000,80.25,86,67.75,75,27238.24,0
DPRO.US,D,20211008,000000,75,78.25,74.75,75.5,5277.16,0
DPRO.US,D,20211011,000000,76,76.4975,71.7525,72.75,3450.96,0
DPRO.US,D,20211012,000000,76.25,81.25,76.25,77.75,10187.92,0
DPRO.US,D,20211013,000000,78.75,81,78,78.75,4129.36,0
DPRO.US,D,20211014,000000,81,93.75,79.5,90.75,36160.72,0
DPRO.US,D,20211015,000000,93.5,96.25,85.5,88.25,9586,0
DPRO.US,D,20211018,000000,89.5,91,83.25,86.75,9147.48,0
DPRO.US,D,20211019,000000,88.75,89.75,84,89.75,7381.76,0
DPRO.US,D,20211020,000000,90,92,87.2575,88.5,6362.52,0
DPRO.US,D,20211021,000000,91.5,91.9975,85.9225,88,5750.56,0
DPRO.US,D,20211022,000000,86.5,87.75,84.25,86.75,2745.04,0
DPRO.US,D,20211025,000000,87,93,84,90,19600.32,0
DPRO.US,D,20211026,000000,90.25,90.25,85,86.25,5875.8,0
DPRO.US,D,20211027,000000,86.25,88,83.5,83.75,4758.6,0
DPRO.US,D,20211028,000000,86.8125,86.8125,80.25,82.75,5922.24,0
DPRO.US,D,20211029,000000,83,91.75,83,91.25,14368.48,0
DPRO.US,D,20211101,000000,92.75,98.5,92,94,15611.8,0
DPRO.US,D,20211102,000000,94.25,94.25,90,90.5,7014.4,0
DPRO.US,D,20211103,000000,91.25,93.245,89.5,90.75,5798.16,0
DPRO.US,D,20211104,000000,90.25,91.8575,89.25,90.5,6281.76,0
DPRO.US,D,20211105,000000,91,91.5,85,85.75,7818.48,0
DPRO.US,D,20211108,000000,86.25,88.4975,81.25,82,8599.88,0
DPRO.US,D,20211109,000000,82,82.5,77.5,80.5,13327.6,0
DPRO.US,D,20211110,000000,83,86,78,79.75,8121.36,0
DPRO.US,D,20211111,000000,81.25,82.25,77.0025,78.25,8551.8,0
DPRO.US,D,20211112,000000,77.75,78.75,76.5,77.75,5703.52,0
DPRO.US,D,20211115,000000,79,79.5,76.5,77.25,5421.08,0
DPRO.US,D,20211116,000000,77.25,78.5,72.75,73.75,7589,0
DPRO.US,D,20211117,000000,76.25,78,73.5,74.25,7302.56,0
DPRO.US,D,20211118,000000,75.2025,78.5,68,70,14024.88,0
DPRO.US,D,20211119,000000,71.25,73.25,70,72.5,6747.52,0
DPRO.US,D,20211122,000000,73,73.75,66.25,67,9015.32,0
DPRO.US,D,20211123,000000,67,67,61.25,61.75,15036.2,0
DPRO.US,D,20211124,000000,61.7275,62.5,59.5,62.5,9238.84,0
DPRO.US,D,20211126,000000,62.5,67,57.75,59.25,8840.6,0
DPRO.US,D,20211129,000000,60,69.75,60,69,20557.56,0
DPRO.US,D,20211130,000000,69,72.5,65,71.5,18116.64,0
DPRO.US,D,20211201,000000,72.75,75,66.875,67.75,15379.32,0
DPRO.US,D,20211202,000000,68,70.75,66.25,68.75,11661.28,0
DPRO.US,D,20211203,000000,72.8425,72.8425,62,64.25,11936.32,0
DPRO.US,D,20211206,000000,65.25,67.25,62.5,65.75,10093.56,0
DPRO.US,D,20211207,000000,66.75,71,62.5,63.5,15420.44,0
DPRO.US,D,20211208,000000,63.5,64.75,61.25,62.5,8044.32,0
DPRO.US,D,20211209,000000,62,63,59,59.5,12343.6,0
DPRO.US,D,20211210,000000,61.25,61.6175,55,56,16521.16,0
DPRO.US,D,20211213,000000,57,57,51.25,54.25,13029.64,0
DPRO.US,D,20211214,000000,54.5,55.5,51.75,53.25,7279.08,0
DPRO.US,D,20211215,000000,53.25,53.25,48,51.75,23117.6,0
DPRO.US,D,20211216,000000,51.75,51.75,46.2525,48.5,21191.56,0
DPRO.US,D,20211217,000000,48.75,48.75,45.75,47,18795.4,0
DPRO.US,D,20211220,000000,46.25,47,43,44.5,16563.48,0
DPRO.US,D,20211221,000000,44.25,47.5,44.25,47,9577.28,0
DPRO.US,D,20211222,000000,47.5,51.5,46.5,50.75,24134.56,0
DPRO.US,D,20211223,000000,50.25,50.5,46.5,47.25,13008.92,0
DPRO.US,D,20211227,000000,47.5,47.875,44.25,44.25,11868.2,0
DPRO.US,D,20211228,000000,44.25,44.9525,41,41.25,15541,0
DPRO.US,D,20211229,000000,45,46,40.5,42,15698.08,0
DPRO.US,D,20211230,000000,41.25,44,41.25,41.5,10611.08,0
DPRO.US,D,20211231,000000,41.25,43,40.25,40.75,10569.16,0
