<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELVN.US,D,20200312,000000,56,61.6,53.6,60,113975.25,0
ELVN.US,D,20200313,000000,64,67.168,63,64,27451.25,0
ELVN.US,D,20200316,000000,64.08,64.12,59.24,62,19249.5,0
ELVN.US,D,20200317,000000,62.16,63.88,62,62.4,4525,0
ELVN.US,D,20200318,000000,62.5264,69,62.0056,64,17669.75,0
ELVN.US,D,20200319,000000,64,70,62.4,66.4,30878,0
ELVN.US,D,20200320,000000,66,68,63,64,8116.75,0
ELVN.US,D,20200323,000000,64.84,68,62.18,64,9256.25,0
ELVN.US,D,20200324,000000,65.36,66.8,63,64.48,8517.75,0
ELVN.US,D,20200325,000000,65.24,65.28,64.4104,64.72,653.75,0
ELVN.US,D,20200326,000000,65.96,66,63.2748,64,3551.5,0
ELVN.US,D,20200327,000000,63.518,64.52,63.518,63.92,290.75,0
ELVN.US,D,20200330,000000,63.0008,64.84,63.0008,64,1138,0
ELVN.US,D,20200331,000000,63.0008,64.2884,63.0008,64.12,2540.25,0
ELVN.US,D,20200401,000000,64.5,65.4,63,63,396.75,0
ELVN.US,D,20200402,000000,63,63.5,63,63,359,0
ELVN.US,D,20200403,000000,63.2248,64.5384,63,63,3752.25,0
ELVN.US,D,20200406,000000,64.12,65.9996,63,63,6290.25,0
ELVN.US,D,20200407,000000,64,66,62.8,63.96,4507.75,0
ELVN.US,D,20200408,000000,66,66,61,64.08,1537.25,0
ELVN.US,D,20200409,000000,64,64.32,63,63.6,2709.5,0
ELVN.US,D,20200413,000000,62.36,63,61.04,62.8,3747.75,0
ELVN.US,D,20200414,000000,61.8,63.36,61,62.6,3378.5,0
ELVN.US,D,20200415,000000,62.6,64,57.04,62.4,4014.75,0
ELVN.US,D,20200416,000000,58.12,65.08,58.12,64,40139.75,0
ELVN.US,D,20200417,000000,64.08,65.76,59.1784,63.6,29117.25,0
ELVN.US,D,20200420,000000,62.56,64.8,62.56,64.2,1979.25,0
ELVN.US,D,20200421,000000,64.12,64.12,62.314,64.08,1839.75,0
ELVN.US,D,20200422,000000,64.24,64.24,63.12,64,894.25,0
ELVN.US,D,20200423,000000,64,66,64,64.6,3447.25,0
ELVN.US,D,20200424,000000,64.08,65.36,64,64.08,2685,0
ELVN.US,D,20200427,000000,64.8,70.08,64.8,69.84,8899,0
ELVN.US,D,20200428,000000,69,72,64.92,70.6,6391.5,0
ELVN.US,D,20200429,000000,70.9,71.1356,66.64,69.76,3135.75,0
ELVN.US,D,20200430,000000,67.08,70,66.8092,70,1613.25,0
ELVN.US,D,20200501,000000,68.96,69.56,66.2,69.08,1617.5,0
ELVN.US,D,20200504,000000,66.04,73.48,66.02,72.96,3215.5,0
ELVN.US,D,20200505,000000,71.16,96,68,96,4041.25,0
ELVN.US,D,20200506,000000,95.52,104.3,82.96,90.4,27390.25,0
ELVN.US,D,20200507,000000,87.88,94.8,74,80,18228,0
ELVN.US,D,20200508,000000,81,93,80,91.4,3398.25,0
ELVN.US,D,20200511,000000,91.6,103.76,91.4,99.68,39963,0
ELVN.US,D,20200512,000000,103.799,105.96,94.4,94.4,4555,0
ELVN.US,D,20200513,000000,102.96,102.96,82.28,86.84,2080.25,0
ELVN.US,D,20200514,000000,94.52,103.8,82.1252,103.8,21814,0
ELVN.US,D,20200515,000000,105.08,120,103.8,109,13788.75,0
ELVN.US,D,20200518,000000,111.507,114,104.56,105.28,16190.25,0
ELVN.US,D,20200519,000000,112,123.2,105.6,107.84,1843.25,0
ELVN.US,D,20200520,000000,111,114.22,105.08,105.08,49752.75,0
ELVN.US,D,20200521,000000,106.873,110,103,103,34374.25,0
ELVN.US,D,20200522,000000,102.8,111.96,100.28,107.92,11952.5,0
ELVN.US,D,20200526,000000,110.36,112.492,109.52,112,2475.75,0
ELVN.US,D,20200527,000000,104.863,126.36,103.074,116.4,3787.5,0
ELVN.US,D,20200528,000000,114.72,132,109.94,131.84,6562.5,0
ELVN.US,D,20200529,000000,143.44,143.44,120,133.96,4130.25,0
ELVN.US,D,20200601,000000,136.28,147.96,132.04,146.28,7856.5,0
ELVN.US,D,20200602,000000,146.28,153.24,144.2,146.04,5741.25,0
ELVN.US,D,20200603,000000,149.6,179.68,128.727,179.6,8591.25,0
