<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESOA.US,D,20220324,000000,4.14,4.678,3.35,3.75,19749529,0
ESOA.US,D,20220325,000000,3.5,3.91,3.25,3.44,2645050,0
ESOA.US,D,20220328,000000,3.27,3.3,2.93,3.03,963247,0
ESOA.US,D,20220329,000000,2.9,3.0294,2.77,2.95,422341,0
ESOA.US,D,20220330,000000,3.06,3.1,2.92,2.92,384480,0
ESOA.US,D,20220331,000000,2.89,2.93,2.77,2.87,158363,0
ESOA.US,D,20220401,000000,2.8,2.84,2.74,2.8,201669,0
ESOA.US,D,20220404,000000,2.8,2.85,2.69,2.73,207156,0
ESOA.US,D,20220405,000000,2.68,2.7314,2.5256,2.55,288461,0
ESOA.US,D,20220406,000000,2.57,2.62,2.51,2.55,175779,0
ESOA.US,D,20220407,000000,2.49,2.68,2.49,2.55,142879,0
ESOA.US,D,20220408,000000,2.51,2.5499,2.41,2.52,165241,0
ESOA.US,D,20220411,000000,2.49,2.49,2.36,2.38,120256,0
ESOA.US,D,20220412,000000,2.37,2.5,2.32,2.35,237527,0
ESOA.US,D,20220413,000000,2.32,2.43,2.29,2.39,101217,0
ESOA.US,D,20220414,000000,2.44,2.7691,2.35,2.5676,272817,0
ESOA.US,D,20220418,000000,2.57,2.6199,2.4,2.45,362210,0
ESOA.US,D,20220419,000000,2.46,2.46,2.36,2.45,124534,0
ESOA.US,D,20220420,000000,2.3862,2.39,2.29,2.35,68760,0
ESOA.US,D,20220421,000000,2.39,2.47,2.34,2.42,204827,0
ESOA.US,D,20220422,000000,2.43,2.43,2.22,2.31,53171,0
ESOA.US,D,20220425,000000,2.27,2.4199,2.27,2.29,51952,0
ESOA.US,D,20220426,000000,2.25,2.3205,2.24,2.27,93455,0
ESOA.US,D,20220427,000000,2.28,2.48,2.25,2.45,228238,0
ESOA.US,D,20220428,000000,2.49,2.6,2.31,2.5,168650,0
ESOA.US,D,20220429,000000,2.5,2.564,2.4201,2.5,24240,0
ESOA.US,D,20220502,000000,2.56,2.56,2.43,2.485,79720,0
ESOA.US,D,20220503,000000,2.54,2.58,2.43,2.5,38348,0
ESOA.US,D,20220504,000000,2.58,2.6,2.45,2.52,104558,0
ESOA.US,D,20220505,000000,2.61,2.64,2.5,2.54,53922,0
