<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBNC.US,D,20050225,000000,19.7017,20.3024,19.2254,20.1917,30852.266969648,0
FBNC.US,D,20050228,000000,20.0346,20.0752,19.4932,19.7333,45335.079385785,0
FBNC.US,D,20050301,000000,20.0188,20.0672,19.4725,19.8577,23705.496512569,0
FBNC.US,D,20050302,000000,19.8577,19.8577,19.4073,19.5831,24736.874376294,0
FBNC.US,D,20050303,000000,19.8025,19.8025,19.1168,19.2402,23635.65836478,0
FBNC.US,D,20050304,000000,19.7392,19.7392,19.4231,19.6306,5762.153266131,0
FBNC.US,D,20050307,000000,19.7797,19.923,19.59,19.59,8089.0793786965,0
FBNC.US,D,20050308,000000,19.7392,19.7392,18.9429,19.1563,23652.86486496,0
FBNC.US,D,20050309,000000,19.0259,19.4645,18.9429,18.9429,28950.442626233,0
FBNC.US,D,20050310,000000,19.1563,19.1563,18.4568,18.6889,14099.208676832,0
FBNC.US,D,20050311,000000,19.0911,19.0911,18.2937,18.5299,18009.132805949,0
FBNC.US,D,20050314,000000,18.9973,18.9973,18.6011,18.6949,16699.414498138,0
FBNC.US,D,20050315,000000,18.9172,19.1563,18.2997,18.4025,16484.839319423,0
FBNC.US,D,20050316,000000,18.2849,18.6337,18.2849,18.3235,17795.569774305,0
FBNC.US,D,20050317,000000,18.6801,18.9093,18.2217,18.4568,39066.85258495,0
FBNC.US,D,20050318,000000,18.4983,18.8856,18.11,18.4647,63036.519482635,0
FBNC.US,D,20050321,000000,18.6011,18.6011,18.2849,18.2997,6319.846301374,0
FBNC.US,D,20050322,000000,18.5931,18.8392,18.2049,18.357,14036.455558529,0
FBNC.US,D,20050323,000000,18.2049,18.3778,17.3028,17.6032,16653.867880014,0
FBNC.US,D,20050324,000000,17.864,18.2849,17.7366,17.9609,8839.0803571267,0
FBNC.US,D,20050328,000000,17.7612,18.4242,17.3888,17.5005,26959.549340711,0
FBNC.US,D,20050329,000000,17.4135,17.7612,16.961,17.3582,46193.380100642,0
FBNC.US,D,20050330,000000,17.3028,18.1022,17.3028,18.0083,16462.572083896,0
FBNC.US,D,20050331,000000,17.9045,18.5546,17.4688,17.9203,50974.762856518,0
FBNC.US,D,20050401,000000,17.9915,18.1022,16.7021,16.9175,11083.010410001,0
FBNC.US,D,20050404,000000,16.8414,17.3808,16.7614,17.3344,15631.599339913,0
FBNC.US,D,20050405,000000,17.6111,18.0754,16.9778,17.621,11532.403708817,0
FBNC.US,D,20050406,000000,17.787,18.3323,17.2544,17.7692,11286.451970951,0
FBNC.US,D,20050407,000000,17.705,18.11,17.454,18.11,11461.553413959,0
FBNC.US,D,20050408,000000,17.864,17.9677,17.0489,17.0578,16736.863939706,0
FBNC.US,D,20050411,000000,16.9175,17.2386,16.218,16.3039,32634.657958873,0
FBNC.US,D,20050412,000000,16.3188,16.7545,16.0579,16.553,27000.035223487,0
FBNC.US,D,20050413,000000,16.7791,16.8928,16.0906,16.132,21429.177753474,0
FBNC.US,D,20050414,000000,16.4729,16.5894,16.0747,16.0747,28195.380912456,0
FBNC.US,D,20050415,000000,16.1894,16.7239,15.5867,15.7774,54159.98968394,0
FBNC.US,D,20050418,000000,15.7942,16.2812,15.7942,16.2743,8246.9743215239,0
FBNC.US,D,20050419,000000,16.5104,16.8207,16.3375,16.7545,15263.17780665,0
FBNC.US,D,20050420,000000,16.961,17.3196,15.8297,15.8623,23881.610102646,0
FBNC.US,D,20050421,000000,16.218,16.553,16.0362,16.5272,20304.682359363,0
FBNC.US,D,20050422,000000,16.7327,17.2544,15.8544,16.0668,40642.765572017,0
FBNC.US,D,20050425,000000,16.4205,16.7545,16.2269,16.4383,15882.611813127,0
FBNC.US,D,20050426,000000,16.6616,16.6616,16.051,16.051,6252.0324477238,0
FBNC.US,D,20050427,000000,15.8702,16.2269,15.8702,16.1804,13980.787469712,0
FBNC.US,D,20050428,000000,16.0283,16.1982,15.8455,15.886,12162.971333057,0
FBNC.US,D,20050429,000000,16.0826,16.3455,15.5303,16.0362,31942.349363399,0
FBNC.US,D,20050502,000000,16.2674,16.7791,15.9719,16.5104,22743.956796632,0
FBNC.US,D,20050503,000000,16.1636,16.544,16.0579,16.1982,13320.867580458,0
FBNC.US,D,20050504,000000,16.4472,16.9856,16.3711,16.8513,26411.977776161,0
FBNC.US,D,20050505,000000,16.8513,16.8513,16.4729,16.6221,20110.350122037,0
FBNC.US,D,20050506,000000,16.6221,17.0578,16.6221,16.8207,41107.341076874,0
FBNC.US,D,20050509,000000,16.9688,17.5321,16.952,17.5321,21045.574014169,0
FBNC.US,D,20050510,000000,17.1053,17.5953,16.8286,17.1665,24230.800841591,0
FBNC.US,D,20050511,000000,17.1013,17.4313,16.8414,17.4313,13069.855107246,0
FBNC.US,D,20050512,000000,17.6111,17.6111,16.4205,16.5184,23947.399662157,0
FBNC.US,D,20050513,000000,16.9324,17.1053,16.132,17.0489,33521.298791673,0
FBNC.US,D,20050516,000000,16.4729,17.3492,16.4729,16.9324,11407.90961928,0
FBNC.US,D,20050517,000000,17.0736,17.4135,17.0489,17.3028,19829.985383812,0
FBNC.US,D,20050518,000000,17.4046,18.1584,17.4046,17.9835,27772.303437444,0
FBNC.US,D,20050519,000000,17.9609,18.118,17.8957,17.9203,10266.20772499,0
FBNC.US,D,20050520,000000,17.6427,18.0616,17.6427,18.0537,12433.214600589,0
FBNC.US,D,20050523,000000,17.8126,18.031,17.6753,17.7,6615.3932456407,0
FBNC.US,D,20050524,000000,17.4935,17.8413,17.4382,17.7612,4198.386043898,0
FBNC.US,D,20050525,000000,17.373,17.4382,16.7397,17.0015,8712.5619734509,0
