<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDBC.US,D,20171006,000000,37.2489,37.2489,31.932,31.932,565.91817731471,0
FDBC.US,D,20171009,000000,34.705,34.705,29.3491,29.3491,3110.4995470523,0
FDBC.US,D,20171011,000000,32.8166,32.8166,32.3737,32.3737,450.06898521949,0
FDBC.US,D,20171012,000000,32.3737,32.3737,32.3737,32.3737,341.39629174963,0
FDBC.US,D,20171013,000000,31.7066,31.7066,31.7066,31.7066,416.23692027133,0
FDBC.US,D,20171017,000000,32.1074,32.1074,31.0424,31.0424,1126.7102841828,0
FDBC.US,D,20171018,000000,30.8277,30.8931,30.8199,30.8199,1064.1722247331,0
FDBC.US,D,20171020,000000,31.4851,31.4851,31.4851,31.4851,336.27022130295,0
FDBC.US,D,20171023,000000,32.1074,32.1074,32.1074,32.1074,172.23596700883,0
FDBC.US,D,20171025,000000,31.925,31.925,31.6714,31.6714,371.12750034044,0
FDBC.US,D,20171026,000000,31.9504,31.9504,31.9504,31.9504,123.02569072059,0
FDBC.US,D,20171027,000000,31.9924,32.1074,31.4851,31.4851,834.52426872133,0
FDBC.US,D,20171030,000000,32.8166,32.8166,32.8166,32.8166,183.51332199154,0
FDBC.US,D,20171102,000000,31.4939,32.8166,31.4851,31.4851,677.66651305258,0
FDBC.US,D,20171103,000000,32.8166,32.8166,32.5962,32.5962,1475.2830745577,0
FDBC.US,D,20171109,000000,32.8068,34.1471,32.8068,33.8593,4411.4962264224,0
FDBC.US,D,20171110,000000,34.545,34.545,34.545,34.545,197.86631924228,0
FDBC.US,D,20171113,000000,34.5927,34.5927,34.4201,34.4201,869.38154775884,0
FDBC.US,D,20171114,000000,35.0317,35.0317,35.0317,35.0317,601.80067044155,0
FDBC.US,D,20171115,000000,35.0317,35.0317,34.4747,34.4747,589.49810136949,0
FDBC.US,D,20171120,000000,35.4667,35.4863,34.6104,34.6104,2599.9429305618,0
FDBC.US,D,20171121,000000,39.2689,39.2689,39.2689,39.2689,151.73168522206,0
FDBC.US,D,20171122,000000,34.8055,35.4286,34.8055,35.2512,2401.0513972302,0
FDBC.US,D,20171201,000000,36.1555,36.1555,36.1555,36.1555,334.21979312426,0
FDBC.US,D,20171204,000000,36.8694,36.8694,36.368,36.368,17496.303648647,0
FDBC.US,D,20171205,000000,36.411,39.2689,36.411,37.483,2175.5042975757,0
FDBC.US,D,20171206,000000,38.0175,38.3753,38.0175,38.3753,1396.3415896787,0
FDBC.US,D,20171207,000000,37.7043,38.268,37.7043,38.268,362.92578762574,0
FDBC.US,D,20171208,000000,38.4817,38.4895,38.4457,38.4895,1149.2649941481,0
FDBC.US,D,20171211,000000,39.0094,39.0465,39.0094,39.0465,16796.082425628,0
FDBC.US,D,20171213,000000,38.8232,38.8232,36.1778,36.1778,558.74167868934,0
FDBC.US,D,20171214,000000,36.1525,38.8232,36.1525,38.8232,225.54709965442,0
FDBC.US,D,20171218,000000,36.5884,36.5884,36.1612,36.1612,287.0599450147,0
FDBC.US,D,20171219,000000,37.358,37.358,37.358,37.358,394.70742439522,0
FDBC.US,D,20171220,000000,38.3753,38.3753,38.3753,38.3753,239.90009690514,0
FDBC.US,D,20171221,000000,38.3753,38.3753,38.3753,38.3753,240.92531099449,0
FDBC.US,D,20171222,000000,38.3666,38.3666,38.3666,38.3666,541.31303917059,0
FDBC.US,D,20171226,000000,38.3753,40.1526,37.5902,40.1526,864.25547731214,0
FDBC.US,D,20171227,000000,36.1709,39.7029,36.1709,39.7029,886.81018727758,0
FDBC.US,D,20171228,000000,39.6249,39.6249,39.6249,39.6249,329.09372267758,0
FDBC.US,D,20171229,000000,39.4903,39.4903,36.8577,36.8577,2013.5204714603,0
FDBC.US,D,20180102,000000,39.937,39.937,39.937,39.937,219.39581511839,0
FDBC.US,D,20180103,000000,40.1526,40.4706,39.937,39.937,1035.4662302316,0
FDBC.US,D,20180104,000000,39.3557,41.9415,39.3557,39.8121,2463.5894566798,0
FDBC.US,D,20180105,000000,41.4977,41.8557,41.4977,41.8469,819.14605738126,0
FDBC.US,D,20180108,000000,42.7491,42.7491,41.9415,41.9415,818.12084329192,0
FDBC.US,D,20180109,000000,41.9415,43.7304,41.9415,43.7206,1754.1413068577,0
FDBC.US,D,20180111,000000,43.7206,44.6219,43.7206,44.6219,921.66746631508,0
