<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMTO.US,D,20220601,000000,21834.8,22610,16957.5,16989.8,5.2913312735829,0
FMTO.US,D,20220602,000000,15827,17054.4,13075,15406.8,11.02414861563,0
FMTO.US,D,20220603,000000,16182.3,16796,15988.5,16796,0.36346749255084,0
FMTO.US,D,20220606,000000,16117.7,16343.8,15471.7,15891.6,4.0823529444424,0
FMTO.US,D,20220607,000000,18217.2,18540.2,14308.9,15827,102.54055735757,0
FMTO.US,D,20220608,000000,15407.1,15794.7,14018.2,14680.4,12.615789483777,0
FMTO.US,D,20220609,000000,14664.2,15310.2,13727.5,14696.5,4.1263157927747,0
FMTO.US,D,20220610,000000,14082.8,15504,13243,14502.7,3.2513931914556,0
FMTO.US,D,20220613,000000,15504,17280.5,14502.7,16634.5,3.3671826652324,0
FMTO.US,D,20220614,000000,15439.4,16925.2,15245.6,15342.5,2.7058823551059,0
FMTO.US,D,20220615,000000,16150,16150,15148.7,15374.8,1.1275541804686,0
FMTO.US,D,20220616,000000,15019.5,15827,14631.9,15818.9,2.1130030976656,0
FMTO.US,D,20220617,000000,15827,15827,15827,15827,0.42972136257288,0
FMTO.US,D,20220621,000000,15213.3,15827,14858,15827,0.59938080543307,0
FMTO.US,D,20220622,000000,14567.3,15700.7,13275.3,15342.5,2.2780185776738,0
FMTO.US,D,20220623,000000,14703.9,15342.5,14599.6,15342.5,1.142414861595,0
FMTO.US,D,20220624,000000,14664.2,15407.1,14664.2,15181,0.77089783343406,0
FMTO.US,D,20220627,000000,15181,15827,14954.9,15336.4,0.58792569706477,0
FMTO.US,D,20220628,000000,14535,15665.5,14470.4,15665.5,0.34643962876012,0
FMTO.US,D,20220630,000000,14244.3,15342.5,14050.5,14212,1.0848297222301,0
FMTO.US,D,20220701,000000,15116.4,15827,14664.2,15572.2,1.0034055735581,0
FMTO.US,D,20220705,000000,15504,15504,14954.9,15181,0.24179566582811,0
FMTO.US,D,20220706,000000,15181,15568.6,15181,15181,0.22074303423232,0
FMTO.US,D,20220707,000000,15600.9,15600.9,13985.9,15471.7,2.06160990877,0
FMTO.US,D,20220708,000000,15310.2,15407.1,14922.6,14954.9,0.23405572774142,0
FMTO.US,D,20220711,000000,16150,16150,15504,15794.7,0.86037151771616,0
FMTO.US,D,20220712,000000,15504,15504,15504,15504,0.08390092885969,0
FMTO.US,D,20220713,000000,15504,15730.1,15342.5,15730.1,0.29659442748186,0
FMTO.US,D,20220714,000000,15568.6,15730.1,14734.9,15504,1.2325077409241,0
FMTO.US,D,20220715,000000,15504,15730.1,15342.5,15504,0.26532507761164,0
FMTO.US,D,20220718,000000,15665.5,15665.5,15245.6,15589.9,0.28390092901969,0
FMTO.US,D,20220719,000000,15665.5,15827,15504,15827,0.58235294164235,0
FMTO.US,D,20220720,000000,15956.2,15988.5,15051.8,15859.3,0.89752322053226,0
FMTO.US,D,20220721,000000,15988.5,16150,15181,15940.1,1.286068112484,0
FMTO.US,D,20220722,000000,15665.5,15859.3,14858,15859.3,0.5133126939091,0
FMTO.US,D,20220725,000000,15923.9,15923.9,15310.2,15504,0.39411764737412,0
FMTO.US,D,20220726,000000,15665.5,15794.7,14470.4,15504,0.37461300339567,0
FMTO.US,D,20220727,000000,15181,15471.7,14858,15471.7,0.12414860691046,0
FMTO.US,D,20220728,000000,15265.3,15504,14728.8,15504,1.0123839017387,0
FMTO.US,D,20220729,000000,14567.6,15504,14567.6,14890.3,0.58916408715864,0
FMTO.US,D,20220801,000000,15342.5,15504,15051.8,15407.1,0.19535603730799,0
FMTO.US,D,20220802,000000,15407.1,15504,15019.5,15504,0.1018575852208,0
FMTO.US,D,20220803,000000,15504,15504,15019.5,15504,0.1123839010187,0
FMTO.US,D,20220804,000000,15019.5,15504,15019.5,15504,0.10030959760347,0
FMTO.US,D,20220805,000000,15504,15504,15504,15504,0.058513931935356,0
FMTO.US,D,20220808,000000,15407.1,15407.1,14535,15353.8,0.15170278649907,0
FMTO.US,D,20220810,000000,15160.7,15342.5,15160.7,15342.5,0.096594427321858,0
FMTO.US,D,20220811,000000,14567.3,15180.4,14539.8,15179.4,0.39597523251492,0
FMTO.US,D,20220812,000000,15181,15181,15181,15181,0.070897832874056,0
FMTO.US,D,20220815,000000,15116.4,15116.4,15116.4,15116.4,0.065944272498576,0
FMTO.US,D,20220816,000000,15182.9,15395.5,14987.2,15395.5,0.11021671835443,0
FMTO.US,D,20220817,000000,15342.5,15416.1,15148.7,15416.1,0.22414860699046,0
FMTO.US,D,20220818,000000,15277.9,15277.9,14535,14728.8,0.58823529458824,0
FMTO.US,D,20220819,000000,15084.1,15181,15084.1,15181,0.19009287940904,0
FMTO.US,D,20220822,000000,14835.1,15181,14825.7,15181,0.78235294180235,0
FMTO.US,D,20220823,000000,14761.1,15019.5,14599.6,14761.1,0.70619195102935,0
FMTO.US,D,20220824,000000,14607.7,14987.2,13663.2,14765.9,0.8247678025174,0
FMTO.US,D,20220825,000000,15019.5,15019.5,14050.5,14922.6,2.2123839026987,0
FMTO.US,D,20220826,000000,14276.6,14858,13339.9,14438.1,0.97275541873486,0
FMTO.US,D,20220829,000000,14287.9,14438.1,14014,14335.4,0.37770897863034,0
FMTO.US,D,20220830,000000,13469.1,14308.9,13469.1,14308.9,0.37832817367728,0
FMTO.US,D,20220831,000000,13146.1,14631.9,13049.2,14631.9,0.64272445871851,0
FMTO.US,D,20220901,000000,14189.1,14189.1,14189.1,14189.1,0.16408668743777,0
