<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FORLW.US,D,20230516,000000,0.1399,0.1399,0.11,0.11,603889,0
FORLW.US,D,20230517,000000,0.11,0.1101,0.11,0.1101,2000,0
FORLW.US,D,20230518,000000,0.11,0.11,0.1,0.1,105200,0
FORLW.US,D,20230519,000000,0.1,0.1,0.1,0.1,50312,0
FORLW.US,D,20230522,000000,0.1,0.1,0.1,0.1,1000,0
FORLW.US,D,20230523,000000,0.1,0.1,0.09,0.09,85819,0
FORLW.US,D,20230524,000000,0.1,0.1,0.0999,0.0999,25862,0
FORLW.US,D,20230525,000000,0.09,0.09,0.07,0.07,28258,0
FORLW.US,D,20230526,000000,0.08,0.1,0.08,0.1,10200,0
FORLW.US,D,20230530,000000,0.125,0.125,0.1,0.1,10300,0
FORLW.US,D,20230601,000000,0.1,0.1,0.1,0.1,1441,0
FORLW.US,D,20230602,000000,0.1244,0.125,0.1244,0.125,4014,0
FORLW.US,D,20230607,000000,0.131,0.131,0.0625,0.091478,5326,0
FORLW.US,D,20230608,000000,0.1236,0.1275,0.1,0.1258,4303,0
FORLW.US,D,20230609,000000,0.11,0.11,0.1,0.11,72498,0
FORLW.US,D,20230612,000000,0.11,0.11,0.1,0.1,8800,0
FORLW.US,D,20230613,000000,0.11,0.11,0.0901,0.1,66327,0
FORLW.US,D,20230614,000000,0.1248,0.1248,0.1248,0.1248,578,0
FORLW.US,D,20230616,000000,0.1548,0.1548,0.0702,0.1001,5863,0
FORLW.US,D,20230620,000000,0.1325,0.1325,0.1,0.1,4433,0
FORLW.US,D,20230621,000000,0.1,0.1,0.1,0.1,15600,0
FORLW.US,D,20230622,000000,0.1145,0.1324,0.1145,0.1145,1595,0
FORLW.US,D,20230627,000000,0.1468,0.1545,0.0705,0.1094,3719,0
FORLW.US,D,20230628,000000,0.11,0.11,0.1004,0.1004,660,0
FORLW.US,D,20230630,000000,0.1227,0.1227,0.0827,0.1227,300,0
FORLW.US,D,20230705,000000,0.1239,0.1239,0.1239,0.1239,7932,0
FORLW.US,D,20230707,000000,0.1101,0.1101,0.1089,0.1089,13089,0
FORLW.US,D,20230711,000000,0.1237,0.1237,0.1237,0.1237,200,0
FORLW.US,D,20230713,000000,0.09,0.09,0.09,0.09,300,0
FORLW.US,D,20230714,000000,0.09,0.12,0.0896,0.12,960,0
FORLW.US,D,20230719,000000,0.1147,0.1147,0.09,0.09,720,0
FORLW.US,D,20230720,000000,0.085,0.085,0.0802,0.0802,300,0
FORLW.US,D,20230724,000000,0.075,0.075,0.07,0.0701,9720,0
FORLW.US,D,20230725,000000,0.0628,0.0628,0.0599,0.06,6760,0
FORLW.US,D,20230727,000000,0.06,0.06,0.06,0.06,35001,0
FORLW.US,D,20230731,000000,0.0502,0.0502,0.0502,0.0502,301,0
FORLW.US,D,20230801,000000,0.0823,0.0854,0.0823,0.0854,796,0
FORLW.US,D,20230804,000000,0.0854,0.0854,0.0854,0.0854,340,0
FORLW.US,D,20230808,000000,0.0854,0.0854,0.0854,0.0854,194,0
FORLW.US,D,20230811,000000,0.0522,0.0522,0.0518,0.0518,611,0
FORLW.US,D,20230814,000000,0.052,0.052,0.05,0.05,30815,0
FORLW.US,D,20230815,000000,0.04,0.0853,0.04,0.0794,4199,0
FORLW.US,D,20230817,000000,0.0794,0.0794,0.0416,0.0725,3702,0
FORLW.US,D,20230823,000000,0.0721,0.0721,0.071,0.071,302,0
FORLW.US,D,20230829,000000,0.0431,0.0431,0.0431,0.0431,400,0
FORLW.US,D,20230830,000000,0.0441,0.047,0.0441,0.047,3400,0
FORLW.US,D,20230831,000000,0.05,0.05,0.05,0.05,168,0
FORLW.US,D,20230905,000000,0.0442,0.08,0.0442,0.08,406,0
FORLW.US,D,20230908,000000,0.0461,0.0461,0.0461,0.0461,200,0
FORLW.US,D,20230911,000000,0.0632,0.0632,0.0501,0.0501,4231,0
FORLW.US,D,20230912,000000,0.0501,0.0551,0.0501,0.0551,1000,0
FORLW.US,D,20230913,000000,0.055,0.08,0.05,0.08,42917,0
FORLW.US,D,20230914,000000,0.0502,0.0502,0.0451,0.0451,950,0
FORLW.US,D,20230915,000000,0.0672,0.0672,0.0672,0.0672,206,0
FORLW.US,D,20230920,000000,0.0675,0.0675,0.0675,0.0675,206,0
FORLW.US,D,20230925,000000,0.0698,0.0698,0.0698,0.0698,200,0
FORLW.US,D,20230927,000000,0.061,0.061,0.061,0.061,306,0
FORLW.US,D,20230929,000000,0.0695,0.0765,0.0695,0.0765,811,0
FORLW.US,D,20231006,000000,0.0799,0.0799,0.0799,0.0799,100,0
FORLW.US,D,20231010,000000,0.055,0.0559,0.055,0.0559,254,0
FORLW.US,D,20231011,000000,0.052,0.052,0.052,0.052,110,0
FORLW.US,D,20231012,000000,0.071,0.071,0.071,0.071,154,0
FORLW.US,D,20231017,000000,0.0769,0.0769,0.0769,0.0769,100,0
FORLW.US,D,20231020,000000,0.0815,0.0815,0.0814,0.0814,229,0
FORLW.US,D,20231023,000000,0.08,0.0833,0.0452,0.08,3334,0
FORLW.US,D,20231025,000000,0.07,0.07,0.07,0.07,420,0
FORLW.US,D,20231026,000000,0.0456,0.0456,0.0456,0.0456,200,0
FORLW.US,D,20231027,000000,0.0457,0.0457,0.0457,0.0457,545,0
FORLW.US,D,20231030,000000,0.0457,0.0457,0.0457,0.0457,229,0
FORLW.US,D,20231031,000000,0.0486,0.0486,0.0457,0.0457,1000,0
FORLW.US,D,20231101,000000,0.0468,0.0485,0.0457,0.0457,576,0
FORLW.US,D,20231102,000000,0.0466,0.0466,0.0456,0.0456,12660,0
FORLW.US,D,20231106,000000,0.043,0.067,0.043,0.067,670,0
FORLW.US,D,20231108,000000,0.06,0.06,0.05,0.05,500,0
