<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GECCH.US,D,20240927,000000,24.91,24.97,24.865,24.88,21500,0
GECCH.US,D,20240930,000000,24.92,25,24.86,24.94,20673,0
GECCH.US,D,20241001,000000,24.9,24.99,24.85,24.99,23041,0
GECCH.US,D,20241002,000000,24.99,25,24.9,24.9999,27588,0
GECCH.US,D,20241003,000000,25,25.265,24.9,24.98,21325,0
GECCH.US,D,20241004,000000,24.97,25.01,24.92,24.99,15088,0
GECCH.US,D,20241007,000000,25.16,25.195,24.95,25,26095,0
GECCH.US,D,20241008,000000,24.97,25.01,24.94,25,11512,0
GECCH.US,D,20241009,000000,24.95,25.08,24.95,24.98,17476,0
GECCH.US,D,20241010,000000,24.98,24.99,24.9,24.95,28454,0
GECCH.US,D,20241011,000000,24.95,24.98,24.91,24.95,11446,0
GECCH.US,D,20241014,000000,24.97,25,24.97,24.99,13126,0
GECCH.US,D,20241015,000000,24.99,25,24.95,24.99,7003,0
GECCH.US,D,20241016,000000,24.99,25,24.95,24.99,10599,0
GECCH.US,D,20241017,000000,25,25,24.99,25,4175,0
GECCH.US,D,20241018,000000,25,25.255,24.98,25.255,12122,0
GECCH.US,D,20241021,000000,25.02,25.02,25,25.02,1184,0
GECCH.US,D,20241022,000000,25.1,25.1,25.05,25.055,2397,0
GECCH.US,D,20241023,000000,25.1,25.115,25.0875,25.0875,5405,0
GECCH.US,D,20241024,000000,25.09,25.0999,25.08,25.08,3353,0
GECCH.US,D,20241025,000000,25.1,25.1999,25.08,25.12,7519,0
GECCH.US,D,20241028,000000,25.2299,25.2299,25.01,25.02,2913,0
GECCH.US,D,20241029,000000,25.11,25.18,25.02,25.15,4741,0
GECCH.US,D,20241030,000000,25.11,25.2,25.11,25.15,1374,0
GECCH.US,D,20241031,000000,25.1,25.1999,25.1,25.1999,5629,0
GECCH.US,D,20241101,000000,25.1799,25.2,25.155,25.1999,1819,0
GECCH.US,D,20241104,000000,25.2,25.2,25.1766,25.1766,676,0
GECCH.US,D,20241105,000000,25.2,25.2,25.1572,25.2,4162,0
GECCH.US,D,20241106,000000,25.2,25.2,25.2,25.2,310,0
GECCH.US,D,20241107,000000,25.1864,25.2,25.18,25.2,3141,0
GECCH.US,D,20241108,000000,25.18,25.23,25.18,25.225,4153,0
GECCH.US,D,20241111,000000,25.2,25.2,25.1628,25.18,6013,0
GECCH.US,D,20241112,000000,25.1526,25.202,25.1526,25.202,2500,0
GECCH.US,D,20241113,000000,25.295,25.295,25.18,25.18,6788,0
GECCH.US,D,20241114,000000,25.225,25.25,25.2,25.235,2304,0
GECCH.US,D,20241115,000000,25.2399,25.2399,25.2399,25.2399,251,0
GECCH.US,D,20241118,000000,25.23,25.35,25.23,25.32,4108,0
GECCH.US,D,20241119,000000,25.16,25.2999,25.16,25.28,5073,0
GECCH.US,D,20241122,000000,25.25,25.25,25.02,25.23,3629,0
GECCH.US,D,20241125,000000,25.15,25.2,25.15,25.2,948,0
GECCH.US,D,20241126,000000,25.15,25.16,25.07,25.16,1427,0
GECCH.US,D,20241127,000000,25.2,25.25,25.1114,25.1114,1788,0
GECCH.US,D,20241202,000000,25.2499,25.2499,25.07,25.07,1350,0
GECCH.US,D,20241203,000000,25.15,25.25,25.15,25.2071,3070,0
GECCH.US,D,20241204,000000,25.2499,25.3,25.21,25.3,2559,0
GECCH.US,D,20241205,000000,25.3,25.305,25.3,25.3,564,0
GECCH.US,D,20241206,000000,25.3,25.41,25.3,25.41,2636,0
GECCH.US,D,20241209,000000,25.35,25.44,25.2787,25.42,1685,0
GECCH.US,D,20241210,000000,25.39,25.39,25,25.06,6800,0
GECCH.US,D,20241211,000000,25.15,25.24,25.14,25.24,3726,0
GECCH.US,D,20241212,000000,25.21,25.33,25.15,25.3,5195,0
GECCH.US,D,20241213,000000,24.86,24.95,24.85,24.85,12790,0
GECCH.US,D,20241216,000000,24.92,24.94,24.59,24.6,26484,0
GECCH.US,D,20241217,000000,24.7,24.86,24.69,24.75,9118,0
GECCH.US,D,20241218,000000,24.8,24.8399,24.6,24.61,21947,0
GECCH.US,D,20241219,000000,24.61,24.6612,24.55,24.65,6468,0
GECCH.US,D,20241220,000000,24.66,24.8,24.65,24.79,11023,0
GECCH.US,D,20241226,000000,24.87,24.95,24.87,24.95,1047,0
GECCH.US,D,20241227,000000,24.73,24.95,24.7,24.75,21217,0
GECCH.US,D,20241230,000000,24.75,24.75,24.38,24.45,40192,0
GECCH.US,D,20241231,000000,24.59,24.95,24.59,24.95,1760,0
GECCH.US,D,20250102,000000,24.775,24.8399,24.7,24.82,6836,0
GECCH.US,D,20250103,000000,24.76,24.95,24.75,24.95,1230,0
GECCH.US,D,20250106,000000,24.92,24.92,24.61,24.74,15797,0
GECCH.US,D,20250107,000000,24.65,24.65,24.45,24.5,20893,0
GECCH.US,D,20250108,000000,24.5,24.6,24.39,24.44,59809,0
GECCH.US,D,20250110,000000,24.44,24.5825,24.44,24.55,4053,0
GECCH.US,D,20250113,000000,24.6,24.74,24.55,24.73,4367,0
GECCH.US,D,20250114,000000,24.72,24.72,24.5,24.5,2633,0
GECCH.US,D,20250115,000000,24.6,24.6999,24.45,24.6999,17124,0
GECCH.US,D,20250116,000000,24.5501,24.69,24.53,24.67,8413,0
GECCH.US,D,20250117,000000,24.5,24.6156,24.5,24.55,26524,0
GECCH.US,D,20250121,000000,24.55,24.65,24.55,24.625,2250,0
GECCH.US,D,20250122,000000,24.62,24.6899,24.6,24.6,4024,0
GECCH.US,D,20250123,000000,24.65,24.65,24.48,24.48,14492,0
GECCH.US,D,20250124,000000,24.605,24.62,24.59,24.59,4405,0
GECCH.US,D,20250127,000000,24.5801,24.5801,24.58,24.58,3814,0
GECCH.US,D,20250128,000000,24.59,24.7,24.58,24.64,36577,0
GECCH.US,D,20250129,000000,24.73,24.75,24.69,24.73,2864,0
GECCH.US,D,20250130,000000,24.75,24.9,24.75,24.9,3371,0
GECCH.US,D,20250131,000000,24.8999,24.8999,24.825,24.8501,1328,0
GECCH.US,D,20250203,000000,24.85,24.89,24.8,24.89,2547,0
GECCH.US,D,20250204,000000,24.84,24.89,24.83,24.839,5553,0
GECCH.US,D,20250205,000000,24.86,24.9099,24.85,24.9099,5100,0
GECCH.US,D,20250206,000000,24.92,25,24.92,25,11700,0
GECCH.US,D,20250207,000000,25.01,25.11,25,25.065,17358,0
GECCH.US,D,20250210,000000,25.11,25.11,25.025,25.025,552,0
GECCH.US,D,20250211,000000,25.0999,25.0999,25.01,25.09,1850,0
GECCH.US,D,20250212,000000,25.0525,25.15,25.05,25.105,20940,0
GECCH.US,D,20250213,000000,25.13,25.379,25.12,25.12,13142,0
GECCH.US,D,20250218,000000,25.15,25.18,25.15,25.18,894,0
GECCH.US,D,20250219,000000,25.19,25.21,25,25,14691,0
GECCH.US,D,20250220,000000,25,25.15,25,25,6280,0
GECCH.US,D,20250221,000000,25.05,25.19,25,25.16,5725,0
GECCH.US,D,20250224,000000,25.16,25.2,25.14,25.14,2405,0
GECCH.US,D,20250225,000000,25.1401,25.38,25.14,25.38,12965,0
GECCH.US,D,20250226,000000,25.21,25.4,25.01,25.03,16503,0
GECCH.US,D,20250227,000000,25.146,25.3673,25.1001,25.1001,4768,0
GECCH.US,D,20250228,000000,25.1652,25.2399,25.1652,25.2399,300,0
GECCH.US,D,20250303,000000,25.1,25.2599,25,25.2599,5128,0
GECCH.US,D,20250304,000000,25.19,25.19,25.1,25.18,752,0
GECCH.US,D,20250305,000000,25.14,25.15,25.115,25.1499,3205,0
GECCH.US,D,20250306,000000,25.15,25.15,25.08,25.08,3239,0
GECCH.US,D,20250307,000000,25.15,25.26,25.14,25.26,3370,0
GECCH.US,D,20250310,000000,25.19,25.28,25.08,25.27,6439,0
GECCH.US,D,20250311,000000,25.16,25.35,25.1,25.35,12877,0
GECCH.US,D,20250312,000000,25.37,25.3799,25.36,25.37,1009,0
GECCH.US,D,20250313,000000,25.4,25.4,25,25,755,0
GECCH.US,D,20250314,000000,24.835,24.99,24.67,24.99,628,0
GECCH.US,D,20250317,000000,24.88,24.99,24.73,24.95,6115,0
GECCH.US,D,20250318,000000,24.95,25,24.91,25,5589,0
GECCH.US,D,20250319,000000,24.955,25,24.955,25,2320,0
GECCH.US,D,20250320,000000,24.92,25,24.91,25,2510,0
GECCH.US,D,20250321,000000,25,25,25,25,500,0
GECCH.US,D,20250324,000000,25,25,24.98,25,1270,0
GECCH.US,D,20250325,000000,24.92,24.98,24.91,24.98,849,0
GECCH.US,D,20250326,000000,24.9699,24.9699,24.9699,24.9699,410,0
GECCH.US,D,20250327,000000,24.895,24.895,24.895,24.895,522,0
GECCH.US,D,20250328,000000,24.97,24.97,24.95,24.95,731,0
GECCH.US,D,20250331,000000,24.99,24.9999,24.82,24.99,4172,0
GECCH.US,D,20250401,000000,24.92,24.9872,24.92,24.92,2600,0
GECCH.US,D,20250402,000000,24.96,24.97,24.62,24.7,2912,0
GECCH.US,D,20250403,000000,24.9,24.9,24.9,24.9,412,0
GECCH.US,D,20250404,000000,24.58,24.8,24.55,24.55,1522,0
