<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPIX.US,D,20231027,000000,39.5,39.5,39.0253,39.0253,9859,0
GPIX.US,D,20231030,000000,40.97,40.97,39.403,39.5972,1345,0
GPIX.US,D,20231031,000000,39.57,39.7951,39.54,39.7951,2628,0
GPIX.US,D,20231101,000000,39.69,40.2291,39.69,40.1986,4136,0
GPIX.US,D,20231102,000000,40.6199,40.91,40.6199,40.8932,20570,0
GPIX.US,D,20231103,000000,41.17,41.36,41.13,41.1983,34957,0
GPIX.US,D,20231106,000000,41.14,41.2559,41.02,41.1316,12032,0
GPIX.US,D,20231107,000000,41.12,41.28,41.12,41.26,1631,0
GPIX.US,D,20231108,000000,41.276,41.3,41.1469,41.3,3833,0
GPIX.US,D,20231109,000000,41.24,41.3399,41,41,7143,0
GPIX.US,D,20231110,000000,41.11,41.56,41.11,41.54,4358,0
GPIX.US,D,20231113,000000,41.5,41.57,41.5,41.53,3390,0
GPIX.US,D,20231114,000000,42.14,42.2479,42.09,42.17,18350,0
GPIX.US,D,20231115,000000,42.3199,42.38,42.1899,42.22,24092,0
GPIX.US,D,20231116,000000,42.2899,42.3,42.16,42.27,8827,0
GPIX.US,D,20231117,000000,42.28,42.37,42.27,42.31,11119,0
GPIX.US,D,20231120,000000,42.39,42.67,42.39,42.5758,12668,0
GPIX.US,D,20231121,000000,42.4,42.55,42.29,42.4547,6274,0
GPIX.US,D,20231122,000000,42.5995,42.6395,42.5957,42.6031,4251,0
GPIX.US,D,20231124,000000,42.6499,42.6499,42.585,42.6062,4492,0
GPIX.US,D,20231127,000000,42.54,42.64,42.54,42.548,2720,0
GPIX.US,D,20231128,000000,42.4703,42.69,42.4703,42.5874,6939,0
GPIX.US,D,20231129,000000,42.78,42.8499,42.565,42.565,1340,0
GPIX.US,D,20231130,000000,42.63,42.7135,42.5399,42.7135,11664,0
GPIX.US,D,20231201,000000,42.73,42.9699,42.69,42.9481,4164,0
GPIX.US,D,20231204,000000,42.17,42.59,42.15,42.5875,130705,0
GPIX.US,D,20231205,000000,42.6,42.7599,42.58,42.65,15969,0
GPIX.US,D,20231206,000000,42.91,42.91,42.6299,42.63,9729,0
GPIX.US,D,20231207,000000,42.72,42.82,42.7065,42.82,12205,0
GPIX.US,D,20231208,000000,42.86,42.9899,42.8077,42.97,29555,0
GPIX.US,D,20231211,000000,42.98,43.14,42.9657,43.14,27687,0
GPIX.US,D,20231212,000000,43.11,43.31,43.0923,43.31,19284,0
GPIX.US,D,20231213,000000,43.42,43.7991,43.3499,43.7047,28727,0
GPIX.US,D,20231214,000000,43.95,44.1099,43.83,43.855,59073,0
GPIX.US,D,20231215,000000,43.84,44.01,43.75,43.82,30956,0
GPIX.US,D,20231218,000000,43.9,44.0219,43.86,44.005,31267,0
GPIX.US,D,20231219,000000,44.04,44.15,44.04,44.15,21775,0
GPIX.US,D,20231220,000000,44.1,44.18,43.6964,43.72,38919,0
GPIX.US,D,20231221,000000,43.94,44.093,43.9,44.093,125203,0
GPIX.US,D,20231222,000000,44.121,44.1499,43.99,44.0591,18544,0
GPIX.US,D,20231226,000000,44.15,44.26,44.12,44.2072,21104,0
GPIX.US,D,20231227,000000,44.2101,44.27,44.18,44.2256,27591,0
GPIX.US,D,20231228,000000,44,44.04,43.95,43.9858,32775,0
GPIX.US,D,20231229,000000,44.03,44.03,43.795,43.9106,37444,0
GPIX.US,D,20240102,000000,43.65,43.8,43.58,43.7139,12455,0
GPIX.US,D,20240103,000000,43.55,43.56,43.3847,43.3971,10599,0
GPIX.US,D,20240104,000000,43.46,43.57,43.29,43.3151,38884,0
GPIX.US,D,20240105,000000,43.4,43.54,43.29,43.3862,71393,0
GPIX.US,D,20240108,000000,43.44,43.89,43.4299,43.85,11703,0
GPIX.US,D,20240109,000000,43.66,43.89,43.65,43.86,4693,0
GPIX.US,D,20240110,000000,43.95,44.17,43.89,44.17,26321,0
GPIX.US,D,20240111,000000,43.95,44.05,43.775,44.05,6205,0
GPIX.US,D,20240112,000000,44.1999,44.23,44.0049,44.1,15549,0
GPIX.US,D,20240116,000000,44.01,44.07,43.8599,44.07,17829,0
GPIX.US,D,20240117,000000,43.64,43.78,43.6299,43.75,4940,0
GPIX.US,D,20240118,000000,43.8799,44.08,43.7879,44.08,9956,0
GPIX.US,D,20240119,000000,44.3,44.52,44.12,44.52,21256,0
GPIX.US,D,20240122,000000,44.69,44.69,44.55,44.6,10199,0
