<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSBC.US,D,20050225,000000,24.7829,24.8057,24.3619,24.6981,42783.433450359,0
GSBC.US,D,20050228,000000,24.5039,24.6557,23.8273,24.1941,42708.403256138,0
GSBC.US,D,20050301,000000,23.8657,25.0709,23.8056,25.0641,39701.111958059,0
GSBC.US,D,20050302,000000,25.1429,25.3136,24.5187,24.8589,22826.41570926,0
GSBC.US,D,20050303,000000,25.1953,25.4379,25.0325,25.1913,16881.793699604,0
GSBC.US,D,20050304,000000,25.3837,25.4299,25.1429,25.3136,11002.062668733,0
GSBC.US,D,20050307,000000,24.9703,25.4299,24.9703,25.2949,22523.253167747,0
GSBC.US,D,20050308,000000,25.1429,25.3293,24.8737,24.9951,40962.430358197,0
GSBC.US,D,20050309,000000,24.8333,25.1065,24.5453,24.5453,14137.108081296,0
GSBC.US,D,20050310,000000,24.6389,25.0118,24.3105,24.5571,24376.701749301,0
GSBC.US,D,20050311,000000,24.3381,24.7919,24.3381,24.7919,31167.948247797,0
GSBC.US,D,20050314,000000,24.7919,25.1351,24.7663,25.1153,19712.662649111,0
GSBC.US,D,20050315,000000,25.2209,25.4221,25.0325,25.0769,19770.456177091,0
GSBC.US,D,20050316,000000,24.9407,24.9773,24.6242,24.7829,55418.923725702,0
GSBC.US,D,20050317,000000,24.8273,25.1429,24.4753,24.6479,96659.168586823,0
GSBC.US,D,20050318,000000,24.8895,24.8895,23.1309,23.6695,94961.863922971,0
GSBC.US,D,20050321,000000,23.3884,23.5245,22.985,23.0225,55526.399409315,0
GSBC.US,D,20050322,000000,23.0225,23.3884,22.985,23.0501,36710.043404675,0
GSBC.US,D,20050323,000000,22.985,23.1369,21.6191,21.9543,47360.275297807,0
GSBC.US,D,20050324,000000,21.8459,22.2709,21.837,22.0224,11684.431867521,0
GSBC.US,D,20050328,000000,22.2709,22.3114,21.765,21.8261,14570.052580379,0
GSBC.US,D,20050329,000000,21.6259,22.0796,21.5243,21.5589,22658.104733035,0
GSBC.US,D,20050330,000000,22.0431,22.9159,21.6969,22.7187,26102.396216372,0
GSBC.US,D,20050331,000000,22.8933,23.4032,22.699,23.3233,69048.057113694,0
GSBC.US,D,20050401,000000,23.5245,23.6458,22.4337,22.4337,34596.016986437,0
GSBC.US,D,20050404,000000,22.4425,22.8015,22.2236,22.5471,25995.934454302,0
GSBC.US,D,20050405,000000,22.7187,23.8135,22.7187,23.5689,40353.063510542,0
GSBC.US,D,20050406,000000,23.5905,23.6971,22.9564,22.9564,19757.275197025,0
GSBC.US,D,20050407,000000,22.985,23.7336,22.7503,23.4604,24655.530173769,0
GSBC.US,D,20050408,000000,23.3657,23.4032,22.7503,22.8272,12665.907921648,0
GSBC.US,D,20050411,000000,23.0807,23.1487,21.8577,22.0165,27682.085981176,0
GSBC.US,D,20050412,000000,21.9139,22.052,21.1919,22.052,43656.419899329,0
GSBC.US,D,20050413,000000,22.0372,22.0372,21.407,21.5165,11197.749526632,0
GSBC.US,D,20050414,000000,21.7433,21.9829,21.5519,21.5589,36338.948119747,0
GSBC.US,D,20050415,000000,21.6121,21.6881,20.832,20.974,61090.800840151,0
GSBC.US,D,20050418,000000,21.0805,21.3192,20.4365,20.9592,66807.290502515,0
GSBC.US,D,20050419,000000,21.2541,21.5519,21.2482,21.5519,35812.72283866,0
GSBC.US,D,20050420,000000,21.1989,21.5519,21.1919,21.3793,36431.214980207,0
GSBC.US,D,20050421,000000,21.5165,21.6191,21.2196,21.3793,24049.205090745,0
GSBC.US,D,20050422,000000,21.4593,21.8459,20.7827,20.8241,33004.160163111,0
GSBC.US,D,20050425,000000,21.1545,21.2965,20.8458,21.1032,32675.64958301,0
GSBC.US,D,20050426,000000,20.9395,21.4011,20.8241,20.8241,22740.232378061,0
GSBC.US,D,20050427,000000,20.7077,21.4287,20.4365,21.1111,16897.002522756,0
GSBC.US,D,20050428,000000,21.1111,21.2482,20.7225,20.7225,16461.016259043,0
GSBC.US,D,20050429,000000,20.8458,21.0125,20.5815,20.7886,41608.298381419,0
GSBC.US,D,20050502,000000,20.8596,21.1861,20.6791,21.0746,23051.506291921,0
GSBC.US,D,20050503,000000,20.7975,21.1919,20.6791,20.7886,27925.42715162,0
GSBC.US,D,20050504,000000,20.6525,21.119,20.6525,21.047,30602.180026513,0
GSBC.US,D,20050505,000000,21.0746,21.1772,20.6584,20.9819,19697.453825958,0
GSBC.US,D,20050506,000000,21.1861,21.1989,20.7225,20.7225,12697.339489498,0
GSBC.US,D,20050509,000000,20.6663,21.2265,20.6663,21.2265,21535.693584359,0
GSBC.US,D,20050510,000000,20.8744,21.0618,20.688,20.8517,31561.349806682,0
GSBC.US,D,20050511,000000,20.9898,21.0805,20.7314,20.8379,25054.001340373,0
GSBC.US,D,20050512,000000,21.0973,21.2353,20.6791,20.6949,15847.593725213,0
GSBC.US,D,20050513,000000,20.7886,20.974,20.545,20.6465,22764.566495105,0
GSBC.US,D,20050516,000000,20.7827,21.0322,20.5578,20.7403,13163.743399517,0
GSBC.US,D,20050517,000000,20.7975,21.5323,20.7975,21.2965,10971.645022427,0
GSBC.US,D,20050518,000000,21.5381,22.1684,21.2965,22.0372,95841.947822746,0
GSBC.US,D,20050519,000000,21.7354,22.985,21.7354,22.8134,144332.74564158,0
GSBC.US,D,20050520,000000,22.9377,23.1625,22.5826,22.9071,25675.53524655,0
GSBC.US,D,20050523,000000,23.1103,23.4841,22.9011,23.1625,15210.850995883,0
GSBC.US,D,20050524,000000,22.9159,23.4752,22.9159,23.3085,39920.119011459,0
GSBC.US,D,20050525,000000,23.4604,23.4604,22.8095,23.0225,21286.268884653,0
GSBC.US,D,20050526,000000,22.7572,23.058,22.699,22.9011,8767.3795868151,0
GSBC.US,D,20050527,000000,22.9781,23.3154,22.5393,23.1705,18063.012297804,0
GSBC.US,D,20050531,000000,23.1241,23.2749,22.4179,22.4179,18406.731701057,0
GSBC.US,D,20050601,000000,22.4849,22.5007,22.0796,22.3755,28412.10949251,0
GSBC.US,D,20050602,000000,22.0796,22.8095,21.9543,22.3834,32680.719190728,0
GSBC.US,D,20050603,000000,22.2019,22.3755,21.6259,21.8015,17338.058394187,0
GSBC.US,D,20050606,000000,21.5727,21.7709,21.1919,21.2265,32777.041737362,0
GSBC.US,D,20050607,000000,21.4839,21.6881,21.1919,21.2058,10791.166987681,0
GSBC.US,D,20050608,000000,21.1693,21.6329,21.1693,21.4661,12326.244204569,0
GSBC.US,D,20050609,000000,21.2196,21.7492,21.1919,21.5323,14178.67886458,0
GSBC.US,D,20050610,000000,21.4385,21.5973,21.2058,21.2699,14934.050414502,0
GSBC.US,D,20050613,000000,21.2748,21.5431,21.1624,21.2196,14214.166118603,0
GSBC.US,D,20050614,000000,21.4149,21.5835,21.2353,21.4661,14166.511806058,0
GSBC.US,D,20050615,000000,21.2353,21.5017,21.0805,21.5017,26526.215421563,0
GSBC.US,D,20050616,000000,21.4661,22.1477,21.4661,22.1339,14819.477280084,0
GSBC.US,D,20050617,000000,22.2966,22.7719,22.2966,22.5135,41947.962098498,0
